POA_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
POA2000,..,23,766,818,386,412,359,181,44,2991,..,227,1095,487,180,86,52,14,4,2156,..,0,4,13,39,21,9,7,3,100,632,..,..,..,..,..,..,..,..,632,..,168,..,..,..,..,..,..,..,168,..,58,72,33,12,9,0,0,0,180,..,143,217,47,11,5,7,3,3,436,..,189,457,150,29,6,8,0,0,840,..,604,1268,404,97,47,29,7,0,2456,..,221,667,539,335,258,123,57,20,2210,7,33,61,37,11,7,9,5,0,166,0,7,11,7,9,5,6,0,0,51,641,1679,4631,2537,1115,850,599,271,78,12397,..,62,929,749,369,382,298,125,20,2932,..,308,1064,348,103,62,23,8,0,1910,..,4,29,94,129,73,21,16,3,375,631,..,..,..,..,..,..,..,..,631,..,180,..,..,..,..,..,..,..,180,..,51,87,38,25,8,5,0,0,209,..,168,211,58,23,40,24,10,10,534
POA2007,..,0,142,216,109,66,66,26,7,622,..,46,252,121,50,19,14,3,0,507,..,0,0,6,6,5,7,0,0,20,213,..,..,..,..,..,..,..,..,213,..,45,..,..,..,..,..,..,..,45,..,23,20,9,0,4,0,0,0,60,..,44,44,13,0,6,5,0,0,115,..,32,76,30,3,0,0,0,0,144,..,205,389,89,22,22,9,3,0,741,..,84,181,121,98,55,45,13,6,600,0,11,7,8,6,0,0,0,0,34,0,5,11,4,3,0,0,0,0,27,213,497,1116,610,295,181,142,49,14,3115,..,3,186,202,101,60,48,14,3,618,..,66,275,88,28,12,5,0,0,468,..,0,15,35,41,22,13,3,0,131,218,..,..,..,..,..,..,..,..,218,..,51,..,..,..,..,..,..,..,51,..,13,23,3,4,0,3,0,0,47,..,47,33,5,13,14,7,3,0,127
POA2008,..,5,194,194,92,65,56,11,3,615,..,148,514,174,87,68,29,0,0,1018,..,0,0,4,14,3,3,0,0,24,207,..,..,..,..,..,..,..,..,207,..,66,..,..,..,..,..,..,..,66,..,19,17,16,4,0,0,0,0,61,..,52,37,6,3,0,6,0,0,108,..,31,57,12,0,5,0,0,0,105,..,461,500,78,31,23,12,3,0,1103,..,203,333,194,114,82,55,18,4,998,4,26,28,11,7,7,0,0,0,85,0,4,7,0,0,0,0,0,0,11,208,1017,1681,689,347,245,155,42,14,4400,..,8,227,172,92,58,33,3,0,591,..,181,476,109,47,30,10,0,0,858,..,0,7,22,43,23,9,6,3,115,167,..,..,..,..,..,..,..,..,167,..,48,..,..,..,..,..,..,..,48,..,14,12,5,7,3,0,0,0,46,..,84,54,8,0,4,7,5,3,164
POA2009,..,5,231,526,294,319,292,144,25,1827,..,41,386,270,116,76,48,17,0,952,..,0,3,12,31,11,9,4,0,71,593,..,..,..,..,..,..,..,..,593,..,138,..,..,..,..,..,..,..,138,..,70,68,25,9,10,0,0,0,172,..,32,46,19,6,6,3,0,0,110,..,19,71,22,0,4,6,0,0,117,..,115,415,128,48,23,16,4,0,747,..,39,232,229,162,128,94,45,15,942,4,11,24,7,13,15,6,0,0,76,0,0,8,5,0,3,8,0,0,21,597,460,1482,1235,678,598,466,212,41,5767,..,0,328,541,287,306,258,98,5,1824,..,70,413,215,98,43,27,11,0,881,..,0,29,82,89,65,33,12,7,320,578,..,..,..,..,..,..,..,..,578,..,150,..,..,..,..,..,..,..,150,..,44,57,32,6,8,0,0,0,145,..,17,50,20,7,23,24,4,3,159
POA2010,..,10,329,655,442,359,233,125,37,2204,..,118,1457,835,480,308,130,25,3,3350,..,0,0,14,40,19,5,0,6,91,662,..,..,..,..,..,..,..,..,662,..,129,..,..,..,..,..,..,..,129,..,64,70,23,19,12,0,0,0,196,..,41,55,13,17,17,5,3,0,157,..,39,121,36,17,6,3,0,0,223,..,384,1053,273,153,95,65,18,0,2029,..,139,890,932,724,630,325,174,38,3854,3,32,56,31,17,14,16,9,0,176,0,0,9,0,0,0,0,0,0,13,669,954,4037,2823,1910,1465,779,355,93,13084,..,15,394,531,323,287,184,98,14,1844,..,151,1167,426,166,90,35,10,0,2046,..,4,17,57,101,70,34,22,9,322,607,..,..,..,..,..,..,..,..,607,..,137,..,..,..,..,..,..,..,137,..,49,52,14,7,5,0,0,0,131,..,53,55,15,13,18,22,17,6,203
POA2011,..,0,187,329,239,260,238,125,42,1428,..,51,798,515,262,213,99,43,6,1976,..,0,0,13,19,17,4,8,0,55,330,..,..,..,..,..,..,..,..,330,..,59,..,..,..,..,..,..,..,59,..,40,41,10,22,4,0,0,0,124,..,10,26,8,11,6,3,6,0,68,..,4,26,12,6,4,0,3,0,50,..,86,359,140,72,44,40,12,0,753,..,112,725,665,548,452,320,160,49,3019,6,11,47,21,13,26,12,4,0,133,0,0,10,0,0,4,0,0,0,11,334,375,2220,1707,1178,1027,724,358,100,8015,..,7,236,284,198,226,221,92,22,1282,..,72,662,245,130,81,48,12,4,1250,..,0,20,49,76,53,28,21,15,261,326,..,..,..,..,..,..,..,..,326,..,70,..,..,..,..,..,..,..,70,..,18,37,13,16,10,0,0,0,98,..,19,27,5,5,6,11,5,8,94
POA2015,..,0,243,474,331,171,98,38,7,1353,..,62,665,359,177,80,28,5,0,1377,..,0,0,17,28,12,4,3,0,69,642,..,..,..,..,..,..,..,..,642,..,109,..,..,..,..,..,..,..,109,..,55,49,19,13,6,0,0,0,132,..,24,27,8,3,9,7,3,0,88,..,24,50,15,6,6,5,0,0,111,..,106,418,92,39,26,13,5,0,695,..,30,260,230,152,130,64,20,4,884,9,12,29,12,10,4,4,0,0,78,0,0,0,4,0,0,0,0,0,7,648,422,1738,1220,760,443,225,76,14,5546,..,3,315,476,247,142,74,26,3,1288,..,85,640,259,96,40,28,4,0,1155,..,0,16,44,78,40,17,6,4,213,583,..,..,..,..,..,..,..,..,583,..,114,..,..,..,..,..,..,..,114,..,42,26,8,8,4,0,0,0,87,..,18,26,19,6,11,6,16,0,95
POA2016,..,3,158,350,250,174,139,103,36,1208,..,39,521,319,218,157,40,17,0,1316,..,0,0,11,20,12,13,6,6,62,480,..,..,..,..,..,..,..,..,480,..,95,..,..,..,..,..,..,..,95,..,32,44,19,30,14,0,0,0,139,..,39,31,14,10,11,13,7,8,122,..,20,77,14,0,3,5,0,0,122,..,238,510,129,65,52,27,13,0,1024,..,42,252,231,289,305,189,70,25,1404,5,18,33,14,9,10,9,0,0,97,0,0,3,3,0,0,0,0,0,8,490,518,1633,1110,888,737,434,217,73,6089,..,3,191,367,194,144,123,84,9,1112,..,54,496,209,87,72,17,3,0,938,..,4,10,46,50,33,25,13,20,204,486,..,..,..,..,..,..,..,..,486,..,85,..,..,..,..,..,..,..,85,..,24,24,15,18,12,0,0,0,95,..,31,33,11,0,11,13,9,4,124
POA2017,..,25,820,1012,356,240,213,109,38,2808,..,369,2037,786,268,113,34,9,0,3611,..,5,10,25,26,23,17,9,6,115,1078,..,..,..,..,..,..,..,..,1078,..,164,..,..,..,..,..,..,..,164,..,106,100,45,21,5,3,0,0,277,..,117,110,22,12,11,13,3,0,288,..,80,191,28,8,4,0,0,0,309,..,726,1235,285,115,63,17,11,4,2456,..,223,777,591,384,357,281,147,42,2803,14,38,64,25,14,18,7,3,0,181,3,9,12,3,0,7,5,0,0,41,1093,1852,5355,2824,1205,837,590,291,90,14126,..,25,1013,840,279,233,191,67,17,2671,..,470,1887,417,90,62,17,0,0,2933,..,7,69,131,166,131,44,18,17,588,1040,..,..,..,..,..,..,..,..,1040,..,171,..,..,..,..,..,..,..,171,..,57,75,29,12,4,3,0,0,192,..,134,128,34,22,34,35,10,9,402
POA2018,..,17,499,794,587,470,394,277,83,3116,..,116,738,310,124,53,29,6,0,1377,..,0,8,21,40,30,9,15,3,122,1273,..,..,..,..,..,..,..,..,1273,..,382,..,..,..,..,..,..,..,382,..,228,202,91,92,29,4,0,0,647,..,59,78,33,20,21,30,21,9,264,..,43,97,18,12,10,6,0,0,191,..,201,421,98,51,26,31,3,3,837,..,98,258,182,164,141,100,82,30,1057,18,27,35,20,18,16,0,4,0,130,0,9,4,0,0,5,0,0,0,19,1288,1177,2340,1562,1108,792,612,413,130,9421,..,16,682,818,558,451,361,199,39,3117,..,165,719,231,89,45,13,5,0,1257,..,5,41,120,165,108,65,50,24,579,1200,..,..,..,..,..,..,..,..,1200,..,387,..,..,..,..,..,..,..,387,..,169,148,66,36,15,0,0,0,435,..,45,61,18,22,41,51,47,29,314
