POA_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2000,..,180,510,161,26,0,3,0,0,886,..,601,1345,433,91,28,9,0,0,2508,..,183,630,382,192,170,142,96,38,1832,9,30,76,35,8,17,14,8,0,196,0,11,14,7,6,10,4,3,0,54,640,1774,4891,2297,974,781,538,269,71,12253,..,87,1695,1566,757,794,655,304,62,5920,..,537,2159,831,289,145,78,20,5,4068,..,4,33,112,163,92,34,21,7,470,1266,..,..,..,..,..,..,..,..,1266,..,353,..,..,..,..,..,..,..,353,..,108,162,73,34,13,5,0,0,392,..,315,424,105,38,42,26,10,14,977,..,367,971,312,63,5,5,3,0,1724,..,1199,2613,830,189,73,43,11,0,4959,..,402,1295,921,526,429,258,147,54,4043,19,66,136,71,19,23,22,6,0,366,0,20,30,16,15,16,11,3,0,106,1287,3456,9522,4836,2086,1639,1136,539,148,24645
POA2007,..,29,50,19,3,5,0,0,0,103,..,234,323,76,12,9,11,0,6,673,..,65,159,84,57,45,38,17,10,473,0,11,15,8,8,5,3,0,0,52,0,8,8,0,0,4,0,0,0,19,228,524,1091,527,260,175,126,41,20,2984,..,10,327,419,211,125,112,40,8,1244,..,114,524,211,77,32,15,5,0,975,..,0,15,39,52,26,11,7,0,147,433,..,..,..,..,..,..,..,..,433,..,96,..,..,..,..,..,..,..,96,..,36,47,13,3,4,3,0,0,99,..,85,80,22,13,20,18,7,5,244,..,58,122,51,10,3,0,0,0,246,..,446,713,165,34,34,18,3,6,1411,..,149,337,208,154,95,87,32,13,1074,9,23,23,11,11,5,0,0,0,86,0,8,22,5,3,7,0,0,0,44,441,1026,2210,1141,552,354,264,88,29,6102
POA2008,..,35,55,11,5,0,0,0,0,109,..,462,426,47,12,8,4,4,0,958,..,291,336,141,60,66,40,24,3,969,4,23,27,9,5,3,7,0,0,85,0,0,7,0,3,5,0,0,0,18,177,1160,1626,528,275,208,111,50,11,4134,..,8,425,360,184,120,86,22,5,1211,..,327,984,282,134,96,39,3,0,1875,..,0,7,29,51,26,7,13,4,140,371,..,..,..,..,..,..,..,..,371,..,112,..,..,..,..,..,..,..,112,..,34,37,16,14,4,0,0,0,102,..,140,94,19,7,7,11,6,3,277,..,69,106,25,6,5,0,0,0,217,..,925,926,120,39,26,15,4,0,2066,..,499,669,334,170,148,93,46,9,1964,10,51,56,16,9,8,6,0,0,167,0,8,8,0,0,7,0,0,0,28,385,2175,3313,1209,624,455,266,92,20,8539
POA2009,..,12,64,21,12,3,3,0,0,112,..,89,308,84,41,13,10,3,0,562,..,38,160,211,126,163,120,62,30,899,5,13,20,12,3,7,7,3,3,77,0,3,4,3,3,5,6,0,0,28,584,441,1431,1224,678,638,488,203,49,5729,..,3,557,1067,582,624,548,244,28,3654,..,116,800,490,216,122,69,23,0,1834,..,0,34,95,115,78,41,16,6,392,1177,..,..,..,..,..,..,..,..,1177,..,289,..,..,..,..,..,..,..,289,..,109,130,53,14,12,0,0,0,320,..,50,93,40,15,28,30,5,0,263,..,28,131,45,9,6,3,0,0,226,..,209,729,213,87,34,25,11,4,1306,..,71,396,439,282,292,209,107,47,1840,12,21,39,18,15,21,10,4,3,155,0,4,12,4,5,11,11,0,0,55,1188,902,2912,2455,1351,1237,956,414,96,11504
POA2010,..,27,90,28,14,0,0,0,0,166,..,433,806,132,47,31,26,5,3,1467,..,137,693,573,340,309,285,162,70,2575,6,34,72,19,20,12,9,6,3,172,0,0,3,4,3,4,3,0,0,20,615,1034,3345,1803,1039,828,596,324,103,9680,..,22,720,1187,767,649,424,223,53,4043,..,267,2621,1258,644,396,162,31,3,5393,..,4,17,72,148,93,43,23,16,411,1270,..,..,..,..,..,..,..,..,1270,..,267,..,..,..,..,..,..,..,267,..,119,124,42,32,13,0,0,0,323,..,100,113,34,29,32,28,18,5,360,..,66,209,61,34,11,4,0,0,388,..,813,1857,405,192,119,84,28,3,3499,..,272,1583,1506,1063,945,612,342,110,6426,11,63,128,52,34,31,20,13,3,349,0,3,10,3,5,9,6,4,0,34,1285,1984,7383,4620,2942,2290,1382,676,197,22766
POA2011,..,5,17,8,3,3,0,0,0,33,..,81,271,51,25,25,18,6,8,483,..,135,774,609,448,433,383,204,100,3086,6,18,40,19,13,14,10,3,0,124,0,0,4,0,5,8,0,0,0,15,338,421,2086,1284,913,859,723,346,155,7123,..,9,422,615,439,489,462,216,58,2707,..,124,1455,761,393,292,151,53,10,3226,..,0,22,62,87,69,33,25,12,314,663,..,..,..,..,..,..,..,..,663,..,130,..,..,..,..,..,..,..,130,..,62,80,23,36,11,3,0,0,214,..,25,54,14,12,14,16,11,8,167,..,7,42,20,9,8,0,3,0,87,..,163,627,197,88,76,59,25,8,1230,..,245,1501,1275,990,885,700,361,147,6112,9,30,85,34,20,30,28,12,0,255,0,4,12,0,5,6,0,3,0,25,668,797,4302,2995,2093,1887,1445,705,254,15138
POA2015,..,13,53,6,0,5,0,0,0,83,..,151,312,53,18,16,11,3,0,560,..,33,225,221,152,128,99,40,11,903,3,18,30,7,5,15,5,0,4,78,0,0,0,0,6,0,0,0,0,4,588,467,1642,1096,616,398,242,93,23,5164,..,6,554,946,574,310,168,59,10,2635,..,144,1299,618,281,122,58,13,0,2531,..,0,18,61,106,57,21,5,6,280,1219,..,..,..,..,..,..,..,..,1219,..,220,..,..,..,..,..,..,..,220,..,101,70,28,15,11,0,0,0,221,..,44,53,22,11,18,18,14,3,187,..,35,108,26,11,11,8,0,0,190,..,249,727,147,59,40,23,9,0,1256,..,56,486,446,300,258,164,55,19,1794,11,25,52,19,13,14,12,3,4,158,0,0,0,4,3,0,0,0,0,10,1237,888,3379,2318,1371,842,464,174,41,10708
POA2016,..,14,32,14,0,0,0,0,0,60,..,284,452,71,34,20,8,0,0,872,..,37,191,160,147,179,190,130,63,1091,3,19,33,4,7,10,9,4,0,94,0,6,5,0,0,3,0,0,0,13,490,556,1462,902,541,493,386,250,96,5181,..,13,348,720,438,316,260,186,46,2321,..,91,1011,527,307,230,60,21,0,2254,..,4,10,58,70,42,37,18,20,267,967,..,..,..,..,..,..,..,..,967,..,177,..,..,..,..,..,..,..,177,..,55,78,35,49,29,4,0,0,233,..,67,69,31,17,20,25,16,11,247,..,34,106,31,5,11,5,0,0,187,..,520,960,198,96,73,35,18,0,1901,..,76,443,390,429,483,377,197,86,2494,9,39,63,24,24,22,15,6,0,195,0,5,6,3,0,6,0,0,0,21,975,1076,3098,2007,1434,1223,819,463,170,11271
POA2017,..,65,143,21,3,8,0,0,0,239,..,652,951,139,37,32,8,8,0,1837,..,255,747,419,229,252,265,148,66,2378,13,39,60,22,7,11,22,10,0,179,0,7,7,5,0,15,3,0,0,44,1050,1880,5085,2070,850,786,585,269,108,12688,..,51,1831,1854,637,475,401,184,55,5477,..,833,3925,1200,349,171,49,7,0,6548,..,12,74,167,194,155,63,25,20,698,2119,..,..,..,..,..,..,..,..,2119,..,331,..,..,..,..,..,..,..,331,..,163,182,78,31,15,6,0,0,472,..,244,236,58,30,43,45,11,10,686,..,146,330,52,12,8,0,0,0,549,..,1381,2187,426,158,94,33,14,3,4293,..,478,1522,1007,613,609,544,297,108,5174,23,71,126,51,23,27,23,11,0,363,4,14,19,6,4,26,10,3,0,87,2144,3736,10436,4895,2052,1620,1179,556,200,26814
POA2018,..,29,49,11,5,12,3,0,0,117,..,197,282,60,22,31,17,4,5,620,..,86,290,189,112,134,175,182,82,1249,9,20,25,19,8,4,13,5,0,111,0,3,5,0,3,9,0,0,0,12,1211,1116,2297,1530,1020,850,697,504,178,9401,..,30,1185,1615,1146,915,755,481,118,6237,..,283,1459,537,207,97,38,13,0,2638,..,5,44,144,202,139,77,67,29,707,2477,..,..,..,..,..,..,..,..,2477,..,772,..,..,..,..,..,..,..,772,..,397,349,159,135,44,3,0,0,1082,..,102,135,54,44,65,80,60,37,575,..,73,147,31,20,21,13,7,4,308,..,394,709,156,78,59,50,13,5,1458,..,184,551,371,276,275,276,267,106,2307,27,54,59,36,22,16,15,13,0,241,0,8,8,0,0,9,6,0,0,29,2503,2292,4638,3089,2126,1642,1308,914,308,18825
