POA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
POA2000,6503,4125,742,89,38,11496,1183,12683
POA2007,1333,1182,222,23,6,2761,362,3128
POA2008,2489,1650,317,59,23,4536,426,4964
POA2009,1612,2974,848,97,26,5564,459,6025
POA2010,6241,5654,1064,140,58,13158,977,14136
POA2011,5040,4172,754,86,52,10101,743,10853
POA2015,1170,2969,884,161,55,5243,296,5539
POA2016,2320,2665,668,104,51,5809,557,6372
POA2017,4879,7243,1644,171,57,13992,1125,15116
POA2018,1555,4116,1822,411,163,8076,517,8589
POA2019,358,2072,1872,417,203,4921,302,5220
POA2020,1637,4045,1836,376,153,8045,509,8553
POA2021,1409,3551,1317,218,88,6585,265,6850
POA2022,1417,2860,1033,165,52,5532,415,5941
POA2023,397,1725,1386,360,170,4041,173,4213
POA2024,537,2031,1225,256,102,4149,242,4393
POA2025,518,1539,781,100,46,2986,122,3114
POA2026,2881,6698,3121,619,214,13537,899,14436
POA2027,586,1811,924,163,85,3577,238,3823
POA2028,391,1081,535,78,29,2114,104,2220
POA2029,479,1865,1253,267,115,3980,214,4194
POA2030,299,1613,1978,571,400,4867,219,5083
POA2031,2247,7178,3349,582,214,13580,585,14157
POA2032,1351,2517,1243,307,120,5533,318,5850
POA2033,815,2194,1031,205,106,4347,230,4582
POA2034,1327,3978,2196,538,181,8224,492,8717
POA2035,1956,5832,3948,971,463,13167,712,13882
POA2036,1374,4931,3925,1129,534,11894,770,12668
POA2037,2386,3738,1109,182,59,7471,473,7949
POA2038,518,2011,995,200,69,3797,191,3987
POA2039,409,2064,967,124,35,3595,114,3707
POA2040,1205,4526,2530,450,143,8852,375,9225
POA2041,906,3529,1749,283,90,6558,267,6826
POA2042,2462,4158,1220,212,81,8142,415,8558
POA2043,1142,2687,594,68,23,4522,189,4711
POA2044,482,1717,754,150,62,3170,116,3289
POA2045,206,755,842,271,149,2218,53,2280
POA2046,957,4486,3772,917,451,10585,396,10984
POA2047,438,2362,1606,353,135,4898,203,5103
POA2048,590,1600,725,141,57,3114,111,3228
POA2049,1056,2722,1041,196,64,5082,258,5339
POA2050,1140,2203,603,71,29,4047,248,4294
POA2060,1818,4020,1171,161,70,7234,359,7595
POA2061,952,1648,492,54,24,3166,278,3443
POA2062,262,1741,849,146,36,3049,83,3131
POA2063,91,750,918,263,114,2136,57,2196
POA2064,550,2056,849,124,35,3625,148,3771
POA2065,2567,8047,2971,486,175,14253,484,14740
POA2066,1099,6194,4348,922,415,12975,410,13387
POA2067,2111,5189,2060,457,171,9986,411,10398
POA2068,375,2467,2320,575,214,5947,134,6076
POA2069,244,1805,1926,587,276,4839,121,4966
