POA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
POA2000,0,0,94,0,0,98,0,0,7,0,0,10,0,0,7,0,0,7,0,0,14,0,0,14,0,0,24,0,0,29,0,0,89,0,0,90,0,0,82,0,0,82,0,4,166,0,0,171,0,0,146,0,0,149,0,4,188,0,0,197,5,24,350,0,0,380,0,5,82,0,0,91,0,46,1256,0,4,1309
POA2007,0,5,15,0,0,19,0,0,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,3,0,3,7,0,0,11,0,4,22,0,0,26,0,7,28,0,0,28,0,5,56,0,0,67,0,3,56,0,0,60,0,0,65,0,0,69,0,11,40,0,0,53,0,0,18,0,0,18,5,36,319,0,0,363
POA2008,0,15,36,0,0,50,0,0,0,0,0,6,0,0,4,0,0,4,0,3,4,0,0,11,0,4,4,0,0,12,0,11,22,0,0,29,0,11,42,0,0,50,0,17,94,0,0,113,4,21,57,0,0,80,0,39,64,0,0,102,9,73,63,3,0,148,0,13,28,0,0,42,12,211,422,0,0,647
POA2009,0,4,70,0,0,75,0,0,3,0,0,3,0,0,7,0,0,7,0,0,10,0,0,8,0,0,26,0,0,26,0,3,54,0,0,58,0,0,64,0,0,62,0,5,123,0,0,130,0,5,116,0,0,119,0,20,171,0,0,191,0,17,237,0,0,256,0,6,55,0,0,69,0,69,936,0,0,1012
POA2010,0,48,79,0,0,134,0,12,8,0,0,20,0,0,25,0,0,27,0,11,37,0,0,47,0,19,37,0,0,49,3,33,117,0,0,153,5,50,139,0,0,186,3,64,260,0,3,327,3,54,200,0,0,261,0,142,289,0,0,434,22,342,351,3,0,720,0,43,105,0,0,147,39,809,1638,5,8,2507
POA2011,0,11,91,0,0,110,0,4,18,0,0,19,0,0,13,0,0,16,0,0,33,0,0,33,0,6,32,0,0,39,0,8,117,0,0,122,0,4,113,0,0,123,0,18,232,0,0,254,0,14,161,0,0,176,0,13,240,0,3,253,3,53,302,0,3,356,0,12,94,0,0,101,10,147,1439,5,8,1602
POA2015,3,29,33,0,0,60,0,0,11,0,0,13,0,3,3,0,0,7,5,9,10,0,0,24,0,9,13,0,0,17,11,22,71,0,0,106,4,24,100,0,0,136,7,58,207,3,0,271,8,54,238,0,0,301,20,100,219,0,4,338,56,214,136,7,0,406,6,39,41,0,0,82,119,555,1070,15,6,1761
POA2016,0,27,35,3,0,68,0,10,4,0,0,19,0,9,4,0,0,15,0,5,11,0,0,14,0,11,22,0,0,29,0,15,40,0,0,57,0,16,54,0,0,72,0,50,116,0,0,164,0,46,103,0,0,155,3,80,142,0,0,228,13,201,101,0,0,315,0,22,44,4,0,67,25,499,678,6,0,1206
POA2017,0,10,100,0,0,116,0,0,15,0,0,15,0,0,9,0,0,13,0,0,24,0,0,26,0,4,20,0,0,27,0,11,144,0,0,161,0,22,155,0,0,179,0,36,477,0,0,510,0,26,474,0,0,503,0,47,526,0,0,573,7,71,313,0,0,394,4,12,122,0,0,139,12,246,2394,0,0,2654
POA2018,30,8,58,0,0,98,9,0,15,0,0,26,4,0,8,0,0,14,15,5,16,0,0,30,14,0,24,0,0,43,28,3,113,0,0,143,38,5,109,0,0,152,63,10,323,0,0,401,47,7,244,0,0,299,114,30,220,0,0,366,185,32,117,0,0,336,51,7,68,0,0,127,606,110,1321,0,5,2042
