POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2000,1734,1009,435,105,23445
POA2007,281,160,53,24,5273
POA2008,385,217,53,13,7512
POA2009,982,779,295,60,8953
POA2010,2106,1218,609,215,20428
POA2011,1735,1204,572,294,16630
POA2015,644,316,86,19,8070
POA2016,969,596,283,81,8997
POA2017,1180,789,350,132,21049
POA2018,1099,642,314,89,11837
POA2019,888,488,202,81,7287
POA2020,980,445,193,48,14768
POA2021,1261,895,536,163,10153
POA2022,993,731,451,149,9027
POA2023,1038,837,377,108,6567
POA2024,982,611,349,290,7204
POA2025,622,601,434,197,4732
POA2026,1952,1263,654,240,22067
POA2027,765,746,527,193,5252
POA2028,384,401,258,76,3149
POA2029,842,705,486,235,6177
POA2030,1493,1046,521,255,8330
POA2031,2572,1725,989,640,22313
POA2032,1007,661,333,128,8593
POA2033,759,487,304,141,7293
POA2034,1587,1012,442,155,13121
POA2035,2866,1818,967,400,19944
POA2036,2679,1733,916,307,18613
POA2037,1374,1032,425,95,11211
POA2038,872,609,221,64,6240
POA2039,745,594,202,26,5472
POA2040,1818,1105,428,181,13661
POA2041,1715,1322,615,147,10113
POA2042,1390,687,184,49,12738
POA2043,611,253,73,15,7065
POA2044,499,271,85,23,4962
POA2045,735,473,152,61,3517
POA2046,2505,1698,730,345,15548
POA2047,1171,857,446,222,7519
POA2048,610,335,160,47,5015
POA2049,909,560,214,93,7986
POA2050,688,461,225,134,7053
POA2060,1359,1083,686,189,11162
POA2061,697,578,352,80,4644
POA2062,607,467,252,48,4483
POA2063,710,500,286,176,3747
POA2064,674,479,212,80,5850
POA2065,2683,2077,1085,440,23322
POA2066,2812,1970,1042,410,21108
POA2067,2000,1488,744,338,16972
POA2068,1723,1086,512,242,9871
POA2069,1512,1074,608,266,8699
POA2070,1450,1011,624,235,8646
POA2071,1464,959,596,302,8170
POA2072,866,578,314,100,5597
