POA_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
POA2000,4,337,1955,1460,791,514,155,24,0,5236,57,397,1200,533,209,164,112,42,0,2724,22,159,372,159,71,50,14,5,0,855,0,25,86,51,9,13,4,0,0,187,85,916,3607,2210,1080,738,290,70,3,9004,5,42,140,89,46,29,4,0,0,357,17,72,135,34,12,8,0,0,0,287,16,110,278,122,58,43,9,0,0,637,100,1025,3888,2333,1140,779,302,76,3,9642,201,541,1105,482,228,267,386,219,81,3496,37,205,664,428,251,190,75,26,3,1873,334,1770,5658,3248,1614,1234,758,314,87,15016,0,269,1552,808,439,227,64,3,0,3351,64,419,1262,544,178,155,87,23,5,2745,25,164,441,213,85,47,11,0,0,976,0,41,81,34,3,0,4,0,0,171,90,895,3341,1598,699,429,165,22,6,7246,0,34,100,64,34,23,5,0,0,252,18,86,166,50,17,12,0,0,0,350,13,117,262,115,51,36,8,0,0,600
POA2007,3,104,458,317,161,81,20,0,0,1136,18,137,292,134,55,19,18,4,0,684,13,44,79,41,17,9,3,0,0,208,0,5,19,8,4,5,0,0,0,42,39,284,854,497,241,111,38,6,0,2071,4,19,55,28,14,4,4,0,0,133,10,42,50,10,0,3,0,0,0,125,15,65,107,35,18,7,0,0,0,252,51,351,955,539,256,121,38,4,0,2322,41,217,292,94,48,56,102,47,15,912,11,42,78,51,15,18,12,5,4,249,109,609,1325,690,326,196,147,58,23,3485,4,78,410,204,102,39,3,0,0,849,28,155,285,146,53,32,10,0,0,708,14,63,88,48,10,17,4,0,0,237,0,14,20,12,6,0,0,0,0,42,51,304,807,404,168,89,17,0,0,1840,0,9,32,18,6,4,0,0,0,73,8,40,40,12,8,3,0,0,0,111,8,46,75,29,15,12,0,0,0,179
POA2008,5,181,932,422,207,112,27,0,0,1882,25,236,302,117,47,49,19,0,0,783,13,90,106,37,23,9,8,0,0,282,0,11,19,12,0,0,0,0,0,41,41,515,1359,582,277,170,49,3,0,2986,4,29,50,29,15,12,3,0,0,144,16,76,35,4,8,0,0,0,0,143,25,103,87,40,19,16,3,0,0,290,64,613,1441,617,296,184,54,3,0,3274,132,475,352,83,62,68,102,40,7,1330,15,104,155,66,26,14,19,0,3,399,209,1197,1944,772,388,267,174,43,12,5005,0,192,787,257,133,74,10,0,0,1455,48,298,347,129,43,32,15,0,0,911,26,128,96,35,8,12,0,0,0,303,0,9,23,0,0,4,3,0,0,41,73,625,1246,423,190,125,32,0,0,2710,0,23,54,19,8,0,0,0,0,104,20,101,44,4,5,7,0,0,0,174,19,128,98,20,8,8,0,0,0,284
POA2009,3,107,801,855,432,270,75,8,0,2558,21,79,283,163,90,99,93,17,0,851,13,35,112,59,34,37,9,4,0,306,0,4,24,18,8,0,0,0,0,52,38,222,1220,1091,566,407,179,30,0,3760,3,12,39,27,18,25,4,0,0,130,5,17,31,8,9,6,0,0,0,77,9,25,70,40,22,27,7,0,0,203,44,254,1293,1130,596,436,188,30,0,3966,94,67,191,105,91,168,276,180,44,1215,8,32,130,99,57,48,49,10,6,435,147,355,1607,1330,737,645,511,223,50,5610,0,92,678,644,312,181,35,5,0,1946,22,78,305,223,138,143,67,6,0,994,18,42,120,87,33,24,14,3,0,342,0,3,20,11,5,5,3,0,0,43,45,212,1127,959,490,360,117,12,0,3327,0,4,36,30,20,19,0,0,0,111,3,10,39,13,12,13,3,0,0,86,3,14,72,50,30,27,6,0,0,207
POA2010,13,361,2803,1993,1212,645,119,12,4,7162,24,192,630,383,272,252,126,25,0,1897,17,89,215,158,99,72,19,6,0,669,3,10,52,25,12,5,5,0,0,117,57,662,3700,2549,1587,972,274,44,0,9845,0,24,107,86,85,65,6,0,0,370,7,16,56,23,26,19,14,0,0,154,6,37,161,105,105,78,21,3,0,524,67,699,3854,2662,1696,1053,289,49,0,10372,92,148,353,302,342,508,585,349,118,2802,13,87,383,272,231,210,135,128,44,1503,167,933,4594,3231,2273,1773,1020,525,165,14677,4,325,2193,1057,574,319,51,3,0,4525,43,266,554,340,197,184,101,24,0,1695,30,101,189,115,62,32,21,0,3,559,3,14,34,25,9,6,0,0,0,91,83,701,2975,1539,833,542,170,27,3,6871,0,21,61,42,33,19,0,0,0,178,8,26,47,18,15,8,12,4,0,129,8,41,109,60,51,26,10,4,0,309
POA2011,30,436,1937,1401,864,517,148,20,0,5352,8,99,341,231,147,165,127,40,5,1178,5,24,130,82,68,48,14,0,0,377,4,12,38,12,7,3,0,0,0,87,46,573,2444,1730,1092,738,293,65,9,6989,0,7,68,62,61,47,9,0,0,251,4,10,27,17,12,13,12,0,0,94,4,13,94,76,72,58,18,0,0,346,55,585,2535,1804,1169,795,314,65,9,7328,48,49,195,160,182,302,441,302,93,1783,57,567,867,428,310,113,61,65,51,2520,156,1200,3597,2389,1660,1214,822,437,152,11638,14,235,1465,841,525,315,91,7,0,3489,22,101,352,228,163,177,118,20,4,1181,8,41,131,60,40,43,24,3,0,351,0,7,29,8,0,8,4,0,0,51,41,382,1975,1136,726,536,241,30,4,5069,0,9,42,30,32,15,3,0,0,141,0,20,28,15,11,22,9,3,0,108,0,27,71,46,51,39,11,3,0,247
POA2015,6,140,1254,911,513,232,45,8,0,3097,18,73,231,154,113,77,28,0,0,694,7,23,83,50,32,19,7,0,0,220,0,7,21,9,3,3,0,0,0,43,36,238,1589,1122,660,330,77,5,0,4056,0,9,29,20,26,12,10,0,0,105,4,11,12,10,4,0,5,0,0,43,4,25,37,28,36,9,11,0,0,145,43,258,1626,1145,696,343,90,5,0,4207,74,45,107,65,65,100,137,69,12,679,3,16,98,62,23,13,14,4,5,240,118,324,1827,1280,790,459,236,81,17,5131,3,155,1084,655,376,152,27,0,0,2450,37,86,284,237,112,102,38,4,0,903,25,34,104,70,41,23,10,0,0,305,0,5,15,10,3,0,0,0,0,40,57,282,1491,976,535,275,74,5,0,3693,0,4,26,18,19,6,0,0,0,69,4,7,12,8,8,0,4,0,0,43,4,14,36,26,21,14,4,0,0,118
POA2016,7,131,1044,781,501,264,42,3,0,2778,19,136,293,148,114,130,38,10,0,889,14,62,115,47,42,24,13,0,0,310,3,8,23,9,11,3,0,0,0,51,38,331,1474,974,672,423,99,18,0,4027,0,10,56,28,44,33,8,0,0,177,6,15,35,19,21,14,7,0,0,112,6,26,89,45,61,49,11,0,0,293,42,361,1561,1026,728,472,110,18,0,4321,73,108,174,124,191,286,349,207,68,1577,11,39,147,104,113,69,63,39,12,597,130,509,1883,1253,1033,831,512,260,88,6498,5,141,904,494,253,147,39,3,0,1992,32,145,302,201,113,94,30,4,4,919,9,71,91,73,22,18,9,0,0,297,3,4,25,4,0,0,0,0,0,35,49,359,1319,773,387,266,87,11,0,3248,0,12,34,11,21,8,0,0,0,90,3,15,16,8,14,11,0,0,0,78,5,23,56,19,33,24,0,0,0,162
POA2017,9,420,3167,1916,693,282,57,5,0,6551,39,204,814,376,169,127,55,8,0,1789,12,96,347,134,57,45,14,0,0,703,0,27,83,30,5,3,0,0,0,158,61,749,4409,2453,933,457,125,9,0,9207,3,56,154,81,54,31,4,0,0,383,16,74,58,17,15,21,6,0,0,204,19,138,208,98,66,51,15,0,0,589,80,883,4620,2555,1000,510,142,9,0,9792,179,703,712,285,228,329,455,258,84,3228,36,102,368,204,120,132,83,71,16,1129,293,1691,5701,3036,1352,967,676,338,104,14154,0,396,2790,1070,347,192,33,0,0,4828,60,306,864,377,158,98,42,9,0,1912,15,135,380,154,46,37,12,0,0,788,0,14,64,13,3,10,0,0,0,98,83,846,4091,1610,560,333,92,10,0,7623,0,38,137,46,22,15,5,0,0,261,19,91,83,25,18,13,7,0,0,254,20,127,222,68,46,29,12,0,0,518
POA2018,20,175,1329,1039,623,320,75,0,0,3581,86,188,409,220,176,134,53,13,0,1281,30,77,136,66,53,50,30,4,0,452,3,16,50,21,10,7,0,0,0,113,134,462,1924,1347,861,512,160,20,0,5426,5,20,45,41,29,22,6,0,0,180,18,30,28,5,9,3,0,0,0,91,16,53,78,46,37,25,11,0,0,271,151,510,2002,1398,900,541,172,20,0,5694,225,270,305,147,201,260,429,377,127,2340,26,51,162,93,66,44,24,30,11,506,410,827,2466,1641,1161,836,627,428,134,8537,11,212,1191,732,450,265,53,3,0,2917,93,179,436,317,267,155,48,13,0,1514,35,77,147,117,44,39,11,0,0,479,0,9,29,10,8,3,4,0,0,66,141,484,1810,1182,763,464,118,15,4,4973,0,16,51,18,14,13,0,0,0,116,18,24,40,19,10,11,4,0,0,133,18,36,97,43,27,23,6,0,0,249
