POA_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
POA2000,0,0,8,5,3,5,0,0,0,29,0,0,6,7,12,7,8,0,0,40,6,17,73,56,51,35,17,0,0,251,0,0,18,12,8,7,6,0,0,48,8,26,162,103,62,48,17,0,0,432,0,4,70,52,40,23,7,0,0,202,19,117,266,118,55,27,8,6,0,614,30,277,775,281,78,45,16,3,0,1517,0,53,181,104,47,32,8,0,0,429,4,10,85,85,46,39,5,0,0,265,0,102,476,319,144,91,20,7,3,1160,0,8,61,53,29,30,21,0,0,216,3,114,590,380,158,126,70,18,0,1460,0,30,155,105,56,26,5,0,0,373,0,15,114,114,75,42,12,0,0,367,3,26,109,77,50,24,12,6,0,313,5,10,114,102,64,64,35,14,0,414,4,27,71,56,33,15,14,0,0,218,0,10,46,44,23,19,4,5,0,150,9,56,231,126,45,35,10,6,0,514
POA2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,23,26,9,7,0,0,0,77,0,0,6,5,5,0,0,0,0,15,0,12,48,23,15,5,4,0,0,96,0,3,9,17,7,0,3,0,0,43,8,45,70,23,12,0,7,0,0,161,11,60,130,43,23,4,0,0,0,280,0,30,56,34,18,11,4,0,0,149,0,6,31,19,18,11,0,0,0,77,0,16,70,45,21,3,0,0,0,168,0,4,8,5,3,3,3,0,0,28,0,39,150,85,31,14,0,0,0,334,0,9,41,37,6,7,4,0,0,96,0,12,25,24,17,7,0,0,0,84,7,17,59,29,28,6,3,0,0,149,0,11,35,26,13,13,6,0,0,92,0,8,12,16,4,4,0,0,0,53,0,8,10,15,6,5,0,0,0,39,3,14,63,20,11,3,0,0,0,121
POA2008,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,35,19,7,4,0,0,0,88,0,6,11,0,0,0,0,0,0,15,9,18,90,28,16,11,3,0,0,169,0,11,24,17,4,4,0,0,0,59,3,71,107,30,14,12,3,0,0,239,11,96,126,50,19,8,0,0,0,312,0,7,54,20,16,3,0,0,0,104,0,5,61,34,15,8,0,0,0,127,0,39,135,57,30,12,0,0,0,273,0,3,21,13,5,6,3,0,0,57,0,72,304,117,40,30,10,4,0,572,0,17,35,20,7,5,5,0,0,77,0,13,51,27,16,21,7,0,0,130,8,54,120,56,33,17,11,0,0,298,0,22,83,37,21,16,10,0,0,180,0,15,36,11,4,5,0,0,0,78,0,9,15,6,4,13,3,0,0,46,0,39,60,46,10,11,0,0,0,157
POA2009,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,25,33,13,23,4,0,0,104,0,0,6,10,4,8,0,0,0,21,0,11,94,70,23,30,14,3,0,237,0,3,24,29,16,19,11,0,0,95,9,17,69,53,24,18,5,0,0,200,6,40,124,74,27,18,0,0,0,304,0,11,56,33,26,25,9,0,0,172,4,10,45,41,32,15,0,5,0,141,0,24,166,209,89,39,18,0,0,547,0,4,28,33,25,7,6,0,0,109,0,39,270,257,118,78,41,11,0,814,0,9,36,36,18,7,7,0,0,111,0,12,40,44,32,37,13,0,0,178,3,7,40,37,29,29,13,0,0,157,0,0,49,40,26,19,19,8,0,157,0,9,52,40,36,14,3,0,0,149,0,5,20,15,16,9,5,0,0,78,3,21,70,45,22,14,0,0,0,168
POA2010,0,0,3,4,4,3,4,0,0,16,0,0,0,3,0,0,6,0,0,13,0,16,78,64,43,24,6,0,0,230,0,10,13,19,5,3,0,0,0,49,7,33,177,89,56,33,11,0,0,409,0,11,73,67,39,23,4,0,0,225,14,76,247,136,92,50,15,0,0,638,15,84,266,174,82,64,8,0,0,691,0,12,101,80,75,43,8,0,0,316,5,27,167,141,85,52,10,0,0,483,0,90,470,344,220,83,16,3,0,1229,0,11,70,61,34,24,10,4,0,212,0,123,944,548,338,169,52,8,0,2186,4,17,145,111,58,42,11,4,0,390,4,27,177,132,132,64,19,3,0,556,3,29,134,122,93,85,24,3,0,488,0,21,247,197,113,113,35,9,0,737,0,23,104,75,46,35,16,0,0,291,5,13,80,68,45,33,14,0,0,251,0,38,199,120,50,33,7,0,0,451
POA2011,0,0,0,0,0,0,3,3,0,12,0,0,5,0,0,0,0,0,0,10,0,3,40,42,29,19,5,4,0,145,0,0,9,14,6,4,0,0,0,37,3,14,119,71,37,35,11,0,0,292,0,0,31,45,20,20,8,3,0,130,3,24,105,71,58,39,19,7,0,323,9,26,165,110,47,30,11,3,0,399,0,12,74,51,52,39,10,4,0,241,0,4,99,72,52,25,14,0,0,265,0,28,269,210,121,55,17,7,0,717,0,5,65,43,28,31,14,6,5,194,0,57,494,339,190,132,61,12,0,1286,0,11,73,54,40,29,13,7,0,227,33,326,522,261,175,84,15,0,0,1411,0,7,67,74,59,62,28,0,0,299,0,12,101,109,86,67,35,9,0,418,0,10,56,38,37,20,18,0,0,177,0,0,49,48,27,15,6,4,0,146,3,15,101,79,36,20,8,3,0,266
POA2015,0,0,6,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,7,0,6,66,27,28,11,6,0,0,144,0,0,10,8,7,0,0,0,0,28,0,12,137,52,35,25,4,0,0,274,0,10,31,36,25,14,3,0,0,113,7,30,88,71,34,17,3,0,0,246,11,16,90,51,31,13,6,0,0,212,0,7,60,43,49,35,7,0,0,197,0,10,85,71,35,12,0,0,0,220,0,25,179,155,80,27,0,0,0,467,0,3,25,36,19,5,0,0,0,87,0,42,336,228,93,48,14,0,0,756,0,3,36,35,15,11,5,0,0,108,0,25,104,79,62,41,0,0,0,309,0,16,93,70,45,27,5,0,0,264,0,14,87,55,38,28,9,0,0,232,3,5,45,31,14,8,0,0,0,114,0,0,34,26,24,5,6,0,0,99,0,13,74,45,21,14,9,0,0,173
POA2016,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,10,57,18,17,32,4,0,0,139,0,3,6,11,7,0,0,0,0,30,7,20,113,78,26,22,6,0,0,268,0,5,18,19,18,10,0,0,0,74,11,52,70,58,45,17,3,0,0,257,10,50,121,48,29,17,0,0,0,277,0,20,54,45,39,36,7,0,0,192,0,7,56,57,28,18,0,3,0,173,0,24,142,105,62,26,3,0,0,356,0,0,35,26,10,7,3,0,0,91,6,51,358,186,120,50,14,4,0,795,0,12,28,28,24,18,3,0,0,116,0,14,64,72,55,32,8,4,0,243,3,24,78,69,53,53,10,0,0,287,0,17,111,69,65,55,14,0,0,334,0,6,46,24,24,12,8,0,0,118,0,8,32,29,26,8,4,0,0,99,3,18,77,39,26,16,0,0,0,177
POA2017,0,0,4,0,0,3,0,0,0,12,0,0,8,8,0,0,0,0,0,15,0,12,114,75,37,17,7,0,0,267,0,0,33,15,9,3,0,0,0,64,4,59,603,186,44,28,10,0,0,930,0,17,104,66,36,20,0,0,0,250,11,79,300,123,69,20,7,4,0,614,26,72,293,150,59,30,0,0,0,624,8,43,177,139,54,44,9,0,0,478,10,10,183,144,54,24,3,0,0,428,0,70,502,297,101,23,0,0,0,1000,0,13,91,61,14,11,5,0,0,208,0,140,848,462,145,41,21,3,0,1664,3,27,161,76,39,31,3,0,0,336,3,54,180,114,57,30,9,0,0,446,3,45,189,150,48,38,4,0,0,475,0,20,174,147,75,41,14,0,0,474,0,23,84,47,25,18,3,0,0,201,0,7,104,63,23,15,3,0,0,221,3,56,251,117,42,16,9,0,0,494
POA2018,0,0,0,3,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,7,4,14,64,49,49,29,5,4,0,219,0,0,17,16,11,4,0,0,0,50,8,48,302,180,87,50,10,0,0,692,0,7,40,43,31,22,12,0,0,149,33,66,159,102,62,35,15,0,0,477,44,61,117,49,39,36,7,0,0,356,5,26,104,117,106,83,29,0,0,471,0,9,66,53,22,8,0,0,0,166,0,17,152,128,55,20,3,0,0,375,0,3,50,32,24,10,0,0,0,128,0,45,303,186,89,28,11,0,0,664,6,17,55,39,27,29,6,3,0,177,0,32,98,72,50,48,15,0,0,318,4,27,94,89,45,20,11,0,0,284,0,22,88,69,62,34,18,0,0,296,4,18,44,26,22,15,0,0,0,128,7,14,33,42,37,16,8,0,0,163,13,31,115,59,39,27,9,4,0,296
POA2019,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,11,32,66,41,39,4,0,0,199,0,0,10,11,9,8,0,0,0,40,21,53,207,153,100,60,12,0,0,606,0,6,23,44,41,16,4,0,0,134,18,36,46,48,45,29,7,0,0,225,37,17,29,27,27,19,4,0,0,161,7,27,62,93,124,92,14,0,0,415,0,4,29,30,22,5,0,0,0,99,0,0,37,62,54,14,3,0,0,168,0,5,20,26,18,9,4,0,0,77,5,13,73,102,62,32,13,0,0,305,0,6,21,37,26,15,8,0,0,112,3,19,90,70,62,50,12,0,0,314,6,7,46,60,45,20,12,5,0,196,3,7,45,48,39,32,6,0,0,176,0,7,24,18,7,11,3,0,0,68,3,12,29,40,27,20,6,0,0,133,3,13,44,36,47,24,3,0,0,167
POA2020,0,0,6,3,0,0,0,0,0,9,0,0,8,3,0,4,0,0,0,18,0,26,108,60,44,31,6,0,0,281,0,3,20,9,8,7,0,0,0,52,19,95,425,142,70,45,10,0,0,805,0,8,84,41,25,22,0,0,0,187,25,100,241,107,43,18,10,0,0,547,53,156,279,107,37,27,3,0,0,661,4,56,235,146,110,94,21,0,0,671,0,19,79,41,17,9,0,0,0,168,0,44,228,147,52,11,0,0,0,472,0,15,47,35,20,14,0,0,0,127,0,84,431,180,89,28,7,0,0,816,0,26,80,57,30,15,8,0,0,213,0,40,155,92,73,32,16,0,0,404,5,22,87,57,19,14,3,0,0,206,0,26,86,54,43,35,8,0,0,255,3,18,42,23,16,10,4,0,0,108,7,15,61,44,27,27,6,0,0,191,4,50,195,85,30,19,8,3,0,403
POA2021,0,0,4,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,4,3,0,29,27,14,16,5,0,0,99,0,3,4,17,9,3,0,0,0,32,10,20,98,69,46,29,8,3,0,286,0,7,26,22,17,16,7,0,0,103,11,26,65,50,29,23,11,0,0,221,27,34,58,41,33,14,10,0,0,212,0,5,25,19,33,29,12,0,0,125,0,18,62,49,36,30,6,0,0,203,0,35,257,214,146,72,24,0,0,753,0,4,44,34,28,19,12,3,0,147,5,55,310,208,192,136,76,11,0,975,0,5,36,32,24,24,3,0,0,119,0,3,34,37,44,25,13,0,0,164,10,16,53,50,39,34,15,0,0,204,3,12,62,62,57,45,32,7,0,284,3,12,39,30,16,27,3,0,0,129,4,6,22,22,14,12,5,0,0,81,0,10,52,42,33,19,9,4,0,163
POA2022,0,0,3,0,3,0,0,0,0,9,0,0,4,0,0,4,0,0,0,14,0,3,29,25,24,15,3,3,0,108,0,3,6,4,0,0,0,0,0,19,6,27,251,82,53,28,6,4,0,460,0,12,24,18,24,13,11,0,0,96,8,19,45,39,33,21,12,3,0,167,17,28,79,45,37,17,5,0,0,228,0,5,58,36,25,21,0,0,0,145,0,8,35,42,34,14,3,0,0,145,0,18,141,173,108,55,11,4,0,503,6,6,26,36,22,10,8,0,0,111,0,32,209,182,112,89,29,8,0,665,0,12,65,36,26,7,10,0,0,150,0,18,38,40,21,21,5,0,0,146,4,11,23,34,30,32,11,0,0,143,0,8,42,45,49,36,21,0,0,205,0,8,22,13,8,0,4,0,0,64,0,7,25,17,15,13,7,0,0,90,3,9,78,58,27,9,4,3,0,197
POA2023,0,0,3,3,4,4,3,0,0,21,0,0,4,3,4,6,0,0,0,13,0,3,18,24,14,19,6,3,0,93,0,0,7,6,0,0,0,0,0,17,3,24,64,38,35,31,9,0,0,205,0,0,15,18,15,19,17,3,0,90,6,11,27,24,27,18,19,6,0,135,22,18,20,18,21,11,9,4,0,123,0,3,13,14,8,16,7,0,0,66,3,4,23,20,26,8,8,0,0,91,0,15,72,93,117,73,26,15,0,413,0,5,33,22,33,26,15,7,0,132,3,25,99,119,96,86,58,19,0,500,0,4,23,14,11,12,4,0,0,70,0,0,21,17,9,15,10,5,0,76,17,19,32,40,21,16,9,0,0,154,4,10,35,29,51,60,63,20,0,274,0,7,8,12,8,3,3,6,0,58,0,0,9,8,0,7,8,0,0,40,0,5,34,32,35,26,22,4,0,159
POA2024,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,16,26,19,16,8,0,0,87,0,3,5,8,8,4,0,0,0,29,19,22,115,72,57,50,6,4,0,341,0,0,14,11,10,7,0,3,0,55,13,16,37,35,15,17,5,0,0,140,34,18,33,20,24,3,4,0,0,138,0,0,26,16,32,23,9,0,0,113,3,5,30,46,26,23,0,0,0,147,0,15,84,113,134,58,6,0,0,415,0,6,25,27,17,11,3,0,0,95,3,25,152,148,142,86,34,0,0,592,0,3,25,27,18,6,5,3,0,86,0,0,24,26,34,27,10,4,0,128,3,15,18,35,29,24,6,3,0,136,0,5,39,42,39,29,14,0,0,174,0,10,15,11,19,16,8,0,0,77,0,0,24,9,20,5,3,0,0,62,5,6,40,43,21,12,5,0,0,135
POA2025,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,3,0,13,0,3,11,13,5,11,5,0,0,40,0,0,0,5,7,0,0,0,0,13,3,10,37,24,21,9,7,0,0,108,0,0,8,9,6,3,4,0,0,34,7,17,17,23,11,17,5,0,0,92,8,13,14,13,12,4,0,4,0,68,0,0,9,10,9,0,0,0,0,35,0,0,20,24,18,12,4,0,0,75,6,24,80,77,62,41,22,3,3,305,0,4,10,13,11,17,6,7,0,69,0,14,93,91,69,58,37,20,4,384,4,0,17,8,11,7,0,0,0,48,0,3,14,6,12,11,9,0,0,60,8,11,14,13,12,10,10,0,0,84,0,3,16,16,36,25,28,8,0,133,6,9,14,8,4,9,5,0,0,50,0,0,9,6,3,4,3,0,0,33,5,10,18,14,21,10,6,0,0,85
POA2026,0,3,4,0,4,0,0,0,0,17,0,0,12,11,3,3,0,0,0,25,3,6,80,71,47,37,14,0,0,258,0,0,24,18,13,12,0,0,0,68,22,52,547,237,127,65,15,5,0,1078,0,3,66,60,57,31,13,0,0,234,33,42,160,119,70,46,28,3,0,497,45,48,192,122,72,27,11,4,0,512,0,23,150,76,43,44,16,0,0,357,0,16,123,114,91,41,8,4,0,403,0,36,446,378,228,66,16,4,0,1170,0,18,118,90,63,31,10,0,0,328,4,60,789,555,345,161,62,9,3,1986,0,15,153,90,51,35,11,0,0,362,0,13,84,65,70,54,22,0,0,297,12,29,112,90,65,56,30,4,0,391,0,16,134,110,92,85,27,10,0,471,12,14,58,69,42,22,3,5,0,216,0,11,78,52,40,18,10,5,0,216,11,31,259,157,74,37,11,5,3,586
