POA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
POA2000,85,916,3607,2210,1080,738,290,70,3,9004,0,0,4,0,0,0,0,0,0,16,0,0,3,4,0,0,0,0,0,10,0,21,96,31,24,14,9,0,0,191,0,0,9,5,4,0,0,0,0,15,4,8,61,34,17,17,4,0,0,137,0,16,57,42,24,15,3,0,0,154,20,101,310,93,45,25,3,6,0,606,38,295,744,258,62,24,11,0,0,1439,0,10,75,34,14,10,0,0,0,148,0,15,62,36,20,9,5,0,0,144,3,65,328,192,89,38,21,3,0,750,0,19,62,41,28,26,12,4,0,188,3,109,525,205,106,70,30,8,0,1056,0,35,191,116,29,21,7,0,0,399,0,8,64,57,33,38,7,0,0,207,8,42,169,90,52,32,13,0,0,403,4,51,264,168,76,48,29,8,0,644,5,20,66,41,19,12,4,0,0,168,7,17,58,38,19,11,0,0,0,150
POA2007,39,284,854,497,241,111,38,6,0,2071,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,9,0,3,0,0,0,28,0,6,4,0,0,0,0,0,0,11,0,3,14,6,3,3,0,0,0,30,3,9,13,17,5,7,0,0,0,46,14,51,57,25,12,5,0,0,0,175,23,56,126,47,14,12,0,0,0,285,0,5,19,3,7,0,0,0,0,38,0,5,23,11,5,0,0,0,0,44,0,15,45,35,19,3,0,0,0,121,0,0,13,8,5,0,0,0,0,24,0,40,139,55,17,5,0,0,0,266,0,9,56,33,6,3,0,0,0,104,0,5,28,21,15,3,0,0,0,68,3,29,82,55,21,8,7,0,0,200,0,33,95,45,22,13,3,0,0,217,0,9,18,9,4,7,0,0,0,45,0,4,18,6,5,7,5,0,0,43
POA2008,41,515,1359,582,277,170,49,3,0,2986,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,13,28,15,0,0,4,0,0,74,0,0,8,3,0,0,0,0,0,9,0,9,20,3,3,3,0,0,0,43,0,0,17,10,0,3,0,0,0,38,15,105,99,25,9,5,0,0,0,265,26,102,114,33,10,4,3,0,0,295,0,3,21,12,4,0,0,0,0,43,0,15,41,13,4,4,0,0,0,76,0,29,75,41,23,3,0,0,0,168,0,5,21,7,4,3,0,0,0,33,0,114,266,77,29,19,3,0,0,513,5,10,27,24,3,7,0,0,0,73,0,16,65,19,18,16,3,0,0,134,12,65,137,60,28,19,4,0,0,321,10,71,169,45,28,20,3,0,0,344,0,14,38,11,5,3,0,0,0,77,3,20,25,7,5,3,0,0,0,66
POA2009,38,222,1220,1091,566,407,179,30,0,3760,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,22,23,10,14,4,0,0,71,0,0,6,7,0,3,0,0,0,13,0,5,22,25,13,7,3,0,0,77,0,3,17,25,12,9,3,0,0,77,13,22,92,44,36,19,14,0,0,237,15,50,118,63,20,10,4,0,0,274,0,6,26,29,13,17,0,0,0,87,0,9,37,36,16,9,3,0,0,102,0,19,118,172,79,37,6,0,0,425,0,4,26,31,18,9,3,0,0,94,0,40,237,176,68,46,13,0,0,584,0,4,51,39,21,12,7,0,0,128,3,8,30,48,31,15,4,0,0,135,0,12,71,61,36,39,19,3,0,237,0,10,107,95,61,60,22,3,0,370,6,10,52,31,15,19,4,0,0,138,0,7,38,23,19,14,5,0,0,99
POA2010,57,662,3700,2549,1587,972,274,44,0,9845,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,20,62,33,20,10,0,0,0,151,0,6,13,5,5,0,0,0,0,31,0,9,44,19,17,12,0,0,0,97,0,12,57,33,18,5,4,0,0,140,15,82,205,89,38,29,15,0,0,482,28,105,211,88,32,25,6,0,0,493,0,10,49,28,17,17,0,0,0,114,0,24,140,79,39,31,7,0,0,326,4,43,280,184,99,33,7,0,0,653,0,12,48,35,21,9,3,0,0,123,5,137,795,330,145,90,21,3,0,1527,3,11,144,72,34,19,4,0,0,292,0,23,123,81,65,42,14,0,0,354,8,47,158,123,79,68,32,4,0,518,3,74,350,174,117,104,32,6,0,871,3,19,71,43,26,21,7,0,0,193,5,18,75,33,33,11,3,0,0,184
POA2011,46,573,2444,1730,1092,738,293,65,9,6989,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,40,22,10,10,3,0,0,104,0,0,9,0,3,0,0,0,0,14,0,8,30,19,21,10,4,0,0,93,0,7,38,19,17,7,0,0,0,98,4,34,140,70,48,29,17,6,0,356,12,26,122,48,23,14,7,0,0,260,0,5,28,20,16,14,8,0,0,86,0,16,99,53,37,23,10,0,0,237,0,20,194,132,81,29,16,0,0,468,0,5,44,30,10,8,3,5,5,121,0,58,473,252,140,93,46,4,0,1066,0,8,58,43,22,17,6,0,0,160,14,105,199,98,70,41,15,0,0,537,3,12,80,86,65,73,28,8,0,354,0,32,208,113,95,94,46,8,0,600,0,4,57,33,25,20,16,4,0,167,0,14,52,39,16,17,9,0,0,135
POA2015,36,238,1589,1122,660,330,77,5,0,4056,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,8,27,23,16,10,0,0,0,78,0,0,11,3,3,0,0,0,0,10,0,3,34,11,6,5,5,0,0,66,0,5,34,26,19,3,0,0,0,90,26,34,117,67,42,18,6,0,0,309,16,34,55,36,11,11,4,0,0,171,0,0,27,26,16,10,7,0,0,93,0,13,83,36,23,7,0,0,0,165,0,22,140,123,52,11,4,0,0,349,0,4,33,23,15,8,0,0,0,77,0,43,317,171,70,41,8,0,0,650,0,10,48,35,19,18,3,0,0,129,3,20,94,65,60,22,8,0,0,265,0,18,116,97,61,43,16,0,0,350,7,44,227,128,79,60,11,0,0,542,0,9,35,20,8,11,4,5,0,89,0,7,37,26,10,7,0,0,0,94
POA2016,38,331,1474,974,672,423,99,18,0,4027,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,29,26,9,9,0,0,0,79,0,4,3,4,0,0,0,0,0,7,0,7,21,13,4,3,0,0,0,52,0,4,23,9,5,7,0,0,0,46,9,43,82,42,34,15,0,0,0,226,13,53,81,39,10,15,0,0,0,214,0,5,14,10,14,10,3,0,0,56,0,16,86,41,26,11,3,0,0,184,0,12,83,65,23,10,3,0,0,200,0,4,22,13,11,3,4,0,0,52,0,64,314,158,64,38,9,0,0,647,0,7,47,23,11,13,7,0,0,109,5,15,65,54,35,21,8,3,0,205,4,34,114,77,53,34,17,0,0,340,6,56,193,118,58,42,17,4,0,482,10,10,40,27,11,6,4,0,0,114,0,6,32,25,18,9,0,0,0,85
POA2017,61,749,4409,2453,933,457,125,9,0,9207,0,0,6,4,0,0,0,0,0,10,0,0,7,3,0,0,0,0,0,10,0,14,85,40,4,7,0,0,0,148,0,0,25,8,4,0,0,0,0,44,0,12,145,41,7,10,0,0,0,214,0,14,105,57,14,8,0,0,0,206,22,132,330,133,46,34,6,6,0,692,28,110,226,89,28,20,4,0,0,511,0,20,90,47,17,21,0,0,0,197,0,21,155,66,13,9,0,0,0,268,0,61,424,197,50,22,4,0,0,753,0,9,98,59,17,4,3,0,0,192,6,127,778,259,72,33,16,0,0,1280,0,28,203,55,30,13,6,0,0,329,0,48,145,91,32,16,3,0,0,348,6,67,310,109,56,40,11,0,0,601,5,86,557,179,106,68,32,5,0,1028,3,20,70,41,16,6,0,0,0,162,3,30,135,64,20,9,6,0,0,257
POA2018,134,462,1924,1347,861,512,160,20,0,5426,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,10,34,32,22,22,3,0,0,122,0,0,9,6,3,0,0,0,0,16,0,9,81,30,22,13,4,0,0,158,0,9,52,32,32,19,4,0,0,148,40,86,156,84,65,37,13,0,0,487,40,49,93,42,27,24,3,0,0,273,0,10,47,44,49,22,6,0,0,181,0,13,49,36,18,5,0,0,0,129,0,22,168,122,60,24,0,0,0,400,3,9,37,39,9,10,0,0,0,103,0,61,290,164,59,30,8,0,0,616,0,14,56,51,33,17,6,0,0,184,0,24,80,54,52,21,4,0,0,246,12,40,196,149,95,63,12,0,0,565,9,63,267,196,170,126,45,6,0,882,6,15,34,19,10,11,0,6,0,89,6,11,55,41,19,16,0,0,0,156
