RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
RA10,2993337,3075255,6068591,185530,175261,360788,386544,365489,752031,176338,165810,342146,204134,193005,397135,457426,467839,925257,437633,446574,884215,376611,392787,769402,330378,348848,679226,249210,276098,525305,139868,163645,303509,49669,79899,129569,6892,7429,14324,2933475,3017731,5951208,59858,57523,117388,64387,65794,130180,1502,1440,2938,1431,1497,2930,67314,68736,136053,1808453,1828185,3636639,1039695,1104408,2144100,1842186,1857134,3699320,983175,1054264,2037444,2446251,2522468,4968721,55908,52632,108543,363189,343995,707186,140781,138595,279377,91161,93834,184990,115540,165733,281273,1488190,1582170,3070358,135172,122888,258060,419129,423191,842317,113848,120452,234298,81866,94083,175947,28952,38236,67187
RA11,776276,803425,1579705,43521,41172,84697,100866,95735,196592,48061,44649,92708,40768,39004,79772,84809,87721,172530,84952,90143,175098,94455,100902,195356,105049,112349,217401,100540,103858,204391,56114,61330,117442,17147,26573,43720,1223,916,2138,749611,782482,1532089,26669,20947,47614,48735,48689,97424,901,808,1706,1096,1066,2159,50734,50557,101290,633375,654800,1288171,89184,95694,184872,677828,707556,1385388,42386,46030,88417,688758,719995,1408756,13097,12560,25666,92738,88134,180877,32181,32100,64284,9627,13041,22668,16896,33448,50340,251294,301739,553029,49634,48370,98010,190041,186445,376487,53735,51789,105522,30218,26064,56283,2602,2479,5081
RA12,195187,191441,386629,10518,9940,20461,25016,23496,48511,11035,10442,21477,9542,8666,18211,20809,20708,41518,20124,20521,40647,24004,24124,48124,29604,29080,58686,26760,24517,51275,13788,14036,27826,3988,5920,9906,567,347,905,186587,184904,371491,8597,6534,15136,16212,16489,32703,238,203,448,325,337,664,16777,17030,33807,157875,154980,312856,16405,17161,33566,166234,164384,330613,8854,9358,18211,168624,167052,335678,2899,2852,5754,22136,20816,42952,6830,7050,13879,1537,2139,3678,2769,6445,9221,52594,64562,117155,12118,12163,24283,49833,43767,93604,14802,12562,27366,10311,7451,17766,773,594,1370
RA13,14426,13175,27602,876,871,1744,1800,1670,3467,714,687,1401,748,665,1415,1873,1739,3609,1558,1481,3038,1806,1687,3489,2234,1915,4149,1756,1361,3118,832,798,1629,233,307,534,44,19,62,13526,12786,26314,902,387,1290,2047,2229,4277,9,13,20,14,24,42,2071,2263,4339,10821,9943,20760,979,921,1900,11284,10456,21742,598,550,1149,11334,10471,21802,192,210,404,1431,1362,2794,350,397,747,104,142,244,146,413,558,3337,4167,7507,887,764,1651,3370,2533,5901,1002,788,1788,803,431,1232,74,53,126
RA14,3864,3559,7425,238,192,424,474,429,901,190,175,361,215,220,426,456,523,977,403,403,803,483,462,949,642,530,1168,529,399,925,201,180,380,38,60,101,13,11,22,3624,3400,7023,237,162,402,1032,1107,2137,3,0,5,18,7,27,1053,1110,2167,2957,2710,5670,216,216,432,3092,2859,5957,130,107,236,3101,2865,5965,60,40,98,371,326,691,82,69,149,19,40,56,35,122,155,885,1054,1943,246,224,470,829,664,1496,307,277,585,261,158,419,28,15,43
RA15,31,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,16,0,18,10,0,8,4,0,3,0,0,0,0,0,0,0,3,3,0,0,5,30,4,32,0,0,0,0,0,0,0,0,0,0,0,4,27,4,32,3,0,3,31,4,34,3,0,3,34,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,6,0,8,14,0,14,8,0,3,0,0,0,0,0,0
RA20,2460983,2540719,5001708,152669,144409,297081,313147,296974,610122,143590,136424,280014,173398,164233,337638,401481,407905,809387,370669,377972,748639,310710,327008,637717,258222,275889,534111,189661,216049,405709,107870,130170,238037,39564,63685,103253,5416,5925,11346,2414149,2492684,4906837,46836,48037,94871,16498,16154,32655,633,540,1175,484,487,968,17617,17183,34802,1485368,1514687,3000060,861773,914614,1776388,1511096,1541506,3052607,823284,877068,1700345,1988223,2059303,4047523,45774,43111,88882,294880,279875,574753,118917,117699,236619,82151,84894,167045,99152,140998,240153,1257003,1367612,2624616,199547,188156,387694,224471,200807,425274,93884,90572,184452,80058,102106,182167,26165,34664,60825
RA21,592201,613996,1206195,33256,32072,65330,78578,73150,151727,36036,33756,69797,31223,29633,60855,66947,69353,136298,67576,72907,140482,74855,79990,154847,79586,85786,165366,73042,76094,149137,38993,42323,81308,12106,18935,31036,623,520,1142,576982,600042,1177020,15220,13957,29175,10730,10911,21638,372,349,721,279,262,547,11386,11520,22905,484614,502674,987293,67903,72016,139920,518038,540107,1058137,34371,37141,71513,527407,550583,1077994,9566,9179,18744,72550,67805,140348,25746,25847,51596,7946,10346,18291,11833,24080,35912,196398,249450,445847,77456,75887,153336,98850,82817,181670,41904,35607,77506,26075,24822,50900,2586,2357,4943
RA22,129978,131167,261142,6538,6473,13010,15573,14845,30417,7183,6702,13888,6442,5993,12433,14145,14418,28564,13451,14172,27623,15655,16603,32258,19810,19884,39694,18601,17471,36070,9605,10009,19610,2983,4595,7574,240,186,428,125164,126122,251286,4808,5042,9856,3560,3793,7357,107,83,186,84,102,188,3750,3980,7737,104029,105055,209086,14159,14960,29121,110483,112073,222561,8707,8881,17594,112775,114335,227112,1788,1824,3617,13966,13456,27418,4705,4743,9447,1077,1509,2590,1896,4480,6377,37372,47411,84785,18140,17355,35499,23129,19016,42146,10410,8421,18832,7115,6332,13445,795,722,1521
RA23,1731,1578,3304,56,66,120,201,173,371,69,52,124,54,28,84,131,121,254,175,175,352,174,172,344,338,321,663,316,242,556,153,156,310,57,70,128,0,0,7,1698,1521,3219,32,54,88,33,24,61,0,0,0,0,3,3,33,27,63,1468,1293,2764,100,138,238,1541,1395,2934,46,51,96,1561,1386,2944,24,16,34,182,152,329,47,42,87,3,8,11,15,49,65,410,558,971,287,208,486,331,251,583,155,96,253,143,98,238,5,4,14
