RA_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
RA10,36545,34458,71006,36709,35017,71723,37161,34846,72010,37115,34822,71932,37764,35893,73658,185296,175032,360330,38760,36798,75559,38531,36380,74912,38825,37016,75845,39430,37135,76565,39499,37194,76695,195049,184521,379578,38732,36425,75153,38896,36671,75563,38054,36038,74091,37858,36236,74096,37646,35312,72958,191187,180680,371864,36382,34278,70658,35533,33105,68641,34728,32507,67244,34486,32709,67198,34990,33003,67995,176124,165599,341729,38211,35494,73709,40681,38027,78706,40765,38307,79064,41300,39482,80780,42704,41223,83925,203655,192534,396182,43751,42342,86088,44864,43972,88833,45041,44943,89983,45615,45769,91385,45453,47021,92474,224722,224044,448766,46660,48533,95195,47048,48879,95928,46721,48543,95265,45515,48302,93817,45430,48372,93796,231376,242621,473995,46154,47936,94095,46505,47932,94441,46233,47756,93988,46448,47638,94089,45241,46039,91283,230583,237306,467890,44599,44658,89254,42278,42414,84693,40896,41679,82572,39352,40127,79483,38924,39617,78534,206051,208493,414540,38393,39402,77789,38261,39300,77560,38569,39960,78535,39199,40792,79987,40191,41919,82116,194613,201375,395991,39984,42467,82453,36868,38470,75336,36139,38158,74302,34413,36474,70891,33726,35043,68769,181134,190611,371749,34044,34719
RA11,8280,7888,16171,8597,8165,16760,8873,8168,17040,8701,8349,17052,9019,8579,17596,43470,41151,84620,9514,8956,18467,9534,8971,18503,9623,9172,18795,10055,9309,19361,10009,9729,19738,48731,46132,94866,10158,9656,19821,10249,9920,20170,10500,10034,20527,10497,9823,20316,10674,10125,20796,52078,49556,101633,10210,9525,19733,9957,9306,19259,9668,8971,18643,9488,8603,18090,8717,8215,16937,48035,44626,92661,8522,7946,16465,8292,7792,16082,7935,7761,15695,7844,7741,15588,8064,7665,15721,40655,38900,79554,7876,7974,15848,8278,8367,16642,8248,8383,16633,8423,8682,17109,8775,8771,17544,41598,42176,83769,8643,9205,17850,8703,9135,17840,8468,9048,17518,8484,8948,17435,8562,8991,17555,42865,45332,88199,8852,9141,17998,8513,9032,17542,8492,9170,17665,8783,9419,18195,8691,9076,17760,43337,45834,89168,8526,9164,17699,8290,8539,16828,8249,8736,16986,8129,8882,17011,8206,8862,17072,41406,44191,85594,8572,9000,17571,8849,9315,18164,9233,9703,18936,9403,10216,19622,10151,10938,21090,46206,49173,95382,10501,11138,21640,9486,10186,19670,9637,10313,19950,9123,9885,19011,9362,10103,19464,48108,51630,99736,9277,9854
RA12,1977,1880,3862,2156,2019,4174,2097,1917,4015,2114,1990,4099,2170,2134,4304,10514,9937,20455,2333,2206,4533,2310,2096,4414,2387,2276,4661,2532,2310,4840,2547,2399,4941,12106,11283,23389,2506,2352,4854,2575,2555,5134,2590,2380,4976,2609,2486,5094,2612,2430,5042,12895,12207,25100,2483,2393,4883,2361,2239,4599,2230,2132,4365,2054,1950,4001,1901,1713,3614,11028,10428,21457,1863,1624,3494,1843,1651,3500,1989,1716,3705,1879,1746,3624,1904,1882,3790,9489,8619,18111,1937,1870,3810,2043,2007,4052,2159,2029,4189,2110,2045,4151,2098,2117,4218,10356,10060,20411,2016,2153,4174,2168,2175,4339,2079,2079,4154,1968,2038,4008,1982,2067,4042,10213,10504,20711,2058,1999,4049,1978,2163,4138,1989,2036,4027,1976,2058,4038,1955,2006,3963,9961,10253,20213,2019,2129,4154,2029,2011,4040,1971,2028,3998,1988,2023,4008,2028,2024,4051,10031,10218,20250,2015,2057,4075,2156,2125,4275,2243,2391,4636,2364,2362,4732,2470,2508,4972,11250,11440,22688,2685,2623,5310,2452,2577,5032,2489,2549,5035,2494,2424,4920,2582,2476,5061,12707,12651,25359,2535,2638
RA13,155,157,314,218,189,405,174,173,353,169,173,346,152,176,330,876,871,1744,205,156,365,196,167,365,202,166,364,162,213,374,187,165,352,946,871,1814,183,179,363,191,180,374,174,157,333,133,137,268,166,147,311,855,802,1654,129,157,286,170,133,299,131,136,267,138,126,263,143,136,280,713,687,1403,131,128,264,155,129,277,135,150,283,143,113,257,181,142,323,738,658,1405,168,162,330,178,173,351,188,176,360,173,178,347,189,169,360,893,851,1749,214,197,420,176,185,349,171,157,328,204,163,369,196,171,365,954,876,1830,162,160,325,191,190,374,166,153,314,148,139,289,134,140,271,792,783,1574,153,150,300,164,109,272,145,126,268,140,153,300,166,156,325,763,698,1459,162,151,316,161,142,302,159,171,332,149,144,297,170,197,364,802,802,1606,201,184,381,199,183,377,199,166,365,196,175,367,206,170,380,998,881,1875,230,180
RA14,49,29,79,56,48,105,35,42,80,48,42,90,46,24,74,238,192,424,47,42,88,51,57,109,58,37,90,59,38,103,62,36,101,272,211,488,48,51,96,41,59,97,42,30,70,35,39,73,35,43,79,203,211,414,41,29,72,31,36,67,42,32,81,31,38,67,38,38,77,190,170,364,37,59,93,39,25,64,44,58,103,52,39,88,40,38,78,215,220,426,35,41,75,39,49,84,46,56,101,39,33,74,60,61,120,220,241,466,41,53,96,51,68,119,56,67,121,40,54,96,42,36,73,228,273,505,50,62,113,34,30,68,32,37,69,41,47,84,41,34,74,200,208,416,40,40,79,41,47,85,39,33,69,31,42,76,43,37,87,202,194,391,42,36,75,48,34,78,33,37,69,39,40,79,56,67,124,213,212,422,60,44,108,51,55,103,53,58,114,59,53,106,54,44,101,276,251,527,39,59
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,4,0,4,0,0,0,3,0,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,10,3,0
RA20,29566,28282,57845,30399,28628,59027,30236,28740,58980,30743,28929,59680,31576,29675,61247,152521,144257,296780,32403,30551,62952,31966,30492,62463,32222,30158,62378,32307,30746,63057,31482,30167,61651,160383,152111,312492,30686,28986,59676,30802,29796,60593,30407,28606,59016,30402,28830,59237,30269,28418,58689,152571,144638,297210,29107,27607,56711,28525,26742,55261,28263,26584,54840,28460,27042,55505,29037,28267,57307,143392,136235,279627,32199,30301,62498,33938,32491,66425,34132,32404,66535,35165,33366,68538,37546,35300,72855,172985,163865,336848,39287,36688,75978,40439,38241,78679,40139,38858,79001,39633,40016,79655,39205,40776,79982,198714,194584,393289,40262,42196,82455,40583,43112,83697,40129,42736,82864,40275,42623,82895,40587,41815,82410,201838,212485,414319,40289,42217,82503,40172,42017,82188,39656,40586,80248,39756,40612,80360,38670,39037,77703,198541,204460,403000,37348,37499,74847,35317,35522,70839,34030,34457,68483,32676,33101,65772,32010,32417,64429,171388,172984,344372,31764,32101,63861,31598,32810,64403,31380,33132,64519,31642,33165,64803,32413,34686,67101,158788,165897,324687,32693,35573,68262,30932,32702,63633,30418,32280,62694,29315,30663,59982,27787,29232,57018,151144,160446,311587,27527,28845
RA21,6392,6268,12662,6399,6143,12540,6585,6515,13103,7017,6500,13515,6845,6628,13471,33235,32054,65292,7518,7008,14521,7479,6990,14469,7527,7268,14797,7891,7244,15135,7907,7220,15124,38314,35730,74047,7758,7319,15083,7971,7494,15465,8091,7491,15584,8105,7393,15506,8291,7695,15983,40221,37397,77616,7831,7409,15236,7330,6876,14205,7284,6973,14260,6892,6493,13386,6674,5998,12674,36012,33753,69764,6371,5946,12321,6174,5859,12026,6297,5948,12246,6208,5788,11996,6133,6051,12181,31183,29593,60770,6364,6169,12531,6579,6603,13182,6709,6820,13524,6628,6848,13476,6760,6973,13731,33033,33408,66446,6884,7054,13941,6701,7288,13990,6792,6978,13772,6692,7183,13874,6682,7329,14007,33758,35836,69589,6925,7441,14365,6923,7442,14371,6779,7446,14222,6937,7364,14303,6473,7396,13862,34032,37093,71123,6765,7338,14104,6520,6950,13470,6646,6992,13632,6853,7124,13977,6662,7343,14001,33439,35742,69183,6822,7155,13977,7004,7511,14512,7292,7859,15153,7387,7856,15246,7858,8476,16337,36366,38857,75229,8155,8799,16957,7745,8129,15877,7765,8421,16189,7403,7874,15276,7337,7840,15181,38403,41065,79467,7345,8063
RA22,1218,1209,2426,1330,1231,2559,1314,1324,2639,1327,1287,2614,1350,1417,2772,6533,6469,13004,1501,1435,2940,1456,1361,2820,1501,1400,2898,1506,1366,2870,1561,1531,3091,7531,7094,14616,1538,1479,3018,1621,1489,3107,1602,1562,3163,1604,1516,3117,1673,1700,3371,8035,7750,15783,1596,1547,3141,1420,1346,2767,1460,1369,2828,1384,1318,2699,1321,1122,2439,7180,6699,13878,1285,1111,2400,1228,1186,2413,1263,1205,2465,1297,1223,2514,1336,1244,2580,6412,5964,12377,1339,1350,2690,1423,1424,2845,1423,1421,2846,1474,1452,2925,1402,1462,2873,7069,7107,14180,1468,1502,2966,1461,1496,2949,1379,1405,2780,1338,1493,2828,1337,1350,2694,6977,7240,14217,1381,1405,2782,1366,1506,2874,1368,1462,2826,1398,1393,2797,1292,1410,2702,6808,7176,13985,1297,1428,2723,1263,1430,2687,1259,1347,2608,1384,1383,2766,1402,1385,2784,6604,6971,13573,1380,1488,2871,1365,1459,2823,1418,1566,2990,1512,1598,3115,1567,1667,3239,7248,7784,15037,1718,1843,3560,1585,1744,3328,1725,1748,3470,1675,1748,3423,1679,1724,3401,8375,8805,17185,1728,1825
RA23,5,16,24,9,10,18,7,17,29,13,13,27,12,11,21,56,66,120,20,16,34,13,18,35,24,20,40,15,23,34,24,19,38,85,92,184,28,16,42,21,11,37,22,15,40,23,14,34,16,14,35,113,79,191,14,15,27,21,10,24,14,11,26,18,13,24,6,7,19,69,52,124,7,9,16,3,9,13,8,3,15,16,3,21,19,7,22,54,32,88,13,6,20,17,7,23,17,12,23,9,9,18,9,15,26,61,48,117,12,17,26,19,14,33,12,16,30,8,16,24,15,9,26,65,71,136,20,13,33,20,16,32,18,24,39,13,14,35,18,20,35,87,87,176,11,20,36,11,12,25,22,22,36,20,8,31,24,21,45,88,85,176,20,8,28,13,9,24,12,18,30,16,14,30,15,20,34,79,67,153,15,22,40,19,15,34,21,24,41,18,27,43,21,17,33,89,103,192,33,26
