RA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
RA10,95042,193115,145549,1042448,11618,1487766,1693,7855,4055,113549,1494,128642,520881,9203,16140,14738,3332,564300,29593,4823,2820,11105,323,48671,26851,9329,5771,18608,259,60813,363888,155148,111862,934053,12668,1577617,120004,3811,11634,2860,509,138808,22364,3330,2649,9922,168,38434,52000,14124,10292,79555,1039,157011,70806,13683,7279,39976,732,132471,13059,2748,1472,4567,108,21959,235654,4395,3438,2530,504,246525,92066,37939,26011,332130,2613,490762,114597,30256,14165,89530,1394,249939,66929,737,2190,664,279,70801,106853,24897,11120,29179,755,172797,29047,3818,2194,7201,249,42516,27517,8387,4616,24960,370,65853,21807,4968,3044,2779,252,32857,21228,8671,6161,4641,231,40928,29719,4819,3869,10868,239,49521,22831,2037,2244,4235,185,31539,25459,3788,1522,1097,317,32190,80511,37004,26793,259312,1976,405594,25628,2695,1800,3484,175,33778,25439,3990,2952,1350,118,33855,35373,2464,2171,4645,268,44918,16744,1158,885,812,56,19659,112422,2194,3823,2200,684,121325,12971,3913,2573,13639,108,33206,912184,68397,55405,76952,6147,1119080,48282,3517,2586,18116,281229,353725,2902251,398206,289467,2142983,321372,6054267
RA11,7513,50262,36975,541243,6986,642986,244,2878,1536,87891,1417,93967,9264,688,947,3240,119,14249,2537,672,326,1677,68,5278,9381,3287,2155,6899,143,21864,80233,47054,34034,488904,7720,657950,8267,347,1907,577,102,11204,3338,745,545,3800,50,8478,13245,4641,3309,45720,594,67505,2953,1057,419,3403,75,7910,1955,586,246,1010,31,3827,9950,663,460,644,54,11773,17115,10643,6997,159288,1675,195723,10441,4556,1655,20561,269,37481,1152,74,147,66,11,1450,1912,727,298,1848,29,4820,585,138,52,305,5,1082,3995,1406,792,5164,71,11429,2777,1128,690,1029,53,5674,3918,2399,1664,1721,73,9769,4058,1095,649,2865,74,8742,1755,362,317,959,43,3437,623,289,119,112,12,1155,20538,12234,8687,128155,1286,170897,1192,221,86,423,24,1936,3233,665,500,379,15,4804,2636,345,259,1365,33,4636,864,157,129,134,6,1282,2012,85,224,71,15,2407,3289,1127,695,4512,56,9687,56100,10751,8251,20305,910,96318,2741,621,528,11454,93926,109275,231433,93008,66232,1075574,111316,1577567
RA12,1454,8715,6795,138730,1943,157636,38,683,350,29115,553,30742,1620,90,130,790,22,2654,334,87,40,222,11,692,1764,628,435,1198,38,4061,13238,8333,6294,120567,2190,150623,2058,58,344,93,40,2590,454,109,102,784,14,1455,2475,850,694,12151,167,16327,362,139,58,474,5,1044,295,89,36,171,5,598,2232,63,54,124,15,2487,2564,1801,1278,36953,451,43043,4273,1505,508,7156,116,13555,154,0,26,14,0,197,166,58,32,282,12,553,87,18,5,29,4,146,477,189,117,678,11,1478,537,187,133,214,11,1086,682,371,314,276,17,1660,577,150,81,472,10,1291,255,68,46,164,10,544,501,66,48,20,24,652,3322,2099,1690,31410,341,38864,167,29,20,54,3,275,576,100,74,66,8,825,399,54,39,295,11,796,109,18,20,23,0,176,221,14,30,10,0,280,471,175,103,950,6,1713,9990,1597,1301,3911,211,17016,600,125,91,3385,34047,38246,42772,16674,12322,275014,38940,385720
RA13,52,415,408,9558,95,10521,0,69,48,3778,61,3955,105,0,11,40,0,159,32,0,4,15,0,54,63,22,21,60,0,161,534,337,328,7672,143,9018,133,0,22,9,4,170,28,3,0,60,0,89,146,43,37,668,16,903,22,5,0,25,5,57,18,5,7,7,0,29,145,6,3,6,0,159,163,115,78,2374,23,2758,83,32,4,212,4,335,26,0,0,0,0,29,9,3,0,13,0,32,8,0,0,5,0,11,7,3,0,19,0,38,46,6,6,11,3,72,55,20,32,15,6,123,30,3,5,22,4,64,8,3,0,0,0,8,21,0,0,0,0,23,144,87,68,2113,20,2430,39,9,0,0,4,49,38,3,0,0,0,43,22,7,0,12,5,44,4,0,0,0,0,4,20,0,0,0,0,26,18,7,6,56,0,86,677,89,63,201,15,1050,25,6,6,211,4497,4745,2248,757,664,19055,4812,27536
RA14,20,111,99,2034,26,2285,4,23,5,1854,65,1944,33,5,0,13,0,50,8,0,0,0,0,9,25,3,3,13,0,52,134,103,90,1768,46,2138,4,0,0,0,0,7,4,0,8,16,0,27,29,17,12,173,0,227,6,0,0,11,0,24,6,0,0,0,0,6,27,0,0,0,0,24,50,25,13,576,4,669,13,12,0,37,0,65,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,8,0,16,7,5,0,0,0,17,13,8,6,8,0,35,13,0,0,4,0,17,0,0,4,3,0,11,5,4,0,0,0,12,49,34,28,424,0,534,0,0,0,0,0,0,17,0,0,0,0,16,4,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,24,0,32,161,33,30,98,3,334,9,3,0,49,1154,1211,519,219,183,5205,1276,7405
RA15,0,0,4,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,26,0,32
RA20,77361,154297,117356,813603,9108,1171726,1240,2454,1385,28074,450,33605,383054,5809,11296,9661,2031,411846,28979,4481,2434,9462,307,45669,31728,11268,7058,24557,316,74927,288532,127593,94812,756769,10013,1277714,73731,1832,7229,1541,268,84607,16138,2524,1855,7911,144,28573,44525,13957,9797,74562,947,143798,100503,16448,8636,45324,1044,171962,12178,2501,1462,4702,146,20988,253417,4692,3347,2570,525,264541,68638,32303,22229,291318,2251,416738,150695,36849,17498,119917,1892,326847,18470,225,794,236,51,19772,30609,6971,3259,6511,243,47589,31916,4428,2477,8431,275,47527,33825,8355,4977,22742,404,70302,16456,2401,1788,1193,160,22002,18406,6301,4717,2619,155,32202,31252,5515,4225,12273,265,53530,18178,1658,1770,3023,147,24775,18986,1596,730,304,222,21835,68329,31394,23883,231495,1786,356890,21521,2275,1407,2613,225,28043,16519,2780,2234,1046,84,22663,19004,1622,1374,3292,130,25419,41309,2882,2010,2243,165,48597,110132,1930,3720,1804,533,118128,8928,2656,1914,9926,76,23508,766405,52086,43250,61082,5295,928107,41595,2611,2071,14411,206501,267190,2450361,324657,238146,1738256,238943,4990362
RA21,6541,38628,27552,403705,5994,482422,122,806,471,19773,362,21545,7996,417,684,2939,101,12136,2411,609,268,1337,43,4665,11147,4327,2713,10501,208,28893,58571,35866,26376,372530,6383,499731,6506,201,1345,291,86,8420,1778,437,351,2725,42,5335,10107,3906,2769,35492,542,52802,3294,887,379,2712,72,7344,1646,451,206,826,37,3165,9132,540,233,445,32,10380,12855,8792,5667,131758,1557,160631,13592,4903,1983,25335,424,46238,489,23,58,27,4,598,503,209,80,493,12,1295,887,186,86,546,17,1723,4083,1327,700,3823,75,10009,1763,520,437,475,29,3220,2830,1635,1146,969,45,6626,3513,925,508,2519,68,7543,1102,230,168,641,19,2164,681,148,65,50,0,950,15765,9622,6989,109513,1231,143112,1119,192,110,373,8,1800,1845,412,284,243,26,2804,1401,226,181,1059,26,2888,1209,270,169,229,9,1890,1597,72,182,65,15,1921,2254,726,476,3552,43,7053,41782,6947,5393,14612,678,69416,2318,613,410,10119,67735,81190,187714,71931,50573,812822,82007,1205051
RA22,1339,6283,4841,88689,1503,102652,44,260,107,6616,138,7166,2404,52,112,455,28,3052,403,89,30,276,12,807,1912,614,401,1421,34,4388,10600,6041,4530,81603,1624,104397,1695,25,264,60,32,2078,349,55,78,523,6,1012,1968,653,522,10814,148,14104,686,205,71,592,13,1561,294,77,26,129,6,534,1454,69,34,64,10,1624,1913,1254,885,24074,341,28473,3276,1036,393,5508,97,10315,117,4,13,7,0,146,63,18,8,79,0,167,64,19,8,35,0,129,411,120,66,352,7,966,349,95,58,106,7,616,565,254,209,164,16,1204,510,144,68,384,11,1118,185,33,23,73,0,312,216,35,20,13,3,288,2644,1611,1219,23239,298,29007,135,26,9,40,4,211,386,59,42,32,0,513,237,43,28,154,0,457,120,38,22,39,0,212,880,10,33,12,14,957,343,142,77,636,12,1209,9857,1263,890,2515,187,14716,639,101,103,2341,18595,21773,38151,12108,8860,179342,22251,260712
RA23,15,63,65,1240,14,1399,0,0,0,52,0,56,7,0,0,10,0,16,4,0,0,0,0,3,13,11,8,14,0,46,116,66,54,1110,20,1367,12,0,4,0,0,21,9,4,0,5,0,15,26,3,10,324,4,373,7,3,0,3,0,17,3,0,0,4,0,6,17,0,0,0,0,16,23,10,15,298,5,358,14,9,0,23,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,7,8,0,0,6,0,13,8,0,4,16,0,23,0,0,0,0,0,4,0,0,0,0,0,0,33,19,14,304,3,370,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,13,0,13,55,7,8,28,6,101,0,0,0,25,242,277,308,120,117,2477,284,3301
