RA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
RA10,0,0,7,97,911,2844,4376,3338,552,516,499,533,220,180,266,14344,0,0,17,171,819,4100,11187,5910,1258,1443,1317,1257,582,237,401,28697,39,133,675,1227,1304,1664,2763,1760,407,381,498,562,344,106,180,12055,417,1243,1486,3018,27318,38324,75439,42048,10279,11417,9908,11538,3937,693,5483,242526,86,1282,6097,1934,824,2349,814,221,41,31,41,24,16,9,464,14231,420,1225,3014,1950,2775,2605,3086,2284,510,587,489,425,194,80,563,20208,64,169,467,2129,9188,8877,7671,2749,601,519,704,770,343,64,784,35088,2913,3675,2314,1500,1722,1734,3151,1642,355,383,388,495,240,77,651,21230,388,5556,13837,3290,980,603,483,1177,168,133,105,90,47,23,1434,28301,100,346,997,4240,12347,12987,5801,3524,1073,1123,985,1136,1086,445,761,46934,249,261,1842,2943,6469,16511,55607,38900,12660,13916,16823,18317,6470,1704,2811,195467,82,242,339,1726,4209,7578,8941,4977,1426,1467,1673,2033,842,95,760,36388,10,15,285,1022,3452,3439,5747,7679
RA11,0,0,0,3,5,11,42,90,14,23,0,10,0,0,10,211,0,0,0,12,9,32,226,262,54,79,61,49,4,7,7,814,12,43,250,391,337,351,566,332,66,84,58,99,60,15,60,2721,41,97,62,104,319,415,1034,675,208,276,322,491,91,30,156,4332,22,168,514,185,53,87,21,8,0,0,0,0,4,0,33,1100,45,127,144,45,30,57,134,84,19,14,21,45,15,6,32,820,22,55,77,137,259,190,206,157,29,43,45,82,96,144,74,1625,873,1624,821,475,764,434,590,286,65,57,48,66,51,6,231,6382,24,263,412,108,27,25,30,31,3,3,5,3,4,0,41,974,16,26,91,137,191,120,133,96,27,32,30,13,24,7,34,984,88,80,277,260,288,389,2430,2452,712,791,864,961,364,91,226,10268,26,103,60,51,88,132,235,194,48,55,42,82,68,6,42,1236,3,0,15,29,104,60,115,170
RA12,0,0,0,0,4,0,7,40,0,0,8,19,0,0,5,73,0,0,0,3,0,3,15,27,12,5,0,6,0,0,3,84,3,5,29,61,44,46,75,47,0,11,14,13,12,4,4,376,6,16,14,12,57,56,153,86,30,46,49,77,18,0,56,668,3,21,69,17,6,4,0,0,0,0,0,0,0,0,7,137,0,18,11,3,3,5,13,11,0,0,3,0,0,0,3,80,0,3,12,23,63,65,87,77,13,27,29,49,43,32,34,560,118,313,174,107,116,77,99,44,4,9,11,18,0,7,32,1128,3,18,55,11,3,0,0,4,0,0,0,0,0,0,9,114,3,5,12,22,25,11,30,17,0,6,0,4,11,0,15,167,11,12,40,33,38,170,693,473,253,239,303,419,160,27,63,2930,4,13,9,9,15,12,33,35,11,10,13,36,12,0,8,229,0,0,0,3,7,9,9,12
RA13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,15,0,0,0,0,3,9,16,13,0,3,0,6,0,0,0,60,0,3,12,4,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,9,0,0,0,0,0,0,8,7,10,3,6,8,3,0,7,60,3,9,14,10,11,0,4,0,0,0,0,3,0,3,0,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,34,26,14,14,22,27,15,0,10,155,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,19,0,0,0,0,0,0,0,0
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,21,0,4,0,0,0,5,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,15,9,7,5,0,44,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,0,0,3,29,539,2458,7081,7546,1224,1379,985,1445,551,460,413,24117,0,3,12,96,252,927,3812,2321,488,551,512,484,245,56,94,9854,10,92,383,810,892,1115,1906,1467,317,317,384,434,191,77,129,8535,133,424,791,1080,11511,17190,52496,35748,9267,10071,9603,11550,3808,787,2840,167301,58,1198,6196,2114,857,2069,709,199,30,17,19,30,7,5,402,13930,228,1347,2220,1050,1450,1398,2351,1699,255,286,348,234,131,58,343,13396,16,54,131,543,2673,2347,2956,1306,256,271,270,327,133,50,173,11507,2770,4546,2278,1193,1585,1419,2347,1256,269,283,287,333,159,68,539,19327,399,7866,23437,5803,1656,724,580,2084,263,217,151,161,59,18,1623,45033,51,157,464,1557,5346,5387,4228,2725,739,780,846,899,727,260,413,24580,249,189,2398,3450,6171,12036,82340,49486,14306,16272,21686,24974,8099,1726,3628,247006,47,157,212,493,1328,3879,5580,2653,787,948,990,1275,734,85,310,19477,11,16,72,236,1416,1258,4145,9060
RA21,0,0,0,0,6,47,268,351,55,64,40,41,17,17,28,931,0,0,0,6,6,25,146,100,14,27,21,18,13,0,0,384,7,28,123,214,174,187,337,202,52,38,41,43,23,11,24,1503,19,24,47,27,136,211,1026,616,206,217,294,411,70,6,129,3436,13,196,538,172,46,91,13,10,0,0,0,0,0,0,41,1117,24,85,97,27,21,27,115,51,15,15,26,22,11,6,24,566,8,9,23,43,124,106,149,78,13,18,22,41,28,3,32,697,789,1553,627,351,383,223,355,168,37,48,21,37,28,10,182,4807,38,341,501,139,32,23,14,29,7,3,3,9,0,0,89,1233,4,7,26,49,78,80,100,86,20,15,19,20,22,10,30,576,61,42,173,189,187,268,2933,1991,527,557,802,900,360,70,282,9349,21,43,33,40,60,80,181,148,34,50,53,59,50,7,28,903,0,0,10,7,28,18,99,159
RA22,0,0,0,0,0,12,82,150,10,18,31,20,15,10,16,359,0,0,0,0,0,7,25,14,3,4,0,4,0,0,0,62,5,3,23,35,45,34,76,35,12,15,4,18,5,0,5,312,4,3,7,3,24,30,140,127,44,62,95,67,19,5,25,657,8,32,69,18,9,10,0,0,0,0,0,0,0,0,19,163,0,14,18,0,6,0,10,8,3,0,8,7,0,3,0,85,0,0,11,11,33,27,46,18,7,4,6,13,16,0,0,200,138,314,133,66,88,32,62,25,8,5,9,24,4,3,26,917,8,67,128,39,11,0,5,3,0,0,0,0,0,0,14,276,0,3,6,3,15,7,15,29,8,8,9,29,14,0,0,157,10,10,33,21,26,46,449,341,118,139,134,186,70,5,25,1620,5,3,5,5,9,16,51,41,9,13,17,44,11,0,10,242,0,0,0,0,7,6,10,28
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
