RA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
RA10,932,1050,857,1128,466,203,493,26781,13,16,677,1024,1099,10280,13973,10638,4556,3156,1829,4089,926,103,831,53221,70,381,1627,1770,3056,2406,5003,4557,651,859,1043,1263,506,110,422,23731,1243,11931,13839,3496,1298,1061,1847,3147,579,572,521,637,221,44,2035,42468,25,95,149,491,1581,2677,3571,1893,471,478,574,718,362,215,320,13630,9,3,58,2032,7574,9727,17323,7265,1528,1345,1411,1566,626,160,1202,51824,229,1405,8010,14473,11717,8495,8170,3598,746,848,773,863,447,214,2214,62216,59,268,1540,3742,7946,3839,6757,4135,1572,1844,1726,1604,567,142,832,36578,0,0,4,13,87,1325,12642,8778,3834,7587,12489,10282,2499,139,1077,60751,539,3680,1159,668,693,647,1136,718,206,183,217,240,103,44,337,10550,415,886,4435,10689,16025,19005,20401,10916,1895,1887,1979,2030,1004,912,3073,95537,30,369,5197,5012,2199,1725,1121,433,109,104,71,90,29,17,500,17010,3,19,97,423,1692,3214,6687,8758,2243,2380,2488,2378,1199,400,505,32489
RA11,33,26,28,31,16,6,41,658,0,6,35,17,18,56,92,99,140,222,472,753,124,4,49,2083,23,121,391,389,427,269,510,341,26,34,32,39,23,4,90,2710,164,1042,876,207,119,74,148,210,34,41,54,65,26,5,183,3249,12,34,21,46,74,150,349,159,32,34,47,70,23,10,51,1107,0,0,3,43,106,133,278,205,34,49,49,63,17,3,38,1014,13,43,203,214,129,110,90,48,17,10,3,4,3,0,84,969,17,58,245,307,262,112,240,206,122,136,123,163,63,12,97,2181,0,0,0,0,14,27,691,849,446,640,569,425,90,9,60,3825,255,2021,626,336,305,194,267,97,20,26,24,41,15,0,124,4346,154,360,1763,3873,4107,2720,2735,1271,190,152,182,201,121,94,958,18896,4,7,104,54,30,24,12,0,0,0,0,0,0,0,14,251,0,4,15,14,24,31,192,350,93,69,84,119,47,13,21,1085
RA12,0,0,3,4,0,0,17,66,0,0,5,0,6,10,11,6,3,4,0,4,0,0,0,46,0,20,59,58,51,37,77,68,6,0,9,18,10,0,13,416,158,585,375,58,19,21,16,29,10,6,11,20,10,4,116,1425,0,5,0,5,5,15,42,9,5,8,9,13,5,3,3,128,0,0,0,4,11,16,46,16,9,3,14,28,4,0,9,156,0,10,21,18,7,0,16,0,3,0,0,0,0,0,9,90,9,20,41,31,34,22,62,67,68,114,142,92,19,5,32,758,0,0,0,0,0,8,32,56,45,53,57,38,8,0,3,304,47,366,89,61,60,44,50,22,3,0,10,16,3,0,28,805,21,55,268,727,754,526,548,255,45,28,36,50,20,20,253,3584,0,0,11,10,3,0,3,0,0,0,0,0,0,0,3,39,0,3,0,0,0,12,47,79,14,25,35,29,11,4,20,284
RA13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,8,0,0,6,5,5,0,3,40,0,4,5,0,0,0,0,0,0,0,4,4,0,0,0,24,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,13,8,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,3,3,8,15,14,12,7,0,0,79,0,0,0,0,0,0,0,4,0,8,5,0,0,0,0,19,5,11,6,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,15,26,46,37,45,14,0,6,0,4,6,0,11,219,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,5,0,8,0,0,0,0,24
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,5,4,0,0,0,0,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,10,13,12,11,11,0,0,5,0,0,4,6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,1082,1072,985,1085,360,300,301,21398,0,6,57,171,356,4759,6535,4775,2575,1959,947,2119,582,58,370,25271,71,532,1320,1264,2048,975,2980,2791,423,461,594,798,297,69,268,14890,1806,20872,21495,3768,1292,927,1593,2588,489,426,422,408,136,34,2345,58607,20,67,82,243,614,1392,2694,1299,329,333,411,498,268,103,198,8570,4,3,15,185,803,1498,6343,3069,596,629,605,592,255,59,228,14890,29,233,1818,4483,3222,2296,2860,1389,295,304,295,295,141,91,617,18365,31,218,1338,3782,9652,5340,13761,9108,3187,3355,3233,2611,1033,184,904,57739,0,0,4,11,44,397,4469,3262,1200,2119,3042,3110,813,48,307,18826,428,5653,1314,724,793,495,947,479,131,137,155,142,56,25,311,11786,208,492,2180,6068,10281,12319,20870,15610,2613,2586,2769,2872,1135,1135,2192,83323,56,444,4548,5361,2987,2047,1475,661,133,125,130,100,34,27,471,18593,8,12,67,197,692,1527,6383,9717,2007,2442,2439,2368,1054,461,460,29827
RA21,33,20,19,19,16,0,18,444,0,0,3,0,3,209,227,122,33,47,27,30,0,3,25,727,31,134,334,287,334,154,409,284,23,16,30,45,22,6,74,2181,275,2072,1403,279,86,66,87,121,21,15,19,26,12,0,325,4795,4,11,10,28,44,94,190,88,9,25,20,32,15,3,26,599,0,0,0,0,48,36,134,86,29,9,29,38,10,0,14,441,4,8,49,61,40,26,34,12,17,4,0,0,3,0,25,284,9,32,144,212,264,130,397,371,243,288,222,186,53,20,119,2683,0,0,0,0,0,7,170,238,128,167,157,124,43,0,14,1056,191,3147,578,303,355,166,227,114,16,19,12,33,13,4,163,5337,64,159,795,2004,2485,2134,2688,1260,198,156,196,142,74,63,608,13028,10,41,119,91,40,31,20,10,0,4,0,4,0,0,21,390,0,3,6,4,5,23,214,332,75,71,85,63,36,12,22,951
RA22,0,0,0,4,0,0,0,61,0,0,3,0,0,13,20,15,0,0,0,4,8,0,0,63,3,22,42,39,36,13,40,32,0,10,6,13,8,0,6,271,89,538,297,47,18,10,16,29,4,3,5,5,7,0,79,1139,0,4,0,8,4,11,28,11,5,3,0,8,0,0,9,89,0,0,0,0,10,9,35,21,5,8,0,8,4,0,0,105,0,4,3,5,6,0,7,5,0,0,0,0,0,0,3,28,0,5,24,28,23,23,146,333,277,336,356,341,74,0,123,2084,0,0,0,0,0,0,41,65,48,50,31,17,10,0,0,261,29,543,116,54,57,25,37,12,6,4,4,7,0,0,39,937,15,25,146,399,487,451,455,244,28,32,25,33,28,20,115,2506,0,0,9,6,4,0,0,6,0,0,0,0,0,0,0,22,0,0,0,0,0,9,31,60,11,10,26,0,8,4,0,163
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,7,6,4,3,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
