RA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
RA10,225950,65999,70016,74981,82926,29699,7576,27143,1495749,1018,214,270,68,85,156,141,55,35,10660,12695,1088257,308096,292336,80768,84678,90678,99646,37927,10730,50993,2144100
RA11,11524,3324,3806,4581,5821,1963,730,1468,62954,186,15,24,3,3,10,13,12,4,1188,1449,112368,19480,18903,4638,5110,5878,7316,2931,1124,7137,184872
RA12,1998,709,801,1068,1507,547,196,438,13072,50,3,6,0,5,3,9,0,4,276,350,19302,3265,3218,969,1049,1306,1905,689,266,1593,33566
RA13,130,52,70,92,132,78,22,33,928,0,0,0,0,0,0,0,4,0,9,11,790,230,211,68,98,106,171,100,33,89,1900
RA14,30,12,4,22,11,5,4,3,156,0,0,0,0,0,0,0,0,0,0,6,216,56,58,12,6,28,18,13,9,19,432
RA15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA20,215480,56863,60206,66032,76034,27203,7286,22069,1248628,778,200,299,65,104,87,126,44,24,4099,5834,818855,294886,273191,68562,72530,78630,89774,32844,9750,37371,1776388
RA21,9311,2603,2715,3366,4004,1416,478,1335,51011,167,17,14,4,5,3,8,0,0,1063,1283,82768,17088,15101,3641,3579,4344,4983,1970,719,5723,139920
RA22,2344,804,986,1171,1462,482,187,562,13366,24,9,7,7,0,4,0,6,0,56,106,15358,3060,3288,982,1185,1373,1754,597,238,1290,29121
RA23,9,9,0,0,0,0,0,10,61,0,0,0,0,0,0,0,0,0,0,0,168,21,18,8,3,0,0,0,0,21,238
RA25,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,12,4,0,0,0,0,0,0,0,41
RA30,81167,20171,20949,24017,29950,11674,3101,7843,425174,446,150,152,26,28,34,71,27,12,2304,3245,428199,174055,137458,29812,29893,33598,40244,17127,5801,21534,917716
RA31,8581,2043,2548,3186,4740,1690,600,988,43706,101,23,19,7,3,13,13,6,11,676,867,75991,19646,15508,3106,3604,4199,6044,2399,917,4791,136200
RA32,7668,1703,1767,2439,3894,1640,631,1188,41395,94,18,14,3,0,9,19,11,9,338,513,56817,16680,13479,2703,2748,3467,5213,2330,927,3674,108043
RA33,592,138,169,216,446,194,86,107,3242,5,0,0,0,0,0,4,0,0,10,29,4339,1384,1322,235,276,330,611,291,112,375,9269
RA34,243,58,82,95,177,65,16,74,1488,9,0,0,4,0,0,0,0,0,6,21,2786,610,471,108,121,139,262,102,28,205,4844
RA35,0,6,8,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6,8,4,12,3,0,4,48
RA40,40429,11137,11718,13828,16929,6945,1244,3837,218442,247,42,36,15,9,12,25,23,0,531,927,182062,59796,51871,13156,13706,16164,19507,8437,1780,8156,374637
RA41,859,199,234,204,321,168,41,119,4668,43,0,0,3,0,0,0,0,0,100,147,17418,2357,1708,304,340,295,428,249,61,931,24084
RA42,1545,429,552,571,755,331,139,301,8121,28,0,0,0,0,0,0,0,7,186,230,13260,2102,2145,561,670,718,903,391,183,1123,22061
RA43,296,63,80,90,142,63,9,42,1411,3,0,0,0,0,0,5,0,0,16,31,2664,635,530,101,116,140,186,87,15,195,4661
RA44,103,32,29,30,45,4,0,18,573,5,0,0,0,0,0,0,0,0,0,10,981,176,197,49,42,48,70,13,11,65,1654
