RA_CODE_2021,DC0_4FSEOMSEO,DC0_4FSEOMUolsEVww,DC0_4FSEOMUolNwna,DC0_4FSEOMUol_pEns,DC0_4FSEOMUolsET,DC0_4FSEOM_LpEns,DC0_4FSEOMT,DC0_4FUolsEVwwMSEO,DC0_4FUolsEVwwMUolsEVww,DC0_4FUolsEVwwMUolNwna,DC0_4FUolsEVwwMUol_pEns,DC0_4FUolsEVwwMUolsET,DC0_4FUolsEVwwM_LpEns,DC0_4FUolsEVwwMT,DC0_4FUolNwnaMSEO,DC0_4FUolNwnaMUolsEVww,DC0_4FUolNwnaMUolNwna,DC0_4FUolNwnaMUol_pEns,DC0_4FUolNwnaMUolsET,DC0_4FUolNwnaM_LpEns,DC0_4FUolNwnaMT,DC0_4FUol_pEnsMSEO,DC0_4FUol_pEnsMUolsEVww,DC0_4FUol_pEnsMUolNwna,DC0_4FUol_pEnsMUol_pEns,DC0_4FUol_pEnsMUolsET,DC0_4FUol_pEnsM_LpEns,DC0_4FUol_pEnsMT,DC0_4FUolsETMSEO,DC0_4FUolsETMUolsEVww,DC0_4FUolsETMUolNwna,DC0_4FUolsETMUol_pEns,DC0_4FUolsETMUolsET,DC0_4FUolsETM_LpEns,DC0_4FUolsETMT,DC0_4F_LpEnsMSEO,DC0_4F_LpEnsMUolsEVww,DC0_4F_LpEnsMUolNwna,DC0_4F_LpEnsMUol_pEns,DC0_4F_LpEnsMUolsET,DC0_4F_LpEnsM_LpEns,DC0_4F_LpEnsMT,DC0_4FTMSEO,DC0_4FTMUolsEVww,DC0_4FTMUolNwna,DC0_4FTMUol_pEns,DC0_4FTMUolsET,DC0_4FTM_LpEns,DC0_4FTMT,DC5_9FSEOMSEO,DC5_9FSEOMUolsEVww,DC5_9FSEOMUolNwna,DC5_9FSEOMUol_pEns,DC5_9FSEOMUolsET,DC5_9FSEOM_LpEns,DC5_9FSEOMT,DC5_9FUolsEVwwMSEO,DC5_9FUolsEVwwMUolsEVww,DC5_9FUolsEVwwMUolNwna,DC5_9FUolsEVwwMUol_pEns,DC5_9FUolsEVwwMUolsET,DC5_9FUolsEVwwM_LpEns,DC5_9FUolsEVwwMT,DC5_9FUolNwnaMSEO,DC5_9FUolNwnaMUolsEVww,DC5_9FUolNwnaMUolNwna,DC5_9FUolNwnaMUol_pEns,DC5_9FUolNwnaMUolsET,DC5_9FUolNwnaM_LpEns,DC5_9FUolNwnaMT,DC5_9FUol_pEnsMSEO,DC5_9FUol_pEnsMUolsEVww,DC5_9FUol_pEnsMUolNwna,DC5_9FUol_pEnsMUol_pEns,DC5_9FUol_pEnsMUolsET,DC5_9FUol_pEnsM_LpEns,DC5_9FUol_pEnsMT,DC5_9FUolsETMSEO,DC5_9FUolsETMUolsEVww,DC5_9FUolsETMUolNwna,DC5_9FUolsETMUol_pEns,DC5_9FUolsETMUolsET,DC5_9FUolsETM_LpEns,DC5_9FUolsETMT,DC5_9F_LpEnsMSEO,DC5_9F_LpEnsMUolsEVww,DC5_9F_LpEnsMUolNwna,DC5_9F_LpEnsMUol_pEns,DC5_9F_LpEnsMUolsET,DC5_9F_LpEnsM_LpEns,DC5_9F_LpEnsMT,DC5_9FTMSEO,DC5_9FTMUolsEVww,DC5_9FTMUolNwna,DC5_9FTMUol_pEns,DC5_9FTMUolsET,DC5_9FTM_LpEns,DC5_9FTMT,DC10_12FSEOMSEO,DC10_12FSEOMUolsEVww,DC10_12FSEOMUolNwna,DC10_12FSEOMUol_pEns,DC10_12FSEOMUolsET,DC10_12FSEOM_LpEns,DC10_12FSEOMT,DC10_12FUolsEVwwMSEO,DC10_12FUolsEVwwMUolsEVww,DC10_12FUolsEVwwMUolNwna,DC10_12FUolsEVwwMUol_pEns,DC10_12FUolsEVwwMUolsET,DC10_12FUolsEVwwM_LpEns,DC10_12FUolsEVwwMT,DC10_12FUolNwnaMSEO,DC10_12FUolNwnaMUolsEVww,DC10_12FUolNwnaMUolNwna,DC10_12FUolNwnaMUol_pEns,DC10_12FUolNwnaMUolsET,DC10_12FUolNwnaM_LpEns,DC10_12FUolNwnaMT,DC10_12FUol_pEnsMSEO,DC10_12FUol_pEnsMUolsEVww,DC10_12FUol_pEnsMUolNwna,DC10_12FUol_pEnsMUol_pEns,DC10_12FUol_pEnsMUolsET,DC10_12FUol_pEnsM_LpEns,DC10_12FUol_pEnsMT,DC10_12FUolsETMSEO,DC10_12FUolsETMUolsEVww,DC10_12FUolsETMUolNwna,DC10_12FUolsETMUol_pEns,DC10_12FUolsETMUolsET,DC10_12FUolsETM_LpEns,DC10_12FUolsETMT,DC10_12F_LpEnsMSEO,DC10_12F_LpEnsMUolsEVww,DC10_12F_LpEnsMUolNwna,DC10_12F_LpEnsMUol_pEns,DC10_12F_LpEnsMUolsET,DC10_12F_LpEnsM_LpEns,DC10_12F_LpEnsMT,DC10_12FTMSEO,DC10_12FTMUolsEVww,DC10_12FTMUolNwna,DC10_12FTMUol_pEns,DC10_12FTMUolsET,DC10_12FTM_LpEns,DC10_12FTMT,DC13_14FSEOMSEO,DC13_14FSEOMUolsEVww,DC13_14FSEOMUolNwna,DC13_14FSEOMUol_pEns,DC13_14FSEOMUolsET,DC13_14FSEOM_LpEns,DC13_14FSEOMT,DC13_14FUolsEVwwMSEO,DC13_14FUolsEVwwMUolsEVww,DC13_14FUolsEVwwMUolNwna,DC13_14FUolsEVwwMUol_pEns,DC13_14FUolsEVwwMUolsET,DC13_14FUolsEVwwM_LpEns,DC13_14FUolsEVwwMT,DC13_14FUolNwnaMSEO,DC13_14FUolNwnaMUolsEVww,DC13_14FUolNwnaMUolNwna,DC13_14FUolNwnaMUol_pEns,DC13_14FUolNwnaMUolsET,DC13_14FUolNwnaM_LpEns,DC13_14FUolNwnaMT,DC13_14FUol_pEnsMSEO,DC13_14FUol_pEnsMUolsEVww,DC13_14FUol_pEnsMUolNwna,DC13_14FUol_pEnsMUol_pEns,DC13_14FUol_pEnsMUolsET,DC13_14FUol_pEnsM_LpEns,DC13_14FUol_pEnsMT,DC13_14FUolsETMSEO,DC13_14FUolsETMUolsEVww,DC13_14FUolsETMUolNwna,DC13_14FUolsETMUol_pEns,DC13_14FUolsETMUolsET,DC13_14FUolsETM_LpEns,DC13_14FUolsETMT,DC13_14F_LpEnsMSEO,DC13_14F_LpEnsMUolsEVww,DC13_14F_LpEnsMUolNwna,DC13_14F_LpEnsMUol_pEns,DC13_14F_LpEnsMUolsET,DC13_14F_LpEnsM_LpEns,DC13_14F_LpEnsMT,DC13_14FTMSEO,DC13_14FTMUolsEVww,DC13_14FTMUolNwna,DC13_14FTMUol_pEns,DC13_14FTMUolsET,DC13_14FTM_LpEns,DC13_14FTMT,DC15_17FSEOMSEO,DC15_17FSEOMUolsEVww,DC15_17FSEOMUolNwna,DC15_17FSEOMUol_pEns
RA10,148653,10518,164,28,10709,178,159539,16833,101834,5135,97,107064,129,124027,288,7876,4625,16,12512,27,12826,20,75,18,33,124,3,145,17141,109784,9776,143,119698,162,137001,200,292,29,3,330,273,801,165995,120601,9966,170,130743,611,297342,149738,8323,145,17,8487,159,158381,14472,101715,5552,83,107352,120,121950,325,8617,6155,20,14798,24,15142,21,78,23,38,140,6,165,14817,110418,11730,140,122283,153,137258,179,278,32,7,323,339,835,164734,119016,11913,165,131094,648,296472,92802,4342,93,11,4444,85,97329,7190,52049,3279,38,55365,47,62597,189,4871,4008,10,8891,11,9084,8,36,13,22,69,0,86,7389,56952,7299,70,64320,53,71767,81,112,13,0,119,139,345,100276,61406,7399,83,68888,276,169438,61878,2622,57,7,2690,61,64629,4383,30210,2138,21,32373,31,36785,96,3058,2931,4,5992,9,6093,5,15,3,9,26,0,34,4487,33279,5065,42,38390,35,42913,45,50,6,0,59,77,183,66417,35951,5131,49,41132,174,107724,78127,3121,71,5
RA11,52876,1119,23,0,1141,60,54086,1743,4545,156,3,4701,9,6455,31,300,242,0,550,0,575,3,5,0,0,9,0,10,1775,4855,399,8,5257,6,7038,54,10,3,0,16,105,175,54709,5987,416,6,6411,182,61297,56535,958,22,0,981,69,57585,1684,3868,173,4,4048,8,5728,32,320,380,3,701,3,740,3,6,0,3,12,0,18,1717,4198,552,10,4754,8,6485,60,18,0,0,18,102,181,58315,5173,574,8,5754,187,64252,35918,519,4,0,526,46,36491,909,1828,77,0,1904,5,2812,22,159,209,0,372,5,395,4,0,0,0,0,0,4,930,1990,282,5,2275,8,3217,29,8,0,0,8,45,76,36879,2509,289,11,2809,105,39786,23934,324,10,4,338,27,24299,564,1029,51,0,1082,0,1652,10,82,120,0,207,0,218,0,0,0,0,0,0,8,578,1117,174,3,1291,5,1875,20,4,0,0,4,42,66,24539,1449,177,5,1630,75,26246,27618,347,11,0
RA12,12677,175,4,5,177,14,12870,344,744,29,3,775,0,1119,10,63,27,0,91,0,96,0,0,0,0,0,0,0,355,807,57,3,867,0,1217,14,0,0,0,0,23,34,13036,976,59,5,1041,36,14115,13676,144,3,5,154,20,13848,323,681,32,0,711,0,1036,8,40,20,0,64,0,73,0,0,0,0,0,0,3,331,722,50,0,776,0,1110,19,0,0,0,0,32,56,14030,867,55,4,929,57,15012,8627,98,3,0,102,12,8739,157,338,22,0,357,0,514,3,26,17,0,42,0,45,0,0,0,0,0,0,0,163,361,35,0,404,0,568,14,0,0,0,0,17,32,8801,460,38,0,497,30,9336,5703,61,0,0,61,9,5772,83,185,5,0,193,0,279,0,10,15,0,27,0,32,3,0,0,0,0,0,3,89,195,19,0,218,0,310,10,0,0,0,0,15,28,5803,259,22,0,281,24,6111,6207,70,3,0
RA13,1000,5,0,0,11,3,1015,20,63,0,0,63,0,83,0,5,3,0,7,0,7,0,0,0,0,0,0,0,20,67,3,0,71,0,91,5,0,0,0,0,0,5,1030,74,5,0,76,3,1109,994,6,0,0,6,0,1003,16,26,0,0,26,0,43,0,4,0,0,4,0,4,0,0,0,0,0,0,0,16,30,0,0,30,0,50,5,0,0,0,0,0,9,1019,35,0,0,35,3,1058,584,3,0,0,3,0,592,10,16,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,13,0,22,0,0,0,0,0,0,0,593,19,0,0,19,0,612,285,0,0,0,0,0,285,7,4,0,0,5,0,10,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,9,3,0,6,0,16,0,0,0,0,0,0,3,290,9,3,0,6,0,301,336,0,0,0
RA14,219,4,0,0,4,0,224,0,13,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,16,0,16,0,0,0,0,0,0,0,219,18,0,0,19,4,237,239,3,0,0,3,3,241,8,6,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,5,0,7,0,4,0,0,4,0,5,241,10,0,0,9,6,253,127,8,0,0,8,0,133,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,126,11,0,0,11,0,135,68,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,65,63,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,122821,8166,115,14,8293,121,131236,13057,90619,3859,98,94575,118,107747,229,7569,4122,28,11721,12,11960,19,84,6,31,131,0,146,13300,98275,7993,157,106426,131,119852,194,262,25,6,291,244,726,136313,106700,8131,180,115008,497,251815,122862,6540,93,14,6652,105,129618,11173,90058,4147,87,94293,95,105558,264,7885,5278,22,13186,17,13468,25,94,11,27,128,4,158,11460,98043,9432,136,107613,110,119185,163,243,22,11,268,212,641,134487,104826,9547,158,114526,429,249441,74526,3243,48,7,3298,58,77883,5468,43240,2217,42,45499,34,51005,117,4361,3494,16,7869,11,8000,10,56,15,11,80,0,92,5602,47663,5722,71,53453,43,59098,86,82,7,3,95,102,284,80214,50985,5778,78,56847,201,137262,49969,1976,37,4,2018,35,52022,3443,24504,1477,32,26016,24,29484,67,2825,2595,5,5421,4,5492,10,26,3,6,36,0,49,3520,27353,4079,42,31477,33,35031,44,39,8,0,50,42,138,53533,29369,4128,55,33548,108,87189,65658,2439,39,5
RA21,43853,695,16,4,713,66,44635,1294,3517,187,9,3714,4,5018,15,306,234,0,541,0,559,10,5,3,9,12,0,19,1315,3822,425,19,4270,6,5595,51,7,0,0,10,74,134,45221,4532,437,28,4992,150,50360,46787,660,12,0,673,100,47556,1184,3360,180,3,3547,12,4738,22,321,297,0,622,4,650,5,9,0,10,13,0,19,1210,3687,480,14,4179,14,5402,59,17,0,0,17,82,153,48051,4368,490,15,4870,191,53116,28744,359,11,0,375,43,29162,610,1535,70,6,1610,8,2229,13,169,182,0,356,4,374,3,0,0,3,5,0,10,630,1701,264,11,1975,9,2609,40,7,0,0,7,48,99,29412,2067,269,14,2351,105,31864,19326,235,9,0,244,40,19613,382,848,46,0,892,3,1282,10,108,144,0,250,0,266,0,3,0,4,0,0,3,395,962,188,3,1149,5,1545,19,6,0,0,6,39,62,19737,1194,199,5,1398,83,21219,23465,249,3,0
RA22,8288,123,0,0,131,19,8433,249,707,44,0,754,6,1001,7,62,92,0,152,0,158,5,0,5,3,7,0,9,260,767,136,3,910,6,1168,8,3,0,0,3,11,24,8555,894,138,3,1038,35,9631,8613,98,0,3,100,7,8723,200,625,54,0,678,4,884,8,59,72,0,136,0,144,0,0,0,0,4,0,3,209,689,124,0,815,4,1026,25,5,0,0,8,21,48,8843,787,131,3,919,34,9795,5533,58,0,0,63,8,5602,115,278,25,0,303,0,417,6,42,47,0,92,0,95,0,0,0,0,0,0,0,114,322,71,0,395,0,507,9,0,0,0,0,9,18,5656,381,75,0,456,17,6122,3686,34,0,0,38,9,3735,73,141,23,0,166,4,241,0,36,35,0,73,0,73,0,0,0,0,0,0,0,73,173,63,0,239,4,316,5,0,0,0,0,9,19,3767,210,63,0,274,20,4063,4378,43,0,0
RA23,87,0,0,0,0,0,87,3,4,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,3,0,0,0,0,0,0,0,88,5,0,0,5,0,97,118,0,0,0,0,0,118,6,7,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,11,0,0,0,0,0,0,0,123,4,0,0,4,0,129,84,0,0,0,0,0,84,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,85,0,0,0,0,0,86,52,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,52,43,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,104427,4322,44,11,4381,134,108943,7848,29079,1215,33,30321,30,38201,141,2522,1178,3,3709,0,3853,9,21,3,19,38,3,54,7998,31624,2394,49,34066,36,42103,194,80,7,3,92,137,418,112619,36022,2450,68,38537,308,151468,110481,3636,60,0,3696,122,114300,7143,28955,1338,29,30323,32,37496,177,2643,1619,0,4270,8,4446,15,29,3,15,43,0,53,7326,31628,2964,38,34628,40,42002,162,82,7,3,94,136,395,117971,35342,3026,47,38420,300,156692,69231,2013,29,8,2043,65,71339,3703,14045,690,10,14745,13,18462,111,1355,1026,0,2378,0,2489,3,10,3,7,22,0,23,3813,15410,1715,23,17143,16,20977,85,43,6,0,55,57,192,73132,17461,1751,26,19245,136,92511,45750,1211,24,4,1240,38,47034,2065,7892,488,3,8390,8,10463,59,814,728,0,1544,0,1606,5,6,3,3,17,0,15,2130,8712,1219,10,9950,9,12084,45,13,3,0,16,41,98,47928,9937,1246,21,11208,84,59214,58223,1289,14,7
