RA_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
RA10,86371,21020,18085,12031,12678,19775,21055,9588,3325,203926,26682,6951,2781,2131,2679,4852,6547,3252,1101,56975,16850,14772,8343,6366,7362,11232,13734,8574,2889,90111,7320,13705,13354,10284,12259,18700,36559,30326,9806,152319,7169,13542,13133,9852,11441,16194,27803,20687,9091,128917,9893,20670,20075,12673,12712,16340,22176,14050,4269,132858,5966,23640,26687,16776,15414,17501,17308,10378,2931,136608,3304,25353,43795,28249,25035,25465,16814,7528,2008,177562,1573,22463,60846,42461,35856,33483,19070,6887,1354,224002,515,13286,52012,38674,30620,25775,12655,3958,816,178309,230,6916,45730,39007,30967,24365,10194,3153,742,161321,107,3158,33360,34886,27325,20091,6932,2016,460,128333,95,2991,58330,83491,60831,38405,11127,2921,638,258825,47,440,11277,24769,19090,11015,3175,929,216,70959,64,454,14549,47253,49851,28485,8475,2619,709,152460,9937,14286,33741,27717,21623,17735,14491,12654,9223,161418,214,478,1323,1004,863,959,1084,345,85,6361,176338,204134,457426,437633,376611,330378,249210,139868,49669,2421271,74307,17359,36138,38204,31174,42945,30558,12458,5226,288370,32186,7156,6213,8374,7701,10850,10279,4442,1508,88717
RA11,16786,2286,2206,1978,2571,5157,4976,2057,696,38704,8889,927,498,536,817,1698,2567,1089,313,17329,4730,2671,2237,1876,2335,4008,5593,3035,836,27328,2004,2527,3121,2847,3939,7159,16470,12991,3732,54793,2762,2360,2966,2747,3963,7250,14166,9693,3638,49531,3645,3601,3610,3321,4119,6857,11122,6489,1684,44462,2370,5333,5559,4197,4685,6576,8147,4736,1182,42784,1489,6618,10266,7449,8102,9576,7227,3169,771,54656,719,4905,12941,10412,10810,11678,7872,2752,472,62569,217,2520,9353,8328,8505,8524,4578,1355,254,43622,95,1343,7625,7777,8007,7314,3304,1115,286,36857,32,638,5295,6436,6815,5419,2006,603,126,27371,22,660,7574,12378,13258,9512,2703,703,134,46938,3,78,1275,2599,2948,2180,745,220,48,10094,40,112,1311,3905,5535,4486,1925,607,125,18050,4243,4074,8629,7974,7903,7537,7039,5449,2845,55688,24,114,341,209,138,123,95,51,13,1112,48061,40768,84809,84952,94455,105049,100540,56114,17147,631894,13947,1847,4248,4324,4963,10220,6543,2442,1082,49608,11101,1069,1486,1604,1816,3411,3452,1342,475,25754
RA12,3871,457,539,535,831,1560,1418,592,185,9991,1768,203,139,162,229,516,695,309,94,4121,908,593,539,505,753,1292,1487,819,215,7114,403,493,700,675,1179,2179,4387,3167,803,13983,555,456,695,685,1240,2234,3981,2447,841,13139,799,687,855,796,1126,1870,2555,1346,344,10373,564,1184,1266,1028,1276,1841,1969,1036,247,10410,389,1493,2493,1867,2150,2770,1798,661,140,13768,191,1260,3054,2407,2758,3280,1822,595,88,15463,63,661,2036,1948,2046,2139,1082,284,41,10297,29,341,1790,1808,1844,1862,791,257,63,8783,17,213,1317,1330,1469,1423,560,130,34,6485,10,186,1868,2352,2653,2034,659,149,34,9933,4,29,325,549,558,448,176,57,16,2157,14,36,323,744,1009,921,455,159,47,3707,1434,1196,2628,2604,2825,3213,2901,1768,808,19378,10,56,243,132,52,22,19,7,6,546,11035,9542,20809,20124,24004,29604,26760,13788,3988,159651,3576,407,1045,997,1236,2559,1580,571,244,12221,2198,253,395,389,458,842,761,315,112,5724
RA13,234,40,42,59,74,128,118,35,15,741,66,11,5,9,15,34,46,11,3,198,37,40,45,34,53,88,88,46,0,424,25,38,54,42,70,153,226,158,43,809,30,34,52,61,80,144,270,157,59,886,35,38,47,56,92,100,115,70,20,577,35,46,77,65,69,115,111,47,14,574,37,98,175,121,133,185,106,35,8,897,31,88,208,138,161,199,118,27,3,966,13,68,210,121,136,129,75,11,0,751,9,34,160,130,122,142,41,14,4,657,0,31,124,94,125,91,38,4,0,513,0,36,209,189,185,171,38,12,0,834,0,0,27,53,53,56,13,3,0,202,0,4,31,57,76,87,37,15,3,307,167,142,391,318,364,423,314,189,54,2371,0,13,24,0,3,0,3,0,0,44,714,748,1873,1558,1806,2234,1756,832,233,11754,222,31,105,67,105,160,98,40,13,835,107,15,27,23,28,48,33,13,3,296
RA14,58,5,18,15,18,37,41,9,3,218,14,3,4,0,0,18,5,9,0,65,17,15,20,24,15,20,24,12,6,147,5,20,12,14,33,42,62,31,5,229,15,6,19,13,33,45,74,42,4,242,11,12,13,17,27,26,45,13,3,169,9,20,20,10,23,34,26,6,5,159,8,16,41,30,44,47,37,9,0,223,0,21,50,32,37,66,29,14,3,251,0,24,32,30,36,49,21,7,0,213,3,12,28,30,21,32,25,3,0,163,0,6,23,30,20,24,10,0,0,110,0,3,42,42,58,43,12,3,0,208,0,0,9,19,9,13,10,0,0,54,0,0,10,22,17,25,11,5,0,95,43,42,97,75,87,105,100,37,10,600,0,0,4,0,0,0,0,0,0,13,190,215,456,403,483,642,529,201,38,3149,60,6,26,17,29,57,33,8,7,240,20,0,13,6,8,18,8,3,0,75
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,72410,18907,15386,10827,11114,15642,16390,7211,2537,170418,26441,7734,2761,1988,2535,3896,5209,2590,915,54070,14525,15449,7995,5702,6253,8774,11011,6845,2461,79015,5232,13649,12685,8707,9836,13481,26916,23903,8115,122519,4516,12876,12040,8253,9287,11797,21178,16101,7764,103811,5479,17355,18024,10916,10378,12337,17339,11312,3612,106744,3152,18791,24888,14945,12851,13307,13961,8632,2588,113112,2154,21068,43736,27460,22782,21123,13693,5915,1628,159550,1098,17334,57290,39568,31631,27185,14021,4932,1153,194202,319,9208,47564,35002,26750,21181,9382,2870,657,152928,162,4563,41197,35838,27137,19989,7461,2362,619,139322,72,1981,27937,30370,22897,15845,5135,1438,327,105995,75,1653,44479,67920,49084,30579,8327,2006,478,204601,32,282,7890,18907,14923,8854,2322,614,153,53984,69,485,8578,31813,35120,19975,5940,1700,494,104174,7657,11651,28096,21715,17363,13445,10561,9166,5999,125649,196,417,932,739,775,832,829,274,74,5079,143590,173398,401481,370669,310710,258222,189661,107870,39564,1995171,61424,16035,33631,34415,26265,34749,23942,9588,4375,244430,31647,8619,6881,8492,7312,8982,8078,3553,1278,84854
RA21,13413,1897,1823,1656,2133,3859,3787,1460,463,30492,7512,800,437,426,627,1198,1814,782,221,13828,3678,2169,1694,1384,1723,2909,4101,2243,622,20522,1295,1983,2396,2022,2795,4855,11246,8716,2387,37685,1817,1910,2254,2026,3039,4812,10227,6838,2637,35557,2375,3063,2636,2328,2998,4602,7986,4541,1227,31760,1331,4126,4051,3014,3536,4851,6395,3459,814,31580,862,5053,8114,5760,6283,7376,5482,2237,514,41679,449,3877,10766,8297,8756,9361,5421,1658,287,48867,125,1899,8074,7191,7236,6805,3182,867,161,35533,60,954,6868,6999,6839,5949,2384,649,186,30893,19,432,4320,5559,5619,4434,1490,348,70,22293,25,359,5662,9824,10283,7465,2008,440,93,36154,4,56,911,2156,2442,1775,545,135,38,8059,20,79,988,3182,4337,3423,1340,442,131,13944,3026,2535,5798,5661,6102,5851,5602,4146,2260,40976,21,39,158,99,89,72,46,24,9,559,36036,31223,66947,67576,74855,79586,73042,38993,12106,480361,11310,1475,3630,3883,4171,8157,5108,1668,679,40082,9144,931,1373,1572,1524,2620,2516,933,300,20921
RA22,2564,372,428,386,509,1051,879,326,141,6648,1291,128,101,88,142,328,412,187,67,2741,678,367,412,351,462,841,1038,529,149,4815,253,355,489,509,733,1356,3177,2228,584,9686,416,385,556,498,793,1400,2918,1753,633,9350,522,570,686,575,781,1296,1928,1066,284,7707,290,911,1075,849,948,1434,1493,826,206,8024,178,1137,1962,1423,1587,1940,1343,480,125,10178,100,814,2421,1884,1941,2353,1227,354,62,11159,21,377,1540,1397,1508,1588,699,206,41,7384,15,183,1219,1190,1254,1340,486,159,48,5894,0,68,684,839,920,876,304,94,18,3795,4,42,850,1350,1513,1338,470,110,25,5701,0,9,113,250,343,284,128,40,7,1173,8,21,191,444,646,610,305,104,43,2375,843,664,1330,1373,1556,1774,1781,1144,550,11007,5,33,99,42,26,11,15,0,4,232,7183,6442,14145,13451,15655,19810,18601,9605,2983,107868,2219,283,756,685,781,1677,1069,394,184,8047,1693,160,274,290,318,599,483,209,71,4095
RA23,24,3,0,5,6,17,14,4,0,80,13,0,0,0,3,0,4,3,4,31,8,5,3,10,10,31,13,16,7,104,0,3,9,14,11,31,51,27,16,159,0,5,9,4,15,31,52,33,10,157,5,0,8,8,9,29,36,11,3,109,3,4,5,6,12,22,21,12,4,93,0,5,26,13,27,26,18,10,6,135,0,8,23,25,21,26,17,9,4,125,0,7,12,17,11,20,11,4,0,84,0,0,9,8,19,25,16,6,0,78,0,0,9,8,7,7,6,0,0,48,0,0,3,16,7,26,12,3,0,70,0,0,0,3,0,0,4,0,0,12,0,0,0,5,5,5,4,3,0,22,7,4,12,24,14,36,37,16,16,164,0,0,0,0,0,0,0,0,0,0,69,54,131,175,174,338,316,153,57,1474,25,3,4,4,11,26,13,3,0,95,3,3,3,0,4,4,0,3,0,37
