RA_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
RA10,20800,16026,13304,14405,13245,18208,19016,10765,3507,129270,9178,15628,17670,17610,19737,28249,45480,29808,8927,192278,6625,15656,19761,18946,19773,26037,43947,38060,21499,210305,6135,22299,32123,28533,26498,26851,29316,18464,8837,199055,3839,22406,37768,32757,29294,26151,20207,10762,3541,186719,2120,22695,46053,37292,34703,28292,15974,7231,2633,196995,958,20262,56327,43040,38056,30645,14133,4759,1562,209747,281,12411,48879,35384,29851,21960,8336,2468,858,160427,130,5183,42165,33524,27803,18814,6536,2244,847,137255,66,1936,29082,27496,22662,14398,4515,1346,480,101980,61,1319,40102,53670,41757,23140,6005,1699,590,168350,24,201,5859,12364,10219,5077,1622,567,257,36191,61,277,5967,20169,20902,9761,3211,1504,617,62460,8831,11720,29252,24024,18620,15826,15609,16693,18886,159463,204,470,1170,776,803,1641,1355,383,113,6917,165810,193005,467839,446574,392787,348848,276098,163645,79899,2534504,160677,38379,54218,50233,43850,62721,51612,22046,8557,492295,58867,14108,8996,10500,10379,15707,16827,7699,2612,145697,37643,30796,21649,20768,20610,29430,32750,19337,6391,219379,16499,29331,31023,27896,31992,46947,82035,60131,18737,344596
RA11,5769,3009,3276,3135,3477,6274,7411,3703,1107,37161,2691,3270,4439,4347,5473,9773,19611,12293,3115,65022,2202,3223,5405,5123,6330,10153,18473,15087,8046,74047,2250,4949,8811,8044,8510,10957,13237,8050,3370,68173,1533,5804,10251,9217,9269,9863,8549,4523,1478,60486,851,5559,11153,10196,10870,10404,6018,2632,884,58566,371,3751,10691,10037,11351,10531,4855,1548,472,53598,132,2090,7379,7087,7870,6465,2612,703,229,34558,34,803,5822,6062,6782,5297,1972,822,331,27923,13,289,3576,4616,5453,3966,1202,305,89,19506,15,191,3646,7285,8625,5540,1455,389,120,27265,7,29,418,1133,1352,1024,350,143,39,4503,43,66,534,1582,2343,1697,908,405,142,7731,3665,2955,6368,6221,6324,6648,7108,6902,5592,51777,22,104,212,122,101,134,86,45,15,851,44649,39004,87721,90143,100902,112349,103858,61330,26573,666527,30727,4131,6451,6306,7534,15372,11514,4500,1775,88317,19990,1993,1981,2139,2626,5108,6019,2435,782,43081,10504,5677,5509,5013,5819,10279,12998,6739,1947,64486,4696,5794,7557,7190,9419,16936,36084,25288,6845,119813
RA12,1149,559,843,777,998,1760,1750,878,257,8963,513,581,1036,1080,1464,2678,4732,2846,726,15658,432,679,1339,1309,1577,2726,4302,3445,1920,17728,531,1036,2055,1828,2076,2693,2642,1463,670,14983,379,1232,2299,2159,2302,2447,1812,914,269,13808,221,1238,2555,2334,2637,2654,1355,549,179,13735,100,890,2404,2213,2504,2583,1137,315,80,12227,20,449,1517,1418,1656,1483,564,152,39,7318,13,192,1204,1134,1314,1163,463,215,69,5771,9,76,776,843,1098,912,274,87,16,4087,5,80,761,1315,1666,1173,333,83,21,5441,0,8,88,176,253,210,84,38,8,858,11,25,112,320,450,390,217,128,32,1689,1284,906,2128,2176,2419,2775,2495,2026,1259,17455,9,44,141,53,26,34,16,7,0,334,10442,8666,20708,20521,24124,29080,24517,14036,5920,158006,7450,869,1586,1534,2064,4120,2996,1159,424,22212,3970,456,532,556,687,1355,1456,627,209,9841,2055,1157,1388,1280,1748,3046,3239,1697,470,16072,921,1082,1732,1753,2641,4857,9123,6011,1521,29641
RA13,60,46,49,51,71,91,75,36,9,491,29,44,76,79,106,169,250,121,35,921,25,37,101,99,77,170,226,202,93,1027,30,51,142,126,118,145,101,61,31,804,25,79,157,113,142,132,70,28,14,760,21,54,180,135,131,114,78,40,13,776,13,77,174,133,148,154,61,22,4,789,9,38,141,94,112,101,31,10,4,537,6,23,128,81,84,64,31,8,6,426,0,11,68,57,74,67,23,5,0,299,0,11,78,112,113,80,19,5,0,412,0,0,3,14,21,23,8,0,0,78,0,0,11,15,45,44,12,4,3,138,143,138,285,297,310,342,240,189,81,2022,0,0,13,0,0,0,0,0,0,19,687,665,1739,1481,1687,1915,1361,798,307,10633,456,69,146,123,185,287,212,73,33,1573,174,24,31,37,40,76,77,22,10,495,96,89,95,84,117,172,166,82,16,921,53,83,129,126,177,324,471,284,77,1726
RA14,16,11,27,23,26,27,20,16,4,161,3,18,20,25,40,49,70,28,6,261,5,15,19,25,25,32,60,43,20,243,12,22,47,30,35,44,31,10,3,233,6,21,42,28,31,31,31,8,0,199,3,14,46,23,31,47,24,9,8,209,5,18,52,40,34,29,18,4,0,203,4,21,48,21,35,25,12,0,0,177,0,5,30,30,22,27,4,0,0,113,0,0,19,18,18,20,7,0,0,90,0,0,20,25,33,28,5,0,0,120,0,0,3,10,4,3,6,0,0,26,0,0,9,7,12,11,8,0,0,47,41,49,92,81,79,80,57,48,15,546,0,0,9,0,0,0,0,0,0,11,175,220,523,403,462,530,399,180,60,2947,113,17,46,34,54,96,75,20,6,459,29,6,13,8,8,35,19,13,5,134,35,25,39,40,46,47,45,18,8,312,4,36,32,36,80,90,134,61,9,489
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,18203,17710,13769,13990,12320,14715,15207,8706,3113,117726,6822,16390,17032,15961,16525,21775,34771,24250,7453,160982,3928,14816,18047,16837,17693,20581,35425,31651,18735,177715,3284,18410,28361,24834,23320,21661,23631,15196,7023,165724,1886,16273,32288,28883,25566,21551,16560,8680,3120,154804,1158,17409,42075,33951,30561,23205,12813,5489,2210,168875,512,15470,51172,37214,32492,24512,10540,3457,1165,176535,140,8019,44776,30661,24926,17511,6330,1871,641,134889,82,3122,37656,29225,23779,15400,4906,1690,671,116535,38,1064,22706,22692,17802,10929,3151,898,358,79638,31,750,28137,39976,30836,16438,3967,1227,476,121834,25,166,3745,8696,7478,3680,1075,402,180,25443,55,220,3183,12740,14191,6498,2279,1036,476,40674,6998,9400,23604,18888,15271,12319,12227,12123,12309,123127,195,368,838,530,670,1379,1152,344,79,5559,136424,164233,407905,377972,327008,275889,216049,130170,63685,2099343,133835,34945,49015,45238,37384,50387,40329,16799,6910,414846,58086,16356,9647,10481,9847,12880,13292,6139,2199,138928,32721,33159,21767,19698,18572,23483,26216,15551,5576,196747,12055,30041,29718,24670,26356,35256,61679,48153,15569,283498
RA21,4505,2639,2744,2838,2933,4872,5410,2510,735,29184,1682,2649,3584,3572,4316,7186,13842,8269,2067,47165,1406,2590,4094,4427,5152,7884,13997,10649,5812,56012,1297,3733,6726,6724,7137,8438,9747,5358,2442,51606,825,4072,7625,7398,7753,7768,6445,3053,928,45855,475,4157,8848,8070,8577,7836,4416,1784,579,44738,211,2885,8647,7918,8899,7833,3301,1004,337,41034,48,1423,6195,5848,6165,5129,1728,509,155,27202,19,557,5135,5170,5508,4201,1319,517,211,22640,11,171,2666,3563,3925,2694,790,215,80,14126,8,137,2652,4821,5941,3809,989,271,89,18727,3,22,307,885,1043,720,241,78,31,3337,23,45,348,1285,1736,1297,618,317,118,5784,2786,2097,4660,4867,5146,5276,5548,5146,4348,39879,7,42,111,73,63,62,75,31,16,477,33756,29633,69353,72907,79990,85786,76094,42323,18935,508771,24715,3369,5460,5536,6303,12016,8894,3134,1144,70572,16659,1724,1806,2000,2156,3819,4336,1718,526,34747,8186,4807,4439,4220,4654,7778,9508,4752,1358,49699,2978,4636,5973,5601,7118,12035,25084,16986,4451,84861
RA22,763,438,637,646,689,1167,1214,567,205,6319,296,447,814,792,1053,1889,3571,2047,526,11442,259,473,863,930,1192,1873,3092,2610,1380,12673,283,764,1477,1407,1546,1993,2032,1176,576,11247,223,834,1736,1556,1719,1829,1376,648,235,10155,121,847,1775,1590,1857,1840,946,370,156,9510,45,582,1738,1503,1783,1669,774,207,71,8376,10,299,1137,958,1208,1057,390,126,36,5222,6,135,924,827,982,894,300,135,46,4248,0,51,424,549,643,601,195,50,17,2535,0,29,409,786,917,769,214,67,14,3198,4,3,48,122,166,148,62,16,6,572,0,13,86,225,319,274,132,71,18,1145,772,621,1257,1286,1414,1570,1627,1294,1045,10886,0,29,65,21,15,30,9,10,0,176,6702,5993,14418,14172,16603,19884,17471,10009,4595,109850,4780,654,1185,1070,1285,2725,1948,728,321,14694,2981,292,378,379,456,930,894,401,130,6838,1441,808,1041,997,1151,2003,2250,1094,360,11138,548,800,1303,1304,1792,3242,6748,4278,1114,21127
RA23,7,0,11,8,4,16,13,21,0,90,6,3,10,9,10,48,42,17,10,150,3,4,15,8,6,38,52,41,25,194,0,0,18,12,22,35,22,18,6,136,0,5,15,20,21,15,25,7,6,107,0,5,18,25,22,24,12,9,0,118,0,0,8,12,16,17,13,8,0,78,0,0,8,8,13,15,5,0,0,56,0,0,4,10,8,15,10,6,5,50,0,0,8,7,5,19,4,0,0,37,0,0,0,9,3,13,8,0,0,34,0,0,0,0,4,0,3,0,0,6,0,0,0,5,0,3,0,0,0,15,8,3,0,16,15,28,24,21,20,143,0,0,0,0,0,0,0,0,0,0,52,28,121,175,172,321,242,156,70,1338,49,4,5,12,21,47,31,3,0,178,17,3,6,7,13,13,3,8,4,70,14,6,20,19,19,51,30,36,3,200,5,9,11,30,22,77,95,48,24,314
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,7,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,8,13,16,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,17,14,18,24,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RA30,14659,9275,7979,7543,7052,9169,10575,5540,1591,73386,6571,9764,10648,9439,10005,14166,26132,16545,4241,107512,4438,9441,11996,10851,11493,14209,27601,22265,11106,123388,4198,13910,20563,17305,16062,16410,20781,12730,5053,127022,2631,14945,24544,21051,18322,15794,12594,6418,2020,118322,1456,14826,30356,24513,22936,17615,9516,3932,1247,126390,631,11156,31711,26518,24735,18630,7634,2311,783,124100,199,5995,24515,21136,18905,13190,4377,1130,376,89825,70,2712,20446,19635,17490,10954,3211,1081,391,75990,43,907,12217,15014,14070,8321,2130,567,162,53427,25,669,14074,23865,22599,11504,2543,709,235,76221,14,116,1824,4355,4291,2106,678,271,96,13751,48,148,1656,6436,7244,3620,1447,710,241,21555,5367,7020,15440,12490,10513,8677,8633,8852,8646,85643,143,318,829,456,448,738,641,215,55,3842,100393,112509,247620,241851,225103,191326,156786,90001,38772,1404353,79915,16791,22903,22005,20807,29686,21407,8177,2842,224538,44754,7195,5254,6002,5868,8472,9121,3826,1151,91645,26344,17753,13178,11045,10895,14739,18250,9948,2822,124975,11541,17913,18945,15114,16378,23301,46873,33417,8875,192363
RA31,4160,1780,2297,2261,2455,4508,4826,2118,556,24960,1632,1842,3041,2997,3806,6995,14092,7990,1596,43987,1361,1923,3486,3586,4438,6738,12200,9282,4603,47611,1590,3126,5707,5666,5784,6889,8001,4685,1692,43151,1004,3715,6570,6313,6574,6115,4727,2291,640,37950,533,3718,7381,6974,7256,6218,3106,1200,370,36743,222,2370,6422,6424,7082,5981,2191,648,183,31530,63,1357,4398,4600,4880,3850,1191,282,106,20735,29,661,3553,3966,4285,2978,877,361,128,16835,19,262,2020,2784,3246,2243,574,135,57,11325,16,219,2126,3618,4321,2707,597,169,57,13830,5,30,273,549,634,428,132,48,17,2124,27,45,268,743,985,661,367,171,57,3321,2122,1950,4124,3993,4245,4249,4509,4045,2598,31844,17,71,201,77,75,104,94,46,7,694,29205,25042,56338,59304,65500,71128,63796,35524,13346,419181,20886,2733,4762,4792,5816,11746,7665,2532,753,61685,12675,1222,1481,1600,1916,3704,3705,1453,415,28177,7534,3509,3873,3657,4119,7386,8726,4123,1043,43981,2921,3441,5224,4936,6565,11905,26305,16940,3675,81925
RA32,2690,1298,1533,1518,1709,2655,2773,1195,286,15650,1023,1392,2040,2037,2511,3995,7249,3938,816,25007,865,1322,2315,2358,2589,3841,6773,4597,2192,26864,1023,2009,3811,3816,3918,4399,4617,2355,830,26773,699,2481,4813,4431,4371,4156,2976,1307,308,25552,463,2758,5600,4978,5130,4485,2175,722,184,26497,197,1902,5232,5034,5094,4343,1599,429,83,23912,67,1274,3724,3593,3680,2866,891,219,52,16366,38,624,3161,3259,3213,2332,741,216,56,13651,14,246,1889,2322,2564,1674,448,91,19,9264,17,284,2102,3220,3473,2179,507,103,23,11906,4,24,294,494,529,347,119,44,12,1878,9,40,300,621,727,548,289,112,35,2677,2222,2342,5485,4495,4486,4554,4041,2677,1462,31756,12,201,567,150,88,112,107,32,8,1280,20417,19847,46207,45606,47519,48679,39340,19346,6806,293768,13485,2136,3676,3322,3941,7232,5193,1696,531,41207,8925,996,1021,1140,1148,2118,2256,851,242,18692,4839,2491,2596,2472,2835,4453,5168,2326,574,27756,1929,2441,3363,3247,4313,7078,13924,8359,1796,46451
