RA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA10,13796,29199,32893,28797,31216,42231,71752,58741,30595,339227,16027,42970,52198,41209,39207,43189,51491,32506,13102,331907,9810,46042,64452,49536,44705,43654,37518,21140,6471,323331,5427,48051,89847,65537,59743,53758,32789,14765,4643,374556,2533,42722,117173,85506,73913,64124,33199,11650,2921,433746,801,25696,100886,74061,60473,47737,20987,6434,1677,338739,358,12101,87892,72534,58778,43181,16732,5402,1589,298571,172,5093,62450,62386,49980,34486,11448,3362,941,230320,152,4308,98432,137164,102582,61545,17130,4617,1231,427175,70,644,17137,37134,29309,16097,4796,1501,477,107157,124,734,20512,67420,70747,38246,11683,4115,1327,214915,18773,26007,62997,51744,40248,33561,30102,29340,28109,320885,417,953,2493,1780,1662,2603,2439,731,192,13278,342146,397135,925257,884215,769402,679226,525305,303509,129569,4955771
RA11,4966,5587,8366,7874,10296,17398,32638,24780,11682,123581,5897,8550,12420,11367,12622,17818,24365,14541,5048,112626,3907,11135,15810,13418,13953,16437,16701,9255,2657,103269,2337,12179,21421,17640,18968,19978,13251,5800,1653,113223,1085,8660,23630,20449,22164,22215,12727,4299,943,116164,347,4611,16730,15411,16376,14995,7183,2054,478,78182,130,2143,13448,13840,14786,12607,5277,1933,614,64782,52,927,8865,11055,12266,9391,3209,908,211,46880,34,857,11222,19662,21876,15052,4160,1089,250,74203,9,108,1693,3731,4303,3204,1099,361,88,14596,81,183,1848,5482,7883,6178,2834,1011,267,25777,7903,7032,14995,14193,14228,14188,14147,12349,8433,107468,45,217,559,337,235,260,176,98,29,1968,92708,79772,172530,175098,195356,217401,204391,117442,43720,1298414
RA12,982,1135,2036,1997,2820,4957,8287,5894,2764,30871,1334,1724,2911,2620,3203,4561,5193,2807,1013,25358,941,2417,3563,3185,3573,4288,3781,1956,519,24223,604,2736,5050,4204,4789,5419,3156,1212,321,27497,290,2151,5455,4624,5260,5864,2953,909,171,27693,89,1106,3555,3369,3704,3621,1651,435,81,17615,39,538,2991,2943,3160,3029,1250,471,138,14555,23,285,2092,2177,2566,2336,831,222,53,10579,13,265,2626,3665,4316,3210,992,230,55,15367,4,30,417,729,811,657,254,88,25,3015,33,61,428,1060,1459,1313,673,286,74,5394,2716,2104,4755,4777,5240,5989,5391,3794,2066,36838,18,101,385,184,80,58,36,20,4,883,21477,18211,41518,40647,48124,58686,51275,27826,9906,317657
RA13,48,70,154,161,156,312,494,359,152,1906,65,83,186,185,206,244,218,135,51,1375,58,127,229,181,210,249,176,78,18,1328,58,153,364,249,264,300,185,75,22,1674,42,161,376,273,309,357,182,51,7,1761,13,102,350,217,243,226,104,17,3,1289,9,61,286,207,209,213,72,21,8,1087,0,44,189,148,197,161,59,16,0,816,4,42,281,307,291,247,61,13,0,1247,0,4,33,66,74,81,24,7,0,283,0,4,42,69,119,126,56,20,4,445,310,286,674,613,674,763,555,382,135,4396,0,13,31,0,5,7,3,0,0,62,1401,1415,3609,3038,3489,4149,3118,1629,534,22388
RA14,16,26,36,39,61,77,134,83,22,491,22,33,58,50,56,70,70,26,6,395,13,38,64,37,58,65,54,19,5,358,9,30,88,51,77,95,60,19,8,428,10,43,99,74,74,96,44,16,3,452,4,45,85,53,80,74,33,6,0,388,3,20,63,57,41,57,29,10,0,279,0,3,44,50,31,47,20,4,0,200,0,3,65,72,90,76,20,8,0,332,0,0,11,21,9,18,11,0,0,74,0,0,21,21,32,40,22,0,0,142,88,94,195,152,166,186,161,87,26,1153,0,0,7,0,7,0,4,0,0,22,361,426,977,803,949,1168,925,380,101,6092
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,4,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,8,3,0,0,38
RA20,8444,27690,30083,25088,26983,32374,56605,47749,26498,281519,8767,35760,46379,35752,33699,33995,40972,26510,10641,272469,5031,35063,57183,43820,38413,34857,30516,17312,5710,267912,3309,38481,85815,61414,53345,44325,26503,11403,3833,328419,1608,32803,108464,76775,64124,51700,24558,8389,2315,370740,462,17226,92336,65666,51679,38694,15711,4740,1302,287818,241,7688,78855,65056,50916,35388,12366,4054,1294,255852,109,3043,50643,53058,40699,26773,8280,2338,687,185632,104,2405,72615,107899,79919,47019,12296,3229,955,326432,54,448,11644,27604,22402,12534,3395,1011,338,79432,124,702,11767,44554,49314,26469,8218,2741,971,144850,14656,21047,51697,40598,32629,25763,22785,21290,18301,248774,391,789,1772,1265,1443,2211,1983,620,157,10629,280014,337638,809387,748639,637717,534111,405709,238037,103253,4094506
RA21,3217,4500,6344,6458,8194,12700,24221,17492,8440,91566,3676,6795,9367,9049,10136,13042,17738,9900,3667,83368,2152,8199,11681,10407,11294,12617,12841,6513,1741,77437,1336,9207,16967,13829,14866,15215,9900,4019,1092,86417,664,6756,19415,16214,17659,17189,8720,2662,621,89901,175,3324,14266,13030,13405,11937,4911,1370,313,62730,84,1513,12000,12167,12354,10149,3707,1160,396,53534,32,610,6994,9120,9547,7126,2282,561,155,36414,32,490,8317,14646,16224,11272,2994,712,185,54877,10,78,1219,3048,3482,2496,787,220,67,11400,41,127,1336,4465,6068,4716,1959,762,246,19728,5809,4631,10457,10528,11246,11131,11148,9292,6614,80853,28,83,264,175,153,131,126,54,21,1045,69797,60855,136298,140482,154847,165366,149137,81308,31036,989140
RA22,674,854,1420,1435,1985,3276,6005,4362,2012,22019,801,1334,2160,1982,2329,3286,3961,2246,856,18959,512,1746,2804,2401,2669,3260,2860,1476,442,18181,299,1990,3733,3018,3438,3781,2293,847,282,19686,145,1395,4165,3388,3720,4026,1994,565,133,19539,35,672,2685,2357,2716,2646,1087,332,77,12609,19,324,2137,2013,2240,2233,784,291,98,10138,5,119,1101,1389,1567,1474,499,142,35,6327,4,71,1259,2138,2422,2105,678,173,40,8899,4,11,162,373,507,433,188,56,15,1749,12,34,278,665,974,886,435,176,58,3518,1618,1287,2590,2657,2967,3342,3415,2435,1592,21896,5,53,169,68,39,37,28,3,3,411,13888,12433,28564,27623,32258,39694,36070,19610,7574,217717
RA23,6,8,27,15,21,66,102,72,34,350,5,3,24,28,24,56,55,28,11,238,0,8,17,29,34,36,46,27,7,200,6,10,45,37,44,50,33,24,6,247,0,10,29,40,32,41,29,15,4,200,0,5,24,30,21,41,16,6,5,143,0,3,17,19,23,40,23,7,4,133,0,0,9,18,16,29,9,0,0,88,0,0,3,24,11,39,18,0,0,105,0,0,0,3,4,0,6,0,0,14,0,0,0,11,3,10,3,3,0,34,18,5,9,42,36,64,58,39,30,302,0,0,0,0,0,0,0,0,0,7,124,84,254,352,344,663,556,310,128,2813
