RA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
RA10,384,1092,4039,8605,17751,34100,44942,33892,13308,158115,40968,29608,30126,28700,22883,19217,15219,8416,2754,197895,547,700,1576,2842,5497,13132,21957,18150,6486,70883,33,50,67,98,305,935,2885,7133,6657,18172,776,1712,3719,10681,20696,36612,43687,27631,7703,153224,910,884,1421,3512,10398,25488,40148,33632,13936,130331,655,518,849,1519,2539,4415,6899,6577,3311,27279,542,419,676,1278,3044,7236,11585,10554,4154,39492,10111,23950,30247,28583,28810,24991,15791,7718,3193,173395,159,159,316,718,1916,4554,7579,7687,3661,26744,24858,16047,17912,23106,28637,35312,31116,17704,8068,202753,457789,284680,342986,315167,241473,169947,90796,35863,8850,1947555,42753,30845,37569,33258,28783,23374,15802,10477,5952,228807,571533,379776,456098,436630,375742,329416,248126,139520,49587,2986443,499,1720,5612,12692,30578,58779,78853,63269,32283,284293,26859,28481,36941,35544,32466,29501,25814,15147,5957,236700,459,634,1888,4965,11388,18173,22152,16257,6883,82796,29,32,51,99,272,803,2796,8705,13466,26240,769,1840,4252,8564,16125,28586,35101,24620,9614,129483,725,748,1215,2120,4962,12083,21879,23828,16685,84243
RA11,140,410,1332,3018,6930,16091,23481,16107,5410,72931,13321,7807,7272,7564,7202,7776,7691,3882,1152,63667,114,188,353,734,1718,5223,10610,8207,2567,29713,13,15,30,30,103,333,1187,2723,2057,6491,269,530,862,1883,4683,9759,14904,9807,2453,45147,285,280,409,866,2913,8645,16268,13589,5107,48355,195,172,243,385,738,1506,2704,2782,1226,9940,225,145,250,516,1377,4052,6851,5253,1771,20438,4455,8372,8925,9531,10841,11200,8223,3608,1188,66343,47,48,116,253,605,1695,3232,3219,1354,10568,7508,4341,4168,5263,7727,11189,10937,5768,2296,59191,106654,60040,55327,52369,53388,47874,33708,13630,3045,426030,14711,10198,10135,9729,9871,9303,7404,4458,1849,77649,144279,88691,84459,84746,94316,104926,100448,56063,17136,775057,163,578,1807,4471,10944,24175,34029,25596,11876,113630,9543,8723,10467,10890,11549,13002,12471,7184,2452,86283,134,165,464,1205,3322,6363,8995,6350,2491,29497,5,5,17,35,87,249,1002,2936,4163,8499,236,558,1086,2007,4247,7755,10715,7781,2762,37141,229,259,416,615,1699,4543,8673,9197,6192,31815
RA12,38,99,274,632,1789,4524,6252,3792,1191,18582,3304,2001,1728,1703,1811,2327,2094,1005,308,16278,32,37,83,164,421,1325,2494,1671,497,6719,9,0,9,9,27,82,255,519,402,1308,82,116,224,430,1251,2753,3991,2352,533,11739,76,64,92,220,730,2388,4161,3144,1105,11979,41,33,42,91,184,395,702,616,250,2354,57,40,64,116,372,1150,1833,1220,367,5222,870,1470,1690,1853,2326,2720,1866,776,239,13798,9,7,17,37,166,454,788,694,282,2454,1504,860,863,1060,1774,2928,2483,1176,463,13100,25690,13662,13553,12241,13346,13141,8824,3565,733,104751,4597,2898,2929,2964,3218,3558,2856,1512,581,25098,35514,20517,20564,19993,23951,29582,26739,13781,3983,194625,37,152,396,908,2649,6095,7866,5597,2560,26260,2439,2059,2359,2352,2749,3464,3057,1610,514,20606,26,29,104,278,667,1537,1968,1313,475,6404,0,0,5,6,16,66,194,579,845,1716,58,139,267,496,1112,2189,2720,1792,643,9403,43,52,86,179,465,1222,2066,2009,1200,7333
RA13,0,11,14,49,102,297,362,211,76,1118,258,117,134,127,128,161,141,65,17,1161,7,3,7,15,34,100,122,94,31,412,0,0,0,0,0,3,7,31,18,69,3,11,22,51,111,224,264,148,28,862,3,3,6,13,63,175,256,173,53,745,3,5,3,0,14,40,38,36,9,148,3,4,3,7,13,82,124,62,18,330,42,72,92,109,117,152,88,39,10,710,0,4,0,3,10,34,51,32,14,145,81,34,43,79,93,155,123,72,22,713,1760,944,1183,879,927,916,556,192,44,7399,548,296,395,339,383,443,310,167,31,2904,2675,1456,1855,1555,1801,2231,1752,832,229,14383,6,10,27,58,164,372,353,259,117,1366,175,138,210,167,196,219,185,65,28,1383,3,3,9,16,41,93,102,78,15,374,0,0,0,0,0,3,20,47,39,112,6,9,21,37,79,165,155,124,23,629,3,7,9,16,43,92,131,112,76,487
RA14,0,0,9,5,26,79,105,43,6,278,54,25,33,22,35,36,44,16,3,270,0,0,0,6,3,23,41,16,3,88,0,0,0,0,0,0,3,8,0,15,0,0,5,15,42,65,72,26,6,235,0,0,0,0,24,56,82,38,9,211,0,0,0,0,10,11,13,11,4,45,0,0,0,0,9,17,28,12,5,72,12,12,12,31,36,39,31,8,0,173,0,0,0,0,7,12,13,3,0,47,16,8,8,9,39,50,34,12,3,184,497,259,302,253,260,289,173,58,14,2107,144,95,93,75,83,113,101,30,3,742,712,403,451,403,487,637,524,201,38,3856,0,0,8,12,27,85,111,60,21,316,31,22,39,37,51,59,47,18,6,306,0,0,0,4,12,25,21,18,3,82,0,0,0,0,0,8,9,3,7,26,0,0,9,14,34,50,51,30,4,192,0,0,3,6,7,35,37,22,12,126
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,279,916,3527,6950,13758,24631,31532,25031,10832,117465,32926,25742,30894,28475,21788,16814,13051,7546,2600,179836,488,585,1402,2329,4693,10583,17482,14627,5609,57809,42,42,64,81,215,582,1963,5161,5112,13268,702,1492,3375,9587,17501,28094,32941,21368,6534,121589,895,674,1190,2845,8352,19640,30217,25333,11291,100434,593,413,758,1275,2043,3408,5077,5074,2618,21259,427,342,605,1023,2302,5141,8179,7549,3290,28853,8287,20611,30502,27520,25457,20474,12838,6824,3356,155876,192,141,287,668,1761,3674,6172,6369,3212,22479,20523,14165,16570,20340,24080,27793,23317,13997,6857,167644,374572,236872,295368,262554,196506,132871,69998,27882,7183,1603806,33008,24159,31554,26443,22863,17630,11390,7357,3610,178011,465475,316373,400546,369932,309933,257392,188835,107597,39492,2455570,315,1480,4897,10459,24903,46417,61871,51067,27001,228415,20795,25557,37681,34288,30127,25399,22421,13570,5524,215355,362,509,1598,4017,9198,14183,17719,12850,5813,66249,17,26,51,71,197,549,2121,6910,11128,21070,628,1417,3679,7411,13217,21598,26770,19606,8546,102877,672,608,1117,1669,3975,8889,16305,18781,13944,65968
RA21,118,284,1106,2378,5235,11025,15653,11034,3640,50480,10292,6450,6511,6779,6064,6219,5613,3021,871,51821,109,148,272,621,1406,3774,7379,5770,1759,21240,5,18,18,36,68,250,771,1624,1307,4090,191,445,764,1543,3798,7308,10983,6977,1773,33782,265,218,334,699,2321,6717,12227,9622,3591,35996,152,118,163,268,519,1000,1780,1726,768,6502,157,98,200,368,998,2771,4499,3589,1219,13901,3333,6256,7423,7875,8665,8298,6018,2627,916,51414,57,65,87,184,514,1300,2410,2294,925,7843,5799,3518,3494,4325,6103,8456,7804,4175,1703,45377,83369,45914,43754,41693,42614,37122,24752,9210,2098,330539,10629,6735,6789,6853,7388,6950,5640,3393,1462,55834,111777,67192,66792,67478,74772,79516,72993,38970,12097,591577,112,458,1555,3623,8974,18447,25345,17628,8125,84271,7058,6941,9111,9387,9467,9959,9319,5032,1710,67989,98,131,366,1011,2510,4973,6591,4486,1774,21943,7,18,24,18,49,194,670,1790,2684,5452,192,416,863,1661,3298,5983,8045,5497,2116,28073,186,179,330,511,1338,3514,6590,6609,4373,23624
RA22,19,42,214,462,1137,2790,4031,2598,872,12164,1921,1272,1267,1235,1272,1492,1415,745,204,10825,22,28,53,114,273,904,1785,1313,387,4879,0,4,5,0,19,46,149,299,273,805,45,88,179,308,791,1809,2736,1628,418,8000,37,48,55,135,518,1618,2969,2191,804,8367,37,18,29,46,109,264,443,364,182,1498,33,18,35,83,229,691,1206,932,238,3458,516,1089,1338,1335,1722,2038,1481,557,141,10210,3,5,11,36,137,331,567,527,229,1851,973,654,594,767,1255,1914,1790,876,318,9146,16404,9236,9512,8437,8814,9262,6524,2429,572,71188,2516,1645,1525,1580,1744,1979,1683,930,407,14009,22096,13588,14045,13408,15633,19800,18585,9604,2976,129736,25,97,304,670,1877,4165,5591,3956,1860,18552,1335,1350,1722,1655,1912,2274,2040,1101,366,13763,12,25,59,164,477,1106,1429,1031,385,4693,4,9,3,7,8,38,134,393,508,1105,37,91,149,370,689,1447,1812,1260,503,6356,37,39,63,100,308,848,1456,1487,944,5292
RA23,0,0,3,8,24,51,71,39,7,202,31,16,15,21,14,36,25,7,3,174,0,0,0,0,7,19,27,21,9,67,0,0,0,0,0,6,0,4,4,9,3,0,0,3,10,35,44,27,5,123,0,0,0,4,3,29,49,21,10,119,0,0,0,0,0,0,8,3,0,12,0,0,0,0,4,17,14,14,4,62,7,8,15,27,26,56,23,6,0,168,0,0,0,0,3,4,6,5,3,18,19,6,15,9,21,35,26,19,8,143,182,78,82,101,97,140,115,48,17,863,25,12,6,30,10,44,38,13,9,184,259,124,130,175,174,338,316,153,57,1728,0,0,3,14,18,68,75,63,25,264,16,11,17,23,18,38,28,17,3,169,5,0,0,0,7,14,20,17,6,69,0,0,0,0,0,0,4,0,3,7,0,0,0,4,8,22,20,20,3,80,0,0,0,0,4,17,19,18,9,64
