RA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA10,82815,57213,71298,63737,54861,45592,32771,23125,16590,448004,1111769,737914,922768,882435,767736,676621,522865,302783,129380,6054267
RA11,28569,18535,17887,17798,18312,17729,14780,9628,4938,148162,281115,172214,171966,174766,195117,217143,204212,117346,43692,1577567
RA12,8967,5283,5313,5435,5975,6644,5320,3020,1384,47340,68947,39572,41129,40462,48043,58625,51241,27810,9901,385720
RA13,1058,572,688,630,698,773,547,309,82,5369,5212,2800,3576,3034,3486,4147,3117,1627,536,27536
RA14,281,179,189,160,167,203,158,65,14,1421,1331,785,967,803,946,1167,922,380,101,7405
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
RA20,64305,45178,59329,50646,44002,34468,24200,16247,9773,348146,906484,616474,807612,747375,636272,531897,403728,237421,103098,4990362
RA21,20635,12555,12390,12944,13813,13294,11143,7146,3835,107761,216958,130533,136034,140310,154695,165239,149014,81258,31015,1205051
RA22,4878,3125,2954,3046,3363,3710,3200,1937,1077,27287,43405,26256,28397,27558,32217,39653,36050,19605,7577,260712
RA23,56,21,15,49,35,77,56,37,23,357,495,201,252,352,344,663,556,310,128,3301
RA25,0,4,38,98,129,111,13,0,0,389,0,9,52,140,182,158,16,0,0,565
RA30,48904,34597,38714,34716,31547,24758,18472,12160,7261,251135,626039,427822,480046,466872,433666,364513,295415,167844,62754,3324963
RA31,17863,11616,11774,11546,12085,11145,9303,5741,2432,93499,182507,111119,109855,113402,125718,136817,126225,69450,22410,997497
RA32,15387,11743,14515,13108,13155,12114,9027,4460,1531,95034,130836,82490,91407,89763,95326,98140,81568,39386,11634,720554
RA33,1925,1584,2559,2293,2667,2533,1549,556,136,15800,14763,8669,12319,10791,11729,12923,9798,3714,825,85527
RA34,1772,1113,1709,1462,1611,1835,1339,434,99,11371,11972,7281,9251,7811,8546,10132,8419,2807,617,66841
RA35,0,13,60,75,43,16,12,0,0,220,6,24,87,111,79,34,14,0,0,354
RA40,14835,10600,11167,10760,10457,9070,6526,4497,2677,80587,230073,164148,188034,178540,167235,159310,133105,78545,35564,1334560
RA41,2195,1435,1295,1419,1724,1727,1538,924,384,12640,28391,17339,16028,18151,22500,26155,25107,14038,4787,172501
RA42,3350,2056,2401,2461,2617,2760,2270,1457,662,20032,33879,20305,22161,21647,25591,30069,27254,15198,5555,201650
RA43,729,502,836,755,845,799,558,303,137,5467,7887,4218,6000,5718,6140,7019,5797,2980,1047,46806
RA44,381,275,452,390,474,513,325,143,55,3015,2670,1686,2497,2200,2459,2878,2251,834,239,17708
RA45,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34
RA50,27134,18331,21056,19970,18059,14227,10413,7148,4678,141013,396249,249878,290682,294791,261655,227611,181210,100145,40499,2042711
RA51,3922,2676,3314,3331,3244,2794,2084,1189,525,23081,43030,23760,24468,28546,30835,30818,26293,13256,4443,225447
RA52,4245,2564,3006,3126,3136,3046,2375,1205,424,23126,34196,19368,21244,22258,24285,26383,21591,11185,3903,184417
RA53,3097,1839,3141,3207,2988,2696,1562,621,154,19302,19832,9158,15363,15836,14085,13653,9712,3746,870,102253
RA54,2461,2428,6290,5691,5510,4220,1734,475,70,28883,13408,9478,20714,18673,17922,16781,10989,2952,374,111284
RA55,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
RA61,4512,3327,3648,3052,2985,2657,2080,1426,689,24378,58530,40463,54112,43402,41850,41136,35482,20757,8163,343899
RA62,3091,1812,1736,1814,2115,2323,2061,1182,484,16611,32487,19701,21122,21092,25530,30930,27542,14314,4513,197235
RA63,130,99,169,133,139,188,144,63,24,1096,1135,641,1185,980,1171,1667,1407,574,158,8917
RA64,51,12,30,48,41,32,44,17,7,277,376,132,266,306,293,386,420,221,56,2443
RA65,0,0,28,25,30,30,0,0,0,114,5,21,62,80,90,75,33,3,0,366
RA72,3268,2286,3687,3067,2712,2402,1625,511,130,19689,29418,17406,27502,23427,19906,17510,12685,4411,895,153156
RA73,1316,882,1460,1257,1213,1337,999,234,38,8729,10502,5876,9628,7978,7184,7802,5639,1451,273,56326
RA74,1161,914,1507,1093,1067,991,612,139,3,7483,10665,7947,9032,7129,6216,5681,3791,805,85,51348
RA75,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
RA80,4672,4634,4775,3752,3108,2350,1768,1009,537,26605,82445,60902,77520,69060,55968,44661,34821,19025,7196,451597
RA81,11,6,3,3,13,16,9,3,0,71,168,90,102,104,89,88,56,12,7,708
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,24,12,12,9,14,8,14,7,0,102,60,98,98,49,56,38,27,16,0,452
RA94,104,87,249,176,171,152,106,53,6,1109,759,390,640,645,706,856,643,271,63,4973
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
