RA_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
RA10,..,3816,118236,255309,226876,202887,163074,90547,23216,1083954,..,16408,89896,50707,35105,23707,11520,3863,559,231757,..,422,2476,8017,14239,10753,5155,3096,2088,46242,541814,..,..,..,..,..,..,..,..,541814,..,157182,..,..,..,..,..,..,..,157182,..,110257,84590,27791,17564,8032,1271,43,0,249555,..,16515,17152,6975,6405,8326,6979,4081,2232,68683,..,10421,18197,7242,5144,3846,1792,516,118,47272,..,27160,52051,15667,10456,10025,6943,2591,537,125425,..,8970,35890,35108,36266,42119,35580,22099,9920,225941,5606,6463,7973,5311,4448,3678,2571,1127,426,37597,309,406,677,546,503,657,838,248,50,4227,547721,358016,427137,412673,357008,314025,235719,128199,39136,2819640,..,9161,167099,269308,228953,194724,146079,64819,10304,1090456,..,24285,94099,46738,32130,20076,8613,2296,263,228507,..,3989,23018,45525,57977,36336,17062,12239,8242,204391,512209,..,..,..,..,..,..,..,..,512209,..,162451,..,..,..,..,..,..,..,162451,..,75343,55997,14562,9649,6042,1424,68,0,163086,..,13680,11809,4294,5857,14710,18069,13107,7690,89212
RA11,..,741,21109,41091,47528,55377,59372,34276,7775,267266,..,6301,19307,12652,11884,10445,6470,2105,311,69476,..,184,1128,2870,4263,2986,1554,844,587,14415,132274,..,..,..,..,..,..,..,..,132274,..,27107,..,..,..,..,..,..,..,27107,..,29623,13358,5793,4469,2444,429,11,0,56132,..,3316,2303,1171,1426,1999,2036,1104,541,13887,..,2456,2860,1358,1208,964,585,229,42,9699,..,3442,5399,2207,2546,3422,3041,1119,216,21397,..,2320,6522,6820,10514,16511,16953,10138,3957,73732,2505,3427,2830,2122,1886,1683,1540,637,191,16812,61,66,151,84,66,75,58,28,11,598,134833,78970,74966,76162,85781,95909,92040,50494,13616,702791,..,1460,28498,46023,51597,58622,55470,25601,3663,270928,..,9178,20557,13077,12142,9924,5113,1355,166,71501,..,2144,9626,13473,14419,7264,3789,3187,2246,56152,125598,..,..,..,..,..,..,..,..,125598,..,28789,..,..,..,..,..,..,..,28789,..,18770,7041,2561,2061,1696,403,16,0,32550,..,2701,1328,521,1195,2869,3691,2634,1631,16564
RA12,..,173,4761,8796,10967,14270,14329,7851,1689,62842,..,1460,4540,2842,2699,2575,1589,426,51,16174,..,49,282,616,896,698,394,248,159,3339,31041,..,..,..,..,..,..,..,..,31041,..,5461,..,..,..,..,..,..,..,5461,..,6495,2818,1398,1102,617,104,0,0,12544,..,904,515,269,392,531,522,270,115,3531,..,451,484,256,286,236,122,40,8,1890,..,667,1062,388,535,801,658,265,42,4412,..,822,1845,1671,3022,5191,5130,2796,947,21417,705,1063,823,542,498,547,451,165,52,4849,11,14,47,16,12,10,7,3,6,130,31762,17559,17176,16799,20407,25477,23304,12069,3072,167625,..,382,6314,10046,12295,15100,12924,5841,756,63658,..,2260,4805,2884,2795,2498,1150,267,29,16692,..,561,2302,2853,2613,1441,867,727,551,11902,29091,..,..,..,..,..,..,..,..,29091,..,5875,..,..,..,..,..,..,..,5875,..,3791,1370,467,435,394,102,3,0,6557,..,708,241,128,266,627,671,537,303,3482
RA13,..,9,385,589,694,839,710,349,85,3658,..,102,356,205,190,163,77,24,6,1118,..,0,17,31,50,56,28,12,5,204,2144,..,..,..,..,..,..,..,..,2144,..,280,..,..,..,..,..,..,..,280,..,360,163,88,68,39,3,0,0,726,..,70,35,16,30,51,39,14,11,259,..,35,45,17,15,17,10,0,0,151,..,62,83,28,32,49,53,17,0,322,..,81,175,128,193,399,342,192,58,1558,69,105,75,39,57,47,48,18,9,464,0,0,8,0,0,0,0,0,0,7,2210,1112,1332,1138,1319,1661,1317,625,171,10895,..,22,491,658,781,858,570,264,45,3684,..,158,382,189,187,148,55,18,4,1139,..,41,194,164,136,86,56,48,29,763,2041,..,..,..,..,..,..,..,..,2041,..,326,..,..,..,..,..,..,..,326,..,210,71,30,32,26,4,0,0,374,..,55,24,10,25,46,36,37,11,240
RA14,..,7,82,107,126,179,149,76,23,746,..,31,79,72,69,57,24,0,0,336,..,3,6,8,12,11,19,0,7,72,581,..,..,..,..,..,..,..,..,581,..,55,..,..,..,..,..,..,..,55,..,98,45,14,17,6,0,0,0,189,..,42,13,15,16,13,14,6,0,111,..,12,8,4,4,3,4,0,0,36,..,17,21,11,17,12,10,4,0,81,..,12,37,46,78,123,113,52,3,463,15,33,24,8,21,23,15,3,0,142,0,0,4,0,0,0,0,0,0,4,598,299,323,289,358,424,344,150,36,2815,..,5,109,124,140,171,134,50,10,745,..,39,105,73,70,48,16,4,0,353,..,12,57,62,51,35,12,10,6,250,490,..,..,..,..,..,..,..,..,490,..,58,..,..,..,..,..,..,..,58,..,71,27,17,6,8,0,0,0,137,..,31,18,7,9,8,19,8,3,105
RA15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA20,..,2250,97162,217423,187523,160109,125935,71614,18930,880946,..,12731,84262,46835,30570,19177,8690,2802,421,205498,..,341,1816,6311,11847,9297,4090,2256,1557,37506,443769,..,..,..,..,..,..,..,..,443769,..,136019,..,..,..,..,..,..,..,136019,..,82086,66510,20184,13571,5883,919,19,0,189172,..,13841,16415,5678,4866,5775,4681,2563,1405,55219,..,8222,14410,4583,2879,2031,908,283,68,33380,..,27233,52350,13118,7571,6601,4408,1687,340,113308,..,8717,36228,32263,32434,33696,27670,16915,8405,196329,3827,5191,6877,4222,3518,2862,1774,855,285,29414,190,310,481,420,469,604,693,213,44,3434,447792,296945,376506,351037,295247,246034,179763,99206,31456,2323993,..,5796,137877,225330,187152,153042,115117,52752,8518,885576,..,18546,88497,43319,28374,16097,6703,1630,204,203374,..,2281,16125,36581,50232,29584,12934,9389,6128,163252,420099,..,..,..,..,..,..,..,..,420099,..,140648,..,..,..,..,..,..,..,140648,..,56409,45717,10647,7427,4402,981,52,0,125633,..,12071,11150,3583,4431,10912,12399,8412,4944,67907
RA21,..,463,16142,34504,39295,44418,45029,24221,5263,209339,..,4234,17443,10803,9890,7709,4348,1322,157,55903,..,131,750,1979,3296,2173,1089,596,388,10411,103856,..,..,..,..,..,..,..,..,103856,..,23583,..,..,..,..,..,..,..,23583,..,23033,10751,4159,3006,1383,250,6,0,42588,..,2260,1756,777,965,1344,1258,619,319,9296,..,1535,1907,749,661,496,288,94,21,5752,..,2839,4316,1582,1649,2007,1715,631,124,14868,..,1676,5935,6020,8988,13057,12917,7459,2861,58901,1414,1984,1704,1182,1095,941,701,329,105,9448,45,24,58,37,38,30,32,10,0,287,105316,61753,60767,61797,68880,73560,67623,35282,9244,544229,..,896,21589,38442,41846,46482,41840,18157,2479,211736,..,6248,18431,11125,9944,7132,3347,819,89,57126,..,1109,6449,9886,11373,5859,2729,2028,1396,40831,97892,..,..,..,..,..,..,..,..,97892,..,25436,..,..,..,..,..,..,..,25436,..,14301,6184,1945,1472,988,251,0,0,25140,..,1768,1041,365,752,1880,2143,1504,855,10304
RA22,..,106,3220,6088,7409,10154,10416,5779,1280,44449,..,916,3238,2064,1871,1761,1071,307,46,11274,..,29,144,388,637,441,242,124,85,2089,19711,..,..,..,..,..,..,..,..,19711,..,4006,..,..,..,..,..,..,..,4006,..,4403,1983,820,670,366,62,0,0,8312,..,544,408,165,209,291,305,130,75,2121,..,328,418,240,168,132,72,27,5,1390,..,613,1028,482,464,515,436,174,24,3740,..,459,1373,1248,2101,3633,3804,1930,792,15327,316,444,396,259,286,281,215,78,20,2302,8,9,23,22,15,5,5,0,0,94,20032,11860,12230,11778,13833,17575,16630,8558,2323,114817,..,218,4291,6915,8331,10655,9635,4287,603,44916,..,1400,3392,2036,1998,1641,833,224,24,11546,..,273,1347,1914,2018,1040,489,450,327,7857,19063,..,..,..,..,..,..,..,..,19063,..,4251,..,..,..,..,..,..,..,4251,..,2544,1098,346,306,227,36,0,0,4552,..,401,208,82,179,372,416,325,174,2147
RA23,..,0,39,75,74,152,177,88,20,631,..,6,23,21,19,34,7,4,0,114,..,0,0,3,3,3,7,0,0,24,223,..,..,..,..,..,..,..,..,223,..,40,..,..,..,..,..,..,..,40,..,36,22,10,13,4,0,0,0,81,..,3,5,0,0,3,3,3,3,20,..,5,0,0,0,0,0,0,0,8,..,5,0,0,5,14,7,0,0,32,..,9,20,25,34,81,78,38,25,305,14,6,3,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,236,110,119,155,151,294,283,142,50,1529,..,0,50,91,90,178,143,69,14,634,..,7,28,26,21,25,12,4,0,118,..,0,7,16,10,7,11,4,3,67,207,..,..,..,..,..,..,..,..,207,..,34,..,..,..,..,..,..,..,34,..,11,11,0,4,3,0,0,0,29,..,4,0,0,0,6,0,4,0,16
