RA_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
RA10,675644,54142,20151,6863,798,330,2682,760610
RA11,127802,17207,7664,1584,322,138,1436,156162
RA12,28740,3651,1694,389,67,27,421,34988
RA13,1900,224,117,27,8,0,28,2307
RA14,416,57,16,18,0,0,14,522
RA15,0,0,0,0,0,0,0,0
RA20,574825,33467,15077,5027,489,223,1581,630688
RA21,109918,9945,5643,986,177,61,759,127491
RA22,20523,1825,1086,207,30,19,199,23891
RA23,225,8,14,5,4,0,0,252
RA25,0,0,0,0,0,0,0,0
RA30,326083,38047,15559,3346,611,238,1723,385606
RA31,79426,12154,5492,1093,226,109,836,99334
RA32,54158,7923,3398,780,158,77,561,67048
RA33,5462,637,316,98,18,7,76,6621
RA34,3696,462,253,194,26,7,76,4714
RA35,0,0,0,0,0,0,0,0
RA40,135856,10497,5379,1319,196,58,651,153963
RA41,15519,1430,898,181,35,10,149,18227
RA42,15353,1395,1037,185,23,25,222,18239
RA43,3547,280,203,28,3,0,27,4096
RA44,988,74,50,44,12,3,38,1213
RA45,0,0,0,0,0,0,0,0
RA50,211631,33166,8915,2082,414,121,1180,257513
RA51,18621,4240,1232,229,74,17,207,24619
RA52,13957,2642,874,187,42,10,171,17891
RA53,7351,1174,441,96,31,11,80,9185
RA54,3370,553,229,160,34,20,104,4465
RA55,0,0,0,0,0,0,0,0
RA61,30170,3089,1863,291,53,19,218,35699
RA62,15645,1796,1185,141,25,16,165,18970
RA63,459,64,40,6,0,0,8,572
RA64,181,15,7,0,0,0,0,203
RA65,0,0,0,0,0,0,0,0
RA72,12403,2185,680,250,41,14,100,15671
RA73,3460,531,202,156,41,21,83,4496
RA74,3128,258,178,395,64,67,129,4208
RA75,0,0,0,0,0,0,0,0
RA80,48523,3371,1641,403,41,22,191,54184
RA81,78,4,3,0,0,0,0,86
RA85,0,0,0,0,0,0,0,0
RA91,13,3,0,0,0,0,0,18
RA94,344,33,15,3,0,0,0,396
RA95,0,0,0,0,0,0,0,0
