RA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
RA10,19136,24801,43937,5773,7435,13206,6539,17892,24435,7592,37096,44685,22095,79370,101468,24650,49518,74165,70483,35892,106378,64998,45045,110045,81474,51160,132631,96886,42660,139550,76274,37756,114024,81308,31852,113158,186818,59888,246704,147835,9299,157128,131924,17820,149740,93234,4784,98016,338756,33228,371985,80579,11962,92535,15648,20329,35976,1551984,617801,2169778
RA11,4124,5936,10061,2017,2554,4570,1906,6346,8252,2250,13231,15482,7928,36100,44025,8719,23728,32450,31379,14637,46019,26226,17503,43731,30864,16977,47840,35605,11477,47082,24025,8939,32969,25582,6815,32394,51312,10468,61782,36648,1823,38468,28102,2475,30580,17311,665,17975,42912,5375,48289,27225,2362,29595,5931,9788,15730,410080,197199,607280
RA12,1329,1741,3068,619,683,1298,519,1909,2432,642,3685,4325,2403,10112,12513,2373,5042,7421,8105,3511,11619,6447,4469,10909,7408,4160,11573,8402,2815,11216,5516,2181,7697,6156,1716,7869,11662,2626,14287,7894,392,8280,5830,658,6484,3462,182,3642,7421,1456,8875,7611,497,8106,1966,3180,5148,95759,51005,146764
RA13,114,128,244,34,43,76,31,111,135,38,241,282,126,640,764,163,259,426,406,220,625,349,309,661,399,287,691,443,230,667,305,201,501,353,164,519,692,263,956,497,34,530,340,83,422,217,13,228,558,122,681,633,46,683,153,295,447,5857,3689,9545
RA14,34,48,86,18,14,35,12,47,60,18,90,108,43,169,204,39,66,111,109,66,172,85,107,193,103,98,198,97,80,174,62,47,112,74,65,137,157,95,252,95,19,114,92,38,126,51,6,61,120,61,185,161,17,171,67,98,158,1423,1235,2659
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,16805,22770,39576,5664,6797,12462,6453,15307,21760,6632,29652,36278,19033,67028,86063,20958,43370,64333,59427,33185,92617,57550,42247,99799,72260,48405,120670,86586,41736,128324,68782,37674,106454,72659,30216,102874,164508,52681,217188,130598,8360,138960,110325,14393,124722,74643,4042,78681,233825,23673,257497,67352,10579,77931,14096,17189,31279,1288162,549304,1837469
RA21,3198,4696,7897,1551,1973,3529,1416,4955,6375,1774,10393,12167,6323,27820,34136,6880,17195,24076,22895,11326,34216,20496,13577,34078,23559,13304,36867,27078,9211,36285,19130,7497,26623,20586,5427,26012,41832,7742,49575,30069,1207,31274,22649,1923,24576,13410,471,13882,31735,3901,35637,20550,1594,22136,5175,7436,12607,320312,151644,471954
RA22,828,1194,2018,361,500,858,368,1291,1659,448,2757,3205,1574,7359,8933,1667,4005,5677,5911,2758,8671,4919,3464,8382,5609,3105,8709,6197,2135,8335,4069,1588,5658,4477,1143,5617,8391,1647,10034,5549,312,5860,3725,417,4144,2074,146,2216,4490,1023,5513,4702,375,5077,1430,2258,3690,66804,37458,104258
RA23,7,23,29,8,8,15,11,36,44,8,61,64,27,135,163,27,50,77,79,42,117,79,48,125,70,52,126,89,25,114,48,29,81,61,26,80,90,21,117,69,3,69,38,5,46,20,0,18,51,8,60,55,3,58,23,29,61,858,610,1468
