RA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA10,23518,529500,553021,600127,101940,702068,344591,33374,377964,350442,20028,370473,148870,8870,157738,84440,4802,89241,1551984,698521,2250499
RA11,8808,173268,182080,198282,34530,232811,78215,8425,86644,71520,5261,76783,34328,2625,36949,18920,1377,20298,410080,225487,635570
RA12,2262,46090,48353,48235,10352,58590,17530,2572,20103,15206,1810,17016,8072,975,9048,4457,509,4963,95759,62310,158077
RA13,140,3381,3519,2772,1144,3917,1130,293,1424,923,206,1125,547,137,690,345,77,418,5857,5243,11101
RA14,52,1030,1081,627,361,984,293,84,377,208,70,281,120,28,152,121,21,142,1423,1599,3021
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,20100,470737,490840,509495,86504,596005,287554,29074,316629,298035,16967,314998,115487,7201,122689,57494,3489,60985,1288162,613986,1902149
RA21,6497,137401,143905,155442,23651,179096,61047,5880,66933,58683,3685,62373,26803,1809,28623,11827,859,12687,320312,173295,493603
RA22,1502,33617,35117,35134,6556,41690,12193,1488,13680,10390,1067,11462,5189,527,5718,2393,267,2658,66804,43517,110322
RA23,22,565,588,527,102,623,130,16,145,86,11,99,66,13,77,24,0,27,858,704,1558
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,18408,297237,315641,361045,67603,428653,188809,19998,208803,183358,10329,193689,74246,4321,78566,40814,2039,42855,866682,401522,1268209
RA31,7243,100641,107880,126239,23357,149598,50832,5014,55849,44463,2989,47450,20929,1429,22355,13091,723,13812,262798,134152,396952
RA32,5759,74369,80130,78740,23045,101782,34744,5018,39766,30031,3105,33135,13577,1486,15067,8478,874,9351,171333,107899,279231
RA33,556,8856,9417,7211,3917,11130,2975,606,3582,2761,427,3188,1474,213,1684,1143,141,1282,16126,14164,30287
RA34,366,6497,6863,4358,4677,9033,2009,494,2501,1805,421,2223,1103,185,1285,1301,134,1430,10937,12410,23347
