RA_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
RA10,113879,87413,59265,33098,12295,3783,438503,19131,61756,59814,50375,37307,20987,6997,1568,257931,10338,28692,21774,14169,8201,4372,1920,673,90146,10113,21287,18962,15339,9321,5554,2287,590,83456,505,409,279,305,402,367,299,308,2871,1596,5055,5937,5142,3403,2229,977,427,24763,19872,32747,28045,21023,18103,17669,18222,17097,172789,122289,391337,371041,290063,216844,141666,68226,32624,1634096,8272,23876,21631,18746,15552,10834,5055,1217,105190,13084,41360,56075,26549,13103,4657,826,66,155727,16444,76884,75510,69579,72788,52847,29081,9180,402310,14927,38191,33100,29466,21997,13955,7533,2371,161544,2611,7777,7674,7029,5586,3123,1387,374,35562,20177,76071,59451,49176,43010,29014,13542,4764,295203,9334,44994,41845,39174,36107,33544,14628,4141,223761,42388,182229,197806,149587,102729,61044,23595,6497,765868,27544,92816,87437,75611,56949,35467,13095,3073,391985,16970,46632,36078,22842,13598,7523,3131,978,147749,14885,34058,31835,24249,14948,8789,3958,935,133660,1062,896,564,521,656,623,464,441,5235,3040,9514,11116,9909,7133,4635,2203,848,48401,43763,70441,60494,45912,38597,34243,32378,25995,351819,234502,745728,720614,568348
RA11,15829,17342,16354,11298,4299,1080,83873,4216,11178,12345,13159,12525,7783,2185,365,63753,1113,3061,3247,2797,2426,1682,733,198,15258,3394,6551,5648,4924,3519,2423,908,218,27583,179,109,47,61,68,47,48,19,584,259,609,820,975,816,577,246,78,4387,6899,7081,7026,7280,7706,8316,8049,5538,57906,27896,67664,70994,73024,72310,55855,26334,10243,404326,650,2283,2672,3014,3017,2988,1265,266,16152,805,2346,2662,2099,1963,1297,304,24,11498,5305,16748,16442,18979,22363,20200,10745,2745,113515,3985,8996,8727,8857,9407,7438,3313,920,51638,1817,4325,4823,5337,4851,3285,1462,361,26257,4604,15550,14558,14884,17251,13335,5732,1646,87560,2179,10023,11982,12326,13661,14711,5836,1411,72128,5875,19542,23399,25554,24585,18518,7501,1719,126690,5456,15182,16981,18424,17409,12237,3962,760,90408,1891,4807,4998,4275,3666,2836,1170,296,23947,4687,9811,8897,7844,5791,3981,1633,368,43009,321,229,117,102,113,98,66,32,1072,594,1367,1726,2051,1932,1529,674,224,10093,15539,16720,16201,16451,16480,16755,14622,8602,121368,53698,127927,134177,140205
RA12,3281,3652,3610,2180,671,145,17224,789,2215,2297,2567,2753,1440,343,55,12450,146,491,420,429,443,317,107,44,2388,672,1351,1126,1042,854,476,171,30,5733,18,28,7,11,23,13,9,3,104,45,140,145,201,194,126,45,5,892,2245,2275,2405,2676,2987,2843,2236,1304,18975,6522,15152,15376,16572,17657,12578,5579,2114,91548,113,489,489,559,564,544,218,38,3010,107,423,400,302,374,250,55,6,1913,1587,4463,4214,4608,5417,4390,1868,415,26966,688,1716,1509,1595,1959,1415,643,149,9666,740,1820,2044,2283,2245,1482,654,120,11380,828,2962,2604,2887,3896,2912,1154,335,17581,562,2380,2589,2797,2977,2870,1034,224,15425,1223,3918,4536,5082,5109,3349,1091,213,24524,996,2929,2983,3428,3599,2261,609,100,16912,221,747,585,610,682,521,185,53,3611,939,1958,1724,1632,1378,812,305,66,8814,34,41,19,21,34,32,12,3,195,114,296,350,452,456,333,129,30,2166,4924,5129,5335,5821,6571,6118,4293,2161,40345,13068,29281,29367,32075
RA13,185,215,195,77,22,4,930,51,153,134,113,129,62,13,0,666,9,27,21,12,9,11,3,0,92,36,79,65,51,35,24,8,0,296,0,0,0,0,0,0,0,0,12,8,6,12,13,4,5,0,0,46,279,285,308,320,342,266,180,75,2055,549,1252,1124,1149,1130,666,308,91,6272,12,32,29,37,34,11,4,0,152,8,19,14,8,12,8,0,0,62,103,414,296,284,330,208,67,17,1721,38,101,64,72,85,62,31,4,450,85,190,176,227,193,97,40,8,1005,65,224,153,161,226,145,57,4,1033,42,218,214,229,174,100,27,6,1005,56,290,262,285,272,106,32,5,1302,69,199,187,154,162,88,24,0,875,13,37,24,17,18,16,4,0,132,44,131,92,75,55,39,10,0,450,6,0,0,0,0,0,0,0,14,14,13,23,25,22,19,3,0,115,568,674,637,685,766,612,378,126,4454,1101,2533,2163,2258
RA14,48,57,39,19,5,0,223,4,47,22,31,27,17,5,0,154,5,7,7,4,3,3,0,0,32,6,19,13,22,11,13,0,0,80,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,95,109,87,90,89,62,37,12,579,173,361,277,294,287,183,75,19,1673,3,17,7,3,13,8,0,0,54,6,6,4,0,3,7,0,0,25,27,70,60,56,82,62,23,6,388,18,22,22,25,35,29,0,0,153,18,30,31,32,46,15,4,0,181,16,60,36,43,67,43,14,0,293,19,62,49,56,57,32,9,0,288,16,56,64,65,65,32,6,0,305,10,78,49,49,36,31,8,0,257,5,11,10,4,8,6,0,0,44,9,30,34,28,14,15,4,0,135,0,0,0,0,0,0,0,0,7,3,6,9,8,11,4,0,0,37,191,208,162,178,194,168,75,18,1203,333,667,543,561
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RA20,84411,61102,36579,18009,6307,2259,301101,15267,54688,52412,44689,32076,17932,5718,1229,224012,9069,25275,17990,10578,5822,3034,1376,481,73636,8330,20674,17802,12811,7989,4858,2087,563,75110,442,320,226,192,180,228,109,55,1751,1797,5579,6601,5303,3271,2041,832,303,25740,15519,26332,21773,16446,13195,13014,13030,10996,130312,100847,344989,317110,236777,164512,104306,49916,22556,1341003,11083,24586,21348,17227,12683,8304,3701,887,99822,9277,40383,49909,22324,10707,3918,557,55,137126,15862,68897,64805,57319,53170,37859,21036,6869,325819,12721,40064,29751,23535,16158,9505,5219,1605,138557,2690,7724,7428,5987,4225,2116,920,265,31356,18561,75109,56140,42552,33414,22380,10381,3873,262413,7791,40780,37821,34761,31971,27682,12838,3209,196859,30334,137429,150273,109197,68309,37350,14016,4228,551147,23153,81026,75098,63836,46390,28543,10028,2263,330346,15846,43812,31599,18228,9978,5398,2375,751,127981,12286,34167,30743,19918,12633,7093,3183,856,120882,906,767,506,350,341,364,198,80,3516,3158,10368,12388,9943,6545,4121,1813,626,48976,33882,56734,46405,35756,28113,24778,23091,16755,265523,197550,661853,614211,460945
RA21,11737,10917,8603,4709,1522,424,48503,3119,9617,10419,11098,10430,6440,1636,238,52995,925,2397,2545,1927,1541,1077,349,149,10910,2294,5644,4519,3643,2588,1644,715,156,21201,71,71,46,45,45,38,17,9,332,185,567,846,965,712,520,185,77,4041,4918,5071,5406,5594,5768,6266,5954,4278,43249,20126,54823,58469,56103,51520,38421,17767,7231,304454,708,1960,2475,2647,2148,1934,746,133,12762,591,1979,2551,1739,1418,838,172,10,9291,4141,12899,13209,14974,16139,13622,6521,1639,83148,3024,8936,7683,6800,6208,4278,1951,564,39439,1556,3899,4604,4704,3960,2266,891,247,22134,3902,14154,12666,12107,13181,9806,4086,1178,71075,1902,8876,10130,9690,10269,11685,5133,995,58677,3173,13148,17885,17374,14606,9513,3236,722,79652,4337,12811,13599,14650,13686,9494,2771,446,71800,1753,4058,4106,3112,2476,1917,649,204,18278,3108,7959,6903,5726,4179,2637,1137,237,31878,132,156,95,86,75,67,29,12,647,382,1288,1791,2048,1654,1236,525,171,9091,10421,10897,11261,12097,12253,12584,10994,6703,87204,39133,103014,108950,107752
RA22,2108,2058,1705,962,279,68,9398,590,1676,1657,2054,2146,1259,250,34,9665,126,348,363,304,263,171,64,21,1653,474,1113,924,815,591,432,152,30,4522,16,26,16,9,9,8,4,0,92,41,99,140,134,129,88,31,14,675,1385,1385,1409,1520,1717,1825,1491,1003,11731,4337,10878,10781,11032,11232,8512,3836,1588,62192,86,388,398,347,366,341,96,23,2054,76,313,329,224,205,148,28,3,1323,917,2606,2386,2675,3368,2936,1299,304,16486,487,1382,1158,1123,1352,1014,437,103,7066,599,1416,1620,1619,1592,827,299,60,8038,624,2513,2140,2234,2914,2168,835,257,13700,352,1748,1759,1832,2070,2286,1031,180,11251,748,2571,3066,3102,2686,1797,560,111,14650,798,2232,2167,2631,2749,1761,397,67,12800,218,593,548,459,392,310,123,28,2676,678,1613,1375,1260,1042,690,271,40,6974,27,54,31,14,18,19,12,3,171,79,216,314,316,337,236,105,42,1647,2896,2909,3000,3257,3755,3825,2857,1602,24099,8582,20551,20299,21104
RA23,24,18,18,8,4,0,77,3,15,14,17,42,23,9,0,117,0,3,0,7,9,3,0,0,23,0,9,20,12,15,7,0,0,63,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,14,9,20,18,25,13,26,19,137,27,95,135,107,188,107,56,25,741,5,3,0,8,9,6,0,0,23,0,3,0,5,5,3,0,0,12,12,29,27,19,42,40,18,4,184,0,10,14,14,12,7,3,3,52,9,24,38,26,31,16,0,0,149,6,24,33,14,40,21,5,0,157,0,24,15,19,34,28,15,0,145,0,17,31,19,21,16,8,0,107,6,16,21,20,48,35,9,0,152,0,3,4,7,10,7,0,0,31,3,13,24,12,25,10,0,0,89,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,12,21,11,40,30,64,51,41,31,298,63,182,247,196
