RA_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
RA10,12611,57863,235711,263126,216389,141026,29047,2406,148,958323,33151,49996,70605,53293,45737,45148,24329,5027,434,327726,12489,19682,30246,24139,21167,20034,6955,987,104,135798,1026,3289,8584,6330,4095,2741,822,264,72,27223,59282,130827,345148,346882,287393,208948,61151,8688,751,1449074,2850,7520,13957,10804,9768,7998,1263,57,3,54226,7463,6583,5206,2451,2238,3055,1334,180,15,28524,10314,14103,19162,13260,12005,11054,2598,236,18,82749,69592,144928,364313,360141,299398,220006,63751,8922,766,1531825,98917,47086,63596,53652,59055,94911,172779,120527,41688,752211,7619,11635,28190,22834,17294,14499,11601,10070,7129,130868,176124,203655,456098,436630,375742,329416,248126,139520,49587,2414907,5747,50207,192563,169410,154265,89745,14600,715,39,677287,41062,56727,97637,114697,98988,78225,25123,2929,178,515575,15065,20167,37846,29246,20755,18356,5627,644,61,147760,917,2494,6100,4195,2896,1998,649,227,75,19565,62793,129596,334148,317550,276910,188329,45997,4510,355,1360180,1575,4263,8468,6858,5868,3766,367,23,7,31183,7320,5789,6800,5928,4723,4246,920,61,12,35792,8901,10054,15264,12779,10586,8010,1282,83,21,66979
RA11,8497,18447,49076,51888,55397,44001,10696,1395,114,239509,12823,8178,11921,10671,12177,16304,10439,2329,207,85051,1633,1368,2435,2418,2833,3598,1443,211,43,15991,623,856,1594,1285,1249,1045,415,225,69,7353,23569,28845,65023,66262,71660,64942,22992,4162,434,347902,1123,1751,2481,1974,2091,1989,304,9,3,11730,1750,862,854,577,637,1001,443,44,14,6178,2876,2610,3336,2552,2733,2992,750,55,19,17911,26451,31458,68355,68814,74391,67941,23741,4219,447,365812,18459,6227,10243,10256,13840,30871,71097,47645,14587,223228,3125,2968,5866,5671,6087,6118,5605,4203,2097,41739,48035,40655,84459,84746,94316,104926,100448,56063,17136,630776,3477,12006,29363,31029,39388,27021,4740,422,27,147476,17205,12762,26522,31476,31725,32077,10802,1304,89,163945,2124,1955,5901,3755,3179,3921,1279,155,21,22294,577,616,1233,941,932,780,338,181,51,5645,23377,27338,63020,67192,75226,63801,17156,2054,198,339359,658,894,1245,1019,1133,893,83,4,5,5931,1930,963,1310,1221,1209,1407,283,30,11,8358,2590,1860,2553,2244,2342,2301,364,33,7,14289
RA12,2162,4731,12481,12495,14032,13412,4773,946,103,65132,2445,1518,2229,1793,2393,3712,2710,766,130,17703,222,198,467,407,561,793,353,92,20,3106,181,217,422,380,368,417,190,121,37,2326,5015,6666,15598,15073,17350,18329,8023,1922,290,88266,249,379,575,428,537,569,72,6,0,2810,252,167,162,120,150,257,115,5,3,1231,502,548,732,549,680,821,191,13,3,4035,5509,7216,16336,15620,18033,19157,8214,1933,290,92305,4453,1252,2072,2195,3517,7699,16154,10460,3079,50880,1067,1025,2154,2173,2406,2719,2374,1384,612,15921,11028,9489,20564,19993,23951,29582,26739,13781,3983,159106,892,2921,6801,7017,9419,7497,1921,303,20,36788,3435,2430,5952,6762,6942,7976,3066,516,59,37131,297,304,1171,645,587,811,304,59,9,4193,187,148,309,252,276,274,167,96,18,1726,4810,5805,14235,14675,17230,16554,5459,972,103,79841,150,182,292,256,337,267,33,0,0,1522,286,170,282,228,243,296,66,6,0,1575,431,352,574,484,584,566,100,6,3,3094
RA13,156,385,1115,941,1050,1127,431,89,15,5308,84,62,117,92,121,180,153,42,13,860,3,19,41,33,49,61,26,12,0,251,13,17,37,25,24,24,14,9,6,162,259,478,1314,1094,1241,1385,629,148,30,6583,22,24,45,26,30,31,7,0,0,182,20,6,13,11,7,17,0,0,0,73,35,33,59,36,39,51,8,0,0,259,296,513,1368,1129,1278,1434,643,147,30,6840,288,97,122,126,195,429,836,529,169,2781,134,134,361,295,329,369,279,156,33,2087,713,738,1855,1555,1801,2231,1752,832,229,11703,60,215,558,505,644,565,160,45,0,2748,155,132,402,402,410,428,164,27,3,2126,18,23,101,42,41,42,25,5,0,286,14,8,30,21,19,22,8,5,0,128,240,376,1091,962,1111,1052,360,90,5,5288,18,20,23,13,23,10,0,0,0,102,13,9,19,18,15,10,0,0,0,87,28,26,43,28,38,23,4,0,0,188
RA14,38,93,233,219,239,269,101,23,5,1208,12,21,30,29,36,58,35,18,0,244,3,3,14,9,11,29,12,0,0,74,3,3,6,4,5,7,9,0,0,44,57,122,279,257,292,358,159,44,4,1575,7,0,8,8,14,11,0,0,0,50,0,3,5,0,6,5,0,0,0,34,6,7,16,8,19,18,5,0,0,84,61,132,300,266,316,376,162,44,4,1657,91,39,61,66,93,159,281,114,28,941,39,46,88,69,79,99,87,31,7,549,190,215,451,403,487,637,524,201,38,3143,25,67,170,128,182,168,54,11,3,804,19,29,81,81,71,82,36,12,0,416,0,3,23,18,9,24,9,0,0,80,0,0,12,4,8,7,8,0,0,42,39,107,288,230,271,276,105,21,3,1335,0,4,4,6,3,6,0,0,0,29,0,6,3,0,9,3,0,0,0,28,3,9,9,10,9,10,0,0,0,54
RA15,0,0,0,4,11,7,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,10168,55852,239571,252235,203104,131316,26658,2095,118,921119,34688,53560,66645,44540,37162,37213,21985,4537,335,300667,4936,6505,9799,7656,6583,6732,2789,479,64,45540,817,2915,7741,5467,3443,2168,703,217,67,23543,50609,118835,323752,309900,250295,177429,52139,7328,584,1290862,1966,6510,12028,8868,8074,6039,936,48,11,44485,10348,6785,4565,2214,1916,2581,1051,134,16,29608,12320,13297,16596,11075,9991,8625,1985,185,26,74089,62920,132126,340347,320981,260283,186048,54123,7507,612,1364954,74842,31785,36989,31187,36052,61120,126755,93415,34841,526977,5627,9074,23215,17766,13593,10226,7958,6669,4035,98159,143392,172985,400546,369932,309933,257392,188835,107597,39492,1990096,2967,38793,174124,141673,129015,73166,11004,506,22,571277,45661,66036,102016,116395,99780,75002,23302,2437,113,530750,6694,8849,22164,16172,8316,7970,2759,353,34,73317,752,2274,5188,3543,2582,1612,528,195,79,16763,56075,115958,303491,277784,239692,157757,37601,3501,246,1192104,1165,3806,7944,5705,4793,2969,280,14,0,26684,10481,6360,6673,6165,4836,3751,771,66,4,39124,11648,10164,14621,11874,9633,6724,1051,79,12,65804
RA21,5579,15037,41818,44111,46671,36905,8965,1244,119,200445,9706,6348,8481,7606,8679,11954,8469,1762,179,63176,1416,981,1714,1706,2012,2835,1150,195,32,12037,502,608,1246,1050,1113,881,458,209,52,6116,17200,22967,53267,54470,58467,52575,19042,3406,369,281765,660,1191,1823,1310,1455,1370,218,9,0,8037,1498,622,602,365,421,667,286,34,7,4502,2162,1817,2425,1681,1870,2037,503,46,7,12540,19363,24783,55692,56146,60340,54616,19541,3449,374,294305,14541,4390,6817,7089,9757,20377,49196,32455,10136,154755,2108,2010,4278,4241,4673,4524,4260,3068,1581,30740,36012,31183,66792,67478,74772,79516,72993,38970,12097,479803,1905,8735,23353,22533,28959,19743,3452,331,30,109042,13057,10938,21740,28142,27924,27130,8543,936,71,138490,1950,1569,5145,3193,2547,3330,1106,133,18,18988,508,506,916,746,849,657,369,163,53,4765,17416,21751,51155,54615,60284,50857,13471,1561,174,271283,336,550,873,690,823,668,69,6,5,4016,1580,642,903,861,901,961,180,29,11,6064,1917,1196,1778,1554,1719,1623,247,34,15,10081
RA22,1202,3121,8417,8249,9186,8865,2806,536,52,42441,1812,1143,1866,1555,1756,2782,1926,490,70,13400,197,204,359,328,400,700,309,60,18,2580,104,131,345,272,277,254,141,79,16,1626,3323,4598,10992,10400,11621,12601,5181,1164,168,60040,138,261,349,269,342,365,54,0,3,1780,199,117,158,105,104,181,79,6,0,949,336,377,509,374,446,549,134,6,5,2732,3655,4973,11496,10776,12072,13152,5314,1171,174,62772,2951,836,1319,1386,2242,5169,11864,7563,2405,35735,572,598,1230,1250,1314,1483,1411,867,410,9135,7180,6412,14045,13408,15633,19800,18585,9604,2976,107636,430,1879,4524,4190,5761,4622,1077,139,14,22628,2391,1878,4460,5222,5520,6059,2082,288,19,27924,299,261,935,532,541,786,243,36,9,3642,109,114,215,215,230,190,103,66,11,1259,3232,4132,10134,10155,12056,11658,3500,530,60,55453,68,103,173,139,174,131,13,0,0,799,197,109,184,170,161,242,45,5,0,1112,272,212,354,307,332,376,65,5,0,1914
RA23,8,25,77,110,91,138,80,19,3,550,17,9,13,14,15,37,30,6,3,147,3,0,0,4,0,9,0,0,0,25,0,0,3,0,5,6,5,3,0,27,25,34,93,126,119,187,124,32,4,744,0,0,3,8,3,15,0,0,0,28,5,0,0,0,5,6,3,0,0,19,3,7,3,8,6,17,3,0,0,43,29,36,97,133,125,200,123,32,5,789,32,9,28,22,35,112,160,114,39,553,5,4,9,17,12,24,30,16,10,127,69,54,130,175,174,338,316,153,57,1471,9,10,35,36,47,64,30,3,0,223,9,14,47,80,57,88,30,6,0,336,0,4,5,4,6,7,3,0,0,35,0,0,4,5,4,0,0,6,0,11,17,26,89,122,111,163,64,20,0,605,0,0,6,3,0,3,0,0,0,21,3,0,0,0,4,6,0,0,0,17,3,0,6,3,9,12,0,0,0,32
