RA_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
RA10,234,534,1306,1209,1291,1149,573,191,27,6522,107,496,2886,3820,2981,2007,311,44,4,12656,2284,6500,19948,23138,24938,21474,4972,546,39,103833,167,774,3634,5117,4734,3309,689,62,4,18485,10283,22679,53221,43714,35275,23628,5620,525,33,194980,790,2867,10144,13530,12781,9665,2510,377,37,52701,11808,19734,27821,22252,16758,12441,3817,594,50,115275,18346,14370,18436,12683,8314,6173,1722,239,25,80310,1532,6269,20595,24007,24398,21410,5592,504,15,104312,473,2046,8823,11689,8497,4380,889,118,18,36926,314,5537,23392,30395,20858,9762,2358,410,66,93088,445,1782,5928,6745,5549,3887,1630,414,77,26456,1034,10406,42384,45702,30555,19153,7880,1417,96,158625,1021,4177,10762,10227,8959,7072,2286,304,12,44823,718,4972,19498,22340,21022,15037,3573,283,17,87446,2515,5974,15517,15017,13534,11414,4220,487,24,68703,1252,7211,23904,21402,18545,15596,5994,925,50,94875,1528,2634,5243,4443,3370,2377,865,146,18,20628,2055,4581,11085,10614,10072,8260,2539,411,25,49640,2382,7276,20618,18846,14981,10756,3116,688,139,78806
RA11,702,1183,2887,3152,3528,4306,3128,1305,191,20378,126,614,2766,3239,2966,1881,285,26,4,11907,1328,2360,5831,5739,6203,5298,1341,205,14,28316,92,306,1207,1567,1793,1678,258,19,0,6907,4349,7127,13787,11866,11098,9280,2614,233,9,60354,422,669,1686,1953,2283,2093,599,127,8,9844,4698,3451,5081,4221,4178,3947,1480,243,20,27309,6553,2964,3990,2983,2599,2397,934,137,9,22566,383,797,2574,3275,4664,5212,2090,281,13,19291,145,206,551,610,674,590,187,40,0,3000,33,229,679,1020,1253,1007,369,69,8,4672,86,201,578,781,921,910,469,134,14,4096,248,743,2618,3206,3480,3070,1841,309,16,15534,351,784,1902,1997,2424,2399,777,90,0,10719,732,1712,4666,5895,7319,5762,1185,78,3,27369,330,829,2686,3412,4003,3750,1416,119,3,16543,349,1240,4680,4830,5185,5148,1719,187,3,23344,497,361,691,739,812,773,343,79,4,4303,996,1569,2946,2664,2936,2546,900,130,14,14703,1154,1508,3227,3106,3348,2879,1070,365,84,16746
RA12,635,1079,2942,3166,3808,4670,3338,1192,203,21033,59,310,1209,1247,1090,708,114,4,0,4735,377,685,1474,1400,1414,1199,342,35,3,6926,19,82,296,414,484,449,69,6,0,1811,807,1167,2409,1982,2016,1926,585,55,4,10949,158,175,403,466,542,517,166,31,3,2458,857,580,841,749,798,852,330,58,3,5076,993,556,776,480,578,706,284,42,3,4411,91,193,619,656,1017,1342,561,93,4,4575,27,38,74,84,103,101,24,11,0,462,10,32,80,107,140,129,50,11,0,554,30,42,96,123,145,131,97,13,4,681,40,109,357,366,443,503,344,64,4,2227,54,138,324,299,395,433,158,12,0,1811,62,210,872,992,1396,1388,350,18,0,5285,42,165,479,478,665,705,252,31,3,2826,48,183,643,584,707,840,304,37,3,3341,80,165,251,170,186,229,77,11,3,1178,305,368,649,575,607,622,231,43,3,3396,314,393,808,733,839,897,355,165,37,4539
RA13,89,183,496,431,538,612,352,106,18,2825,28,71,216,173,178,139,17,5,0,829,15,13,38,36,35,35,13,0,0,177,4,3,26,30,28,18,5,0,0,113,30,48,130,89,89,119,32,3,0,544,7,8,27,19,15,33,11,4,0,126,34,16,30,38,26,33,19,8,5,202,13,22,37,19,19,35,21,4,0,167,4,9,32,22,56,59,36,3,0,222,0,0,0,0,5,0,0,0,0,8,0,0,3,3,3,3,5,0,0,16,0,0,0,3,5,3,5,0,0,19,0,0,18,10,16,13,12,0,0,68,3,4,8,14,15,23,8,0,0,83,8,14,67,68,88,103,23,0,0,366,0,13,51,38,34,35,17,0,0,189,0,15,34,24,30,39,15,0,0,158,0,5,3,5,11,7,4,0,0,37,5,12,25,21,29,35,9,3,0,142,19,27,59,50,40,52,27,13,4,281
RA14,16,33,72,64,79,109,66,22,0,456,0,4,24,20,21,17,0,0,0,95,0,0,3,3,3,9,0,0,0,24,0,0,7,11,9,6,4,0,0,30,11,20,23,32,21,35,17,3,0,163,0,0,0,0,8,0,0,0,0,10,8,8,8,3,4,17,0,6,0,58,4,3,17,19,20,26,12,4,0,105,0,0,13,3,8,22,6,4,0,62,0,0,0,0,5,4,0,0,0,13,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,6,4,5,5,0,0,17,0,6,0,4,7,11,3,0,0,37,4,14,55,48,53,36,11,0,0,218,0,8,21,18,17,17,5,0,0,87,0,5,10,10,13,12,3,0,0,60,0,4,3,0,3,8,0,0,0,16,5,10,8,5,3,10,3,0,0,47,5,8,15,12,12,12,8,3,0,66
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,251,680,1730,1728,1743,1420,646,252,25,8466,11,91,542,811,844,634,158,24,5,3114,2004,6854,22952,27073,28753,22801,5300,568,46,116346,137,770,4057,5351,4041,2782,558,47,8,17757,7253,22488,57022,45106,35492,22408,5284,555,36,195643,744,2839,9025,11541,11927,8792,2301,301,34,47508,11409,18894,25623,19933,15495,10720,3501,490,25,106103,16759,14266,18013,11362,6855,4951,1345,161,12,73724,1009,6322,22460,23152,19060,16370,4474,356,10,93223,451,1785,6503,8527,5886,3130,649,86,5,27019,180,3417,15833,20270,13328,6432,1656,280,45,61450,219,1229,4879,5149,4038,2791,1138,285,29,19759,603,7293,36290,38669,25789,15550,6174,1154,59,131573,866,3865,10564,8965,8048,6192,2051,299,14,40865,601,3987,16324,17483,15295,11341,3065,367,25,68488,1899,4898,15626,15127,12237,9956,3474,376,17,63617,845,5270,20522,18441,15316,12201,4481,634,41,77743,2249,3203,6141,4714,3456,2156,855,142,10,22925,1182,4009,10454,9425,8967,7050,2260,387,27,43764,1925,6675,19186,17064,13722,9761,2778,567,118,71795
RA21,778,1331,3262,3336,4051,4538,3443,1374,210,22323,51,180,777,915,826,606,129,15,0,3491,1074,2319,6107,6393,7418,6401,1546,150,3,31408,45,212,1106,1478,1698,1643,276,15,0,6466,3202,6070,12743,10772,9669,7610,1905,147,10,52128,320,502,1316,1648,2025,1880,546,81,4,8328,3680,2790,3717,3192,3285,2909,1123,169,12,20883,4736,2058,2322,1756,1499,1285,567,81,3,14307,206,601,2122,2785,3867,4403,1576,177,7,15733,91,222,591,619,649,478,140,26,0,2825,26,207,691,1172,1250,808,310,59,5,4535,45,153,420,561,638,598,307,69,10,2796,156,632,2272,2952,2982,2464,1421,241,10,13123,209,510,1253,1471,1603,1546,582,78,6,7264,351,978,3376,4032,4644,3889,919,71,4,18266,285,631,2307,2886,2785,2699,1004,81,0,12673,192,915,3278,3304,3641,3524,1256,122,0,16232,425,417,772,726,797,737,294,52,0,4217,591,1136,2292,2061,2287,2147,755,91,6,11370,741,1118,2541,2410,2859,2402,940,322,71,13402
RA22,418,753,2206,2157,2431,2892,1874,678,113,13527,8,35,102,170,135,135,37,4,0,623,211,418,892,907,1072,1051,264,27,4,4853,5,38,212,224,266,307,61,3,0,1119,542,918,1765,1504,1482,1465,381,31,6,8089,65,147,305,384,449,468,153,26,0,1990,746,454,708,587,635,653,245,27,6,4056,681,462,677,429,426,461,187,32,0,3362,57,201,531,594,799,1093,408,45,4,3730,9,31,64,56,71,55,23,0,0,312,6,21,107,130,139,89,31,4,0,531,8,40,68,70,102,96,56,11,0,459,30,95,339,366,367,328,212,43,0,1777,50,98,285,271,282,335,102,19,3,1437,15,106,542,642,772,801,224,15,0,3108,42,95,427,424,476,500,206,17,0,2180,52,132,591,518,612,703,234,22,0,2869,42,56,114,115,149,148,56,14,0,684,159,240,468,377,365,461,186,25,5,2285,170,262,586,480,606,554,234,115,22,3037
RA23,17,15,51,77,61,89,76,22,5,406,0,0,0,0,0,3,0,0,0,7,0,0,5,3,4,3,0,0,0,13,0,0,0,0,3,7,0,0,0,12,5,4,4,9,8,9,5,3,0,39,0,0,0,0,5,0,0,0,0,8,0,0,3,3,4,4,5,0,0,21,3,6,0,6,4,7,4,0,0,23,0,4,9,7,7,14,8,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,7,9,5,14,6,0,0,44,0,0,3,0,5,8,4,0,0,24,0,0,4,0,0,5,0,0,0,15,0,0,0,3,0,4,0,0,0,10,0,0,3,0,7,3,3,0,0,18,0,0,5,8,9,13,4,4,0,33
