RA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA10,3961,8875,21831,20052,18728,13924,3977,571,30,91949,4184,12473,35498,32151,25150,17102,4975,1135,256,132926,122077,260425,679294,664438,564303,397275,107146,13200,1101,2809251
RA11,1776,2736,5830,5208,5528,4428,1443,184,18,27156,1974,2479,5226,5154,5619,4625,1818,632,149,27680,46950,56185,128038,133458,146888,128742,40150,6216,635,687257
RA12,469,613,1188,1012,1077,1016,357,60,3,5800,542,624,1294,1217,1364,1424,624,285,59,7440,9821,12470,29835,29747,34579,34887,13482,2892,395,168111
RA13,10,27,46,47,43,51,22,5,0,250,43,36,90,93,65,75,45,21,8,474,499,855,2400,2057,2350,2447,990,237,38,11870
RA14,3,13,13,10,11,14,3,0,0,72,10,12,21,18,24,20,14,5,0,123,98,227,571,486,564,638,262,64,11,2911
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35
RA20,2394,8119,21527,18916,17205,12348,3569,516,36,84622,3444,11053,31831,28099,22624,15304,4357,931,215,117865,106679,234785,627243,587686,489991,335187,89737,10825,823,2482969
RA21,1069,2121,4590,4041,4189,3610,1170,140,11,20931,1290,1782,4030,3965,4587,3838,1509,550,129,21697,34615,44721,104418,109081,118752,103436,32514,4966,546,553051
RA22,226,398,868,713,721,712,276,36,5,3951,305,425,905,804,985,905,413,199,45,4990,6550,8734,21122,20556,23676,24264,8678,1697,224,115494
RA23,0,0,5,0,5,0,7,0,0,28,0,0,4,7,10,13,6,6,0,51,43,56,188,250,225,347,187,42,4,1349
