RA_CODE_2021,Ag_Frs_Fsh_Mgr,Ag_Frs_Fsh_Pfn,Ag_Frs_Fsh_Tch_trwk,Ag_Frs_Fsh_Co_Pswk,Ag_Frs_Fsh_Cl_Adwk,Ag_Frs_Fsh_Sal,Ag_Frs_Fsh_MchOp,Ag_Frs_Fsh_Lab,Ag_Frs_Fsh_Inad_ns,Ag_Frs_Fsh_To,Min_Mgr,Min_Pfn,Min_Tch_trwk,Min_Co_Pswk,Min_Cl_Adwk,Min_Sal,Min_MchOp,Min_Lab,Min_Inad_ns,Min_To,Manf_Mgr,Manf_Pfn,Manf_Tch_trwk,Manf_Co_Pswk,Manf_Cl_Adwk,Manf_Sal,Manf_MchOp,Manf_Lab,Manf_Inad_ns,Manf_To,ElecGWWSvc_Mgr,ElecGWWSvc_Pfn,ElecGWWSvc_Tch_trwk,ElecGWWSvc_Co_Pswk,ElecGWWSvc_Cl_Adwk,ElecGWWSvc_Sal,ElecGWWSvc_MchOp,ElecGWWSvc_Lab,ElecGWWSvc_Inad_ns,ElecGWWSvc_To,Con_Mgr,Con_Pfn,Con_Tch_trwk,Con_Co_Pswk,Con_Cl_Adwk,Con_Sal,Con_MchOp,Con_Lab,Con_Inad_ns,Con_To,WhlTr_Mgr,WhlTr_Pfn,WhlTr_Tch_trwk,WhlTr_Co_Pswk,WhlTr_Cl_Adwk,WhlTr_Sal,WhlTr_MchOp,WhlTr_Lab,WhlTr_Inad_ns,WhlTr_To,ReTr_Mgr,ReTr_Pfn,ReTr_Tch_trwk,ReTr_Co_Pswk,ReTr_Cl_Adwk,ReTr_Sal,ReTr_MchOp,ReTr_Lab,ReTr_Inad_ns,ReTr_To,Acc_Fdsvc_Mgr,Acc_Fdsvc_Pfn,Acc_Fdsvc_Tch_trwk,Acc_Fdsvc_Co_Pswk,Acc_Fdsvc_Cl_Adwk,Acc_Fdsvc_Sal,Acc_Fdsvc_MchOp,Acc_Fdsvc_Lab,Acc_Fdsvc_Inad_ns,Acc_Fdsvc_To,TrPo_wh_Mgr,TrPo_wh_Pfn,TrPo_wh_Tch_trwk,TrPo_wh_Co_Pswk,TrPo_wh_Cl_Adwk,TrPo_wh_Sal,TrPo_wh_MchOp,TrPo_wh_Lab,TrPo_wh_Inad_ns,TrPo_wh_To,InMe_Telco_Mgr,InMe_Telco_Pfn,InMe_Telco_Tch_trwk,InMe_Telco_Co_Pswk,InMe_Telco_Cl_Adwk,InMe_Telco_Sal,InMe_Telco_MchOp,InMe_Telco_Lab,InMe_Telco_Inad_ns,InMe_Telco_To,FinIn_Mgr,FinIn_Pfn,FinIn_Tch_trwk,FinIn_Co_Pswk,FinIn_Cl_Adwk,FinIn_Sal,FinIn_MchOp,FinIn_Lab,FinIn_Inad_ns,FinIn_To,REst_Mgr,REst_Pfn,REst_Tch_trwk,REst_Co_Pswk,REst_Cl_Adwk,REst_Sal,REst_MchOp,REst_Lab,REst_Inad_ns,REst_To,PSc_Tech_Mgr,PSc_Tech_Pfn,PSc_Tech_Tch_trwk,PSc_Tech_Co_Pswk,PSc_Tech_Cl_Adwk,PSc_Tech_Sal,PSc_Tech_MchOp,PSc_Tech_Lab,PSc_Tech_Inad_ns,PSc_Tech_To,AdmSu_Mgr,AdmSu_Pfn,AdmSu_Tch_trwk,AdmSu_Co_Pswk,AdmSu_Cl_Adwk,AdmSu_Sal,AdmSu_MchOp,AdmSu_Lab,AdmSu_Inad_ns,AdmSu_To,PubAd_Sf_Mgr,PubAd_Sf_Pfn,PubAd_Sf_Tch_trwk,PubAd_Sf_Co_Pswk,PubAd_Sf_Cl_Adwk,PubAd_Sf_Sal,PubAd_Sf_MchOp,PubAd_Sf_Lab,PubAd_Sf_Inad_ns,PubAd_Sf_To,EdTr_Mgr,EdTr_Pfn,EdTr_Tch_trwk,EdTr_Co_Pswk,EdTr_Cl_Adwk,EdTr_Sal,EdTr_MchOp,EdTr_Lab,EdTr_Inad_ns,EdTr_To,Hlth_SAss_Mgr,Hlth_SAss_Pfn,Hlth_SAss_Tch_trwk,Hlth_SAss_Co_Pswk,Hlth_SAss_Cl_Adwk,Hlth_SAss_Sal,Hlth_SAss_MchOp,Hlth_SAss_Lab,Hlth_SAss_Inad_ns,Hlth_SAss_To,ArtRec_Mgr,ArtRec_Pfn,ArtRec_Tch_trwk,ArtRec_Co_Pswk,ArtRec_Cl_Adwk,ArtRec_Sal,ArtRec_MchOp,ArtRec_Lab,ArtRec_Inad_ns,ArtRec_To,OthS_Mgr,OthS_Pfn,OthS_Tch_trwk,OthS_Co_Pswk,OthS_Cl_Adwk,OthS_Sal,OthS_MchOp,OthS_Lab,OthS_Inad_ns,OthS_To,Inad_ns_Mgr,Inad_ns_Pfn,Inad_ns_Tch_trwk,Inad_ns_Co_Pswk,Inad_ns_Cl_Adwk,Inad_ns_Sal,Inad_ns_MchOp,Inad_ns_Lab,Inad_ns_Inad_ns,Inad_ns_To
RA10,3507,739,1125,47,894,370,699,3196,135,10711,1887,2190,3983,47,1029,74,4855,456,143,14661,29053,20064,32528,1585,16346,7866,20687,22405,1859,152404,4394,5650,4238,107,3489,600,3940,1774,372,24551,36504,16288,103394,461,24681,3319,13208,31620,3027,232506,22240,17563,5747,197,14409,10479,10695,3352,950,85628,42984,19010,12930,1942,15829,120367,15093,20252,1765,250179,29952,3772,23203,41077,6216,22160,4703,30033,1179,162297,15012,10671,5700,2889,28643,5577,59482,7815,1997,137794,11900,30492,6827,261,6657,3462,718,627,676,61623,35528,76713,1783,643,56452,5140,128,261,3373,180017,8634,8374,1417,397,8844,20980,917,1270,826,51662,44672,173336,19493,714,39168,4750,924,1693,2584,287334,12463,15024,6120,5906,10751,1986,4002,33118,850,90223,24768,41003,10758,34070,39198,967,2890,6052,3351,163053,21904,146356,4967,38515,24551,621,739,3197,1352,242203,24812,165328,12819,120208,54038,2216,2771,12394,2771,397353,7968,10839,3535,8856,4343,1582,296,2185,582,40176,9856,11388,35436,14723,10507,1693,1362,6249,743,91949,19809,22274,13236,5023,16339,7721,12723,11417,24388,132926
RA11,15256,925,2173,86,1393,485,1305,7530,395,29551,1062,1225,3935,57,649,38,6170,539,143,13818,5888,2430,10395,558,3374,2018,4600,9003,461,38720,1118,1118,2542,29,1217,156,1624,705,125,8646,8799,1614,34025,147,6431,740,6855,10205,743,69573,2803,1230,1900,48,1944,2975,1922,962,144,13927,10303,2065,4454,672,3243,37149,2281,6436,291,66898,9268,376,6952,14240,2342,6089,1165,11955,341,52729,2626,922,1303,377,5127,876,12429,1018,244,24927,914,1945,850,38,694,690,69,128,63,5393,1801,3589,159,104,5013,355,29,51,244,11342,1126,725,334,91,1653,4528,228,385,141,9215,3502,16334,4060,157,7344,392,170,418,282,32660,1742,1913,2576,1498,2157,283,920,11487,207,22786,6608,9984,4192,11643,11000,253,1904,2702,999,49285,5299,35612,1566,13221,6245,129,173,1497,349,64089,5734,39655,3296,41749,13444,520,635,4454,711,110193,1323,2068,1195,1835,778,273,79,1027,101,8671,1956,1802,13423,4130,2740,461,344,2130,173,27156,3107,2311,4001,1602,2845,1657,2388,3447,6316,27680
RA12,18463,608,1363,63,1304,230,1621,5693,291,29628,359,482,1395,15,219,9,2704,211,54,5446,1310,482,2349,121,841,367,1143,3328,151,10085,249,206,746,18,295,39,421,203,19,2205,1604,285,5557,16,974,95,1809,2009,125,12487,580,341,427,9,530,966,380,298,38,3569,2085,395,1057,102,643,7396,361,1406,57,13505,2297,73,1351,3255,541,994,279,2594,66,11448,670,162,252,72,1138,207,3335,300,52,6194,118,293,180,6,120,119,7,25,11,872,300,499,8,15,907,48,4,10,36,1828,182,96,77,21,267,831,43,69,25,1610,492,2613,730,25,1544,59,37,104,41,5649,258,396,399,277,343,37,289,2469,35,4497,1174,1539,760,1952,2114,57,1003,939,170,9701,990,7412,282,3375,1361,20,48,438,51,13972,932,6577,735,8086,2241,77,98,1027,146,19924,298,374,289,523,177,80,144,343,32,2253,361,337,3140,694,579,107,79,473,29,5800,797,420,1010,364,574,415,726,1143,1992,7440
RA13,2444,53,150,12,148,14,284,764,33,3900,57,115,282,8,38,3,444,50,6,1004,55,10,83,0,27,13,34,36,0,259,12,6,61,0,8,9,15,29,3,140,94,5,223,3,47,0,116,125,3,615,33,21,14,0,35,52,22,14,4,199,95,18,55,6,31,291,18,75,0,593,146,4,66,164,37,17,3,131,3,570,42,4,19,0,57,13,187,11,4,337,11,12,10,0,10,3,0,0,0,38,13,11,0,0,51,0,0,0,0,81,5,4,4,0,6,22,0,3,0,45,14,95,16,0,69,3,4,3,0,211,9,22,8,14,17,6,6,158,5,235,58,80,53,155,146,0,84,81,5,662,90,563,15,310,124,0,0,45,0,1146,46,316,37,428,116,7,3,82,7,1040,11,14,7,12,4,3,0,13,0,65,17,20,124,37,23,7,3,15,3,250,61,20,58,21,32,22,47,64,137,474
RA14,464,6,33,0,12,3,19,125,0,666,10,7,29,0,9,0,53,5,0,116,10,0,10,0,0,0,0,6,0,36,3,0,12,0,4,0,14,6,0,35,17,3,69,0,15,0,47,25,3,187,8,0,0,0,4,13,0,0,0,23,43,6,14,3,9,55,6,10,3,137,71,0,31,43,6,4,0,55,0,212,14,4,3,0,14,10,32,10,4,85,0,3,4,0,3,0,0,0,0,17,6,4,0,0,7,0,0,0,0,15,4,0,0,0,0,8,0,0,0,14,11,18,8,0,11,0,0,0,0,51,10,12,8,14,9,0,4,39,5,86,41,33,24,89,79,3,42,42,6,364,27,164,8,89,47,0,4,14,7,351,19,137,8,88,25,0,0,16,0,295,0,12,0,0,0,0,0,9,0,33,8,8,34,10,4,0,0,12,0,72,14,7,4,8,11,0,3,23,44,123
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,4456,1004,1433,84,1119,496,980,4239,220,14036,868,1179,551,18,381,30,813,153,78,4063,31876,21229,34498,2128,16690,8899,23140,29469,2218,170137,5035,6853,2827,60,4798,1171,3350,1480,550,26121,30780,13362,111418,433,21143,3088,12345,32271,3346,228182,18254,12660,4956,271,12834,10238,10684,3854,842,74597,39607,18106,11724,1944,15309,116984,12624,17441,1739,235482,24855,2304,23463,42402,4319,21041,2493,30752,1052,152684,13165,9715,4558,2489,24225,4599,55296,5279,1883,121211,8208,19751,5314,295,5467,3138,513,538,576,43798,19314,47834,1251,769,40828,3444,193,236,2067,115939,6301,5524,1223,422,6772,16103,982,1069,677,39081,34932,142438,17303,780,32184,3365,811,1511,2295,235612,9800,12145,7326,5010,10162,1502,3436,30132,974,80497,19543,36049,6412,32841,31334,549,1053,5688,2472,135947,18357,132222,5267,39532,18833,494,377,2134,1341,218559,19711,145083,11184,102781,45250,1888,2095,9997,2373,340368,8317,11095,3376,12295,4102,1782,301,2122,786,44167,8978,9409,33152,14646,8880,1647,1152,5930,828,84622,15979,17333,12672,4660,13607,6479,12683,11870,22587,117865
RA21,18696,882,2095,75,1333,409,1545,7556,333,32924,411,488,1018,36,197,15,1525,273,55,4025,6798,2870,10423,682,3430,2338,5264,11071,512,43384,1216,1108,2117,29,1318,111,1513,738,150,8294,7074,1426,29781,145,5213,680,5681,8921,692,59626,2309,1051,1162,32,1555,2786,1661,1040,97,11690,7801,1757,3481,488,2515,28097,1914,4964,228,51247,6042,255,4144,9226,1103,4773,634,8661,182,35025,2310,895,1101,430,4044,977,9796,895,214,20657,803,1684,839,43,900,481,65,123,61,5004,1698,3603,131,66,4499,319,33,49,201,10593,729,496,315,84,1161,2707,139,225,110,5965,2930,13079,3489,131,5714,314,89,276,243,26265,1232,1426,2391,1099,1443,167,387,7007,132,15277,4740,7374,2228,10175,7733,110,982,1754,599,35703,3600,28119,1235,10145,4017,95,130,892,251,48483,4649,33098,2728,30534,10929,417,468,4056,534,87411,1478,1872,1263,1918,683,330,73,1096,135,8855,1664,1441,10244,2944,1973,332,324,1853,153,20931,2597,1625,3193,1092,2112,1169,1926,2744,5244,21697
RA22,11277,394,887,62,610,144,995,4492,204,19067,92,64,193,0,39,0,264,52,10,716,965,398,1718,101,537,352,910,1674,112,6768,191,156,347,5,252,11,298,145,26,1431,1207,145,4455,13,719,81,1054,1369,101,9151,520,276,292,11,417,690,378,251,28,2866,1614,252,716,85,415,5662,255,1041,48,10097,1764,38,1064,2035,335,837,165,1954,72,8262,529,151,242,214,785,263,2433,244,59,4928,106,188,108,8,55,80,13,18,3,588,197,403,16,0,676,40,0,12,42,1387,95,71,62,15,202,532,18,37,12,1045,344,1830,545,17,979,59,19,72,30,3899,244,298,385,229,269,34,90,1672,32,3261,738,1164,356,1803,1165,16,322,477,89,6127,666,5031,199,2179,758,8,46,234,45,9169,878,5781,550,5974,1913,53,65,1080,121,16419,221,333,160,327,98,65,35,133,14,1373,273,250,2061,511,368,79,48,332,20,3951,598,296,612,216,381,236,416,782,1449,4990
RA23,383,4,10,3,25,0,28,81,8,542,0,0,0,0,3,0,5,0,0,9,4,0,6,0,0,5,0,6,0,29,4,0,0,0,0,0,6,3,0,13,5,0,16,0,3,0,13,8,0,44,0,0,0,0,0,3,0,0,0,11,7,0,5,0,0,29,0,3,0,63,20,0,12,0,0,4,0,14,0,52,5,0,0,0,6,5,39,3,0,66,0,3,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,3,0,12,0,0,0,0,30,0,3,0,3,3,0,0,11,0,22,8,7,0,17,14,0,12,14,0,78,10,72,3,17,12,0,0,7,0,116,3,47,3,69,22,0,0,19,6,175,0,11,0,4,0,4,0,0,0,18,0,3,16,0,0,0,0,0,0,28,8,3,8,0,4,5,7,4,16,51
