RA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
RA10,1953,5719,16010,20363,7059,39874,5236,24001,1865,122077,12556,49916,37196,46414,32495,37696,14144,24864,5136,260425,79089,237778,82106,66883,80962,44234,33809,40422,14003,679294,123759,220672,66513,51535,88780,35467,32874,31917,12917,664438,109368,152438,55676,48757,86223,32246,34733,35111,9758,564303,63124,95730,41237,35363,66124,24472,31657,33329,6246,397275,15379,30392,9563,7757,18559,6870,7775,8804,2046,107146,2369,4155,889,573,2066,984,589,866,712,13200,249,266,56,29,120,89,16,52,229,1101,407851,797072,309248,277672,382389,221921,160824,199363,52908,2809251
RA11,811,772,7778,8603,1714,14540,1383,10453,879,46950,2582,5285,12573,12190,4699,7322,2739,7809,982,56185,12062,27455,24899,18386,12655,9006,7724,13679,2181,128038,19858,30518,20045,16404,15755,7957,8479,12059,2392,133458,23909,29915,18612,18118,20244,9293,10551,13648,2603,146888,19937,24428,15115,15112,18541,8853,10778,13985,2002,128742,8407,8476,3914,3260,5355,2762,3248,3897,829,40150,2390,955,368,210,631,324,353,532,463,6216,279,52,26,7,38,35,19,34,144,635,90233,127842,103338,92280,79628,60090,45277,76085,12473,687257
RA12,281,128,1747,1587,339,2599,403,2475,267,9821,736,1047,2606,2221,911,1296,1036,2380,242,12470,3612,5344,5012,3721,2591,1873,2630,4481,570,29835,5667,5186,4149,3202,3170,1634,2619,3563,552,29747,7628,5322,3932,3799,4036,2044,3086,4126,613,34579,8340,4717,3533,3620,4134,2003,3451,4482,617,34887,5255,1635,1016,795,1337,620,1145,1336,334,13482,1723,187,110,50,178,84,141,231,190,2892,278,14,8,0,11,8,8,21,45,395,33515,23576,22113,19004,16710,12158,14516,23093,3427,168111
RA13,23,5,85,89,20,75,37,154,18,499,78,82,134,142,53,51,111,192,16,855,407,394,330,263,210,84,283,391,38,2400,534,307,241,219,184,73,199,249,43,2057,768,296,214,206,233,71,267,269,32,2350,834,241,227,203,222,88,264,326,38,2447,479,69,66,43,81,33,94,107,22,990,146,8,4,0,24,3,14,19,17,237,22,0,0,0,0,0,0,5,3,38,3304,1401,1297,1165,1020,477,1271,1696,232,11870
RA14,3,0,19,22,5,9,0,31,7,98,19,29,35,44,15,8,13,54,5,227,78,117,51,90,67,14,52,85,15,571,125,75,67,65,44,16,35,55,5,486,156,83,50,67,50,17,40,76,17,564,206,85,59,53,54,25,64,74,12,638,123,29,13,14,15,3,20,31,8,262,38,3,0,0,5,5,4,9,4,64,11,0,0,0,0,0,0,0,0,11,755,431,300,353,259,91,229,413,74,2911
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,18,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,35
RA20,1470,2878,10426,19266,5076,39987,3237,22650,1693,106679,10297,36658,35196,41443,27113,40238,13080,25841,4923,234785,64568,207613,85388,66134,72685,40195,34176,43123,13361,627243,102089,188363,66967,51542,72856,30332,31323,32367,11853,587686,91762,125640,54488,45957,70624,28491,30353,33662,9005,489991,52803,76864,37692,32048,53837,20983,26348,29080,5534,335187,13142,23934,8854,6945,14565,5884,6357,8271,1786,89737,2025,3143,856,499,1418,788,421,1106,567,10825,172,200,44,22,70,58,18,63,186,823,338324,665291,299909,263857,318248,206948,145319,196169,48906,2482969
RA21,676,371,5220,5726,1135,11546,825,8393,721,34615,2370,4268,9988,8669,3770,6049,2118,6691,793,44721,10167,23985,20203,14041,10062,6811,5632,11697,1827,104418,17085,26355,16799,12269,12654,5906,6011,10212,1783,109081,20598,23794,15450,14041,15620,7396,8159,11649,2044,118752,17315,18809,12414,11863,14241,6729,8689,11642,1733,103436,7955,6285,3028,2608,3971,1946,2534,3434,758,32514,2320,639,253,151,392,234,187,440,344,4966,294,30,15,10,27,14,9,23,117,546,78777,104545,83372,69377,61877,46634,34161,64189,10124,553051
RA22,222,63,996,1006,180,2046,206,1682,145,6550,602,751,1821,1579,623,1056,557,1563,183,8734,2670,4279,3405,2780,1660,1376,1289,3213,453,21122,4048,3944,2820,2266,2088,1187,1284,2495,428,20556,5181,3815,2657,2808,2719,1527,1670,2821,472,23676,5535,3443,2523,2705,2748,1565,2128,3169,454,24264,3159,1118,677,608,871,437,633,960,218,8678,985,112,69,43,85,48,61,143,141,1697,138,0,4,0,3,3,4,22,41,224,22534,17521,14967,13800,10988,9251,7834,16070,2529,115494
RA23,4,0,6,3,3,0,8,17,0,43,5,4,8,9,0,0,8,17,0,56,38,43,20,23,7,10,18,25,3,188,82,35,17,33,27,10,20,26,3,250,81,29,13,17,27,10,22,26,3,225,115,49,21,39,35,14,35,37,5,347,111,11,3,5,8,4,7,26,3,187,31,4,0,0,4,0,0,0,5,42,3,0,0,0,0,0,0,0,0,4,471,169,85,135,113,58,120,178,29,1349
