SA2_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
101021007,179,11,3,0,4,0,4,0,0,8,210,34,5,5,0,0,3,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,0,3,3,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,214,14,6,0,3,9,5,3,0,8,271,197,15,4,0,0,0,4,0,0,12,237,29,9,10,3,0,4,5,0,0,0,61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,9,10,3,0,4,5,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,230,23,13,0,0,8,5,0,0,12,300,372,26,8,5,4,0,4,0,0,22,443,67,16,14,3,0,8,7,6,0,4,118,3,4,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,67,14
101021008,228,30,21,3,0,0,4,0,0,8,293,176,48,57,18,15,23,14,3,0,10,357,42,3,5,3,0,0,0,0,0,5,64,0,0,0,0,0,0,0,0,0,0,0,222,50,60,20,19,23,13,4,0,15,423,0,0,0,0,0,0,0,0,0,0,0,446,81,80,24,18,23,17,6,0,21,714,215,24,23,0,0,4,0,0,3,5,283,220,56,61,16,22,3,13,0,0,11,397,47,5,7,3,0,0,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,268,58,68,17,25,5,17,0,0,14,464,0,0,0,0,0,0,0,0,0,0,4,482,90,90,17,25,11,16,3,3,19,750,447,50,44,3,0,4,4,0,4,13,577,400,108,115,35,35,23,25,8,0,20,758,86,4,12,7,0,0,0,3,0,8,125,0,0,0,0,0,0,0,0,0,0,0,484,113
101021009,330,47,46,17,9,12,10,8,4,14,485,216,177,224,85,112,76,49,18,3,3,965,44,7,9,4,4,5,8,5,0,0,78,0,0,0,0,0,0,0,0,0,0,4,260,184,235,85,114,82,56,21,4,8,1049,0,0,0,0,0,0,0,0,0,4,0,584,229,280,96,118,98,66,29,8,30,1537,301,38,40,10,7,14,13,4,0,14,436,257,130,196,72,95,83,56,18,8,7,932,69,7,12,7,7,5,10,3,0,4,120,3,0,3,0,0,0,0,0,0,0,7,325,136,207,76,103,89,66,17,8,15,1053,5,0,0,0,0,0,0,0,0,0,3,628,174,252,83,113,100,80,24,6,28,1492,631,89,88,20,16,28,14,8,7,30,921,473,307,426,159,206,157,105,37,5,12,1896,110,15,17,3,14,13,19,3,0,6,200,0,0,3,0,0,0,0,5,0,0,9,589,317
101021010,173,34,14,8,3,0,4,0,0,3,239,86,80,88,27,33,40,28,4,0,0,380,9,3,8,0,3,0,0,3,0,6,33,0,0,0,0,0,0,0,0,0,0,0,99,85,91,27,35,40,28,9,0,3,414,0,0,0,0,0,0,0,0,0,0,0,274,122,104,28,37,38,35,9,0,9,656,132,35,28,3,0,9,0,5,0,0,208,89,57,81,20,37,32,25,9,3,5,357,12,4,0,4,0,0,5,4,0,3,27,0,0,0,0,0,0,0,0,0,0,0,99,63,79,24,37,32,28,17,3,5,389,0,0,0,0,0,0,0,0,0,0,0,226,97,107,25,43,40,31,17,3,6,596,304,71,36,12,3,3,9,5,0,7,449,173,133,165,46,67,68,53,14,0,4,737,23,9,5,4,3,0,5,3,0,8,60,3,0,0,0,0,0,0,0,0,0,3,202,141
101021012,425,62,44,7,11,0,10,10,0,18,589,244,73,63,11,17,23,17,5,0,8,461,23,0,7,0,0,5,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,267,75,73,11,17,27,20,5,0,8,493,0,0,0,0,0,0,0,0,0,0,0,692,142,113,23,18,31,30,13,3,24,1087,393,55,42,5,9,8,8,7,8,13,546,257,96,71,14,23,14,17,0,0,4,503,25,4,3,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,3,289,93,78,17,22,20,22,5,0,10,549,0,0,0,0,0,0,0,0,0,0,0,686,157,118,20,27,25,29,15,5,21,1097,819,120,78,19,13,13,13,21,10,25,1137,503,171,141,25,36,42,36,9,4,14,965,50,0,9,0,0,4,6,0,0,5,79,0,0,0,0,0,0,0,0,0,0,3,549,169
101021610,115,37,49,8,5,3,9,0,3,4,240,93,126,86,17,12,16,11,0,0,6,361,3,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,91,129,88,16,13,13,16,0,0,6,369,0,0,0,0,0,0,0,0,0,0,0,210,166,136,23,16,14,19,4,3,10,609,113,32,42,7,10,3,3,0,0,9,215,67,114,118,22,8,3,10,0,3,3,349,4,4,3,0,0,6,6,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,72,121,118,27,7,8,20,4,3,3,380,0,0,0,0,0,0,0,0,0,0,0,183,149,163,29,17,8,18,4,0,12,598,231,65,90,19,11,5,13,4,3,17,450,158,240,203,35,16,15,26,3,0,9,717,8,8,4,4,0,4,6,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,167,250
101021611,632,74,63,7,3,4,5,0,4,18,811,123,26,18,7,0,0,11,0,0,9,180,8,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,137,23,18,3,4,0,11,5,0,9,201,0,0,0,0,0,0,0,0,0,0,0,766,102,80,11,3,8,10,7,3,26,1017,647,71,44,9,0,5,7,3,0,20,820,136,43,19,3,0,3,15,0,0,3,219,5,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,144,39,19,4,0,3,13,0,0,3,237,0,0,0,0,0,0,0,0,0,0,0,795,114,65,8,6,11,19,7,0,23,1056,1280,149,108,9,6,12,9,7,4,41,1634,259,66,33,8,5,3,20,3,0,6,407,19,0,5,3,0,0,0,4,0,0,26,4,0,0,0,0,0,0,0,0,0,4,276,67
101031013,57,8,5,0,0,3,0,0,0,6,80,3,0,3,0,0,3,3,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,6,0,3,3,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,60,9,9,3,0,0,5,0,0,5,99,59,0,5,6,0,0,6,0,0,4,76,14,4,0,0,0,0,3,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,3,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,72,4,4,3,0,4,4,4,0,0,104,117,8,15,9,0,0,5,0,0,5,163,19,3,8,0,0,5,3,4,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3
101031014,228,11,18,0,5,6,5,4,5,18,292,75,31,25,11,20,14,18,20,16,10,230,6,0,0,0,0,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,82,31,26,8,20,18,27,26,16,9,260,0,0,0,0,0,0,0,0,0,26,24,310,44,44,16,27,20,29,24,20,52,576,254,11,20,0,6,0,4,3,9,10,326,99,24,25,11,9,11,25,9,6,4,222,8,3,4,0,4,5,10,0,3,0,28,3,0,0,0,0,0,0,0,0,0,0,105,27,32,11,15,15,33,9,7,3,255,4,0,0,0,0,0,0,0,0,0,3,367,45,48,8,20,15,33,17,17,15,580,483,27,38,0,15,4,8,6,11,28,618,170,57,51,21,31,23,44,31,18,14,455,10,3,0,0,4,8,16,0,4,0,55,4,0,0,0,0,0,0,0,0,0,6,184,60
101031015,138,11,5,0,0,0,0,0,0,5,166,31,3,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,175,17,12,0,0,5,6,0,0,5,213,120,11,5,0,0,0,0,0,0,4,140,33,0,4,0,0,0,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,10,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,156,13,13,0,0,0,10,0,0,4,196,262,21,14,0,0,0,0,0,0,8,306,62,8,10,0,0,0,12,0,0,0,92,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,65,8
