SA2_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
101021007,18,3,0,9,8,6,0,4,126,0,0,0,0,0,0,0,0,0,0,0,441,43,28,8,3,10,14,4,0,23,568
101021008,122,35,37,29,31,6,0,27,885,0,0,0,0,0,0,0,0,0,0,3,934,167,164,40,41,30,30,10,8,46,1465
101021009,442,162,220,170,126,44,7,20,2100,5,0,0,0,0,0,0,0,0,4,8,1216,405,531,185,232,196,143,54,16,51,3031
101021010,170,48,70,74,57,25,3,14,797,0,0,0,0,0,0,0,0,0,0,0,499,217,209,52,77,77,65,22,8,16,1251
101021012,144,24,34,40,41,9,4,19,1049,0,0,0,0,0,0,0,0,0,0,0,1371,293,226,43,49,54,57,30,9,41,2183
101021610,211,41,19,24,33,10,0,9,756,0,0,0,0,0,0,0,0,0,0,0,396,319,303,58,29,22,43,11,8,28,1211
101021611,35,12,3,3,24,3,0,6,435,0,0,0,0,0,0,0,0,0,0,0,1560,219,146,17,11,16,33,10,3,52,2063
101031013,8,3,0,5,3,4,0,3,48,0,0,0,0,0,0,0,0,0,0,0,139,12,19,7,3,3,10,5,0,10,207
101031014,51,23,36,31,57,35,28,15,515,4,0,0,0,0,0,0,0,0,25,32,670,83,87,20,51,31,66,39,38,67,1163
101031015,15,0,0,0,13,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,326,26,23,0,0,3,17,0,0,8,402
101031016,68,20,23,44,145,41,3,17,577,0,0,0,0,0,0,0,0,0,0,0,1050,210,175,29,54,81,193,68,5,57,1920
101041017,39,11,10,17,14,14,0,9,330,0,0,0,0,0,0,0,0,0,0,0,991,89,68,19,21,21,20,8,3,42,1279
101041018,43,11,10,26,20,14,0,17,370,3,0,0,0,0,0,0,0,0,0,6,1113,89,80,26,17,23,31,21,0,69,1469
101041019,43,29,21,14,11,6,3,8,260,0,0,0,0,0,0,0,0,0,0,0,584,74,83,26,31,14,17,8,3,30,875
101041020,12,5,3,5,5,0,0,0,116,4,0,0,0,0,0,0,0,0,0,3,866,74,40,7,3,12,6,5,4,31,1053
101041021,9,0,7,7,5,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,371,31,26,0,9,10,10,3,0,19,486
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
101041023,5,9,4,9,4,3,0,5,103,0,0,0,0,0,0,0,0,0,0,3,313,22,19,11,6,9,4,4,0,17,412
101041024,0,0,0,5,0,0,0,6,61,0,0,0,0,0,0,0,0,0,0,0,312,17,6,3,5,5,0,0,0,26,369
101041025,54,21,11,14,28,13,0,17,359,0,0,0,0,0,0,0,0,0,0,0,1298,130,100,38,17,24,29,18,0,58,1714
101041026,19,0,4,3,4,0,4,3,158,0,0,0,0,0,0,0,0,0,0,0,847,59,40,11,9,7,7,0,3,42,1045
101041027,19,12,14,14,15,7,4,12,267,10,0,0,0,0,0,0,0,0,0,11,1197,73,51,15,18,19,25,7,3,59,1466
101051539,293,73,70,89,148,30,42,29,1317,0,0,3,0,0,0,0,0,0,94,91,1279,346,384,92,81,97,190,38,55,186,2746
