SA2_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
101021007,29,546,731,304,168,1785,167,1950
101021008,150,1020,1127,471,280,3048,215,3271
101021009,370,2423,1499,387,224,4904,282,5182
101021010,141,1064,704,222,131,2266,113,2376
101021012,81,1017,1925,775,509,4310,139,4443
101021610,3,347,1197,261,102,1917,72,1990
101021611,41,902,2191,1192,1051,5378,284,5664
101031013,41,337,374,174,80,991,100,1093
101031014,210,1151,956,305,166,2784,153,2938
101031015,34,347,513,258,178,1327,144,1471
101031016,87,1123,1191,520,414,3336,244,3579
101041017,235,1528,1225,364,179,3534,243,3770
101041018,161,1591,1466,411,193,3815,251,4063
101041019,207,1325,1391,458,197,3575,223,3796
101041020,56,1042,1557,666,403,3725,306,4029
101041021,48,631,614,177,103,1577,97,1672
101041022,0,0,5,0,4,10,3,14
101041023,109,570,506,150,65,1402,115,1516
101041024,14,413,553,235,164,1376,154,1530
101041025,189,2120,1890,538,235,4977,252,5230
101041026,144,1346,1419,454,269,3637,327,3966
101041027,204,1840,1627,452,183,4309,337,4651
101051539,721,3656,3229,1171,648,9431,565,9995
101051540,95,1200,1980,1049,792,5118,498,5618
101061541,120,869,947,384,223,2542,131,2675
101061542,36,727,1694,948,802,4202,258,4458
101061543,302,1562,1458,548,307,4165,297,4461
101061544,103,932,1109,483,356,2986,323,3312
102011028,38,714,1203,410,230,2593,86,2677
102011029,134,1442,1790,578,359,4304,156,4457
102011030,49,419,548,304,317,1635,178,1817
102011031,437,2212,1800,675,413,5536,268,5804
102011032,1096,4362,2740,653,296,9154,580,9730
102011033,49,565,915,340,220,2089,57,2145
102011034,246,1247,971,340,186,2996,182,3175
102011035,100,797,1045,366,189,2495,68,2561
102011036,100,824,1145,403,306,2776,86,2862
102011037,173,1003,908,282,138,2504,87,2589
102011038,106,826,1114,400,229,2672,90,2760
102011039,179,1758,2380,716,444,5478,287,5769
102011040,963,4709,3300,897,379,10246,660,10904
102011041,77,1051,1557,561,399,3647,125,3776
102011042,817,2812,1672,500,219,6026,350,6380
102011043,313,1801,1512,425,233,4282,221,4502
102021044,548,2839,3279,1054,568,8289,425,8717
102021045,139,1347,1544,560,283,3873,180,4052
102021046,203,1625,1395,446,240,3904,256,4157
102021047,204,1747,2309,855,564,5673,213,5885
102021048,636,3396,2874,939,560,8410,676,9095
102021049,0,147,366,238,291,1042,58,1101
102021050,172,2201,1470,486,305,4637,249,4886
102021051,33,471,708,267,220,1701,63,1763
102021052,64,806,1046,352,211,2469,102,2574
102021053,677,3258,2163,552,311,6962,487,7447
102021054,358,1857,1285,425,213,4138,259,4401
102021055,72,653,703,263,172,1851,72,1928
102021056,198,1805,2767,946,559,6276,269,6550
102021057,357,1422,1069,383,215,3446,275,3724
103011059,189,1186,1744,645,402,4171,221,4396
103011060,27,443,931,518,458,2389,166,2556
103011061,68,595,698,282,178,1824,252,2074
103011612,524,2225,1163,319,141,4371,314,4684
103011613,202,1669,2172,777,413,5235,226,5460
103021062,134,799,812,365,218,2326,295,2620
103021063,296,1511,1277,445,215,3729,280,4013
103021064,62,644,883,362,250,2205,244,2446
103021065,188,1353,1426,534,305,3805,410,4214
103021066,87,492,504,248,165,1500,108,1609
103021067,291,1576,1530,464,312,4167,312,4479
103021068,66,357,394,221,162,1192,152,1348
103021069,94,731,783,350,224,2187,258,2445
103031070,595,2156,1531,520,312,5116,344,5458
103031071,87,899,1213,604,412,3216,266,3484
103031072,281,1592,1865,638,329,4706,349,5051
103031073,74,551,487,200,153,1460,168,1629
103031074,111,1046,1516,768,562,3999,421,4424
103031075,0,0,0,0,0,0,0,0
103041076,83,813,1075,499,302,2778,199,2977
103041077,709,3337,2523,733,325,7634,521,8157
103041078,316,2544,3452,1131,562,8009,400,8412
103041079,93,848,1746,852,619,4158,302,4453
104011080,590,3286,2545,816,358,7600,537,8137
104011081,99,1654,2433,1064,637,5884,494,6377
104011082,336,3311,2882,774,360,7661,479,8140
104021083,61,873,893,299,163,2285,179,2470
104021084,579,3067,2416,717,376,7151,477,7629
104021085,438,1882,1351,429,190,4281,388,4675
104021086,18,297,550,280,194,1333,106,1437
104021087,61,536,492,197,96,1378,140,1517
104021088,42,1017,1784,557,300,3699,136,3835
104021089,353,2991,2922,945,536,7751,383,8135
104021090,80,810,794,252,149,2081,154,2236
104021091,216,2141,2093,667,395,5515,345,5859
105011092,165,458,329,132,95,1176,284,1459
105011093,116,564,526,190,115,1513,293,1813
105011094,110,480,440,192,128,1352,255,1607
105011095,110,608,602,271,171,1762,179,1942
105011096,150,801,603,211,163,1920,645,2568
105021097,718,3247,2406,719,302,7397,627,8021
105021098,98,369,217,104,121,905,193,1093
105031099,147,1046,1029,416,276,2909,500,3409
105031100,172,1242,1381,550,304,3650,332,3978
105031101,505,2815,2837,810,362,7328,603,7933
105031102,172,1358,1409,440,202,3576,338,3907
105031103,20,301,773,423,371,1885,209,2093
105031104,99,510,597,269,135,1606,233,1836
105031105,121,765,795,322,245,2248,304,2549
105031106,191,1122,1005,355,259,2935,368,3307
106011107,87,1103,1876,846,546,4458,174,4628
106011108,544,3135,2858,1053,606,8200,479,8679
106011109,40,724,1246,608,523,3148,163,3312
106011110,94,957,1450,624,473,3597,187,3788
106011111,344,2411,2858,1128,723,7465,371,7833
106011112,283,1862,2422,929,529,6027,332,6356
106011113,26,323,709,387,305,1752,161,1918
106021114,168,1032,1264,407,255,3117,116,3232
106021116,57,722,1236,551,374,2941,81,3029
106021614,457,2300,2600,946,480,6782,286,7067
106021615,220,1865,2471,973,577,6104,210,6317
106021616,221,1037,1145,390,195,2993,161,3161
106021617,222,1558,1543,475,254,4053,158,4214
106021618,98,1182,2656,877,506,5317,121,5433
106031119,57,983,981,314,211,2544,154,2696
