SA2_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
101021007,38,571,606,646,161,803,182,26,210,183,24,207,77,11,86,39,0,33,1160,788,1950
101021008,36,801,837,902,121,1026,519,42,564,491,33,521,201,9,212,98,10,107,2251,1020,3271
101021009,68,2140,2208,1267,256,1519,595,54,647,482,23,510,186,13,202,94,6,101,2688,2492,5182
101021010,37,944,981,569,119,689,316,32,348,222,12,240,80,8,85,32,0,32,1263,1117,2376
101021012,73,729,804,1175,118,1296,839,38,870,920,25,950,366,13,385,131,5,143,3513,934,4443
101021610,26,170,196,513,37,550,432,23,454,518,6,529,185,5,191,67,7,71,1740,243,1990
101021611,101,784,881,1845,195,2045,891,49,932,1003,50,1057,457,24,483,254,6,262,4557,1112,5664
101031013,10,376,385,360,68,433,81,13,93,96,14,118,48,4,48,19,6,29,620,479,1093
101031014,52,998,1055,853,166,1022,344,35,378,271,20,293,124,7,136,58,5,64,1702,1232,2938
101031015,27,409,440,475,101,577,154,25,178,155,18,174,69,0,70,39,0,41,921,548,1471
101031016,49,814,860,722,433,1154,382,191,569,377,157,539,185,94,278,95,87,179,1805,1774,3579
101041017,37,1205,1244,1261,228,1487,359,46,404,316,35,352,163,22,184,101,10,108,2233,1538,3770
101041018,59,1210,1276,1495,260,1753,391,41,436,342,34,370,136,19,155,66,10,79,2495,1569,4063
101041019,56,1137,1198,1206,203,1402,450,54,507,369,32,397,179,14,195,89,9,97,2346,1446,3796
101041020,68,1016,1083,1435,269,1703,445,48,494,391,35,421,182,10,194,117,5,122,2642,1382,4029
101041021,28,477,509,563,107,667,183,22,203,174,14,190,69,4,70,31,9,37,1039,634,1672
101041022,0,0,0,10,6,12,0,0,0,0,0,0,0,0,0,0,0,0,10,6,14
101041023,22,492,511,508,109,618,138,21,164,113,14,129,59,3,63,37,8,35,871,645,1516
101041024,23,389,411,546,142,681,150,22,171,132,19,149,63,11,71,37,0,43,951,584,1530
101041025,93,1665,1757,1838,310,2145,552,51,607,433,38,474,159,11,164,78,0,81,3158,2077,5230
101041026,49,1173,1224,1464,290,1752,379,60,437,318,23,347,124,8,135,71,9,75,2404,1565,3966
101041027,68,1472,1540,1718,354,2076,395,70,465,291,33,325,135,21,158,84,8,89,2691,1960,4651
101051539,127,3192,3319,2885,445,3329,1218,109,1332,1119,73,1193,512,29,546,259,21,283,6125,3871,9995
101051540,75,1388,1468,1883,360,2240,629,73,703,607,57,664,299,27,323,195,19,220,3688,1927,5618
101061541,41,753,787,818,83,898,371,20,387,328,21,348,167,12,175,74,0,74,1790,887,2675
101061542,64,717,777,1430,200,1628,637,37,669,735,33,768,382,26,410,201,6,201,3441,1019,4458
101061543,62,1345,1408,1320,227,1545,516,47,566,476,25,501,264,13,278,160,4,167,2798,1664,4461
101061544,41,995,1038,1055,230,1283,345,49,395,285,30,316,160,14,177,98,7,103,1992,1322,3312
102011028,44,424,464,816,112,930,415,31,442,493,32,522,199,18,218,90,3,96,2066,613,2677
102011029,56,969,1031,1541,233,1774,560,45,608,629,30,660,255,16,269,107,10,117,3150,1306,4457
102011030,18,451,475,518,113,627,241,36,274,213,14,231,104,13,111,87,5,97,1179,636,1817
102011031,45,1719,1759,1809,162,1974,717,34,748,746,18,761,356,13,365,179,11,187,3849,1952,5804
102011032,131,3518,3645,2687,563,3250,1229,120,1348,962,57,1013,311,21,333,127,12,142,5450,4279,9730
102011033,17,326,345,571,49,616,381,16,397,472,17,488,181,3,188,111,0,116,1736,411,2145
102011034,36,1025,1060,922,116,1040,361,17,379,409,13,419,191,4,192,83,0,85,2004,1172,3175
102011035,40,472,510,733,79,818,428,19,447,465,11,476,196,3,203,104,6,106,1963,594,2561
