SA2_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
101021007,14,0,0,0,0,14,14,0,0,0,0,19,19,0,0,0,0,19,26,3,0,3,0,29,30,0,0,0,0,30,78,3,0,0,0,78,87,0,0,4,0,90,110,0,0,0,0,115,46,0,0,0,0,48,55,0,0,0,0,52,26,0,0,0,0,26,44,0,0,0,0,44,544,6,0,10,5,566
101021008,48,0,0,0,0,49,7,0,0,0,0,11,12,4,0,0,0,14,28,7,0,0,0,31,36,11,0,0,0,50,117,23,0,0,0,144,148,51,0,0,0,198,320,41,0,0,0,363,134,9,0,0,0,149,108,7,0,0,0,110,46,0,0,0,0,53,52,12,0,0,0,70,1057,175,4,0,0,1237
101021009,24,10,11,0,0,46,14,7,10,0,0,31,14,12,10,0,0,39,17,9,26,0,0,56,23,10,55,0,0,87,100,62,116,0,0,274,122,126,66,0,0,317,262,74,22,0,0,356,134,11,0,0,0,150,88,12,7,0,0,105,27,6,0,0,0,38,41,18,10,0,0,66,869,350,335,3,0,1564
101021010,11,4,3,0,0,23,7,0,3,0,0,11,0,3,5,0,0,9,3,9,11,0,0,24,9,11,32,0,0,49,25,44,45,0,0,118,39,89,19,0,0,148,66,69,9,0,0,141,50,11,9,0,0,63,49,7,0,0,0,55,31,5,0,0,0,34,24,12,4,0,0,38,320,264,133,0,0,712
101021012,67,15,0,0,0,86,18,0,0,0,0,23,13,5,0,0,0,21,33,3,0,0,0,31,38,6,4,0,0,48,118,24,3,0,0,148,174,73,0,0,0,251,375,73,5,0,0,444,307,21,4,0,0,332,346,12,0,0,0,360,192,12,0,0,0,202,84,5,0,0,0,90,1764,256,14,3,0,2038
101021610,10,0,0,0,0,10,4,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,3,18,0,0,0,0,18,40,9,0,0,0,46,83,22,3,0,0,108,308,20,6,0,0,331,396,3,0,0,0,396,287,7,0,0,0,296,111,0,0,0,0,111,37,3,0,0,0,49,1303,70,10,0,0,1378
101021611,107,4,0,0,0,107,36,0,0,0,0,43,30,0,0,0,0,30,53,0,0,0,0,53,80,0,0,0,0,80,216,0,0,0,0,222,249,4,3,0,0,254,527,3,0,0,0,535,450,5,0,0,0,449,555,4,0,0,0,557,355,0,0,0,0,358,155,5,0,0,0,160,2820,19,12,3,6,2850
101031013,20,0,0,0,0,20,6,0,0,0,0,6,10,0,0,0,0,10,22,0,0,0,0,28,33,0,0,0,0,33,70,0,0,0,0,72,28,0,0,0,0,28,16,0,0,0,0,16,5,0,0,0,0,5,7,0,0,0,0,7,6,0,0,0,0,6,12,0,0,0,0,22,244,0,0,0,3,246
101031014,36,0,0,0,0,42,25,0,0,0,0,23,19,0,0,0,0,20,59,0,0,0,0,54,70,0,0,0,0,70,215,3,4,0,0,223,146,0,0,0,0,146,105,0,0,0,0,111,23,0,0,0,0,26,17,0,0,0,0,17,10,0,0,0,0,11,43,0,0,0,0,39,778,12,4,0,0,795
101031015,34,0,0,0,0,33,17,0,0,0,0,17,18,0,0,0,0,18,30,0,0,0,0,30,33,0,0,0,0,33,54,0,0,0,0,54,75,0,0,0,0,74,88,0,0,0,0,86,43,0,0,0,0,43,28,0,0,0,0,28,25,0,0,0,0,25,20,0,0,0,0,20,449,5,0,0,0,452
