SA2_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
101021007,30,99,312,710,388,75,39,153,1809,0,0,25,31,0,0,0,3,64,0,0,0,0,0,0,0,0,4,0,0,29,33,0,0,0,7,70,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,10,10,3,0,0,9,51,0,5,4,0,0,0,0,6,14,40,115,355,755,393,71,39,175,1950
101021008,3,17,116,1232,854,156,61,161,2604,0,23,131,128,4,0,0,19,304,0,13,77,120,15,0,0,15,246,0,41,211,244,21,0,0,41,554,0,19,26,0,0,0,0,9,58,8,13,15,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,30,45,4,0,0,0,16,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,92,372,1483,870,156,62,220,3271
101021009,3,25,247,1036,562,135,42,79,2126,0,75,303,193,3,0,0,41,621,0,60,268,222,7,0,4,35,594,0,135,574,412,12,0,4,74,1213,6,294,270,24,4,0,0,48,644,8,81,253,17,0,0,0,32,387,0,139,468,30,0,0,0,37,670,0,17,57,6,0,0,0,3,83,0,6,5,5,0,0,0,0,17,13,532,1052,77,9,0,0,116,1799,4,7,4,4,0,0,0,10,23,3,5,0,0,0,0,0,3,19,20,700,1881,1533,581,136,42,285,5182
101021010,0,9,53,301,357,85,27,29,855,0,20,164,58,5,0,0,13,261,0,27,286,130,8,0,0,17,472,0,49,446,184,8,0,0,29,729,10,136,121,23,4,0,0,24,319,0,43,98,0,0,0,0,11,153,0,76,205,9,0,0,0,14,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,262,422,37,3,0,3,51,786,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,8,326,927,525,372,85,30,108,2376
101021012,0,9,41,946,1976,485,88,88,3619,0,3,212,208,38,0,0,28,480,0,4,63,108,24,3,0,8,215,0,7,278,317,60,3,0,34,700,4,37,25,16,0,0,0,15,102,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,25,17,0,0,0,17,113,0,6,0,0,0,0,0,0,9,0,4,3,0,0,0,0,0,3,8,58,346,1283,2037,483,89,142,4443
101021610,0,18,24,351,1223,162,12,58,1846,0,0,0,9,0,0,0,0,17,0,9,26,62,0,0,0,3,100,0,9,26,67,0,0,0,12,115,0,0,0,0,0,0,0,4,3,0,0,10,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,64,427,1223,162,12,74,1990
101021611,20,125,411,1371,2298,797,243,260,5523,0,0,19,19,3,0,0,4,43,0,0,8,16,4,0,0,0,24,0,0,24,31,3,0,0,4,65,0,0,0,13,4,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,0,0,6,15,4,4,0,4,30,4,8,3,5,0,0,0,9,30,0,4,5,0,0,0,0,0,16,27,140,454,1421,2308,800,242,280,5664
101031013,4,28,157,465,231,43,13,91,1041,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,6,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,9,3,3,0,0,0,0,0,0,11,5,0,5,6,0,0,0,0,17,14,36,175,472,231,43,15,100,1093
101031014,5,40,310,1277,636,128,32,117,2551,0,26,87,22,4,0,0,9,145,0,9,12,11,3,0,0,3,36,0,39,99,35,6,0,0,8,191,0,43,57,10,0,0,0,12,126,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,50,62,10,0,0,0,15,147,0,15,6,9,3,5,3,5,37,0,4,4,5,0,0,0,0,12,10,148,480,1331,646,137,38,149,2938
101031015,19,60,167,484,419,103,45,140,1435,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,5,0,0,0,0,14,0,7,3,0,0,0,0,0,13,21,77,173,488,421,103,51,145,1471
