SA2_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
101021007,0,4,5,8,12,13,7,0,42,0,7,10,3,9,7,0,0,36,15,32,40,69,73,61,30,9,322,9,18,23,31,39,20,14,6,156,0,4,11,14,23,14,12,5,90,0,4,0,6,9,8,9,0,35,0,3,8,6,12,9,10,0,50,0,13,16,23,31,23,8,6,126,0,5,15,25,26,26,15,6,113,0,4,14,10,21,7,0,0,55,3,11,9,7,6,0,0,0,39,0,0,3,0,0,0,0,0,3,4,0,4,3,5,9,0,0,24,12,17,30,32,44,34,23,5,192,50,126,173,249,300,241,129,29,1284,0,3,3,14,6,4,4,0,32,0,4,0,0,7,3,0,0,10,0,3,0,5,3,3,3,0,28,0,6,5,4,5,4,0,0,16,3,5,11,11,11,3,3,0,54,4,26,23,25,42,28,11,0,166,4,21,26,16,41,41,25,4,170,3,30
101021008,3,9,5,13,4,6,0,0,43,12,41,34,19,22,5,0,0,130,23,93,91,103,90,63,20,5,482,24,81,48,39,54,25,11,9,285,0,9,10,11,11,6,0,0,45,7,7,12,12,11,7,0,0,56,0,12,12,13,17,7,3,0,59,3,41,49,56,38,23,4,0,218,12,41,32,32,39,26,9,0,187,7,15,9,4,7,3,0,0,45,9,20,21,11,8,6,0,0,63,0,0,0,0,0,0,0,0,0,4,4,13,9,0,4,0,0,38,48,65,54,39,48,26,13,3,299,155,425,390,357,335,198,73,16,1947,0,7,9,11,17,3,0,0,49,0,16,12,4,6,0,0,0,49,0,12,0,10,0,3,0,0,28,3,4,3,7,0,0,0,0,20,0,7,5,0,4,0,0,0,19,15,66,31,36,25,17,13,0,205,17,43,37,40,29,23,9,0,198,33,101
101021009,0,27,13,17,15,8,7,3,98,32,143,64,47,16,8,0,0,305,33,185,126,122,93,58,22,11,656,30,72,62,46,46,31,22,12,325,4,14,8,11,14,13,4,0,68,7,29,14,30,14,8,4,0,109,8,19,21,16,13,11,4,3,86,22,148,104,73,60,27,7,0,450,18,73,91,60,54,28,9,0,333,10,22,38,24,12,7,6,3,115,13,41,28,26,15,7,3,0,140,0,3,0,0,0,0,0,0,4,0,10,18,9,10,6,0,0,56,35,83,61,48,43,46,27,23,359,206,889,650,532,409,259,107,66,3109,4,41,23,15,16,4,0,0,106,6,74,17,11,7,3,0,0,124,3,21,21,7,3,4,5,0,71,7,11,5,5,3,3,0,0,37,4,14,16,8,3,4,0,0,47,28,127,63,63,54,27,15,6,384,12,78,42,43,38,19,11,3,244,39,236
101021010,0,7,12,9,9,7,3,0,53,15,55,33,22,17,3,0,0,138,14,105,54,57,62,31,9,3,340,13,29,21,12,18,13,4,8,120,7,4,3,4,3,4,0,0,25,5,4,6,10,6,5,3,0,40,0,17,8,11,4,5,3,0,39,4,59,52,39,26,20,9,0,220,13,40,30,38,32,24,7,0,183,3,17,11,3,8,3,0,0,51,4,26,22,9,7,0,0,0,75,0,0,0,0,0,0,0,0,0,4,5,11,5,6,0,0,0,27,13,48,31,29,38,9,0,0,175,91,423,293,246,235,132,58,16,1495,3,13,13,4,7,3,4,0,49,9,15,11,8,3,0,0,0,43,0,11,8,4,4,3,3,0,35,0,4,8,4,0,5,0,0,20,6,3,8,5,9,0,0,0,21,9,45,39,40,17,17,4,0,183,16,46,21,24,22,15,9,4,148,20,91
101021012,5,17,37,29,29,13,9,0,130,12,47,92,56,31,4,0,0,246,34,133,160,162,172,77,21,10,768,40,73,46,77,70,33,12,0,350,4,8,21,19,15,4,3,3,65,9,23,16,33,21,11,0,0,108,3,21,21,19,20,20,9,0,103,20,88,140,181,117,38,15,0,604,14,50,94,145,83,41,15,0,442,17,26,17,15,7,0,0,0,84,13,6,15,13,15,4,0,0,65,0,0,0,0,0,0,0,0,0,0,7,25,25,16,0,0,0,72,23,58,43,30,33,14,8,0,201,177,552,722,797,616,262,94,18,3242,3,20,29,32,24,6,0,0,114,0,13,26,13,8,0,0,0,62,0,12,21,18,5,3,0,0,69,0,10,6,3,5,3,0,0,35,0,10,6,9,0,10,0,0,32,22,89,96,102,67,35,7,5,426,19,65,93,88,72,32,10,0,373,43,142
101021610,0,9,18,11,4,3,0,0,43,4,47,74,22,11,0,0,0,156,17,111,115,67,26,12,6,0,349,14,73,41,22,7,4,0,0,162,0,4,5,0,0,0,0,0,10,0,21,28,8,8,0,0,0,72,0,13,15,9,6,4,0,0,48,12,86,119,68,29,3,0,0,306,7,38,68,44,17,8,3,0,177,0,13,10,4,0,0,0,0,27,0,15,24,9,6,0,0,0,49,0,0,0,0,0,0,0,0,0,0,10,18,10,4,0,0,0,37,15,23,26,16,3,9,0,0,95,75,464,556,282,107,47,14,3,1539,0,17,23,7,3,3,0,0,57,0,21,23,5,0,0,0,0,52,0,13,9,4,3,0,0,0,32,0,12,6,4,0,0,0,0,20,0,5,3,0,5,0,0,0,11,10,93,69,38,17,11,0,0,240,4,59,65,28,6,5,0,0,166,17,185
101021611,5,14,19,44,39,50,24,0,199,19,28,59,65,58,15,3,0,248,53,154,176,244,259,162,72,20,1149,43,142,119,119,89,78,23,4,614,9,23,29,37,42,28,18,0,180,5,18,16,24,26,25,10,0,124,4,9,25,35,31,37,14,0,171,8,53,104,158,153,73,24,3,576,20,59,105,131,114,84,32,3,539,3,21,19,34,15,15,4,0,113,14,19,27,32,16,13,4,0,110,0,0,0,0,0,0,0,0,0,0,7,16,27,20,5,3,0,81,71,91,81,90,132,77,24,0,563,258,635,795,1032,1008,668,247,30,4673,3,24,41,52,48,35,11,0,211,5,9,14,31,21,6,0,0,85,0,11,9,22,7,6,3,3,65,3,8,9,11,11,4,0,0,52,4,13,16,28,14,4,3,0,99,21,101,102,147,118,98,29,7,618,15,63,109,123,97,78,32,6,523,34,149
101031013,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,6,6,29,28,24,38,23,10,0,157,0,6,9,9,10,9,3,0,51,3,9,18,19,25,24,3,0,103,0,0,0,4,3,3,0,0,14,0,4,0,3,4,0,0,0,16,0,8,5,12,4,6,0,0,34,0,8,0,4,10,6,3,0,36,0,0,0,0,4,0,0,0,7,0,3,11,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,12,10,13,14,18,20,16,18,5,106,24,94,88,94,127,100,46,5,576,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,6,4,4,13,4,0,0,0,0,26,3,9,8,16,20,21,6,8,94,3,5,13,17,18,5,0,0,73,4,19
101031014,4,3,10,8,6,3,0,0,38,16,13,10,15,9,6,0,0,64,19,102,94,77,105,77,52,15,543,11,52,43,34,35,20,15,10,215,3,15,11,10,18,9,3,3,69,3,11,11,6,18,6,6,0,66,0,5,3,11,11,12,7,4,55,13,25,43,21,30,31,9,4,172,4,22,14,26,24,11,4,0,106,4,12,5,0,0,7,0,0,30,5,5,11,15,14,4,4,3,66,0,0,0,0,0,0,0,0,0,0,6,3,5,5,3,0,0,22,38,113,107,83,53,33,27,16,465,122,387,365,314,330,215,131,56,1918,0,6,6,8,12,4,4,0,40,0,0,3,6,0,5,0,0,13,0,15,10,5,5,4,4,0,46,0,3,0,0,0,0,0,0,12,4,9,8,7,0,0,0,0,30,14,32,41,45,57,42,25,12,264,6,26,37,38,44,23,17,5,194,25,64
101031015,0,9,4,0,7,9,7,0,31,4,8,4,6,9,7,0,0,35,4,44,52,70,79,50,19,4,331,9,26,12,28,20,12,5,0,110,0,6,13,26,33,12,15,0,110,0,0,6,4,3,0,3,0,27,0,0,0,5,9,11,5,0,34,3,0,7,23,20,12,3,0,76,0,6,15,15,14,9,4,0,62,0,0,4,0,0,3,0,0,18,0,5,5,3,12,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,13,35,41,42,43,32,17,5,226,43,145,163,233,243,162,81,21,1087,0,0,4,5,4,4,0,0,24,0,0,0,0,5,0,0,0,9,0,5,3,7,4,3,0,3,29,0,0,5,0,0,0,0,0,16,6,16,7,16,8,3,0,0,54,6,15,15,28,40,21,12,0,142,6,6,14,21,20,17,7,0,94,4,21
