SA2_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
101021007,0,8,11,16,22,47,47,14,3,176,0,0,11,16,9,7,0,0,0,50,7,0,10,7,6,13,3,0,0,45,0,0,7,4,7,7,0,0,0,26,12,19,38,28,50,43,6,0,0,201,0,4,0,3,4,0,0,0,0,13,3,4,5,12,6,8,4,0,0,52,8,3,9,7,4,11,4,0,0,47,0,0,7,8,16,13,6,0,0,52,0,0,0,5,4,3,0,0,0,8,0,0,0,4,3,7,0,0,0,10,0,0,0,0,0,5,3,0,0,3,0,0,8,6,19,23,10,5,0,70,0,6,0,0,4,4,0,0,0,21,0,0,19,21,53,28,7,0,0,133,0,0,0,9,15,14,10,6,0,57,0,0,4,4,3,8,3,0,0,20,0,0,3,5,0,5,0,0,0,15,4,6,9,0,9,5,4,0,0,35,3,0,5,13,15,8,5,3,0,50
101021008,0,0,0,0,0,0,3,0,0,8,0,0,0,0,4,4,0,0,0,5,0,10,28,31,29,21,8,0,0,135,0,3,3,16,11,7,0,0,0,44,18,70,156,104,94,75,20,0,0,546,0,6,13,8,14,3,3,0,0,53,19,23,43,20,19,15,5,0,0,148,28,24,17,16,3,10,5,0,0,103,0,15,24,16,31,28,8,0,0,128,0,4,4,8,4,7,0,0,0,17,0,0,7,0,0,0,0,0,0,12,0,0,3,0,7,5,3,0,0,29,5,9,29,37,25,15,4,3,0,125,0,0,12,14,13,14,0,0,0,54,0,20,74,109,115,83,15,0,0,404,8,3,13,6,13,10,4,0,0,63,0,6,22,21,8,18,4,0,0,75,0,4,4,4,4,5,0,0,0,30,3,6,23,19,29,16,4,0,0,106,7,16,17,26,20,9,7,0,0,105
101021009,0,0,5,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,17,53,32,38,34,7,0,0,185,0,0,6,14,11,10,3,0,0,49,33,87,181,145,93,75,21,0,0,632,4,8,21,3,15,10,0,0,0,60,22,36,112,51,25,35,6,6,0,295,30,32,74,31,22,13,3,0,0,213,0,4,60,36,37,30,5,0,0,183,0,3,8,9,12,5,5,0,0,43,0,0,11,3,7,0,0,0,0,21,0,6,10,13,7,8,0,0,0,37,4,4,83,64,39,20,7,0,0,215,0,14,33,18,25,15,9,0,0,109,3,35,150,177,169,92,18,0,0,652,7,4,35,32,24,17,8,0,0,124,0,11,58,38,24,25,10,5,0,165,8,6,12,6,8,7,3,0,0,47,3,16,33,28,24,21,11,0,0,132,10,17,60,39,31,21,3,0,0,173
101021010,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,5,23,18,14,18,3,0,0,92,0,0,6,4,0,4,0,0,0,21,8,20,76,42,43,35,8,0,0,234,0,0,11,8,4,3,4,0,0,35,13,19,51,20,11,11,3,0,0,123,27,13,32,17,0,7,4,0,0,95,3,4,22,20,14,28,0,0,0,89,0,4,12,6,0,0,0,0,0,22,0,0,5,0,0,0,0,0,0,12,0,0,0,6,6,0,0,0,0,9,0,10,44,26,18,12,7,0,0,118,0,4,12,10,16,14,3,0,0,55,0,26,83,80,94,61,19,0,0,357,0,9,26,17,10,13,4,0,0,76,0,6,15,18,22,14,0,0,0,73,3,0,3,5,0,3,3,0,0,14,3,10,22,20,10,4,0,0,0,62,0,5,26,17,8,13,5,0,0,78
101021012,0,0,3,4,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,10,11,10,32,21,38,30,15,0,0,150,0,3,11,8,15,9,0,0,0,45,36,96,149,109,120,117,21,4,0,655,7,6,13,19,15,12,0,0,0,65,67,47,42,23,31,33,5,0,0,245,90,32,15,9,6,8,0,0,0,164,4,12,17,18,38,30,7,0,0,134,5,0,18,18,18,3,0,0,0,64,0,8,6,7,12,10,0,0,0,33,0,5,9,17,10,9,0,0,0,54,5,23,57,87,89,64,12,0,0,337,4,10,14,7,15,18,0,0,0,78,0,23,135,350,396,201,31,0,0,1145,8,15,28,23,31,18,13,0,0,134,0,8,21,25,36,16,5,0,0,114,8,3,5,6,14,5,0,0,0,42,8,14,27,21,19,18,5,0,0,112,3,18,24,23,21,21,0,0,0,121
101021610,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,8,28,26,14,7,0,0,0,77,0,0,0,11,4,0,0,0,0,26,15,30,144,77,29,7,3,0,0,305,0,0,8,15,7,4,0,0,0,38,20,11,17,24,15,7,0,0,0,98,19,3,15,12,5,0,0,0,0,63,0,4,22,21,9,3,3,0,0,64,0,0,7,11,3,0,0,0,0,28,0,0,6,10,3,4,0,0,0,25,0,0,4,6,3,0,0,0,0,21,0,15,59,71,32,9,5,0,0,184,0,3,9,14,5,0,0,0,0,39,0,12,150,240,142,42,4,0,0,590,0,5,14,24,8,7,0,0,0,64,0,4,27,37,12,9,5,0,0,83,0,0,0,4,0,0,0,0,0,12,0,0,17,9,6,7,0,0,0,42,0,3,14,27,6,0,0,0,0,56
101021611,6,10,18,16,18,39,43,25,0,174,0,4,6,0,3,0,0,0,0,19,15,20,40,33,52,33,9,3,0,204,0,0,8,16,15,19,0,0,0,64,72,119,228,222,208,149,50,3,0,1052,0,4,12,16,23,20,12,4,0,79,51,32,26,33,31,38,20,4,0,235,67,22,19,14,18,13,6,0,0,161,5,13,18,33,61,59,13,3,0,203,0,5,8,8,17,8,4,0,0,51,0,5,3,8,13,13,5,0,0,48,0,0,7,9,20,10,3,0,0,54,4,20,56,92,123,93,37,12,0,434,4,11,6,13,24,19,11,0,0,78,0,30,101,252,337,234,41,6,0,998,7,9,19,35,50,35,12,6,0,174,8,16,19,16,21,30,15,0,0,131,13,10,11,8,12,6,4,0,0,61,13,26,36,37,45,34,7,4,0,193,10,11,31,31,42,36,21,3,0,189
101031013,9,15,37,35,40,64,31,14,0,241,0,0,0,0,0,0,0,0,0,6,0,0,22,12,11,13,0,0,0,71,0,0,0,0,0,9,0,0,0,10,3,8,17,12,14,7,6,0,0,73,0,0,0,0,8,0,0,0,0,10,6,3,0,4,6,4,5,0,0,21,0,0,0,3,0,3,0,0,0,11,0,0,4,0,6,9,6,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,5,0,0,0,4,0,0,3,9,10,11,0,0,0,32,0,0,5,0,3,4,4,0,0,18,0,0,0,4,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,5,3,0,3,0,0,0,0,14,0,0,10,12,0,6,3,0,0,39
101031014,5,7,14,8,5,16,10,5,0,65,0,0,0,0,6,0,0,0,0,6,0,0,15,7,12,14,3,0,0,52,3,15,41,31,25,25,8,0,0,131,18,29,95,87,71,46,18,4,0,362,8,0,5,8,5,12,4,3,0,35,25,27,30,23,22,22,17,3,0,164,37,23,18,9,15,10,0,3,0,119,0,5,11,16,22,37,7,0,0,97,0,0,6,0,5,5,3,0,0,16,0,0,0,0,6,5,0,0,0,11,6,0,4,3,0,4,4,0,0,23,0,10,21,13,9,13,9,0,0,79,3,5,6,10,8,3,0,3,0,51,0,4,26,30,40,56,6,0,0,160,0,0,11,5,18,19,3,0,0,60,0,5,11,12,7,15,3,0,0,61,0,0,3,3,3,0,0,0,0,13,3,9,17,5,13,9,10,0,0,62,8,5,19,16,20,11,6,5,0,86
101031015,10,6,19,21,41,56,33,33,4,212,0,0,3,0,0,3,0,0,0,11,0,7,7,3,5,4,0,0,0,28,0,3,8,6,10,13,3,0,0,49,9,13,50,48,59,41,5,7,0,227,0,0,0,5,4,4,6,0,0,18,14,6,4,10,7,13,3,0,0,56,12,7,4,0,0,10,5,0,0,43,0,0,0,8,9,10,4,0,0,41,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,10,4,10,7,4,0,0,38,0,0,4,0,7,0,0,0,0,16,0,3,13,8,44,31,7,0,0,103,0,0,0,0,4,5,3,0,0,20,0,0,0,4,0,4,0,0,0,19,0,0,0,3,3,6,0,0,0,11,3,4,9,4,4,9,3,0,0,36,3,0,8,13,9,8,4,0,0,45
