SA2_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101021007,4,4,7,8,18,12,5,0,0,64,8,0,9,21,25,17,4,3,0,87,84,92,281,342,496,497,198,38,3,2036
101021008,20,21,42,33,33,22,11,0,0,188,13,16,41,33,33,20,10,4,0,169,248,408,968,888,909,671,157,22,0,4258
101021009,12,27,60,50,31,30,11,0,0,223,10,22,89,56,40,39,8,0,0,263,224,570,1935,1380,1127,834,194,8,4,6281
101021010,6,12,29,27,16,13,0,4,0,107,6,11,36,22,23,17,5,0,0,117,100,283,872,648,537,394,95,10,6,2944
101021012,15,26,42,48,53,36,9,0,0,234,8,24,46,33,49,30,3,5,0,208,552,634,1266,1617,1905,1154,213,19,0,7364
101021610,3,8,40,26,11,4,0,0,0,91,3,6,28,37,15,8,0,0,0,93,141,203,1172,1212,622,203,30,0,0,3588
101021611,22,40,59,63,71,60,15,4,0,337,24,23,41,57,78,57,24,3,0,307,549,671,1383,1813,2266,1662,514,78,4,8936
101031013,3,5,3,3,3,0,0,0,0,20,4,4,16,17,5,6,6,0,0,62,52,81,201,204,204,253,111,24,0,1129
101031014,7,9,26,13,22,18,12,0,0,101,4,11,21,17,22,17,4,4,3,115,197,249,642,578,614,629,187,39,0,3138
101031015,5,8,10,3,12,8,4,0,0,55,8,4,9,18,11,13,6,0,0,59,106,101,238,268,474,402,138,59,3,1792
101031016,11,21,38,31,37,23,9,4,0,172,17,48,71,38,49,41,21,3,5,286,524,1082,1799,1238,1542,1190,355,53,13,7801
101041017,9,16,25,32,29,13,11,0,0,139,7,11,21,23,26,27,10,0,0,138,214,237,543,615,681,666,218,21,0,3193
101041018,9,13,14,23,44,31,8,0,0,134,12,7,25,15,25,28,8,4,0,133,211,211,516,591,787,786,249,25,3,3383
101041019,11,16,25,29,44,28,11,0,0,156,7,12,28,16,24,35,6,0,0,132,226,293,689,762,847,832,218,33,8,3903
101041020,9,10,24,29,36,29,9,0,0,143,21,3,13,42,25,55,22,4,0,186,264,234,563,687,931,1073,398,57,9,4215
101041021,5,0,12,13,15,14,6,0,0,63,6,5,8,16,11,13,5,0,0,60,111,97,248,299,368,354,98,11,0,1579
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
101041023,10,12,10,10,8,16,6,0,0,60,0,3,9,14,19,20,3,0,0,76,74,78,176,208,288,289,100,20,0,1232
101041024,3,12,8,17,15,11,7,0,0,76,15,13,7,11,12,11,9,0,0,82,97,104,202,247,332,373,146,20,0,1513
101041025,15,12,32,42,21,29,15,0,0,167,8,16,28,27,33,31,17,3,5,161,317,317,817,850,1111,1072,345,59,8,4891
101041026,12,5,23,10,23,28,5,0,0,112,7,10,32,23,28,38,10,4,0,161,188,206,517,558,732,867,245,22,4,3342
101041027,6,6,20,20,25,28,14,0,0,125,10,5,24,27,23,42,24,6,0,160,214,161,537,587,742,872,364,35,0,3516
101051539,30,50,115,91,89,59,17,4,0,449,18,52,118,64,67,65,13,4,0,400,677,1047,2543,2199,2086,1904,510,58,4,11024
101051540,12,25,42,40,50,50,15,4,0,243,26,16,34,43,53,42,25,9,0,250,396,377,885,1134,1424,1477,606,137,22,6453
101061541,8,12,26,28,22,18,7,6,0,123,6,10,23,21,17,9,8,0,0,98,220,251,649,717,702,539,153,21,3,3257
