SA2_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
101021007,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,620,479,1094,29,38,65,35,0,35,5,4,3,4,0,4,3,3,10,61,64,127,754,591,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,13,3,15,10,4,16,0,0,0,0,0,0,4,0,5,4,0,5,219,220,439,83,132,210,16,8,17,1077,953,2036
101021008,0,0,0,14,15,30,0,0,0,0,0,0,3,0,4,1712,1420,3127,121,157,276,37,0,33,34,6,35,8,7,11,12,0,21,20,26,47,1960,1634,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,5,0,0,0,5,7,8,12,12,24,16,21,37,0,0,0,0,0,0,0,0,0,0,0,0,94,193,282,123,217,339,7,3,13,2199,2063,4258
101021009,0,0,0,48,90,136,0,0,0,0,0,0,13,16,27,2457,1794,4250,126,235,358,42,0,42,62,0,64,28,3,36,22,8,35,86,123,202,2884,2275,5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,0,13,14,0,5,11,9,25,32,30,22,50,38,43,83,0,0,0,3,6,4,3,0,3,8,3,12,189,261,454,218,338,555,9,11,25,3347,2936,6281
101021010,0,0,0,14,23,36,0,0,0,0,0,0,0,0,4,1182,898,2080,58,82,139,24,0,25,18,0,23,26,5,26,4,3,10,47,36,83,1374,1047,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,3,9,10,10,23,14,13,30,0,0,0,0,0,0,0,0,0,0,0,0,104,134,234,87,158,249,0,0,0,1582,1363,2944
101021012,0,0,0,12,10,19,0,0,0,0,0,0,12,8,21,2770,2465,5237,149,214,363,48,0,45,39,8,50,16,0,22,12,4,19,27,29,59,3085,2738,5823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14,6,8,12,0,0,0,9,18,29,32,20,54,41,36,80,0,0,0,0,5,5,0,0,0,0,4,4,310,406,719,271,451,723,8,3,16,3718,3647,7364
101021610,0,0,0,9,11,18,0,0,0,0,0,0,0,0,0,1395,1155,2547,39,106,144,14,0,14,26,0,26,0,0,3,0,0,3,12,20,34,1499,1295,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,4,0,0,0,8,3,11,14,0,14,18,12,29,0,0,0,0,0,0,0,0,0,0,0,0,159,218,373,126,248,379,9,4,11,1811,1778,3588
101021611,0,0,0,12,11,27,0,0,0,0,0,0,0,0,0,3248,2730,5978,144,210,352,126,0,131,41,6,45,12,3,13,18,10,25,69,65,136,3673,3036,6707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,5,9,0,0,0,12,10,21,52,31,81,60,44,99,0,0,0,0,0,0,0,0,0,0,3,6,530,711,1248,323,519,844,26,13,35,4606,4328,8936
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,320,730,21,14,40,17,0,17,0,0,4,0,0,0,6,0,6,24,42,66,486,382,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,6,5,17,0,0,0,0,0,0,0,0,0,0,0,0,80,69,152,30,55,94,9,4,12,615,518,1129
101031014,0,0,0,16,3,18,0,0,0,0,0,0,5,5,12,1075,919,1988,102,94,198,25,0,25,16,0,16,13,4,16,6,9,15,107,103,207,1364,1131,2496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,20,9,18,17,7,25,0,0,0,0,0,0,0,0,0,0,0,0,139,147,287,127,177,308,17,11,26,1659,1479,3138
101031015,0,0,0,25,4,27,0,0,0,0,0,0,0,0,0,597,466,1061,52,53,104,19,0,19,8,0,8,0,0,0,14,3,15,34,38,65,741,558,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,9,5,10,8,3,18,0,0,0,0,0,0,0,0,0,0,0,0,147,153,307,68,87,152,9,4,11,982,807,1792
101031016,11,20,31,22,13,35,3,0,3,0,0,0,0,0,0,1819,1470,3285,153,220,368,34,0,34,11,0,9,8,3,13,94,50,142,391,370,756,2537,2144,4681,15,0,13,0,0,0,0,0,0,26,29,55,9,8,15,0,0,0,48,37,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,33,26,65,87,69,148,6,3,8,0,0,0,5,0,5,7,12,16,572,615,1194,845,862,1703,37,32,69,4077,3721,7801
101041017,0,0,0,7,11,15,0,0,0,0,0,0,0,3,4,1087,997,2086,85,90,174,44,0,44,16,4,15,7,8,19,10,4,17,54,46,103,1313,1159,2474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,16,11,11,23,0,0,0,0,0,0,4,0,0,4,4,4,103,177,283,153,236,392,12,10,25,1597,1597,3193
101041018,0,0,0,14,7,25,0,0,0,0,0,0,0,3,3,1115,1090,2204,80,92,176,40,0,41,3,0,3,12,0,16,9,9,10,29,26,54,1298,1233,2533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,7,12,5,17,14,7,22,0,0,0,0,0,0,0,0,0,0,0,0,175,239,415,154,225,382,15,12,29,1661,1716,3383
101041019,0,0,0,0,3,8,0,6,6,0,0,0,5,0,6,1248,1251,2504,82,91,172,38,0,36,10,3,13,17,13,31,7,8,14,116,112,226,1527,1484,3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,30,18,9,27,0,0,0,0,0,0,0,0,5,0,0,5,161,224,387,167,267,432,24,16,34,1902,2001,3903
101041020,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,1313,1229,2537,60,65,127,81,0,83,26,0,29,3,0,7,19,10,25,81,59,139,1583,1379,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,5,4,23,3,28,25,12,35,0,0,0,0,0,0,0,0,0,0,0,0,315,381,700,189,284,471,28,20,53,2137,2078,4215
101041021,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,513,442,953,21,27,49,21,0,21,3,0,4,13,12,20,3,0,3,15,33,48,587,520,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,90,144,237,91,129,221,5,8,18,785,795,1579
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,6,6
101041023,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,432,399,825,42,29,68,22,0,21,5,0,0,0,0,0,9,3,6,26,33,62,527,457,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,57,86,47,70,121,14,13,27,625,610,1232
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,455,918,37,25,58,23,5,27,7,0,6,9,0,9,6,0,8,32,30,68,575,515,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,105,122,226,82,94,174,3,13,11,766,748,1513
101041025,0,0,0,3,8,14,0,0,0,0,0,0,0,6,5,1615,1459,3074,84,122,208,51,6,52,10,0,16,17,0,21,21,12,29,93,95,192,1900,1704,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,18,16,10,24,0,0,0,0,0,0,0,0,0,0,0,0,279,360,639,234,356,588,20,13,34,2448,2445,4891
101041026,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,1130,1067,2199,59,61,123,58,0,58,10,0,10,17,7,24,5,7,13,40,48,91,1330,1198,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,12,14,3,15,0,0,0,0,0,0,0,0,0,0,0,0,158,243,402,146,221,367,18,12,31,1661,1679,3342
101041027,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,1063,988,2047,72,74,150,40,0,36,9,0,9,7,11,20,21,4,29,80,92,167,1297,1170,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,15,5,17,0,0,0,0,0,0,0,0,0,0,0,0,249,312,559,184,235,416,29,33,58,1761,1754,3516
