SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
10102,32554,31988,64539,2155,2133,4288,4381,3948,8329,1840,1689,3532,1834,1655,3494,4632,4841,9473,4581,4623,9210,4640,4726,9366,4244,3966,8212,2719,2618,5344,1198,1328,2526,319,449,771,32,48,76,31967,31599,63566,589,389,974,1075,1083,2157,19,20,37,19,27,51,1122,1128,2246,24944,24480,49422,5888,5883,11769,26485,26027,52513,4302,4301,8609,28855,28567,57425,611,575,1180,4145,3720,7862,1422,1341,2763,578,629,1204,1220,1803,3024,15448,16456,31902,1671,1508,3176,5121,4556,9680,1245,1070,2321,823,767,1593,93,112,206
10103,13893,12673,26569,525,527,1052,1638,1428,3068,834,786,1614,956,962,1916,2000,1762,3763,1562,1455,3018,1903,1770,3673,2049,1785,3836,1517,1244,2758,715,678,1392,203,275,481,89,69,162,11203,10677,21880,2694,1995,4687,412,263,671,26,8,31,10,10,19,446,275,725,10602,9664,20265,1838,1861,3696,11479,10677,22158,813,887,1701,11640,10813,22447,175,163,341,1472,1303,2773,515,505,1018,168,281,453,322,589,910,5703,6033,11737,744,660,1403,2703,2106,4807,612,546,1161,387,299,685,42,30,73
10104,38173,39589,77765,1670,1567,3237,4150,3881,8028,2005,1740,3746,1432,1314,2747,3167,3297,6463,3371,3705,7077,4441,4839,9282,6312,7121,13438,7085,6938,14016,3501,3626,7131,1054,1550,2600,43,40,86,37121,38418,75539,1054,1171,2224,1883,1921,3805,20,21,38,32,35,62,1941,1969,3908,30211,31096,61314,4805,5372,10171,34009,35198,69211,1329,1617,2948,34198,35581,69781,471,445,919,3727,3527,7260,1323,1205,2525,255,338,592,621,1359,1981,12984,15262,28250,2823,2826,5646,9346,9231,18579,2645,2497,5142,1563,1364,2925,106,78,178
10105,19646,19267,38918,1139,1043,2180,2404,2235,4643,1140,1021,2161,1178,952,2126,2448,2314,4762,2194,2214,4397,2387,2422,4810,2778,2681,5462,2324,2389,4718,1259,1370,2629,403,629,1029,18,12,39,18400,18598,36999,1247,671,1919,890,878,1764,32,28,59,10,3,14,925,905,1830,16160,16007,32166,2081,1972,4052,16719,16906,33626,1155,1102,2258,17097,17325,34420,322,307,637,2199,2044,4237,750,728,1478,306,306,615,532,796,1324,6034,6977,13014,1069,1091,2158,4952,4597,9547,1381,1272,2656,858,719,1575,71,71,142
10106,18896,19292,38183,1129,1034,2164,2695,2551,5239,1208,1126,2333,872,885,1762,1858,1973,3830,2032,2329,4360,2592,2686,5273,2679,2596,5272,2261,2297,4554,1236,1270,2503,337,542,879,14,19,35,18384,18930,37309,508,357,872,785,777,1562,13,12,20,5,11,16,803,794,1606,15718,16191,31912,1678,1815,3498,16641,17231,33871,879,890,1771,17057,17580,34636,332,303,634,2494,2372,4867,859,849,1701,191,287,478,345,795,1140,6392,7769,14155,1075,1150,2227,4299,3938,8242,1181,1081,2261,748,561,1313,57,64,123
10201,86285,92246,178533,4882,4557,9436,11379,10559,21939,5308,4971,10277,4601,4492,9091,9022,9322,18349,10387,11371,21761,11354,12047,23397,11135,12525,23657,9827,11498,21329,6279,7264,13548,2112,3641,5748,111,107,217,85085,90493,175578,1196,1759,2953,3012,3107,6124,55,61,111,46,43,93,3112,3213,6326,66282,70239,136521,16135,17734,33863,75324,79697,155020,6934,8095,15029,77337,82468,159811,1722,1560,3278,10767,10016,20782,4039,3940,7985,1622,1827,3448,2200,4061,6259,35757,39970,75726,5039,4719,9754,18185,19902,38083,4657,5285,9944,2177,2337,4523,252,244,493
10202,81140,86427,167569,5127,4885,10013,10872,10234,21108,5242,4819,10063,4787,4629,9409,9510,10267,19776,9454,10136,19593,9964,10789,20757,9963,11043,21007,8898,10159,19052,5524,6510,12034,1796,2957,4757,70,67,138,80033,84932,164966,1104,1499,2603,5099,5223,10325,107,94,201,81,109,192,5285,5430,10718,66647,70076,136727,10250,11634,21890,72306,76311,148616,4465,5226,9691,73502,77917,151422,1649,1546,3197,10149,9540,19688,3544,3542,7084,1236,1500,2743,1725,3500,5233,24810,29181,53997,5333,5036,10372,21611,22555,44167,5877,6353,12232,2963,3024,5988,296,247,544
10301,24995,24389,49383,1419,1339,2754,3321,3129,6455,1742,1564,3309,1690,1493,3185,3273,3018,6296,3023,2792,5817,3039,3129,6172,3034,3049,6088,2625,2632,5257,1414,1496,2910,416,742,1153,31,28,53,23096,23533,46629,1905,851,2757,1777,1559,3340,24,30,50,48,44,89,1850,1633,3482,20826,20513,41334,2566,2438,5002,21172,21690,42866,1346,1363,2713,21487,22020,43507,445,426,878,3076,2897,5972,1222,1193,2407,452,589,1040,596,1092,1684,8208,9938,18152,1459,1358,2818,5745,5084,10831,1471,1443,2914,852,711,1567,78,81,150
10302,27586,27496,55081,1641,1590,3232,3666,3578,7236,1656,1499,3156,1392,1331,2729,2907,2969,5879,2868,2899,5767,3229,3308,6539,3933,3706,7644,3556,3372,6929,2054,2185,4240,673,1063,1740,26,21,47,26744,26765,53513,838,731,1567,2899,3031,5931,31,36,65,42,35,77,2972,3103,6072,23400,23319,46718,1539,1652,3189,24308,24361,48670,846,869,1714,24570,24590,49157,428,472,899,3303,3172,6478,1024,1006,2033,219,342,563,355,848,1198,6743,8611,15357,1562,1624,3181,7751,6863,14612,2222,1927,4150,1527,1058,2581,98,56,159
10303,24481,23866,48349,1308,1248,2557,3207,3011,6219,1429,1230,2668,1210,1015,2224,2775,2692,5467,2681,2632,5307,3130,3091,6225,3483,3431,6911,3063,2925,5991,1755,1845,3594,432,737,1169,17,19,34,23507,23421,46926,972,450,1423,1755,1623,3380,38,30,61,37,31,62,1827,1683,3508,20279,19757,40038,2147,2256,4398,21357,21216,42574,908,955,1865,21597,21411,43013,357,350,708,2905,2757,5657,885,884,1766,251,255,505,438,899,1340,6427,8111,14537,1528,1316,2842,6884,5863,12743,1827,1752,3579,1088,892,1979,72,47,117
