SA3_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
10102,0,0,5,5,59,42,149,176,41,31,34,51,21,4,13,636,6,3,10,11,32,5,4,5,0,0,0,0,0,0,0,71,0,0,7,13,13,0,10,14,0,0,0,0,0,3,3,66,0,0,8,23,27,57,81,44,6,11,11,19,0,0,4,295,0,0,0,6,28,16,12,34,7,4,0,4,4,0,0,118,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,13,0,0,0,3,8,23,40,23,8,6,3,7,8,0,6,133,47,172,520,333,277,192,329,148,7,8,13,21,6,7,46,2124,0,4,19,26,47,59,77,68,16,3,5,8,11,0,3,348,0,0,0,11,20,16,20,7,0,0,0,9,0,0,9,89,42,132,279,261,224,229,303,202,42,35,30,49,27,7,42,1910,202,639,1420,1201,1315,1116,2185,1605,402,438,409,384,141,52,260,11769
10103,0,0,0,0,10,11,9,8,0,3,3,8,3,5,10,75,3,3,4,0,13,0,4,0,0,0,0,0,0,0,0,33,0,0,4,4,3,3,4,4,0,0,0,0,0,0,0,21,0,0,5,6,13,15,40,8,3,0,8,0,4,5,0,113,0,0,0,4,0,0,9,0,3,0,0,5,0,0,0,31,0,0,0,0,0,0,6,11,0,3,13,66,3,0,9,110,0,0,0,0,3,6,33,19,0,0,4,5,0,0,0,79,28,80,255,143,99,88,147,49,3,17,19,23,16,4,34,1019,0,0,9,17,23,21,21,19,4,0,0,6,3,0,6,121,0,0,0,6,3,3,4,3,3,0,0,0,0,0,0,19,24,66,80,78,68,46,69,43,9,16,25,69,36,10,23,660,85,298,516,407,392,314,516,301,58,103,121,282,117,42,146,3696
10104,0,0,5,11,56,40,45,61,11,12,17,13,9,0,13,291,8,0,5,9,23,9,4,3,0,0,0,0,0,0,0,69,0,10,8,9,3,3,14,4,0,0,0,0,0,0,0,49,0,10,23,49,34,53,60,12,11,0,0,10,4,0,4,274,0,3,3,3,3,0,5,10,0,0,3,3,0,0,0,34,0,0,0,0,3,3,4,6,0,0,0,0,0,0,0,17,0,0,3,7,7,16,40,31,5,11,4,4,4,0,10,145,150,613,1289,700,405,223,248,113,12,21,5,21,6,5,177,3985,7,6,28,61,58,48,79,29,6,5,5,12,5,0,3,338,0,0,3,9,21,10,8,11,0,0,0,0,0,4,3,63,58,182,268,248,179,89,129,58,26,15,26,22,15,3,30,1357,372,1409,2172,1631,1180,778,1010,522,156,144,148,159,80,25,388,10171
10105,0,0,0,7,35,15,32,62,13,10,11,17,0,0,0,215,4,4,0,3,4,0,3,3,0,0,0,0,0,0,4,29,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0,17,0,0,5,10,12,13,18,3,5,0,0,3,0,0,3,80,0,0,0,0,0,4,10,0,0,0,4,0,0,0,0,26,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,16,0,0,0,0,0,7,20,11,5,0,3,3,4,0,4,59,37,121,321,191,118,49,86,37,8,5,4,12,0,0,63,1051,0,0,8,10,9,7,23,7,4,0,0,3,0,0,0,74,0,0,0,4,3,0,4,6,0,0,0,0,0,0,5,34,18,42,80,90,52,39,106,59,17,16,16,25,4,29,51,645,84,300,599,501,405,288,592,441,106,95,112,194,40,59,236,4052
10106,0,0,0,10,21,11,35,29,12,9,6,17,6,0,4,168,0,0,4,5,6,0,0,0,0,0,0,0,0,0,0,20,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,10,0,0,8,14,7,10,22,11,3,0,5,7,0,0,0,93,0,0,0,5,5,3,11,6,0,0,7,0,0,0,0,33,0,0,0,0,0,3,4,5,0,6,0,0,0,0,0,19,0,0,0,0,7,10,14,8,4,0,0,3,0,0,0,46,47,140,270,203,130,71,112,79,6,4,7,3,6,0,46,1127,0,0,12,16,14,25,35,21,0,10,0,6,0,0,4,132,0,0,0,4,6,0,5,3,3,0,0,0,0,3,8,36,17,33,72,87,72,43,74,38,7,8,5,20,0,0,17,498,97,281,494,485,456,312,550,358,64,59,53,113,33,19,120,3498
10201,0,0,16,80,247,232,220,222,55,64,56,65,46,11,25,1332,13,7,16,14,101,30,52,32,7,0,4,3,0,0,9,292,0,9,8,27,17,15,41,29,3,9,4,3,0,0,0,171,0,11,42,126,181,222,483,151,73,29,40,29,35,17,20,1459,0,4,33,25,42,14,31,32,0,11,0,6,0,4,6,207,0,0,0,0,18,17,24,11,3,0,4,4,0,3,7,89,0,0,0,10,26,72,181,102,35,21,22,12,10,0,20,514,249,780,2297,1512,1399,1085,2217,1045,139,90,88,110,59,25,334,11436,4,5,47,102,92,117,186,132,31,26,11,18,10,8,19,812,0,0,3,29,44,17,46,49,12,10,6,9,8,0,3,237,120,275,597,698,625,542,944,570,112,93,90,105,50,15,130,4975,650,1935,4071,3871,4418,3904,6913,3874,823,704,664,696,338,107,899,33863
10202,0,0,13,48,236,180,247,219,38,32,36,66,16,0,37,1153,7,9,8,18,47,13,22,12,0,0,0,4,0,0,0,137,4,0,12,19,16,8,9,5,3,0,0,0,0,0,0,69,0,4,28,68,100,94,201,66,21,17,9,8,9,0,6,641,0,4,10,12,13,13,19,12,3,0,0,0,0,0,5,93,0,0,0,0,0,6,3,6,3,0,0,0,0,0,0,26,0,0,4,3,14,28,110,87,21,18,10,20,3,4,8,335,224,709,2008,1150,839,563,804,379,47,49,41,40,30,5,241,7134,4,6,26,45,49,72,98,68,14,16,8,12,4,3,6,435,0,0,3,22,37,19,30,44,11,9,3,10,0,0,8,197,125,303,520,613,442,296,465,238,44,39,43,47,13,10,96,3320,553,1716,3625,3003,2904,2281,3327,2121,375,388,307,385,158,78,656,21890
10301,0,0,0,13,24,28,39,65,5,22,30,19,14,6,10,269,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,4,3,5,4,6,4,0,0,0,0,0,0,4,29,0,0,0,10,10,29,52,4,8,4,10,10,11,0,0,152,0,0,0,0,9,9,28,30,3,3,5,12,0,0,0,107,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,3,13,19,20,7,0,3,4,0,0,8,82,48,144,341,214,121,98,95,49,12,12,10,7,4,0,57,1211,0,0,4,11,9,10,29,18,0,0,11,0,0,0,8,108,0,0,0,3,9,6,20,16,5,3,3,9,4,0,14,88,20,45,93,87,69,76,73,54,22,7,21,21,9,0,51,645,115,321,619,506,478,466,801,576,139,177,207,190,87,15,304,5002
10302,0,0,0,3,22,25,36,64,18,12,31,40,7,6,6,276,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,15,26,51,18,0,9,17,10,0,0,0,153,0,0,0,0,4,5,0,11,8,0,3,8,0,0,0,34,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,12,0,0,0,0,8,6,11,12,6,0,3,0,0,0,3,43,45,122,253,110,66,39,55,20,8,10,4,3,4,7,38,781,5,0,4,9,0,13,13,15,10,13,4,0,0,3,3,91,0,0,0,0,4,3,8,0,0,0,0,4,0,0,4,25,19,36,43,41,32,29,66,61,13,19,16,47,6,3,16,439,106,288,424,280,278,240,447,372,110,139,139,168,54,31,121,3189
10303,0,0,0,5,37,39,38,37,9,13,7,29,4,5,8,235,3,9,7,0,13,4,6,0,0,0,4,0,0,0,6,42,0,0,0,6,0,0,8,4,0,0,0,0,0,0,0,19,0,0,5,0,13,15,31,14,6,0,0,5,0,0,3,105,0,3,0,0,13,7,6,0,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,4,3,11,20,24,0,13,3,10,6,0,0,99,51,155,447,289,131,68,109,41,7,0,16,3,0,0,71,1399,0,0,8,19,21,14,27,8,0,0,0,5,0,0,0,115,0,0,0,0,12,9,8,19,0,0,0,3,0,0,5,54,27,56,108,105,63,80,58,40,6,12,7,19,17,3,28,630,139,369,801,663,539,370,538,346,79,86,76,121,40,18,219,4398
