SA3_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
10102,18,6,63,50,107,219,397,396,173,1429,0,5,16,22,11,24,36,47,39,206,145,184,570,470,425,490,372,216,82,2949,1429,3485,9460,9196,9354,8190,5330,2521,772,49737
10103,10,9,26,16,36,89,166,162,82,592,4,3,14,0,9,11,21,18,9,73,135,180,445,369,385,379,281,157,72,2402,804,1892,3673,3001,3658,3826,2752,1392,477,21482
10104,42,23,57,125,178,369,792,736,410,2724,0,7,13,16,16,26,46,33,22,178,308,234,534,551,736,968,1045,762,472,5611,1739,2738,6440,7058,9270,13422,14001,7121,2596,64387
10105,17,6,49,76,102,199,429,372,211,1460,4,3,13,16,20,27,16,29,13,138,151,167,473,410,395,412,403,307,216,2936,1081,2122,4750,4395,4805,5454,4702,2626,1029,30963
10106,8,3,45,57,91,186,323,282,183,1187,0,3,9,14,16,22,24,22,9,118,114,121,295,282,385,409,376,290,125,2395,990,1761,3819,4348,5270,5266,4552,2503,881,29388
10201,41,31,98,132,263,595,1017,1043,726,3940,9,20,44,51,62,84,74,73,74,495,368,396,961,929,978,1022,1256,1348,1117,8390,4286,9067,18325,21730,23354,23609,21294,13515,5737,140912
10202,67,38,169,211,386,886,1557,1315,787,5423,6,11,40,48,65,86,129,114,52,544,508,488,1088,1087,1018,978,1257,1467,1093,8971,4698,9391,19748,19561,20724,20965,19016,12013,4755,130868
10301,19,13,51,56,90,225,372,352,216,1385,0,9,20,15,25,16,35,18,11,150,180,330,713,654,523,390,384,322,160,3660,1468,3179,6281,5801,6147,6068,5244,2905,1153,38253
10302,26,13,54,89,153,390,773,561,361,2425,6,0,12,12,15,19,39,32,24,159,265,273,545,575,601,704,642,553,308,4465,1461,2719,5872,5754,6521,7636,6917,4237,1737,42849
10303,16,12,42,70,129,316,580,439,241,1856,0,0,12,10,6,22,27,37,5,117,186,200,546,521,527,532,568,447,167,3699,1312,2221,5456,5307,6217,6911,5989,3597,1169,38173
