SA3_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
10102,5,3,19,28,42,66,79,73,43,348,8,8,8,32,75,112,167,107,39,544,147,600,824,767,717,436,220,98,42,3847,4,3,7,17,19,36,55,58,32,226,226,225,425,490,603,517,357,189,86,3110,4944,2092,2985,2655,2465,1747,893,302,61,18156,472,275,318,302,284,304,183,97,46,2288,6081,3338,4840,4619,4722,3950,2614,1329,449,31940,10,45,217,457,981,1443,1420,915,309,5798,858,640,919,921,894,711,460,236,66,5703,7,12,55,105,288,443,494,303,77,1782,0,0,0,5,5,17,42,114,128,312,30,53,116,207,446,745,670,371,96,2732,13,23,23,84,230,411,598,489,183,2061,18,12,29,50,86,120,161,130,77,675,19,11,22,52,125,221,322,219,71,1063,306,925,1220,1189,1199,799,422,166,70,6295,6,3,10,20,42,88,134,123,60,489,536,409,685,786,1053,971,673,329,145,5583,10117,4723,6262,5721,5168,3740,1867,606,113,38313
10103,0,0,9,3,13,7,19,19,19,87,0,5,0,11,21,50,77,46,16,229,41,221,210,207,239,169,90,31,34,1245,0,0,3,4,11,11,15,23,11,78,57,77,91,121,172,176,133,56,70,946,1537,1132,1109,854,981,854,462,187,40,7164,217,198,221,159,180,193,123,61,30,1372,1952,1729,1722,1458,1765,1779,1244,678,275,12603,6,26,57,118,307,670,678,458,176,2499,246,311,289,255,282,290,247,118,39,2069,0,4,13,38,66,180,227,129,60,728,0,0,0,3,0,10,13,51,62,140,5,14,20,51,103,220,273,189,64,945,3,13,13,26,68,199,283,260,98,963,9,3,7,8,20,27,54,45,29,199,0,7,3,15,39,100,154,103,33,459,114,352,363,343,387,325,163,61,48,2153,0,3,3,3,16,30,67,50,32,201,145,156,147,206,284,384,250,109,92,1762,3207,2358,2418,1787,2123,1838,1053,375,95,15241
10104,4,9,16,23,34,92,177,177,106,634,7,5,6,25,84,284,394,280,111,1194,130,523,642,659,797,985,647,261,165,4818,0,0,5,12,30,78,124,132,90,469,163,172,231,363,513,885,855,402,298,3878,4185,1873,1952,2076,2522,3162,2444,906,238,19359,613,350,301,358,452,578,511,305,207,3674,5443,3054,3288,3699,4839,7117,6931,3626,1550,39546,18,39,143,321,902,2580,3794,2500,973,11268,888,568,602,683,833,1200,1235,610,225,6857,3,11,44,64,228,752,1293,828,300,3525,0,0,3,4,13,20,124,290,348,800,29,52,80,159,342,861,1527,935,265,4244,11,25,42,60,232,763,1677,1333,622,4765,7,14,21,40,84,190,370,342,175,1245,12,10,25,46,163,509,826,572,216,2387,292,836,1007,1081,1361,1659,1171,492,258,8145,4,6,8,15,63,177,330,299,169,1063,397,340,408,582,892,1596,1636,768,454,7086,8493,4188,4017,4202,5008,6020,4870,1793,431,39035
10105,5,4,10,11,30,40,95,88,45,337,7,5,12,16,57,111,205,123,46,574,79,323,386,382,385,371,257,134,77,2401,0,0,5,4,30,28,62,46,36,204,116,135,169,229,311,352,306,206,139,1962,2467,1241,1401,1202,1213,1084,679,274,71,9636,358,169,207,221,198,207,210,107,44,1723,3281,1966,2309,2213,2426,2684,2389,1367,629,19257,5,50,92,235,555,1118,1524,1067,423,5065,666,407,479,452,487,527,482,239,92,3834,10,12,19,58,109,286,441,315,117,1373,0,0,3,0,4,13,57,162,174,407,12,32,65,114,271,562,680,451,113,2296,11,17,33,41,140,378,603,539,264,2021,16,11,19,25,41,83,192,173,80,643,13,6,18,35,102,218,373,258,79,1105,199,498,616,609,662,637,422,213,104,3965,0,6,10,11,52,67,136,112,52,442,321,240,284,360,523,616,576,334,201,3456,4969,2827,2965,2516,2441,2288,1421,560,139,20127
10106,0,0,3,6,22,33,58,40,22,188,5,0,7,23,44,100,131,117,36,457,93,342,369,369,388,325,200,94,56,2229,0,0,4,4,19,33,44,43,36,181,138,138,176,228,322,293,275,126,90,1789,2803,1254,1159,1307,1376,1069,774,294,78,10125,326,173,161,199,222,231,175,134,49,1682,3581,2010,1967,2324,2685,2589,2296,1269,542,19271,8,34,90,242,552,1099,1308,872,382,4591,569,412,435,500,535,522,533,261,73,3840,7,11,14,56,135,277,422,294,112,1325,0,0,0,0,4,16,58,119,148,353,20,30,49,92,248,427,605,378,108,1962,12,23,21,42,108,316,562,469,216,1765,0,6,7,13,47,78,125,107,40,428,10,3,11,35,81,202,284,240,81,937,216,506,532,570,639,595,395,169,77,3710,4,0,9,14,31,84,124,124,71,449,328,216,280,353,525,579,541,247,142,3224,5670,2638,2382,2558,2840,2280,1468,589,149,20567
10201,12,12,30,42,79,118,232,301,206,1030,7,18,24,45,138,460,734,629,275,2328,400,1652,1739,1736,1761,1626,1097,572,396,10985,5,0,18,28,72,145,231,300,253,1045,513,586,764,1012,1257,1640,1577,941,686,8975,12237,6098,5658,7009,6803,5753,3931,1727,537,49765,1168,664,666,745,770,799,717,532,382,6442,15110,9452,9314,11363,12023,12502,11477,7259,3637,92144,29,89,282,727,1790,3805,5666,4645,2123,19152,2240,1776,1919,2191,2196,2192,1995,1281,436,16230,26,44,75,223,573,1331,2137,1791,652,6855,3,4,5,3,22,73,252,730,1048,2130,54,119,175,402,946,1837,2646,2036,666,8883,46,48,59,136,469,1350,2606,2665,1379,8752,33,25,44,85,152,258,518,619,361,2094,21,27,46,87,263,799,1287,1210,478,4217,835,2607,2755,2809,2922,2686,1846,965,540,17951,11,8,30,52,141,329,576,662,431,2235,1374,1113,1214,1626,2125,2839,2710,1621,955,15589,24834,13124,11808,13960,13762,11150,7325,3234,909,100101
10202,19,19,38,55,99,146,256,332,203,1162,19,12,16,70,255,588,897,650,257,2765,530,1874,2096,1940,2015,1781,1121,595,329,12273,5,3,14,22,87,158,265,308,171,1044,624,640,895,1061,1251,1572,1359,833,554,8781,11578,5671,5905,5596,5389,4511,2906,1279,382,43217,1455,833,812,797,772,755,724,614,448,7216,15112,9442,10259,10132,10777,11025,10142,6508,2957,86363,43,105,404,908,2177,4204,6095,4673,1879,20492,2735,2016,2267,2173,2121,2164,1999,1148,401,17021,43,45,90,245,564,1190,1882,1529,513,6104,4,0,0,12,16,83,224,605,638,1583,47,137,225,497,1140,2109,3054,2177,600,9994,50,61,90,171,528,1433,2589,2478,1149,8550,43,25,60,100,194,307,595,658,325,2304,44,33,34,119,414,1033,1586,1290,448,4994,1201,2950,3255,3136,3229,2971,1926,997,446,20112,14,9,30,43,173,349,635,678,316,2243,1678,1230,1408,1687,2104,2738,2466,1448,816,15569,23176,12345,12246,11420,10958,8887,5466,2378,648,87530
10301,3,6,15,18,33,35,46,45,27,232,3,5,9,16,71,95,156,117,45,509,119,570,592,492,491,396,222,116,132,3117,0,0,6,7,27,39,69,62,41,257,184,197,268,296,352,387,352,202,172,2420,3386,1831,1732,1537,1576,1301,886,348,105,12698,420,262,231,231,267,208,210,111,59,2002,4465,3061,3016,2789,3118,3049,2630,1491,742,24356,7,46,111,221,598,1142,1426,1064,458,5084,942,756,744,674,627,655,563,301,90,5355,13,16,46,40,177,351,476,361,128,1600,0,0,3,0,3,19,52,156,201,440,19,50,82,146,344,577,704,427,135,2489,15,23,29,44,132,347,576,529,288,1968,11,15,18,23,52,73,104,99,53,458,10,13,19,30,106,199,293,238,93,1007,276,888,943,766,814,727,406,199,182,5215,0,0,9,14,41,89,163,139,69,530,485,370,430,458,610,706,630,372,244,4311,6819,3998,3618,3236,3192,2647,1760,682,186,26129
10302,0,0,10,9,21,41,91,74,64,313,8,8,3,22,76,186,251,166,66,782,105,473,487,480,501,521,312,132,96,3114,0,0,3,11,24,48,60,75,56,278,164,137,199,233,318,389,370,184,110,2102,3913,1697,1774,1616,1658,1539,1070,567,184,14016,666,349,330,332,363,348,269,209,108,2977,5167,2826,2970,2897,3302,3704,3368,2186,1063,27475,10,35,102,233,643,1548,2080,1486,677,6816,832,618,630,608,652,840,816,432,135,5557,16,6,18,71,150,368,637,467,180,1923,0,0,0,6,5,25,88,211,240,582,30,52,81,146,383,756,1076,654,209,3390,22,16,25,42,165,494,873,765,407,2811,9,6,19,26,50,91,180,149,104,643,22,15,10,39,127,338,518,379,110,1555,274,723,751,770,837,915,580,253,131,5233,8,0,3,15,43,114,192,169,95,636,426,259,302,412,569,770,699,364,179,3976,7782,3754,3704,3348,3455,3218,2173,1071,326,28832
10303,5,0,4,13,26,37,47,65,39,231,8,6,12,14,59,136,200,153,48,641,114,379,463,440,486,464,283,110,37,2775,0,0,3,12,23,36,58,65,44,249,139,110,207,238,291,387,324,202,89,1988,3259,1406,1604,1507,1601,1493,934,414,111,12336,475,213,248,250,297,307,253,172,77,2290,4257,2249,2687,2625,3091,3428,2926,1843,737,23850,10,22,105,194,597,1306,1745,1269,500,5745,720,453,552,545,579,669,614,349,90,4567,6,9,23,42,143,342,497,395,103,1556,0,0,6,0,9,13,53,158,169,400,16,34,68,111,296,606,835,596,166,2724,19,15,23,52,161,427,725,729,296,2447,8,7,12,15,41,96,126,137,77,518,12,15,16,36,106,322,427,348,96,1376,245,582,735,724,831,797,498,204,63,4683,0,0,13,21,39,92,147,161,83,559,372,234,313,379,544,734,639,358,152,3722,6522,3219,3385,3137,3372,3026,1919,833,183,25590
