SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102,927,582,709,646,616,676,405,167,80,4812,12618,7016,9469,9198,9354,8195,5331,2523,772,64469
10103,441,420,535,437,454,451,308,138,45,3236,4117,3504,3678,3002,3658,3829,2752,1392,477,26408
10104,1284,743,634,679,949,1164,1066,593,342,7448,11261,6480,6439,7063,9277,13424,14004,7124,2602,77672
10105,767,445,561,524,516,486,407,206,89,4005,6827,4280,4752,4400,4810,5460,4705,2626,1029,38883
10106,716,436,369,401,514,502,352,251,77,3621,7401,4095,3817,4353,5271,5268,4556,2508,881,38145
10201,2397,1456,1391,1474,1609,1584,1321,912,593,12738,31346,19352,18329,21735,23363,23621,21292,13529,5742,178320
10202,2940,1828,1605,1669,1675,1473,1278,1041,682,14186,31110,19462,19762,19576,20740,20975,19027,12029,4754,167434
10301,860,744,854,805,707,523,436,237,94,5262,9205,6488,6287,5808,6157,6081,5249,2904,1153,49325
10302,1285,736,679,712,755,783,600,410,190,6151,10469,5873,5872,5756,6531,7635,6924,4242,1737,55034
10303,998,553,673,639,667,674,556,340,107,5211,8775,4888,5460,5306,6222,6908,5989,3597,1169,48316
10304,1220,638,624,657,658,579,478,321,193,5362,13118,7233,7625,7539,7567,7320,6228,3594,1400,61615
10401,952,675,925,816,765,768,645,332,146,6027,8622,5091,5217,5375,6537,8439,8611,4822,1766,54489
10402,1571,938,947,1059,1062,1027,891,613,349,8459,16347,9424,10009,10692,11720,12957,12647,6985,2737,93510
10501,909,505,552,516,522,624,459,269,80,4432,4327,2434,2954,2408,2806,3435,2634,1426,457,22884
10502,510,361,346,322,289,314,259,159,132,2683,3429,2174,2518,2183,2413,3067,2703,1416,618,20512
10503,2163,1190,1363,1193,1163,1080,858,594,278,9885,15183,8185,10142,8473,8539,9266,7838,4739,1792,74152
10601,1834,1325,1514,1344,1209,957,637,359,162,9340,19784,11919,13271,12102,12410,12165,9908,4813,1712,98089
10602,1535,802,851,820,668,605,369,260,155,6056,18597,10661,12443,11600,10518,9353,7710,4162,1464,86504
10603,1174,644,561,575,715,705,686,567,313,5938,12644,7861,6875,7634,9319,11112,11291,6901,2081,75715
10604,615,361,442,418,415,373,248,142,75,3098,6112,3516,4077,3927,3940,3951,3090,1680,657,30946
10701,1210,715,732,703,702,632,426,283,122,5529,15181,9535,9934,9917,9796,9755,7889,5174,2218,79408
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
10703,1538,962,820,812,854,803,697,513,435,7440,18380,11679,11578,11810,12377,12952,11130,6319,2460,98690
10704,1518,1514,1222,1127,1187,1043,765,588,414,9370,22459,18801,18339,16797,16988,16156,12833,8115,3581,134073
10801,515,267,239,291,378,430,499,320,152,3095,4552,2690,2441,2915,3828,5470,6400,3961,1600,33854
10802,1195,751,872,765,695,824,687,395,139,6326,8415,4975,4786,4883,5935,8453,8515,4542,1577,52097
10803,0,0,6,8,3,12,7,10,0,46,76,16,72,62,53,80,56,30,15,460
10804,1187,772,622,666,749,831,814,542,320,6502,13950,8903,7737,8688,10493,12133,13269,8724,3442,87336
10805,1066,588,516,531,599,679,692,454,198,5324,9274,5326,5025,5267,6716,9008,9563,5448,1927,57565
10901,1230,755,679,697,699,675,483,341,123,5677,12826,8069,8287,8099,8040,8350,7182,4187,1607,66651
10902,366,230,252,246,267,281,229,98,31,2002,2411,1350,1541,1459,1712,2076,1649,875,287,13372
10903,843,442,456,461,524,637,610,388,180,4544,7089,3861,3963,4100,5075,6418,6660,3976,1490,42632
11001,819,1054,567,424,444,494,351,266,157,4577,6662,5469,4548,4016,4322,4849,4010,2563,887,37325
11002,931,493,498,539,622,654,556,332,152,4769,6646,3917,3726,3778,4773,5856,5713,3376,1166,38954
11003,1019,581,613,591,640,692,424,218,67,4846,5100,2825,3301,2897,3217,3630,2654,1448,459,25533
11004,2022,1214,1150,1079,1119,1015,865,657,356,9480,17167,9854,10721,9849,10062,10470,9143,5738,2165,85172
11101,1719,991,932,985,1031,931,750,489,281,8106,22870,14163,13860,15563,16157,16003,14168,8906,3570,125266
11102,1325,740,637,667,666,619,525,465,291,5930,15247,9483,9921,9677,10089,10528,9970,6295,2603,83817
11103,2191,2343,2041,1657,1597,1488,1136,848,661,13961,29368,24624,27792,23022,21666,20158,16438,9930,4676,177678
11201,1586,905,1074,1180,1199,1179,989,512,270,8895,14277,8109,9729,10955,11798,12625,12205,6148,2587,88433
11202,1651,986,895,954,955,1080,865,500,301,8182,12589,7900,7422,7932,9291,10904,9548,4761,1952,72297
11203,1669,971,955,1144,1210,1174,1002,714,452,9289,16160,9211,9012,11215,12144,14102,13822,8659,3804,98125
11301,1199,674,789,717,744,706,517,306,166,5806,9790,5971,6819,5960,6258,6345,4613,2788,1277,49816
11302,333,161,193,240,235,225,145,128,33,1696,2732,1482,1503,1737,1893,2232,1860,1118,403,14964
11303,1752,1492,1335,1209,1181,1040,778,544,255,9592,19470,13875,13038,11604,11438,11961,10198,6010,2544,100144
11401,1913,1195,1270,1292,1234,1198,1009,669,305,10085,17632,10397,11084,11277,12400,16052,16799,9724,3487,108851
11402,676,403,311,385,485,489,467,409,288,3925,8916,5236,4800,5371,6790,7262,7751,5185,1750,53077
11501,1182,849,636,885,940,780,616,503,502,6900,30112,19573,13827,23129,21762,18528,15360,8529,3612,154428
11502,344,243,159,204,307,212,169,108,40,1782,5007,3816,2270,2912,4287,3825,3022,1947,718,27810
11503,344,222,200,202,252,239,139,71,10,1679,4749,3221,2730,2822,3745,3627,2510,1185,306,24894
11504,623,404,350,463,442,281,204,109,83,2966,13998,7227,7027,10269,7883,4985,3274,1455,386,56496
11601,2310,1482,1893,1658,1324,1098,723,473,244,11202,27897,17886,22457,22411,16831,15044,11783,5827,2268,142410
11602,1887,1216,1720,1820,1096,603,372,137,52,8904,35965,16977,21365,29687,17140,10848,7109,2801,736,142624
11603,3239,1761,1779,1623,1390,988,625,365,268,12040,27203,16203,16269,16118,13927,12176,8284,3948,1403,115514
11701,651,633,1149,734,546,459,299,156,51,4691,8868,8004,13898,9146,6852,5347,3855,2417,821,59213
11702,415,405,764,588,498,405,253,174,69,3560,7130,5585,11924,9287,7515,5403,3748,2258,944,53795
11703,1435,3158,6678,3965,2629,2007,1268,756,405,22305,16911,28081,70865,41449,24401,18851,12654,6090,2180,221484
11801,1135,886,1951,1365,1055,801,644,554,399,8780,18846,11794,25087,19228,16157,12504,10287,6817,3063,123778
11802,1383,1258,1944,1603,1353,1027,826,570,495,10460,20589,15767,24236,20186,17316,13961,10620,6909,3347,132921
11901,3853,2269,2364,2238,1972,1608,1166,800,681,16961,39196,24835,25607,24644,22429,21108,15035,8472,4150,185470
11902,2311,1583,2173,1839,1519,1291,820,585,407,12532,26162,17282,22682,20110,17834,15423,10763,6854,3087,140187
11903,1267,1077,1294,1038,995,917,703,488,445,8222,20895,16978,20019,17389,16278,16321,12361,7184,3584,130999
11904,1614,1283,2108,1589,1353,1137,894,784,658,11418,22214,16984,27611,21899,17561,15643,12152,7896,3846,145810
12001,839,537,870,763,715,621,606,449,421,5817,13911,8661,13850,13300,11606,10106,8069,4844,2283,86634
12002,537,349,486,603,544,426,308,190,148,3583,9850,4929,7874,9570,8835,6375,4894,2343,840,55514
12003,1260,1496,2392,1448,1079,1034,669,510,411,10297,21756,21989,34963,23359,18672,16850,11879,7258,3901,160631
12101,1015,611,957,1079,834,693,573,441,420,6620,21495,12175,16723,20194,16174,12283,9730,5594,2811,117175
12102,757,494,423,599,584,425,359,278,255,4176,17154,9744,9596,14310,12539,9909,7480,4420,1876,87031
12103,928,670,400,564,767,655,453,358,325,5124,24019,15888,9414,16430,18710,15110,11615,8143,4152,123476
12104,611,477,875,860,710,613,508,387,190,5225,12809,8088,16351,15198,12513,10658,9105,5845,2078,92652
12201,401,256,346,374,366,311,172,111,41,2374,7571,4357,5935,6341,6348,5160,3465,2250,895,42313
12202,721,462,333,480,570,569,393,307,202,4042,11406,7263,4902,7018,9296,9037,7404,4738,1860,62921
12203,1484,985,988,1120,1381,1023,702,532,422,8639,29285,18173,17788,21824,23922,17800,12812,9306,4477,155385
12301,1118,577,534,656,603,373,211,151,76,4292,17352,9632,9816,10678,10012,7219,5068,2559,979,73318
12302,3688,1995,2145,2145,1672,1382,894,528,224,14662,38962,22378,25786,26807,20432,19513,14866,6733,1969,177450
12303,755,490,389,444,449,370,262,213,184,3543,9861,5732,5540,5781,6120,5295,4332,2193,712,45557
12401,900,508,426,550,642,572,473,298,207,4579,13595,8065,7101,9535,10930,11116,10424,5202,1743,77705
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,5
12403,2801,1719,1911,1706,1527,1130,828,628,388,12645,34234,20812,24129,23550,19717,16190,12457,6123,2037,159263
12404,645,584,835,741,538,401,271,203,143,4366,6873,4867,5982,4709,4779,4489,3391,2105,842,38043
12405,1303,771,901,759,683,494,355,208,149,5630,12026,7194,8580,7856,6861,6824,4671,1950,634,56582
12501,1297,1251,2417,1666,1084,858,499,281,175,9526,16481,13720,25598,16388,11008,9942,6282,2834,1109,103362
12502,788,475,569,639,523,492,324,183,89,4089,14482,8478,9216,11602,9608,8923,6274,3503,1440,73525
12503,4123,2417,3007,2719,2000,1552,990,584,404,17798,34524,22557,26324,22788,18878,16676,12068,6576,2796,163174
12504,2359,1326,2460,2097,1250,1069,769,621,489,12434,29219,16277,30903,28939,16056,13031,9823,6062,2594,152908
12601,417,263,328,359,283,238,147,102,61,2198,10400,6492,6808,8371,7132,6369,4909,2680,1182,54341
12602,1192,932,1474,1224,994,932,690,538,704,8673,23797,16558,25472,23528,17675,16203,12405,7015,3863,146516
12701,2827,1472,1461,1583,1264,977,585,289,184,10635,34657,19291,22131,21693,16890,14135,8839,3880,1196,142704
12702,3196,2131,2027,2081,2082,2028,1362,765,492,16164,34440,27201,24916,23207,25595,26380,19080,9424,3964,194213
12703,2736,1684,1988,1880,1411,1198,811,664,458,12829,29750,18215,20722,20539,17046,14121,9186,5037,1980,136604
12801,1346,840,883,984,1055,871,638,488,439,7536,20537,13262,14068,15109,16115,14665,11719,7618,3902,116987
12802,1094,691,576,740,779,622,462,320,184,5467,21651,13432,12077,15199,15490,13444,10753,6100,2510,110646
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
20101,1910,1281,1186,1002,1126,902,729,479,283,8903,21896,14651,15746,14406,14220,13424,11698,6637,2872,115543
20102,513,265,237,323,409,425,379,183,88,2819,5060,2639,2594,3598,4563,5046,4419,2032,673,30619
20103,493,290,225,329,457,387,395,237,76,2897,4124,2443,2307,2511,3635,4090,4271,2355,747,26497
20201,1771,1065,1131,985,971,920,645,509,384,8374,19381,12632,14030,12620,12149,12057,10665,6243,2803,102575
20202,760,483,595,628,731,676,556,376,195,5004,8702,4693,4459,6079,7533,8000,7417,3880,1337,52093
20203,224,149,114,152,196,283,220,136,82,1554,1972,1082,1041,1196,1572,2131,1880,883,353,12129
20301,420,184,175,231,229,194,136,64,18,1651,4893,2450,2379,3096,3121,2832,2217,915,313,22207
20302,2972,2328,2598,2213,2062,1651,1253,803,414,16295,37041,26939,32189,27183,25837,23771,19997,12108,5338,210409
20303,1217,641,549,762,774,793,803,527,289,6343,17268,8623,9053,11807,11718,12396,12791,6372,2249,92275
20401,1100,837,714,736,886,964,745,400,170,6544,9959,6684,6335,6593,7959,9301,8576,4503,1593,61492
20402,849,457,437,475,540,559,479,374,177,4345,7932,4787,4881,5080,6125,7005,6600,3992,1647,48055
20403,1254,922,790,812,845,813,648,390,189,6669,14414,8995,9171,9404,9885,10567,9088,4698,1707,77932
20501,1034,509,558,557,559,519,442,301,132,4619,10943,6119,7140,6560,6866,7378,6715,3780,1330,56830
20502,813,458,481,480,605,648,679,417,234,4819,7341,4191,4452,4577,5662,7661,8414,4686,1489,48475
20503,1110,557,554,706,717,878,872,528,256,6174,11407,6207,6298,7418,8780,11303,11503,5888,2067,70871
20504,1692,1002,1016,977,921,943,790,575,449,8368,13716,8736,9894,8926,9285,10421,9040,5036,2030,77087
20505,788,541,796,789,579,544,500,228,115,4873,7767,4759,5222,5220,5476,6492,6125,3021,1019,45096
20601,618,562,1190,809,686,495,311,229,136,5028,11516,10293,21367,15313,11071,8163,5536,3555,1851,88673
20602,430,325,566,459,452,299,184,103,41,2859,7831,5297,10374,8517,7683,5501,3521,2259,1152,52133
20603,679,601,842,646,655,538,315,147,72,4499,10308,8288,12219,10203,9402,7792,5438,2729,1419,67792
20604,1075,2733,4808,2561,1480,1123,775,372,217,15144,10470,32110,53508,23832,12355,9662,6748,3280,1304,153274
20605,805,856,1961,1558,1246,1005,634,440,287,8806,11458,9002,22976,18119,14439,11353,7763,4109,1433,100641
20606,411,548,1200,689,543,441,344,293,192,4668,5453,6853,17333,9503,6651,5737,4940,3385,1392,61244
20607,768,747,1877,1175,867,786,540,310,162,7224,9556,9162,26529,15147,10319,8459,6214,3287,1321,89987
20701,1213,1179,1076,960,1202,969,685,498,320,8115,26624,23886,20842,20252,23529,20303,15493,9629,4930,165491
20702,696,538,525,605,634,548,471,434,270,4718,15734,10903,11411,13216,12459,12003,10031,8255,3755,97771
20703,838,1022,1085,732,750,623,494,360,298,6200,16171,15560,16270,14206,14149,11725,9053,6299,3484,106909
20801,1028,669,428,632,932,734,583,378,244,5629,17540,12015,7856,11716,16027,13705,10659,6737,3373,99625
20802,1334,1030,1270,1173,1115,835,704,479,366,8310,27078,18577,23476,22846,21351,16688,13261,7485,4155,154923
20803,1276,781,943,994,1041,839,638,513,272,7301,21622,12798,14476,17871,18328,14888,11269,7008,3403,121658
20804,345,274,392,290,296,261,209,201,153,2421,6396,5684,6194,5357,5768,4701,3762,2571,1356,41785
20901,1209,872,996,994,952,818,678,471,290,7274,22340,13854,16312,18133,16874,14719,12487,7666,3470,125852
20902,1017,880,1188,961,948,664,505,388,366,6915,14304,10837,17931,15070,12555,9707,6879,5024,2732,95037
20903,763,553,323,487,658,598,362,199,65,4010,12409,8834,5967,8143,10495,9675,6788,2954,899,66163
20904,4087,2299,2705,2619,2200,1716,1153,787,494,18065,54268,30088,39495,40710,30603,24906,18399,9422,3432,251343
21001,624,424,465,486,552,405,331,269,110,3659,10581,6815,6915,8218,8609,7126,6222,4745,2045,61272
21002,477,321,200,284,349,296,226,110,31,2301,6830,3690,2963,4338,4890,4337,3330,1660,417,32465
21003,1180,760,1139,941,756,482,341,298,267,6167,14686,9095,15057,12874,9407,7414,4883,3931,2761,80110
21004,666,395,461,415,412,336,178,107,50,3027,8657,5310,6838,6204,5922,5440,3869,1805,675,44718
21005,4026,2324,2929,2635,1969,1534,856,472,157,16897,47185,26987,34603,31832,23290,19680,12562,6109,1792,204028
21101,1597,1109,1168,1138,1171,1086,732,519,291,8816,27141,18953,20172,22270,21485,20353,15681,8812,3579,158441
21102,267,221,106,149,216,168,127,88,54,1383,4401,3795,1888,2787,4226,3733,2764,1686,732,26018
21103,1152,758,811,889,821,720,490,374,316,6333,20822,12815,14910,16678,15186,13363,10456,6358,2879,113475
21104,494,361,354,425,406,315,282,265,255,3163,10900,7165,7417,9210,8574,6906,6040,4321,1975,62512
21105,2064,1382,1234,1240,1421,1314,836,484,179,10160,28723,17923,18932,20124,21114,19719,15619,8286,2623,153072
21201,2213,1144,1312,1228,1121,820,577,344,172,8924,26755,14327,18534,17452,14425,11477,8444,4496,1463,117376
