SA3_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
10102,263,1484,97,0,1840,168,1559,111,0,1834,442,3862,324,0,4632,662,3662,256,3,4581,842,3567,222,4,4640,758,3207,272,4,4244,530,2011,166,9,2719,228,895,75,0,1198,25,267,34,0,319,3922,20517,1551,28,26020,312,1292,87,0,1689,224,1338,89,0,1655,601,3971,267,0,4841,862,3533,223,6,4623,1004,3522,198,8,4726,798,2955,202,13,3966,579,1887,152,9,2618,240,991,88,0,1328,23,379,48,0,449,4639,19868,1355,40,25901,575,2768,181,0,3532,394,2903,196,5,3494,1043,7829,593,3,9473,1528,7192,479,8,9210,1850,7093,413,11,9366,1556,6162,474,19,8212,1109,3901,317,14,5344,465,1891,162,0,2526,46,643,82,0,771,8562,40382,2908,65,51922
10103,150,595,84,5,834,128,703,114,8,956,221,1455,279,51,2000,271,1030,251,12,1562,436,1225,231,10,1903,502,1326,218,3,2049,402,954,162,0,1517,159,479,79,0,715,27,154,20,0,203,2293,7919,1438,88,11733,165,541,75,3,786,109,757,80,17,962,219,1323,183,42,1762,379,948,129,3,1455,474,1146,147,5,1770,458,1167,155,5,1785,377,754,111,0,1244,188,424,71,0,678,30,214,33,0,275,2391,7278,972,67,10713,315,1138,156,8,1614,238,1457,194,28,1916,434,2779,460,88,3763,649,1980,376,15,3018,906,2374,377,12,3673,961,2497,369,4,3836,777,1703,271,0,2758,347,899,151,0,1392,53,368,52,4,481,4685,15199,2413,155,22451
10104,246,1521,235,3,2005,147,1142,141,5,1432,345,2529,274,13,3167,536,2573,256,4,3371,728,3336,376,5,4441,1258,4595,456,8,6312,1717,4888,472,6,7085,714,2507,280,4,3501,100,811,144,0,1054,5789,23897,2630,40,32360,235,1313,196,4,1740,139,1063,110,3,1314,425,2618,242,10,3297,816,2595,294,4,3705,964,3529,343,0,4839,1594,5100,427,9,7121,1989,4534,406,6,6938,807,2494,325,3,3626,115,1180,256,0,1550,7075,24421,2606,37,34141,478,2827,432,6,3746,282,2207,245,5,2747,769,5152,521,21,6463,1350,5166,549,10,7077,1696,6860,719,3,9282,2848,9696,879,12,13438,3705,9419,879,11,14016,1513,5000,610,3,7131,211,1986,404,0,2600,12866,48323,5236,80,66497
10105,104,921,111,3,1140,100,941,126,4,1178,227,1885,324,6,2448,284,1659,244,0,2194,334,1799,254,0,2387,464,2094,220,0,2778,458,1697,165,3,2324,218,931,110,0,1259,35,320,44,0,403,2234,12246,1603,18,16104,131,799,88,0,1021,110,797,56,0,952,254,1892,162,3,2314,369,1675,165,0,2214,440,1839,143,0,2422,484,2031,166,0,2681,560,1666,159,4,2389,238,1012,118,0,1370,35,533,53,0,629,2617,12246,1109,14,15991,239,1712,204,4,2161,211,1737,174,3,2126,480,3782,487,12,4762,655,3333,411,3,4397,767,3639,397,7,4810,948,4124,386,3,5462,1023,3358,325,6,4718,459,1945,221,0,2629,73,858,97,0,1029,4853,24492,2709,36,32091
10106,173,942,99,0,1208,107,703,70,0,872,225,1449,182,5,1858,393,1488,144,0,2032,562,1802,224,0,2592,559,1910,214,5,2679,509,1577,160,0,2261,268,864,103,0,1236,27,278,29,0,337,2814,11014,1228,14,15073,206,849,70,0,1126,109,711,65,0,885,281,1554,137,5,1973,567,1606,159,3,2329,605,1925,152,0,2686,553,1863,174,3,2596,645,1504,146,0,2297,234,919,110,0,1270,49,448,49,0,542,3253,11382,1055,13,15702,376,1791,167,0,2333,214,1412,133,0,1762,501,3001,315,10,3830,958,3092,301,6,4360,1166,3727,377,0,5273,1106,3771,392,10,5272,1157,3087,311,0,4554,508,1782,216,0,2503,77,727,76,0,879,6067,22396,2286,32,30776
10201,739,4305,261,0,5308,470,3906,213,10,4601,780,7702,531,15,9022,1342,8574,461,16,10387,1684,9134,513,13,11354,1565,9068,480,13,11135,1579,7765,471,13,9827,916,4929,429,12,6279,143,1630,334,0,2112,9225,57016,3694,93,70024,777,3970,222,3,4971,572,3704,213,0,4492,912,7931,471,6,9322,1895,8910,552,11,11371,2117,9440,468,22,12047,1937,10085,480,21,12525,2102,8805,571,17,11498,1007,5641,618,3,7264,146,2756,735,4,3641,11470,61237,4325,94,77133,1522,8274,478,3,10277,1042,7611,429,10,9091,1690,15633,1005,24,18349,3239,17484,1013,27,21761,3806,18576,988,34,23397,3504,19158,965,33,23657,3681,16575,1046,33,21329,1920,10571,1042,16,13548,293,4386,1067,6,5748,20692,118253,8020,190,147156
10202,435,4478,328,4,5242,319,4204,262,3,4787,604,8324,576,0,9510,936,7914,590,6,9454,970,8405,580,12,9964,981,8544,429,8,9963,1092,7339,454,11,8898,637,4403,480,4,5524,93,1377,326,0,1796,6071,54989,4015,63,65136,500,4022,295,4,4819,399,3960,267,0,4629,809,8836,606,11,10267,1271,8314,549,5,10136,1297,8985,496,9,10789,1257,9304,469,20,11043,1423,8158,564,15,10159,698,5118,688,0,6510,116,2150,690,0,2957,7771,58852,4629,61,71314,936,8497,621,7,10063,715,8159,529,3,9409,1414,17158,1188,13,19776,2204,16231,1139,10,19593,2269,17396,1074,15,20757,2240,17847,897,27,21007,2514,15499,1011,24,19052,1339,9515,1174,5,12034,210,3529,1019,5,4757,13838,113840,8648,121,136448
10301,208,1394,141,0,1742,157,1274,263,3,1690,285,2435,545,3,3273,361,2155,493,7,3023,450,2244,347,3,3039,464,2343,229,0,3034,543,1894,175,4,2625,262,1034,113,4,1414,46,338,38,0,416,2765,15121,2342,27,20255,240,1238,92,0,1564,177,1219,92,4,1493,317,2535,169,0,3018,526,2087,182,3,2792,528,2408,182,11,3129,523,2378,143,3,3049,587,1900,143,0,2632,275,1104,113,3,1496,41,639,58,0,742,3206,15511,1173,20,19913,439,2635,235,0,3309,334,2497,352,6,3185,598,4969,719,6,6296,885,4243,675,10,5817,975,4650,534,11,6172,982,4720,375,6,6088,1138,3795,319,4,5257,537,2139,228,3,2910,81,975,97,0,1153,5973,30626,3522,52,40171
10302,238,1225,194,0,1656,146,1100,151,4,1392,326,2290,287,4,2907,581,1982,297,9,2868,609,2303,320,0,3229,726,2852,355,4,3933,801,2472,287,0,3556,438,1417,200,3,2054,91,510,77,0,673,3948,16148,2163,26,22281,249,1064,178,0,1499,144,1056,130,7,1331,437,2269,266,5,2969,784,1839,272,0,2899,759,2288,255,3,3308,843,2586,273,4,3706,976,2165,228,0,3372,541,1444,199,0,2185,129,814,127,0,1063,4872,15519,1923,21,22331,488,2290,374,0,3156,289,2153,279,3,2729,763,4557,553,7,5879,1369,3819,570,16,5767,1368,4593,570,7,6539,1570,5436,629,9,7644,1778,4637,513,0,6929,980,2860,397,5,4240,212,1322,205,0,1740,8816,31670,4083,47,44612
10303,181,1102,149,0,1429,117,955,137,6,1210,254,2161,358,6,2775,351,2002,320,0,2681,470,2375,289,3,3130,569,2633,282,3,3483,571,2244,248,0,3063,308,1299,153,0,1755,38,359,35,0,432,2856,15129,1967,13,19964,152,973,105,0,1230,107,833,77,5,1015,308,2174,204,3,2692,501,1930,196,3,2632,547,2329,218,0,3091,637,2563,224,0,3431,654,2079,191,0,2925,349,1329,170,0,1845,43,612,85,0,737,3307,14821,1463,13,19605,331,2078,259,0,2668,225,1788,210,3,2224,557,4338,568,10,5467,859,3930,520,3,5307,1019,4702,502,3,6225,1209,5196,506,3,6911,1223,4326,443,0,5991,655,2624,315,0,3594,85,970,118,0,1169,6163,29950,3435,28,39568
