SA3_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
10102,72,1674,98,0,1840,93,1635,107,0,1834,220,4073,333,0,4632,494,3831,256,3,4581,588,3813,235,4,4640,650,3295,294,4,4244,335,2207,171,9,2719,129,1002,68,0,1198,40,251,30,0,319,2621,21772,1597,28,26020,89,1509,87,0,1689,115,1450,91,0,1655,411,4140,280,0,4841,652,3725,240,6,4623,898,3614,211,8,4726,861,2885,206,13,3966,444,2020,147,9,2618,195,1034,93,0,1328,24,378,52,0,449,3691,20759,1411,40,25901,161,3181,188,0,3532,203,3086,199,5,3494,638,8217,615,3,9473,1144,7556,494,8,9210,1484,7430,439,11,9366,1513,6182,501,19,8212,782,4230,318,14,5344,327,2038,167,0,2526,65,619,84,0,771,6312,42533,3005,65,51922
10103,33,711,86,5,834,33,800,111,8,956,78,1589,279,51,2000,118,1175,250,12,1562,219,1439,235,10,1903,246,1577,223,3,2049,132,1219,165,0,1517,56,570,83,0,715,17,168,20,0,203,942,9250,1458,88,11733,31,681,71,3,786,34,826,82,17,962,122,1415,182,42,1762,210,1109,137,3,1455,310,1305,154,5,1770,337,1290,157,5,1785,167,961,109,0,1244,78,532,71,0,678,10,233,34,0,275,1300,8350,995,67,10713,67,1392,153,8,1614,66,1628,200,28,1916,203,3008,460,88,3763,334,2283,387,15,3018,526,2741,390,12,3673,585,2863,374,4,3836,304,2183,271,0,2758,137,1104,149,0,1392,26,393,53,4,481,2246,17603,2450,155,22451
10104,95,1660,248,3,2005,88,1205,134,5,1432,244,2626,278,13,3167,365,2735,260,4,3371,563,3490,389,5,4441,963,4877,464,8,6312,806,5798,476,6,7085,371,2828,304,4,3501,107,807,137,0,1054,3604,26013,2700,40,32360,109,1434,194,4,1740,109,1089,118,3,1314,368,2658,261,10,3297,636,2756,302,4,3705,1038,3453,349,0,4839,1538,5137,441,9,7121,1086,5423,419,6,6938,425,2857,343,3,3626,75,1232,241,0,1550,5390,26044,2672,37,34141,205,3092,444,6,3746,196,2295,251,5,2747,613,5283,541,21,6463,1005,5489,570,10,7077,1602,6939,735,3,9282,2500,10018,907,12,13438,1888,11221,897,11,14016,794,5684,651,3,7131,186,2036,381,0,2600,8987,52058,5373,80,66497
10105,67,956,113,3,1140,57,986,123,4,1178,179,1919,339,6,2448,258,1681,254,0,2194,338,1788,262,0,2387,410,2147,217,0,2778,275,1866,176,3,2324,137,1012,106,0,1259,38,313,48,0,403,1775,12672,1634,18,16104,70,863,82,0,1021,74,825,55,0,952,280,1869,164,3,2314,407,1639,165,0,2214,534,1745,139,0,2422,576,1932,166,0,2681,384,1830,171,4,2389,155,1095,119,0,1370,28,534,56,0,629,2513,12342,1121,14,15991,143,1817,199,4,2161,135,1810,182,3,2126,463,3787,499,12,4762,659,3323,414,3,4397,876,3536,399,7,4810,983,4085,389,3,5462,663,3696,348,6,4718,291,2106,230,0,2629,70,855,102,0,1029,4287,25014,2759,36,32091
10106,57,1044,101,0,1208,52,746,78,0,872,136,1528,185,5,1858,227,1640,152,0,2032,345,2015,232,0,2592,388,2069,216,5,2679,283,1801,172,0,2261,117,1009,117,0,1236,21,280,36,0,337,1641,12136,1283,14,15073,64,988,72,0,1126,79,752,61,0,885,245,1579,140,5,1973,395,1778,153,3,2329,594,1934,156,0,2686,591,1817,180,3,2596,422,1715,158,0,2297,149,993,125,0,1270,31,462,57,0,542,2565,12019,1104,13,15702,129,2038,181,0,2333,132,1495,137,0,1762,382,3108,320,10,3830,621,3421,308,6,4360,940,3948,385,0,5273,985,3890,397,10,5272,704,3521,331,0,4554,262,1995,243,0,2503,52,741,95,0,879,4208,24149,2390,32,30776
10201,208,4831,266,0,5308,242,4114,230,10,4601,557,7889,566,15,9022,1027,8866,483,16,10387,1455,9334,546,13,11354,1629,8986,508,13,11135,1126,8190,498,13,9827,670,5143,465,12,6279,178,1578,353,0,2112,7100,58921,3909,93,70024,232,4504,233,3,4971,301,3963,226,0,4492,866,7952,491,6,9322,1759,9041,561,11,11371,2434,9115,476,22,12047,2755,9250,496,21,12525,1813,9097,567,17,11498,746,5853,663,3,7264,162,2715,760,4,3641,11078,61492,4469,94,77133,444,9334,495,3,10277,550,8078,455,10,9091,1427,15845,1057,24,18349,2784,17908,1045,27,21761,3892,18450,1021,34,23397,4384,18236,999,33,23657,2943,17290,1061,33,21329,1415,10985,1125,16,13548,345,4289,1110,6,5748,18171,120411,8376,190,147156
10202,264,4635,340,4,5242,291,4220,269,3,4787,670,8237,602,0,9510,969,7842,635,6,9454,1303,8073,586,12,9964,1421,8091,443,8,9963,995,7405,480,11,8898,635,4366,515,4,5524,147,1309,337,0,1796,6692,54180,4204,63,65136,276,4238,307,4,4819,352,3997,277,0,4629,1142,8468,645,11,10267,1838,7723,572,5,10136,2312,7953,516,9,10789,2385,8168,468,20,11043,1558,8002,582,15,10159,680,5105,724,0,6510,116,2134,711,0,2957,10651,55794,4801,61,71314,540,8867,648,7,10063,644,8218,548,3,9409,1810,16710,1245,13,19776,2801,15565,1205,10,19593,3610,16027,1104,15,20757,3807,16260,910,27,21007,2557,15412,1066,24,19052,1315,9468,1240,5,12034,262,3447,1044,5,4757,17344,109975,9002,121,136448
10301,78,1517,144,0,1742,75,1354,263,3,1690,195,2507,565,3,3273,276,2242,499,7,3023,427,2279,333,3,3039,453,2338,232,0,3034,295,2138,184,4,2625,166,1123,124,4,1414,49,331,40,0,416,2007,15843,2379,27,20255,77,1396,95,0,1564,104,1295,93,4,1493,319,2524,178,0,3018,461,2151,176,3,2792,706,2225,194,11,3129,713,2187,142,3,3049,408,2058,163,0,2632,183,1190,121,3,1496,27,649,65,0,742,2994,15677,1222,20,19913,159,2913,238,0,3309,180,2648,353,6,3185,511,5034,740,6,6296,730,4393,680,10,5817,1125,4505,522,11,6172,1171,4530,378,6,6088,705,4202,342,4,5257,347,2316,244,3,2910,74,979,100,0,1153,5002,31520,3598,52,40171
10302,68,1388,206,0,1656,61,1171,150,4,1392,198,2411,292,4,2907,305,2244,309,9,2868,444,2468,323,0,3229,563,3002,367,4,3933,427,2836,293,0,3556,206,1636,213,3,2054,66,525,80,0,673,2336,17686,2228,26,22281,92,1226,180,0,1499,106,1092,129,7,1331,348,2347,272,5,2969,561,2060,280,0,2899,719,2315,266,3,3308,846,2571,287,4,3706,578,2558,233,0,3372,226,1744,215,0,2185,50,877,131,0,1063,3526,16794,1991,21,22331,156,2617,377,0,3156,171,2265,284,3,2729,542,4761,563,7,5879,861,4302,592,16,5767,1164,4782,586,7,6539,1407,5576,650,9,7644,1003,5393,527,0,6929,434,3381,427,5,4240,123,1404,209,0,1740,5863,34486,4220,47,44612
10303,63,1215,156,0,1429,68,1007,133,6,1210,181,2228,370,6,2775,271,2080,326,0,2681,410,2423,301,3,3130,495,2689,293,3,3483,325,2487,249,0,3063,158,1429,169,0,1755,40,361,38,0,432,2012,15918,2030,13,19964,78,1042,114,0,1230,66,873,77,5,1015,296,2182,209,3,2692,438,1986,204,3,2632,675,2202,214,0,3091,727,2485,218,0,3431,418,2293,214,0,2925,183,1475,182,0,1845,27,629,88,0,737,2908,15161,1520,13,19605,138,2257,272,0,2668,138,1876,208,3,2224,481,4408,580,10,5467,711,4063,536,3,5307,1090,4622,517,3,6225,1224,5175,514,3,6911,740,4785,464,0,5991,346,2904,344,0,3594,63,986,124,0,1169,4920,31079,3547,28,39568
