SA3_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
10102,18389,51719,1794,3361,1653,3347,3444,6713,1154,1835,603,1050,983,1715,79,132,32,73,2857,4807,38,63,23,46,18,22,46,97,122,234,59,101,24870,63566,2428,..,27294,63566
10103,7462,18280,240,428,245,602,482,1029,679,1625,115,302,16,27,0,0,32,62,839,2024,43,57,27,43,28,50,34,84,129,235,171,317,9085,21880,2531,..,11616,21880
10104,28348,65971,1707,2611,1178,2059,2890,4674,1683,2614,103,166,42,65,5,6,46,77,1878,2927,325,580,526,869,53,83,53,122,953,1654,166,309,34239,75539,9220,..,43460,75539
10105,13838,34164,997,1610,185,342,1184,1952,321,457,67,93,0,0,0,0,17,39,413,599,43,62,33,46,4,9,52,96,137,211,41,74,15613,36999,2475,..,18086,36999
10106,13734,35443,693,1096,36,75,727,1169,236,319,0,0,0,0,0,0,13,33,248,350,38,63,23,37,4,10,34,73,109,183,88,167,14912,37309,1811,..,16723,37309
10201,52802,141689,6170,10146,3895,7762,10063,17904,4368,7649,1141,2004,1880,3416,480,883,282,604,8149,14563,201,280,400,627,6,5,82,157,695,1072,195,353,71898,175578,8147,..,80047,175578
10202,54684,144745,4051,6834,2626,5244,6681,12079,2665,4250,494,873,799,1347,154,276,164,323,4280,7068,234,366,178,279,13,20,77,163,505,833,120,246,66274,164966,6381,..,72658,164966
10301,16325,41968,1447,2421,419,729,1867,3150,759,1133,27,33,0,0,3,0,22,35,804,1201,52,89,13,23,21,24,23,56,103,193,62,113,19166,46629,2044,..,21214,46629
10302,20913,50092,869,1332,68,96,935,1421,810,1109,23,29,0,3,0,0,14,19,848,1164,128,202,87,127,21,45,72,154,307,526,161,315,23167,53513,3485,..,26653,53513
10303,18049,43759,1260,1990,131,225,1388,2216,218,306,22,27,0,0,3,4,7,19,252,358,76,97,113,181,9,13,84,171,280,455,70,132,20045,46926,3087,..,23129,46926
10304,21025,54788,1617,2541,253,435,1869,2977,647,945,63,102,0,0,0,0,18,35,727,1084,58,77,14,22,0,3,233,572,304,671,77,178,23994,59698,2144,..,26138,59698
10401,18972,45953,936,1488,562,1059,1494,2544,857,1319,129,223,36,57,0,0,47,81,1066,1685,340,614,426,648,40,61,172,407,976,1731,137,265,22655,52187,3150,..,25800,52187
