SA3_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
10102,25989,25861,51851,14164,9869,24031,3322,5986,9304,863,1213,2072,636,521,1156,18980,17582,36563,5581,7020,12596,3.3,3,3.2,73,68,70.5,70.6,66,68.3,2278,2082,4358,597,1048,1648,3558,4927,8488,2400,2977,5379,5988,3054,9036,232,382,619,330,573,909,6552,4016,10563,25658,25266,50924,4745,4685,9427,16019,15655,31673,12614,12603,25216
10103,11644,10646,22293,4802,2969,7774,2040,3094,5133,491,462,956,208,163,373,7544,6687,14233,2934,3037,5968,2.8,2.4,2.6,64.8,62.8,63.8,63,61.3,62.2,517,524,1037,165,310,477,1539,1904,3442,785,1172,1953,3061,1385,4448,112,180,291,171,245,418,3340,1812,5153,10077,9373,19453,2115,2080,4198,6874,6307,13182,4845,4701,9545
10104,32318,34102,66420,9523,6011,15533,4674,8133,12804,1167,1271,2440,718,508,1227,16083,15928,32008,13838,15769,29612,4.5,3.2,3.8,49.8,46.7,48.2,47.5,45.2,46.3,1114,1346,2463,528,1120,1649,3165,4767,7928,2327,3759,6087,9166,4689,13850,316,618,936,600,986,1588,10085,6288,16371,29852,30935,60791,4912,5322,10236,19919,20460,40381,13368,14426,27794
10105,16083,15976,32053,6635,4040,10678,1882,3686,5568,569,665,1237,422,326,749,9508,8716,18222,5502,6219,11723,4.5,3.7,4.1,59.1,54.6,56.9,56.5,52.5,54.5,437,516,954,175,391,560,1233,1952,3186,1126,1765,2892,4421,2427,6855,148,286,435,288,450,735,4856,3172,8028,14994,15086,30083,2602,2689,5295,10142,9968,20108,6515,6924,13435
10106,15059,15688,30750,6844,4183,11029,1775,3863,5643,497,675,1175,351,292,650,9475,9013,18487,4410,5671,10084,3.7,3.3,3.5,62.9,57.5,60.1,60.6,55.6,58,608,677,1292,226,473,698,1462,2451,3916,1058,1628,2683,3719,2020,5739,134,273,408,213,421,633,4072,2709,6783,15137,15597,30733,2096,2223,4318,10386,10605,20993,5911,6370,12283
10201,69931,77036,146971,25834,16337,42172,10312,18134,28448,4031,5307,9338,1998,1600,3598,42177,41380,83556,24334,31610,55944,4.7,3.9,4.3,60.3,53.7,56.9,57.5,51.6,54.4,3423,3747,7166,1040,2103,3147,9574,13416,22989,6207,9383,15585,18145,9553,27701,663,1252,1912,1441,2385,3824,20243,13186,33434,69827,74603,144428,11350,11954,23305,47028,50254,97279,30014,32337,62353
10202,65074,71246,136324,22837,14163,37004,8793,15621,24411,4022,5222,9239,2222,1680,3903,37866,36687,74561,23450,30219,53669,5.9,4.6,5.2,58.2,51.5,54.7,54.8,49.1,51.8,1374,1669,3037,560,1318,1879,4811,8116,12922,4442,7605,12038,19694,11903,31592,738,1350,2085,1185,2047,3232,21616,15297,36910,65013,68925,133935,10524,11361,21885,42519,44594,87118,28654,31601,60260
10301,20227,19893,40119,8585,5503,14085,2512,5032,7547,682,776,1458,534,448,979,12309,11754,24059,6705,7007,13711,4.3,3.8,4.1,60.8,59.1,60,58.2,56.9,57.5,740,763,1506,268,555,823,1831,3221,5051,1250,2031,3286,5408,2946,8355,222,373,597,335,572,909,5963,3893,9856,18462,18753,37220,3696,3893,7589,11855,11894,23743,9073,9664,18739
10302,22259,22309,44565,9585,5136,14720,2229,5182,7409,681,761,1437,628,479,1108,13121,11553,24672,7110,8924,16033,4.8,4.1,4.5,59,51.8,55.4,56.1,49.6,52.9,277,439,723,145,408,547,1268,2505,3770,1066,1996,3057,5764,3236,8998,250,461,704,337,568,906,6348,4261,10610,21582,21524,43109,3032,3156,6184,15299,14945,30238,7986,8464,16444
10303,19956,19588,39544,8005,4097,12100,2071,4781,6853,774,886,1657,561,429,995,11413,10195,21605,6925,7994,14912,4.9,4.2,4.6,57.2,52,54.6,54.4,49.8,52.1,372,523,890,157,389,549,1362,2264,3625,1158,1878,3033,6194,3037,9237,232,422,654,296,534,831,6726,3996,10723,18931,18712,37641,2965,3071,6032,12838,12469,25307,7954,8237,16193
