SA3_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
10102,964,1522,3938,4039,3951,2930,867,128,7,18344,4,10,19,26,33,67,48,17,0,228,0,4,8,9,4,3,0,0,0,22,39,27,55,68,66,49,10,4,0,313,0,8,23,28,16,10,4,0,0,89,25,52,125,97,130,80,20,3,0,528,7,12,25,35,39,26,16,0,0,167,254,156,286,155,206,197,40,10,0,1296,303,152,172,123,90,67,6,0,0,913,0,13,43,35,57,37,15,0,0,203,4,7,43,30,41,22,3,0,0,152,3,8,64,60,43,39,8,0,0,233,8,45,76,56,59,28,10,0,0,285,26,86,342,325,317,156,51,4,0,1307,9,36,117,92,121,96,25,4,0,499,33,235,1130,1387,1366,678,63,0,0,4900,71,140,391,471,489,278,64,0,0,1906,56,210,710,593,594,467,106,4,0,2736,29,31,53,62,47,35,11,5,0,266,37,75,130,113,106,81,22,3,0,556
10103,439,744,1547,1175,1455,1353,489,115,16,7337,6,15,28,31,45,69,60,24,0,283,0,0,3,0,0,4,0,0,0,12,6,9,33,18,26,26,8,0,0,120,15,9,15,21,26,24,0,0,0,108,5,10,41,31,57,20,3,0,0,187,0,5,13,18,33,14,7,0,0,90,86,56,113,99,132,123,24,0,0,638,174,285,309,123,136,113,47,10,0,1188,0,23,26,26,24,27,4,0,0,130,3,3,8,10,11,10,0,0,0,39,0,8,21,19,46,18,4,0,0,118,6,18,41,31,20,20,3,0,0,149,8,20,66,92,82,52,10,3,0,334,12,22,51,42,43,43,15,0,0,226,6,17,88,121,160,119,12,0,0,528,17,50,117,165,216,177,30,0,0,777,24,67,149,166,211,203,43,7,0,866,35,101,130,42,42,32,8,3,0,396,12,13,35,25,35,19,10,0,0,146
10104,990,1027,2428,2620,3246,3479,1334,201,26,15361,16,17,34,55,81,94,72,30,3,404,0,0,0,3,0,0,5,0,0,9,35,38,81,81,120,97,16,3,0,472,0,3,11,13,12,8,3,0,0,48,13,15,86,83,95,73,43,7,0,420,11,3,22,24,38,35,15,0,0,153,304,144,289,292,410,410,126,11,0,1987,328,160,245,278,307,307,79,7,0,1707,3,17,21,36,51,79,26,0,6,232,8,25,36,27,20,25,20,0,0,152,0,13,50,55,82,65,5,0,0,271,6,20,33,50,54,50,28,3,0,250,17,29,149,152,186,170,71,6,0,780,3,33,78,99,136,151,37,0,0,547,5,36,145,227,313,241,48,4,0,1018,33,54,267,425,453,487,118,3,0,1838,47,198,623,646,939,1113,235,13,0,3822,12,16,29,41,54,47,20,3,0,223,35,47,92,109,134,93,35,0,0,558
10105,547,756,1763,1688,1720,1807,647,146,17,9088,11,28,44,47,62,91,83,26,3,403,0,4,7,7,6,4,0,0,0,27,16,27,62,57,44,35,12,0,0,254,0,0,4,3,17,5,0,0,0,34,9,20,51,45,47,32,6,0,0,210,6,14,16,20,24,22,4,0,0,99,153,92,192,167,177,160,39,5,0,978,175,80,121,100,86,75,21,0,0,652,0,9,23,36,35,33,11,5,0,146,0,10,11,14,11,11,0,0,0,70,3,11,29,28,40,31,0,0,0,141,4,14,26,16,25,19,8,0,0,107,11,27,80,82,89,80,31,0,0,400,7,19,49,71,74,72,17,0,0,314,8,37,150,187,239,141,21,0,0,794,27,63,182,220,217,215,55,3,0,993,43,134,488,435,468,457,124,5,0,2160,10,9,14,16,11,15,0,0,0,80,23,32,64,54,74,40,15,0,0,298
10106,592,649,1499,1693,2052,1717,702,190,23,9124,16,33,78,79,113,162,137,47,12,671,0,0,0,8,0,0,0,0,0,19,33,11,20,41,45,31,21,4,0,207,0,0,5,13,9,7,4,0,0,39,13,18,42,60,50,41,17,0,0,240,3,5,23,15,20,23,0,0,0,96,134,93,121,129,177,124,32,0,0,806,201,79,92,77,75,80,21,0,0,636,0,5,15,21,44,33,14,3,0,130,0,9,10,9,17,11,0,0,0,57,3,13,35,48,37,24,12,0,0,173,4,3,27,18,28,16,8,0,0,106,11,39,124,127,145,97,26,7,0,579,6,19,37,64,66,48,22,0,0,265,0,35,190,348,382,184,29,5,0,1184,22,77,194,309,331,187,58,4,0,1188,39,140,281,310,401,387,79,7,0,1645,23,6,13,15,24,15,4,0,0,108,32,27,61,60,60,37,15,3,0,296
10201,2441,3312,7080,8621,9049,7116,2197,328,31,40179,20,24,38,48,66,45,21,12,0,278,3,4,4,9,11,6,3,0,0,47,70,77,193,294,295,214,40,8,0,1195,0,5,44,34,45,18,0,0,0,141,13,42,208,318,260,216,68,4,0,1123,14,39,93,160,174,127,28,0,0,640,795,613,653,641,719,690,172,26,0,4301,1092,483,412,346,339,265,45,5,0,2985,6,36,78,108,160,153,42,4,0,594,13,52,130,187,143,91,23,7,0,644,7,74,306,432,394,257,51,8,0,1529,11,54,127,179,173,127,39,9,0,722,27,168,534,765,666,442,129,18,0,2758,28,79,212,294,336,247,48,7,0,1243,19,84,384,657,651,430,62,0,0,2293,95,360,890,1146,1285,961,247,9,0,4994,191,829,2027,2204,2676,2501,576,36,0,11039,53,54,116,126,117,65,31,9,0,586,55,128,281,321,315,216,59,4,0,1380
10202,2401,3365,7384,7424,7380,6014,1480,182,20,35645,7,16,35,27,27,39,15,3,0,173,0,3,9,9,11,7,0,0,0,33,74,104,244,303,353,248,52,3,0,1375,0,7,25,41,24,31,7,0,0,136,24,71,236,284,232,192,44,0,0,1083,11,39,73,115,125,96,20,0,0,486,674,609,832,752,864,701,163,15,3,4618,983,445,411,346,312,233,62,5,0,2799,10,29,90,118,151,161,33,8,0,590,31,46,74,83,69,62,4,0,0,366,10,85,281,321,302,208,28,0,0,1236,9,50,149,133,129,68,14,3,0,556,20,119,372,398,329,214,78,9,0,1538,38,81,244,238,297,214,58,0,0,1159,4,87,375,574,605,292,47,0,0,1985,89,300,932,988,913,695,161,8,0,4086,207,830,2104,2067,2346,2032,372,16,0,9977,39,49,101,66,67,40,14,0,0,376,71,129,359,260,290,190,38,0,0,1335
10301,807,1153,2389,2225,2311,1962,769,140,11,11774,3,14,24,39,52,56,71,27,0,295,0,4,12,10,7,5,0,0,0,30,44,36,79,102,110,102,16,6,0,496,0,0,8,21,17,7,0,0,0,54,10,17,58,57,58,53,5,0,0,267,8,13,18,15,23,18,11,0,0,107,209,155,243,201,175,162,49,4,0,1196,274,124,135,84,117,73,28,3,0,848,0,4,28,39,43,53,15,0,0,188,5,18,25,39,22,14,0,3,0,128,4,17,46,54,48,34,10,0,0,213,6,5,21,23,38,27,5,0,0,127,10,39,116,116,87,77,37,5,0,490,11,22,74,75,101,69,17,0,0,364,7,45,219,210,253,152,31,0,0,913,62,136,340,388,501,333,76,3,0,1830,109,358,640,532,580,511,123,10,0,2853,33,21,38,27,26,23,5,4,0,171,24,48,93,85,77,53,10,0,0,392
10302,781,1001,2296,2171,2344,2478,1086,291,45,12495,50,56,128,160,241,239,208,75,17,1180,4,32,83,51,34,13,0,0,0,209,19,14,45,47,58,45,19,0,0,245,0,0,5,5,10,11,4,0,0,25,8,13,34,51,42,34,11,3,0,190,3,14,39,38,40,36,10,0,0,168,193,122,221,216,223,217,57,4,0,1253,226,113,148,122,133,134,30,3,0,912,4,22,40,39,61,56,27,5,0,253,6,0,11,15,8,11,0,0,0,54,4,14,30,36,45,24,0,0,0,150,3,17,19,21,24,13,4,5,0,105,11,36,101,75,86,66,30,5,0,401,0,18,45,54,81,85,22,0,0,310,17,52,159,161,176,103,14,0,0,680,46,111,335,395,432,314,71,16,0,1716,58,184,490,454,571,559,131,8,0,2443,8,3,7,13,14,18,0,3,0,67,38,47,69,65,69,63,23,0,0,370
10303,651,864,2079,2002,2267,2077,712,182,17,10851,10,15,29,40,58,106,69,32,9,381,0,21,85,64,56,21,0,0,0,244,22,20,64,58,61,45,17,0,0,278,0,4,11,13,18,11,0,0,0,54,13,18,36,59,51,46,15,0,0,238,0,16,27,33,33,35,4,0,0,149,151,112,223,202,247,188,46,7,0,1173,225,123,170,145,153,150,40,3,0,995,0,9,27,24,52,45,13,4,0,175,0,7,12,10,14,13,5,0,0,62,3,13,64,49,55,26,3,0,0,219,8,11,28,27,36,19,9,0,0,141,12,30,98,88,114,71,26,0,0,433,12,38,100,90,99,116,19,3,0,471,3,28,139,176,190,128,18,0,0,677,20,60,257,302,339,256,55,8,0,1304,39,130,364,382,465,501,112,8,0,2005,13,3,24,23,22,14,7,0,0,116,27,30,86,58,64,54,18,3,0,348
