SA3_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
10102,6342,7759,4758,3536,5742,2328,1706,2440,796,35407
10103,2488,2323,1776,2036,1344,1075,1012,1544,254,13860
10104,4096,5357,4776,4194,3422,2946,1668,3727,596,30778
10105,2656,2593,2504,2465,1982,1455,1395,2070,361,17474
10106,3567,3123,2578,1980,2138,1290,917,1891,353,17843
10201,11095,19479,10789,9415,10661,6961,3595,6618,1344,79961
10202,7544,11436,11130,10096,9098,6899,5297,7940,1210,70654
10301,2926,4260,3298,3342,2668,1920,1707,2529,431,23084
10302,4791,3260,3185,2652,2355,1812,2202,2889,425,23570
10303,2752,2873,3506,2484,2241,1562,2477,2351,369,20614
10304,4050,6095,4265,3538,3562,2193,2119,3019,486,29330
10401,2393,3165,2728,3079,2225,1847,1371,2630,404,19838
10402,5004,8082,5288,5638,4739,3764,1889,4778,680,39855
10501,2029,1237,1157,1077,854,417,1035,1154,214,9179
10502,1054,1393,1177,1268,831,679,786,919,173,8273
10503,5040,5783,4446,4725,3818,2809,2215,3686,641,33171
10601,4658,5432,7901,5877,4744,3681,5721,5125,812,43945
10602,4421,7239,6765,5598,5267,3855,3863,4213,669,41884
10603,3527,4672,5235,4340,3819,2873,2322,3447,627,30851
10604,1755,1642,2640,1408,1279,987,2274,2222,275,14477
10701,3213,5915,5481,4497,4528,2912,2815,3731,618,33714
10702,0,0,0,0,0,0,0,0,0,4
10703,5003,8630,7245,6076,5699,3885,3338,4109,726,44706
10704,8093,18572,8208,8029,7715,4689,3123,4398,910,63744
10801,1485,2009,1777,1781,1290,1242,628,1417,265,11901
10802,2294,2879,2402,2999,1886,1608,1111,2440,368,17990
10803,55,35,33,13,30,14,4,43,9,243
10804,4177,7445,5034,5514,4398,3491,1726,3451,604,35837
10805,2580,3591,2905,3151,2172,2109,1358,2669,410,20935
10901,4109,6037,4551,4158,3750,2814,2125,3142,533,31207
10902,1249,721,787,585,606,390,472,912,125,5843
10903,3550,2453,2544,2136,1999,1448,1399,2555,397,18477
11001,2869,3700,1940,1973,1812,1269,715,2022,259,16551
11002,2975,2008,1789,1897,1493,1289,929,2280,326,14983
11003,2035,1602,1382,1104,1206,798,1373,1354,208,11057
11004,5231,6344,5262,4645,4179,3245,3487,5263,633,38290
11101,6521,13744,8815,7675,7904,5037,3156,4953,767,58572
11102,3834,6681,6248,4996,4718,3216,2979,3758,662,37102
11103,10129,25568,10909,11804,10464,7321,4534,7147,1249,89120
11201,6120,9494,5439,5221,3873,3544,1481,3867,745,39786
11202,3945,5449,3917,4223,3507,2733,1892,4503,526,30687
11203,4997,7952,6295,5739,4706,3841,2013,4492,779,40812
11301,4144,3037,3189,2320,2596,1784,1942,4463,546,24030
11302,1130,878,950,757,611,433,704,1110,128,6709
