SA4_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
101,537,527,1062,5722,5431,11150,358,350,706,6616,6304,12913,595,540,1138,6291,5835,12126,489,426,911,7376,6803,14181,596,587,1177,6762,6151,12916,526,497,1022,7879,7237,15118,530,504,1030,6008,5472,11490,477,373,853,7021,6353,13374,429,387,820,5397,5027,10417,433,341,773,6261,5749,12007,405,330,736,5977,6009,11982,494,431,925,6873,6775,13645,281,287,569,6398,6638,13037,473,426,899,7152,7353,14504,273,286,559,6412,6550,12958,448,447,893,7131,7284,14411,253,241,503,5885,6347,12232,434,443,875,6575,7028,13603,273,281,552,6939,7023,13961,527,447,969,7735,7759,15493,282,288,567,7382,7936,15322,541,451,994,8205,8675,16880,244,250,495,7941,8158,16098,627,540,1162,8813,8948,17763,194,200,393,8422,8474,16896,616,498,1116,9231,9173,18407,342,361,702,24076,25180,49261,1682,1632,3316,26095,27180,53278,5236,5073,10309,109612,110232,219845,8114,7304,15425,122965,122612,245577
102,1004,934,1939,8618,8108,16729,378,395,776,10008,9439,19445,1025,934,1959,9443,8757,18199,500,476,972,10969,10165,21132,971,980,1949,9810,9136,18948,475,507,985,11261,10622,21882,930,835,1766,9149,8546,17688,469,402,869,10543,9785,20326,739,727,1467,8244,7986,16230,390,396,787,9373,9113,18488,608,614,1215,8110,8286,16393,469,439,902,9184,9333,18511,511,535,1043,8392,9240,17629,437,464,902,9336,10236,19576,414,497,906,9076,9868,18936,438,479,915,9920,10841,20761,385,442,830,9094,9753,18848,410,463,873,9891,10656,20549,371,422,794,9713,10465,20179,450,475,926,10533,11362,21895,367,437,806,9928,10635,20563,465,369,834,10759,11444,22206,324,407,729,9963,10811,20769,393,458,856,10680,11673,22349,262,308,574,9767,11193,20960,361,354,720,10393,11856,22248,478,572,1058,32432,39355,71787,1475,2062,3537,34385,41991,76377,8395,8644,17043,151733,162122,313862,7109,7735,14848,167246,178502,345747
103,1028,948,1975,5141,4757,9892,358,371,724,6527,6069,12597,1064,978,2045,5701,5426,11132,488,499,989,7258,6908,14165,1063,983,2049,6030,5707,11738,518,499,1018,7608,7198,14808,892,825,1718,5481,5005,10488,431,375,804,6806,6204,13008,735,694,1430,4809,4457,9266,429,342,774,5969,5500,11469,642,644,1286,5106,5180,10286,387,352,742,6137,6176,12313,522,550,1073,5485,5533,11021,423,412,838,6434,6496,12929,428,434,864,5401,5494,10892,453,394,848,6283,6321,12602,398,386,784,5045,5136,10185,443,388,832,5884,5915,11800,402,432,837,5538,5717,11256,430,404,833,6372,6557,12930,411,442,849,5836,5977,11814,476,406,889,6723,6824,13544,365,388,749,6152,6190,12342,495,398,891,7010,6973,13979,277,303,578,6253,6303,12554,443,378,823,6977,6988,13963,537,546,1082,19349,21045,40397,1327,1384,2708,21212,22974,44185,8762,8556,17319,91333,91923,183258,7105,6609,13720,107204,107086,214290
104,511,482,997,2904,2931,5842,206,197,404,3625,3617,7243,523,503,1025,3597,3289,6885,267,236,506,4387,4029,8415,595,527,1126,3824,3760,7591,289,313,606,4713,4603,9318,469,441,907,3416,3195,6616,247,246,492,4132,3886,8018,406,391,798,2736,2593,5331,199,169,369,3341,3155,6495,355,329,686,2983,3080,6060,228,266,496,3570,3673,7240,329,291,620,3307,3567,6872,255,238,495,3896,4091,7987,287,258,544,3461,3651,7111,247,254,498,3994,4163,8154,211,241,451,3283,3646,6934,277,253,531,3772,4141,7909,233,258,495,3789,4127,7918,270,259,539,4294,4653,8943,236,274,505,3887,4397,8286,269,248,519,4397,4925,9318,193,223,418,4359,4834,9193,282,271,554,4834,5328,10160,190,186,371,4913,5395,10314,301,240,542,5405,5821,11225,290,367,662,16695,18099,34790,985,1135,2115,17965,19604,37572,4826,4780,9601,63174,66565,129735,4320,4344,8663,72314,75685,147996
105,1102,1024,2125,2393,2315,4703,399,381,774,3885,3714,7605,1183,1051,2231,2242,2286,4527,460,426,883,3880,3762,7643,1070,1024,2093,2437,2236,4679,473,449,927,3981,3710,7695,901,911,1812,2128,1899,4025,413,346,759,3443,3153,6597,735,757,1488,2015,1992,4013,363,328,688,3116,3078,6192,659,773,1435,2770,2849,5619,423,411,834,3853,4042,7897,559,635,1195,2804,2918,5722,404,401,804,3765,3951,7717,467,519,988,2561,2596,5160,350,411,764,3386,3526,6913,380,454,835,2274,2332,4606,352,370,720,3007,3152,6159,458,522,983,2421,2405,4828,336,335,671,3214,3266,6478,470,584,1051,2719,2715,5436,398,397,795,3589,3690,7274,441,456,901,2959,3076,6036,440,374,813,3841,3907,7748,380,425,798,3267,3233,6497,381,344,725,4019,4002,8026,705,777,1483,9551,10134,19680,1147,1295,2449,11405,12209,23614,9509,9913,19425,42534,42983,85514,6343,6268,12610,58385,59164,117554
106,1392,1340,2731,7295,6901,14202,334,343,681,9024,8583,17609,1503,1339,2838,8108,7693,15805,490,436,926,10095,9469,19562,1469,1362,2830,8319,7931,16248,469,409,881,10259,9704,19960,1267,1130,2394,7553,7006,14554,445,344,793,9270,8475,17743,952,954,1899,6964,6571,13538,437,343,780,8348,7867,16216,890,837,1723,7581,7740,15327,441,373,814,8909,8956,17863,787,765,1547,8012,8413,16424,443,379,816,9242,9551,18792,620,685,1302,7898,8273,16168,394,364,754,8907,9311,18224,553,538,1092,7562,7642,15200,380,368,748,8494,8545,17043,523,597,1118,7887,8243,16130,379,373,747,8787,9209,17992,493,522,1020,8084,8418,16503,352,322,671,8928,9268,18194,410,475,884,8108,8477,16588,392,342,732,8906,9296,18203,338,412,748,8276,8714,16996,359,284,637,8975,9403,18381,555,666,1224,24808,27072,51873,1111,1260,2369,26469,28996,55468,11746,11609,23358,126455,129095,255555,6422,5927,12348,144624,146640,291260
107,645,607,1251,8252,7732,15983,319,276,594,9217,8616,17831,646,601,1250,8713,8134,16849,361,390,754,9722,9128,18850,636,627,1266,8952,8387,17344,369,366,737,9958,9388,19346,607,578,1192,8646,8379,17018,400,381,775,9652,9336,18992,543,560,1094,9704,9395,19100,440,399,835,10685,10350,21034,428,437,865,9371,9040,18414,414,394,805,10212,9874,20090,351,355,713,8837,9477,18316,372,360,732,9562,10196,19757,285,316,598,8856,9415,18274,367,375,738,9510,10100,19609,229,280,507,8669,9043,17706,343,352,700,9242,9672,18914,266,293,560,9146,9659,18803,350,345,698,9761,10303,20064,238,287,528,8729,9251,17984,315,267,580,9288,9804,19095,198,253,453,9125,9538,18658,294,271,567,9613,10062,19675,183,213,397,8778,9503,18274,272,242,523,9240,9953,19193,315,324,641,26054,30625,56687,1058,1349,2408,27428,32299,59729,5566,5739,11301,141845,147575,289420,5672,5775,11452,153082,159091,312174
108,911,883,1799,4019,3874,7891,314,303,620,5245,5065,10305,994,989,1982,4751,4611,9361,420,420,842,6164,6020,12189,1024,1000,2026,5570,5278,10850,456,447,900,7056,6725,13780,872,863,1732,5054,4816,9865,416,354,762,6333,6026,12360,687,596,1284,3900,3780,7684,311,282,595,4896,4659,9552,584,536,1121,3959,4090,8045,324,334,659,4862,4964,9823,473,515,987,4055,4565,8627,301,322,629,4836,5405,10235,447,425,875,4318,4868,9182,347,339,680,5109,5633,10739,376,380,754,4609,5058,9662,317,339,654,5299,5779,11072,385,440,825,5399,5915,11314,369,366,731,6148,6724,12867,356,461,816,5935,6616,12554,409,375,786,6703,7451,14159,364,437,802,6812,7752,14569,458,444,902,7638,8636,16275,354,425,784,8067,9080,17145,469,473,937,8892,9982,18872,659,732,1385,30810,33414,64225,1671,1794,3465,33134,35935,69070,8482,8692,17167,97258,103714,200975,6578,6587,13164,112311,118993,231310
109,313,276,592,3085,2969,6060,246,242,490,3650,3492,7142,318,255,569,3285,3090,6373,323,269,594,3922,3613,7533,278,296,577,3323,3189,6516,314,252,568,3919,3743,7657,245,267,510,3049,2977,6029,269,237,506,3564,3481,7047,188,205,400,2709,2675,5386,248,206,453,3149,3092,6236,151,162,319,3074,2994,6072,267,248,513,3494,3403,6899,137,148,287,2880,3207,6086,272,250,520,3288,3604,6891,115,145,259,2938,3218,6151,258,256,510,3311,3613,6924,101,112,214,2908,3114,6023,257,240,496,3264,3465,6727,106,128,235,3109,3318,6427,278,240,521,3488,3694,7179,116,137,248,3368,3534,6900,293,207,501,3774,3875,7649,104,126,231,3542,3749,7285,294,286,582,3935,4165,8100,93,106,200,3879,4119,7998,295,251,543,4266,4481,8742,184,181,363,12373,13412,25781,862,906,1777,13426,14500,27923,2455,2549,4998,53531,55558,109086,4467,4099,8566,60444,62202,122654
110,1334,1160,2492,3879,3457,7332,466,420,884,5675,5037,10711,1397,1270,2668,4218,4103,8323,587,594,1180,6196,5972,12172,1307,1275,2586,4534,4339,8868,614,623,1237,6454,6231,12689,1062,1111,2180,4152,4035,8184,594,674,1267,5810,5822,11629,856,889,1744,3782,3669,7447,651,596,1241,5283,5149,10436,704,840,1540,4273,4297,8567,564,518,1077,5539,5654,11193,599,664,1262,4219,4555,8774,546,523,1071,5357,5746,11111,539,546,1089,4107,4319,8423,519,537,1058,5172,5405,10575,449,553,1006,3899,4125,8022,485,460,946,4836,5141,9974,467,561,1021,4312,4508,8823,510,497,1004,5289,5561,10853,486,591,1084,4634,4754,9392,557,489,1046,5682,5837,11524,474,523,995,5010,5113,10124,579,521,1100,6057,6162,12213,407,460,866,5240,5470,10709,541,479,1021,6187,6409,12594,750,796,1545,16443,18072,34514,1576,1691,3270,18764,20559,39328,10825,11250,22074,72695,74813,147509,8777,8625,17403,92297,94689,186985
