SA4_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
101,0,0,0,0,5,3,13,11,0,0,0,0,4,0,3,37,0,0,0,4,0,9,66,56,21,25,23,41,0,0,4,248,0,11,43,84,64,59,95,53,12,9,7,10,9,5,12,466,13,14,14,11,47,70,185,106,34,35,18,91,16,15,34,710,10,61,200,64,19,20,3,7,0,5,0,0,0,0,10,415,3,22,16,4,7,11,18,9,0,10,0,8,3,0,7,121,0,7,10,31,42,53,68,23,6,9,19,17,6,4,14,315,165,335,214,113,137,79,89,45,3,7,8,13,3,0,47,1268,8,57,144,30,10,7,5,3,0,0,0,0,0,0,8,280,3,12,17,25,22,22,23,9,4,0,4,3,11,0,7,163,7,13,42,26,28,75,566,501,154,180,200,178,68,12,30,2083,3,20,8,12,21,26,44,49,9,15,12,11,3,0,3,241,0,0,0,3,12,3,25,27
102,0,0,0,4,3,8,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,12,33,38,6,12,10,8,3,0,0,134,5,13,54,82,72,119,161,85,15,23,8,16,9,3,10,676,16,57,42,35,209,277,596,362,85,61,38,71,17,3,45,1915,3,57,153,38,5,27,3,9,0,0,3,0,0,0,11,303,28,84,101,37,28,24,23,34,5,22,6,16,3,7,16,435,5,9,16,58,112,92,58,33,13,3,19,9,9,3,13,443,173,275,153,115,106,84,173,69,8,14,5,3,5,0,41,1229,11,105,145,46,9,8,9,5,0,0,0,3,0,0,8,348,12,8,26,48,87,56,53,29,14,6,6,10,7,7,10,379,22,21,65,88,81,137,601,679,136,165,141,140,49,8,38,2365,12,25,20,35,57,72,119,94,14,13,26,38,18,0,7,531,0,0,3,21,38,30,52,65
103,0,0,0,0,0,4,16,11,0,0,0,0,0,0,6,32,0,0,0,0,0,9,31,46,4,14,5,4,7,0,4,128,4,3,12,20,31,24,63,31,0,10,7,9,9,0,9,222,6,18,13,32,50,71,162,87,8,25,21,11,4,3,27,532,5,12,57,21,9,9,0,3,0,0,0,0,0,0,8,132,0,7,8,0,4,5,8,3,0,0,6,0,6,0,0,48,0,6,8,15,45,30,42,23,5,8,15,16,0,0,15,222,117,153,76,34,51,28,27,19,8,5,3,3,0,0,20,549,0,26,41,16,0,3,0,0,0,3,0,0,0,0,9,106,0,0,11,15,31,15,7,13,0,9,0,0,10,0,3,112,6,7,19,18,28,39,291,318,96,118,130,124,56,18,26,1282,0,14,3,7,9,8,31,31,9,6,4,7,0,0,7,137,0,0,0,0,14,7,9,34
104,0,0,0,0,0,0,3,35,11,11,0,10,0,0,0,67,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,13,4,8,25,45,55,28,59,41,3,7,7,12,12,3,14,306,4,8,8,8,21,26,63,52,11,26,22,38,3,0,29,313,4,9,20,4,4,3,5,0,0,0,0,0,0,0,0,38,9,14,12,5,6,0,10,6,3,0,0,0,0,0,0,58,3,4,9,21,22,15,29,14,0,3,4,4,0,0,10,132,63,156,85,60,95,50,77,35,0,7,0,0,3,0,18,664,0,11,15,0,0,0,0,0,0,0,5,0,0,0,0,38,0,5,13,14,15,8,13,14,0,6,9,0,5,0,8,113,8,26,64,56,113,89,445,303,72,71,82,125,39,3,41,1547,0,6,3,4,8,8,24,22,9,9,3,13,13,3,5,130,0,0,0,0,3,0,3,12
105,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,46,25,11,10,12,0,0,0,158,0,0,3,13,11,5,19,8,0,0,0,0,0,0,0,71,0,4,5,9,20,27,68,56,9,11,12,23,15,10,22,275,0,8,13,5,0,0,0,0,0,0,0,0,0,0,0,31,0,5,4,0,0,3,5,0,0,0,0,4,6,0,0,32,0,0,0,0,15,9,32,20,7,8,5,11,0,13,9,129,23,65,38,14,21,14,23,13,0,4,0,0,0,3,9,225,0,12,25,0,6,3,0,0,0,0,0,0,0,0,0,43,0,3,0,9,10,10,7,7,0,0,0,0,0,0,4,58,0,0,5,11,10,15,237,274,92,102,103,85,44,25,19,1023,0,4,0,0,3,10,14,3,0,5,5,3,3,0,3,62,0,0,0,0,5,0,0,7
106,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,15,0,0,0,0,0,3,36,29,4,7,9,7,0,0,5,108,0,3,20,37,34,49,76,60,10,4,8,10,0,3,11,326,4,9,14,17,67,56,182,81,29,30,55,65,27,0,34,667,3,24,68,29,11,5,0,0,0,0,0,0,4,0,7,152,7,19,22,4,6,3,20,9,0,0,0,0,0,0,10,105,8,7,10,22,29,43,43,34,5,8,4,7,0,17,15,266,216,272,98,53,73,39,53,36,8,3,5,3,0,0,35,884,0,40,40,10,4,4,5,3,0,0,0,0,0,0,5,123,0,7,12,25,36,26,21,22,6,11,3,3,5,4,10,186,14,4,37,32,19,56,408,360,88,76,91,109,29,16,29,1376,5,6,10,7,3,22,40,30,7,4,11,4,3,0,7,158,5,0,0,6,3,4,11,19
107,0,0,0,0,8,6,12,15,0,0,10,0,0,0,5,59,0,0,0,0,3,8,41,53,15,29,25,27,13,4,0,224,4,4,33,62,63,81,168,82,25,27,31,29,23,7,8,651,7,16,6,27,106,199,573,469,110,126,142,178,48,14,48,2063,0,139,380,84,33,183,113,4,0,0,0,0,0,0,25,971,15,40,43,25,21,18,36,47,5,14,13,23,3,3,12,314,0,5,13,40,63,58,50,27,13,8,15,12,4,3,9,329,206,638,263,91,104,70,101,47,8,15,19,12,5,0,55,1637,12,221,365,83,20,15,9,26,0,0,3,0,0,0,51,812,0,6,13,31,35,46,49,27,4,13,6,11,8,0,10,265,6,10,52,85,53,118,397,575,161,177,296,390,235,11,55,2639,3,10,8,13,19,64,89,54,9,26,15,29,7,0,3,368,3,0,4,7,35,54,73,118
108,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,24,13,0,4,0,0,0,0,0,46,4,8,47,53,50,39,73,46,13,13,3,11,8,0,11,382,4,9,9,10,41,43,115,71,6,27,36,31,0,0,26,435,4,21,48,20,7,3,3,0,0,0,0,0,0,0,5,108,6,20,24,5,7,8,15,9,5,3,3,10,7,0,4,129,9,12,15,17,36,27,34,15,3,5,4,0,6,3,7,183,142,250,146,76,108,51,66,39,3,8,3,3,0,0,61,955,0,23,29,9,3,0,6,0,0,0,0,0,0,0,12,90,7,5,12,18,24,9,14,13,0,5,4,0,0,0,8,120,17,9,31,31,16,27,162,214,41,52,50,78,45,8,30,822,6,15,14,3,15,22,25,21,13,7,5,9,4,0,7,167,0,0,5,7,13,4,18,15
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,23,36,3,4,0,0,6,3,0,71,0,0,10,12,6,15,18,14,0,5,4,0,0,0,0,101,0,0,0,7,14,31,47,47,16,14,17,23,4,0,4,226,0,12,35,12,0,7,0,0,0,0,0,0,0,0,0,65,0,6,7,8,0,3,4,0,0,0,0,3,0,0,0,34,0,0,3,3,26,13,21,29,6,6,5,8,0,0,5,116,73,174,75,26,28,7,20,14,5,3,0,4,7,0,17,447,5,29,18,5,3,0,5,0,0,0,0,0,0,0,0,66,0,0,3,5,14,6,10,8,0,0,4,0,0,0,0,50,4,0,8,10,11,32,319,352,122,144,122,107,44,15,19,1311,0,5,3,0,0,4,17,21,5,0,10,4,7,0,0,77,0,0,0,0,3,6,10,6
110,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,3,19,36,13,26,27,8,4,0,0,139,0,3,11,35,20,26,35,25,4,11,10,6,7,0,4,206,3,4,3,9,31,47,110,89,36,55,68,67,9,0,21,560,3,3,7,3,0,7,3,0,0,0,0,0,0,0,0,33,0,3,4,3,0,0,4,8,3,0,0,16,0,3,5,63,0,3,3,12,23,16,34,43,4,9,11,17,72,58,8,315,33,88,42,47,35,28,44,26,0,10,3,8,4,0,6,379,0,7,14,0,0,0,0,9,0,0,0,0,3,0,3,40,0,0,8,10,19,9,20,10,0,0,3,4,3,5,0,86,11,4,19,15,8,23,220,219,74,73,118,170,50,11,18,1025,3,10,8,8,5,13,21,23,0,8,8,35,21,0,12,173,0,0,0,0,8,3,8,25
