SA4_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
101,1252,3988,8417,8156,7845,7041,6477,2528,615,46321,403,613,966,953,1139,1217,818,364,87,6560,879,940,2712,2802,4568,6520,4384,2052,498,25351,202,151,371,421,674,1121,1641,1044,289,5905,63,29,157,198,339,622,1168,1016,427,4013,9,11,39,37,44,61,81,65,32,375,466,521,1354,1140,1336,1449,1306,830,374,8788,3279,6255,14015,13699,15940,18034,15876,7902,2320,97306,1457,4266,10187,10149,9575,8129,5674,2189,638,52268,297,417,797,848,1102,1304,909,487,149,6317,457,599,1790,1888,4064,6002,5139,2614,845,23411,136,64,265,320,485,991,1561,1071,529,5425,29,20,84,124,180,438,934,927,642,3379,9,4,24,31,30,46,74,79,57,347,382,368,965,940,986,1205,1175,898,589,7505,2762,5735,14121,14306,16426,18116,15464,8263,3441,98644,2704,8253,18609,18306,17418,15169,12150,4713,1246,98584,701,1032,1762,1796,2246,2520,1724,849,235,12874,1341,1541,4507,4690,8628,12525,9524,4663,1337,48764,336,218,638,736,1155,2112,3199,2119,818,11330
102,1904,6050,11231,11778,10065,7606,7143,3483,953,60219,650,1075,1578,1593,1391,1185,874,546,148,9031,1412,1488,3956,4459,7206,9035,6051,3625,934,38165,273,232,482,708,1114,1419,2160,1781,547,8720,72,51,163,215,387,744,1224,1103,530,4482,5,21,43,56,63,88,120,98,45,548,465,447,1054,996,1065,976,1123,1139,736,8001,4787,9363,18510,19809,21288,21057,18690,11774,3899,129166,2208,6558,13566,14933,12253,8903,6372,2996,979,68769,472,798,1266,1382,1440,1282,891,574,191,8286,875,1123,3209,3448,6975,9841,8604,5077,1731,40886,187,147,384,531,861,1665,2923,2100,1157,9952,38,18,110,129,270,734,1356,1256,984,4881,11,7,32,44,62,79,84,83,82,491,412,435,996,1017,938,1022,1393,1677,1467,9362,4200,9094,19563,21481,22793,23517,21614,13755,6595,142614,4116,12610,24796,26715,22322,16509,13512,6474,1932,128985,1128,1875,2840,2971,2826,2459,1762,1113,344,17321,2287,2609,7170,7910,14184,18877,14650,8701,2664,79047,464,376,864,1240,1973,3083,5088,3879,1703,18670
103,974,3274,6327,5833,5130,3889,3602,1576,375,30976,467,663,960,964,868,662,484,266,64,5394,980,1135,3299,3275,4747,6353,4055,2066,488,26398,224,197,408,496,752,1147,1627,1122,347,6332,65,40,132,205,336,717,1316,970,453,4240,4,11,41,34,42,51,76,74,26,369,454,644,1401,1353,1203,1168,1083,825,309,8434,3173,5967,12567,12165,13084,13978,12240,6896,2067,82138,1288,3866,8352,7941,6919,4897,3367,1555,483,38664,282,473,887,841,905,804,517,341,92,5136,528,655,2131,2096,3844,5777,4752,2644,989,23413,144,109,337,378,585,1036,1506,1120,584,5792,28,19,83,105,187,506,956,811,661,3364,0,0,18,26,35,35,79,53,32,272,370,379,854,844,891,900,967,909,561,6671,2647,5502,12658,12234,13371,13947,12136,7429,3394,83318,2269,7148,14671,13768,12048,8783,6966,3131,856,69635,751,1134,1847,1803,1775,1459,999,605,153,10531,1504,1789,5424,5374,8588,12128,8807,4711,1474,49806,369,310,749,880,1332,2185,3129,2245,929,12121
104,590,1801,3779,3874,3718,3155,3727,1450,397,22491,291,405,642,566,668,629,627,287,62,4181,557,631,1642,1873,2788,4405,3398,1703,413,17401,178,114,241,336,470,789,1272,890,250,4534,37,29,126,201,215,435,750,701,340,2835,6,8,69,65,40,47,48,31,18,335,263,345,954,845,784,765,727,580,304,5565,1920,3335,7454,7758,8682,10235,10545,5630,1780,57349,761,2077,5067,5214,4879,3969,3158,1343,396,26875,193,296,504,546,727,819,593,331,95,4100,387,425,1170,1506,2742,4533,4209,2219,690,17886,80,83,205,233,410,806,1382,951,433,4587,25,19,93,136,162,327,576,595,511,2436,4,16,75,58,57,61,51,24,30,373,246,221,635,600,595,619,736,714,573,4948,1706,3139,7754,8299,9571,11136,10705,6165,2726,61203,1349,3883,8847,9086,8596,7130,6884,2790,794,49361,490,700,1153,1117,1393,1447,1220,617,153,8283,940,1060,2817,3378,5532,8945,7611,3918,1100,35297,262,193,443,570,881,1599,2648,1835,689,9120
105,464,1574,3824,2869,2325,1718,1492,664,154,15079,213,375,524,518,491,406,281,124,34,2968,547,590,1776,1626,2376,3429,2132,979,225,13693,137,110,308,288,449,766,939,548,169,3726,40,33,94,149,241,540,931,639,271,2943,0,6,16,20,25,41,56,47,15,236,440,427,1061,925,876,956,882,574,230,6369,1852,3109,7620,6389,6792,7858,6723,3582,1100,45016,585,1939,5052,3861,3111,2322,1391,672,204,19135,195,285,517,477,513,500,313,150,53,3005,280,393,1217,1186,1987,3201,2425,1357,445,12495,76,74,231,247,389,640,876,574,268,3376,16,21,72,62,152,404,644,535,360,2260,4,0,10,10,16,27,35,35,10,153,339,364,888,824,785,812,770,672,424,5882,1497,3076,7985,6675,6952,7905,6444,3992,1762,46303,1054,3510,8878,6719,5440,4042,2881,1333,362,34218,407,654,1047,998,1001,904,593,279,79,5975,828,987,2998,2812,4363,6635,4560,2335,668,26189,213,178,541,541,841,1402,1818,1122,443,7099
106,1610,4598,8664,8095,6228,4559,4574,2035,389,40756,831,1105,1903,1716,1334,997,667,359,96,9004,1371,1645,5104,5171,7408,8659,5646,2586,531,38120,295,299,646,743,1089,1722,2318,1507,389,9015,74,72,226,260,408,799,1455,1057,445,4788,8,20,53,52,63,95,69,56,20,445,463,609,1553,1352,1174,1046,1009,861,378,8441,4654,8342,18143,17395,17703,17877,15739,8471,2250,110568,1672,5078,11185,10818,8219,5673,3969,1626,407,48638,565,875,1615,1524,1356,1061,653,360,89,8096,1042,1276,4049,3927,6763,8524,6539,3468,987,36569,233,180,615,591,1049,1846,2775,1644,729,9654,49,42,163,158,274,738,1300,937,740,4409,9,16,26,35,52,55,64,51,36,341,352,383,857,797,747,798,945,995,679,6552,3916,7851,18504,17852,18466,18689,16243,9075,3655,114261,3283,9680,19848,18912,14445,10230,8542,3658,798,89393,1393,1984,3520,3241,2686,2055,1316,723,180,17097,2407,2924,9151,9100,14168,17179,12191,6052,1513,74685,528,480,1256,1334,2137,3571,5090,3156,1115,18671
107,2060,7476,13008,11646,9365,6866,5775,2407,557,59166,664,991,1441,1320,1370,1032,647,358,76,7911,1129,1436,3717,4091,6345,8184,4660,2526,666,32754,209,180,440,539,776,1225,1836,1332,490,7021,47,43,165,229,293,673,1280,1359,700,4787,13,24,56,89,93,104,170,169,115,833,410,514,928,832,803,746,805,896,583,6524,4537,10664,19767,18746,19044,18837,15174,9040,3189,118993,2551,8214,15030,14085,10979,7521,4969,1987,579,65921,381,651,1049,1116,1326,1009,615,333,109,6589,691,880,2593,3062,5977,8417,6126,3544,1129,32422,133,111,315,452,733,1494,2221,1644,859,7968,23,31,106,166,268,741,1610,1635,1109,5690,3,12,54,71,99,119,205,286,241,1086,401,440,915,805,716,705,899,1115,1048,7034,4179,10339,20066,19765,20094,20001,16642,10553,5069,126709,4611,15690,28038,25728,20346,14389,10746,4399,1142,125083,1046,1646,2489,2442,2700,2043,1263,692,187,14496,1820,2316,6316,7158,12324,16604,10784,6068,1795,65178,336,291,759,990,1515,2718,4060,2980,1347,14987
108,975,2723,4878,5074,5011,4579,5933,2800,742,32721,472,567,848,886,941,904,933,538,140,6239,841,935,2423,2735,4690,7608,6283,3351,776,29635,250,153,369,525,882,1431,2640,1949,542,8737,56,38,135,195,320,774,1529,1225,642,4921,7,5,21,20,47,49,53,55,30,269,433,465,1013,968,951,1182,1361,1063,531,7974,3038,4887,9691,10400,12840,16519,18734,10979,3407,90504,1262,3236,6564,6909,6784,6051,5003,2390,762,38969,326,412,768,852,1073,1142,904,549,162,6170,601,578,1830,2316,4550,8217,7734,4296,1334,31459,157,97,332,409,690,1472,2765,1985,975,8878,34,16,88,118,239,588,1236,1137,924,4379,7,4,14,16,25,43,44,58,43,239,346,305,770,779,808,1090,1374,1297,953,7730,2727,4650,10359,11398,14158,18608,19055,11708,5157,97828,2235,5961,11444,11988,11799,10636,10932,5189,1501,71687,793,972,1614,1738,2014,2042,1841,1088,300,12406,1446,1510,4254,5059,9234,15828,14022,7642,2110,61098,413,249,698,936,1574,2902,5403,3933,1520,17620
109,489,1745,3615,3324,2806,2171,2110,893,230,17389,283,488,766,732,1073,1114,869,329,75,5727,476,526,1434,1467,2080,2945,2296,1100,246,12567,117,92,242,297,419,810,1066,732,216,4002,36,21,93,145,192,404,755,674,313,2642,3,3,37,28,56,57,47,42,17,290,263,264,596,577,634,688,680,480,256,4424,1672,3145,6773,6570,7256,8196,7822,4248,1361,47040,666,2167,4843,4700,3805,2866,1954,897,287,22172,166,307,553,572,1036,1377,947,440,102,5494,240,297,848,939,1757,2816,2552,1446,495,11396,73,55,136,178,296,652,987,666,315,3351,12,22,68,107,106,235,554,662,448,2220,0,7,29,41,66,56,34,44,20,296,238,224,534,534,502,647,640,636,358,4316,1395,3080,7002,7072,7564,8642,7668,4790,2025,49243,1155,3908,8457,8028,6609,5033,4068,1786,526,39564,448,796,1316,1301,2103,2498,1814,769,179,11217,715,832,2283,2407,3832,5765,4844,2546,746,23964,193,148,373,472,720,1461,2050,1395,538,7348
110,864,2854,5698,4820,4164,3187,3041,1375,309,26325,372,536,823,707,695,626,439,222,62,4482,769,930,2446,2578,3763,5256,3465,1666,382,21248,204,185,410,501,711,1108,1451,989,260,5813,62,45,187,212,355,685,1205,1036,422,4204,4,19,58,46,50,58,90,56,13,394,599,694,1271,1141,1226,1308,1128,822,337,8531,2876,5268,10894,9995,10964,12235,10814,6156,1791,70989,1154,3286,7333,6479,5552,4188,2768,1473,402,32637,306,453,745,733,782,745,455,284,100,4606,544,616,1696,1783,3195,5070,4143,2321,773,20145,146,103,342,349,537,901,1398,1030,462,5271,32,35,93,109,188,473,821,812,553,3121,6,16,48,33,46,56,56,51,26,348,689,636,1143,1044,1094,1123,1051,991,572,8331,2867,5146,11397,10529,11397,12570,10693,6959,2895,74455,2014,6142,13034,11294,9716,7378,5812,2851,719,58958,678,990,1570,1433,1477,1374,895,502,165,9090,1311,1546,4144,4362,6954,10334,7613,3983,1154,41396,349,291,748,849,1251,2016,2848,2015,717,11088
