SA4_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
101,2412,345,371,292,414,867,760,323,109,5893,1361,116,66,86,116,282,427,166,53,2679,672,321,295,227,318,636,879,450,127,3914,276,342,409,358,558,1031,2275,1662,480,7389,383,348,408,345,574,1100,2038,1302,466,6962,529,546,545,427,613,1024,1551,807,192,6243,348,804,830,603,660,1090,1283,640,184,6445,238,1021,1612,1056,1171,1465,1130,525,100,8319,91,821,2003,1547,1679,1961,1366,458,84,10012,37,504,1599,1343,1404,1458,811,230,39,7422,17,266,1472,1354,1314,1341,672,190,43,6668,4,126,1009,1126,1224,1040,431,93,23,5078,4,100,1467,2376,2547,1846,548,137,27,9053,0,12,255,549,651,452,142,36,11,2106,11,13,265,832,1279,977,341,84,17,3822,640,574,1409,1191,1425,1461,1245,791,356,9090,4,14,75,21,19,19,27,4,3,193,7026,6277,14102,13733,15962,18061,15903,7904,2323,101284,2055,292,674,656,754,1495,1024,357,176,7484,1569,129,213,233,255,535,544,211,79,3774
102,4217,665,556,469,636,1103,1054,476,157,9331,1854,276,107,104,158,360,444,237,87,3624,1140,687,493,362,444,712,986,638,169,5619,505,692,768,581,813,1293,3030,2690,761,11131,571,671,593,537,798,1260,2515,2081,750,9781,779,966,826,609,848,1220,2179,1573,406,9407,443,1351,1146,824,971,1213,1538,963,272,8716,233,1446,2148,1460,1559,1895,1435,624,171,10966,119,1030,2858,2228,2396,2447,1419,529,110,13139,46,583,2328,2170,1990,1857,950,242,44,10211,14,237,1833,2086,2029,1553,629,191,60,8636,5,131,1299,1859,1735,1308,409,101,12,6851,7,83,1780,3373,3357,2238,558,133,22,11548,0,4,287,827,816,525,139,42,7,2648,0,22,293,1189,1520,1039,314,132,36,4553,622,535,1205,1140,1226,1055,1107,1130,828,8850,7,16,12,28,26,25,27,11,9,150,10555,9390,18534,19843,21319,21099,18722,11802,3909,135157,3313,470,1019,1281,1307,2349,1519,579,301,12144,2285,283,273,435,438,780,692,335,131,5646
103,2462,317,268,266,388,662,628,288,87,5363,1248,117,66,74,104,219,304,131,43,2315,618,353,286,278,340,537,687,401,125,3612,276,312,386,341,555,946,1920,1612,440,6781,379,298,334,369,556,928,1797,1281,517,6447,474,436,423,422,481,820,1218,726,193,5197,335,662,688,503,575,765,945,537,129,5143,210,926,1288,934,1044,1219,894,358,77,6943,100,768,1711,1285,1375,1562,902,287,52,8043,27,423,1415,1120,1079,1124,542,150,21,5892,19,285,1134,1067,1121,991,381,146,21,5163,6,159,901,954,956,768,263,43,21,4073,6,179,1607,2053,2024,1408,345,65,16,7693,0,25,319,454,457,281,87,24,9,1652,3,24,265,606,771,552,231,76,21,2539,643,708,1491,1436,1270,1211,1113,771,309,8954,0,7,23,22,13,18,10,8,0,108,6811,5978,12597,12195,13116,14004,12252,6904,2065,85916,2103,252,635,604,652,1298,817,323,134,6814,1437,145,225,223,233,426,420,167,64,3335
104,1479,193,233,226,259,558,494,190,64,3687,831,80,54,53,98,185,279,97,24,1703,487,259,290,257,276,485,609,282,74,3011,203,254,390,363,481,904,1850,1412,407,6271,238,216,337,333,438,873,1640,1000,381,5466,261,371,410,365,443,827,1232,710,195,4811,153,454,596,466,551,716,889,463,116,4405,80,520,977,832,877,1032,761,311,73,5456,35,326,1122,977,1068,1122,825,277,26,5789,8,147,708,765,727,731,416,103,37,3639,3,72,534,626,650,565,300,94,27,2876,0,20,320,436,554,450,161,49,9,2003,0,26,402,809,933,621,212,53,12,3065,0,6,46,142,182,135,51,17,6,585,0,5,77,219,337,250,118,41,16,1061,349,391,970,903,813,770,719,534,311,5758,0,31,83,34,21,8,11,6,0,207,4130,3373,7540,7797,8712,10253,10560,5647,1781,59797,1193,146,356,379,420,901,583,214,143,4335,1008,78,155,150,188,359,326,129,44,2438
105,1135,145,211,180,228,410,397,169,47,2925,515,65,50,45,56,121,162,74,21,1100,320,205,183,165,222,263,351,206,47,1968,131,184,206,203,314,551,1017,809,223,3639,155,155,270,200,324,616,1055,651,252,3673,228,185,276,231,318,402,622,329,105,2702,168,344,393,291,313,402,457,250,61,2682,110,422,855,538,563,656,422,157,33,3754,67,367,1123,745,679,835,443,130,16,4414,31,224,777,561,582,603,286,61,7,3134,16,144,658,577,515,536,183,67,18,2706,5,97,512,450,461,371,145,34,10,2078,0,98,738,861,833,684,158,33,7,3416,0,10,103,169,175,178,52,8,0,690,4,13,137,218,274,224,94,35,9,1015,545,459,1137,963,934,1007,879,577,243,6741,0,9,38,7,6,3,11,0,0,78,3442,3123,7654,6400,6806,7869,6732,3583,1097,46716,980,140,356,281,360,634,447,162,60,3413,645,63,101,95,89,185,152,66,28,1425
106,3491,479,380,399,470,898,918,321,98,7455,1557,193,99,91,121,268,382,178,42,2930,921,550,445,348,383,643,820,439,114,4662,406,474,585,504,685,1154,2859,2131,526,9334,467,438,578,490,681,1095,2230,1519,515,8006,718,718,620,507,617,1002,1675,981,213,7054,507,986,941,622,693,923,1286,711,144,6813,309,1337,1791,1199,1296,1420,1100,446,69,8977,145,1099,2630,1939,1866,1918,1181,387,42,11205,53,602,2001,1638,1506,1483,672,159,25,8139,29,345,1854,1683,1539,1339,550,138,25,7497,4,167,1389,1515,1485,1123,295,88,14,6072,3,207,2445,3452,3286,2206,429,103,25,12148,3,21,434,772,755,527,115,31,0,2657,3,33,314,805,1032,797,255,79,22,3333,655,712,1651,1434,1296,1099,978,768,357,8955,3,3,24,22,14,16,19,5,0,112,9275,8355,18174,17430,17727,17897,15764,8484,2253,115357,2714,357,1080,1071,1160,2392,1218,423,169,10582,2071,213,300,371,385,629,589,203,76,4830
107,4026,797,603,390,471,934,850,385,122,8586,1630,337,131,83,145,287,323,156,50,3145,988,883,517,363,403,664,798,519,148,5281,423,886,806,522,722,1225,2383,2233,737,9937,574,735,632,546,694,1083,1987,1588,780,8628,767,1158,954,558,642,1032,1681,1055,297,8150,415,1359,1233,697,729,968,1311,744,195,7651,179,1448,1920,1195,1261,1398,1182,479,108,9169,79,1205,2669,1915,1803,1971,1293,400,49,11386,37,594,2275,1734,1691,1604,787,212,21,8958,3,331,2099,1854,1757,1559,540,174,33,8350,3,153,1571,1826,1690,1328,319,84,23,7003,6,141,2520,3960,3629,2449,535,102,14,13355,3,14,410,904,972,582,126,26,6,3044,4,22,360,1272,1464,948,268,102,27,4468,521,612,1073,933,958,810,801,776,582,7070,3,18,24,12,17,15,26,6,0,121,9657,10704,19798,18759,19069,18873,15214,9055,3192,124317,3288,531,1064,1200,1237,2307,1287,480,180,11589,2067,338,320,369,386,675,632,238,72,5081
108,2240,279,300,278,395,967,926,306,115,5813,1200,122,75,80,152,354,461,191,44,2680,722,421,373,323,461,887,1107,581,182,5057,272,406,523,522,769,1513,3714,2754,786,11255,402,351,462,495,752,1459,2974,2020,731,9645,452,497,548,546,767,1341,2291,1330,353,8113,254,702,794,693,843,1151,1494,957,228,7115,112,761,1284,1092,1295,1593,1208,587,136,8066,49,497,1454,1333,1529,1709,1252,494,97,8410,15,204,951,940,1124,1205,683,243,47,5405,5,84,671,828,950,914,431,192,51,4118,7,37,459,643,746,636,266,89,19,2897,5,22,523,1055,1298,971,327,94,12,4309,0,6,73,207,264,195,86,26,9,864,7,11,104,351,491,422,225,92,18,1725,602,492,1100,1019,1021,1216,1302,1032,576,8369,6,3,28,25,25,23,15,4,6,131,6343,4900,9722,10430,12872,16553,18757,10994,3412,93978,1863,191,407,494,668,1636,1020,364,172,6819,1556,132,185,189,252,566,599,210,68,3760
109,1236,144,154,130,186,368,363,165,84,2829,662,79,21,44,49,122,194,74,26,1265,314,172,154,141,177,290,461,242,58,2006,129,169,234,203,292,502,1276,992,282,4073,199,164,202,223,302,510,1083,749,277,3720,278,261,283,256,299,479,835,498,124,3313,175,495,433,297,378,483,617,338,101,3323,117,563,962,615,621,808,583,222,71,4565,53,437,1179,932,951,1026,583,173,31,5362,14,216,850,765,706,730,332,92,14,3721,5,80,666,663,728,677,251,66,20,3166,4,50,369,518,513,491,149,40,5,2145,0,34,480,820,916,636,164,41,11,3097,0,3,65,146,152,121,56,19,0,571,0,10,94,218,291,243,140,36,10,1052,367,280,629,599,690,721,712,498,244,4748,3,9,50,14,5,11,5,3,0,101,3570,3161,6828,6587,7269,8209,7827,4251,1362,49064,1090,126,326,317,343,730,482,199,83,3684,894,95,104,107,149,258,236,96,41,1976
110,2000,262,244,238,344,579,552,232,61,4512,960,130,72,77,118,204,264,125,49,1997,592,409,320,238,345,515,606,352,82,3454,230,325,423,345,527,923,1816,1449,373,6411,307,257,348,355,529,895,1662,1079,366,5801,410,370,456,413,512,755,1029,612,139,4695,263,605,677,510,545,759,785,490,135,4768,193,820,1436,926,990,1175,702,277,72,6605,78,633,1738,1283,1319,1418,792,269,39,7584,23,323,1066,1032,947,899,446,129,23,4889,12,172,875,861,854,730,316,124,24,3965,4,93,657,697,647,580,193,64,15,2945,3,106,941,1230,1324,844,276,62,11,4794,3,10,170,246,272,194,81,20,8,1005,6,24,150,346,438,405,162,64,15,1619,723,731,1321,1200,1271,1365,1133,807,381,8935,4,14,109,65,25,9,3,6,4,235,5813,5294,11003,10068,10999,12244,10824,6161,1789,74203,1820,269,537,410,520,1061,592,259,109,5573,1159,133,181,164,204,338,323,135,71,2704
