SA4_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
101,17226,9525,9873,9172,9717,9117,6071,2185,506,73385,2337,2044,2140,2466,3257,4691,4728,2476,644,24773,158,226,343,509,920,1710,2303,1442,469,8085,9,17,56,106,333,780,1430,1148,460,4335,2502,2281,2540,3080,4509,7180,8463,5057,1571,37193,2145,1471,1608,1456,1713,1752,1339,663,244,12389,21874,13276,14021,13708,15943,18047,15878,7901,2317,122965,16464,7982,9125,8784,9451,8798,5913,2206,624,69348,1776,2451,2910,3145,3746,4759,4699,2682,994,27176,110,462,757,902,1305,1918,2212,1530,786,9984,0,42,121,245,588,1125,1444,1145,651,5372,1895,2954,3797,4290,5636,7808,8362,5364,2436,42534,1983,1167,1206,1239,1340,1519,1194,701,384,10734,20341,12105,14123,14309,16431,18120,15465,8268,3447,122612,33690,17506,18996,17954,19171,17913,11983,4388,1131,142730,4116,4494,5047,5615,7003,9453,9423,5155,1646,51951,270,690,1102,1410,2223,3625,4521,2972,1248,18069,12,57,183,348,926,1912,2876,2289,1110,9706,4396,5245,6334,7370,10148,14985,16825,10423,4002,79727,4129,2632,2812,2695,3057,3273,2540,1357,627,23120
102,25539,14389,13044,13489,13433,10857,6782,2979,759,101267,3694,3320,3354,3869,4538,5579,5891,3665,1152,35054,286,397,541,696,1145,2040,2945,2330,798,11177,13,37,59,165,427,1097,1926,2004,753,6473,3990,3749,3955,4730,6117,8713,10756,7998,2699,52702,2710,1780,1520,1599,1745,1502,1162,810,447,13270,32236,19921,18518,19818,21296,21071,18697,11785,3905,167246,24620,12407,12359,13645,13298,11566,7805,3427,1119,100249,2741,4140,4454,4719,5329,6200,6697,4376,1943,40606,224,797,1113,1238,1831,2588,3411,2693,1420,15311,13,49,169,348,809,1617,2264,2125,1287,8689,2976,4991,5731,6302,7963,10404,12378,9198,4652,64602,2620,1501,1476,1539,1542,1555,1438,1143,831,13652,30221,18898,19571,21498,22803,23525,21622,13774,6593,178502,50158,26792,25401,27140,26735,22423,14587,6405,1878,201516,6438,7458,7807,8583,9867,11780,12587,8039,3097,75657,504,1191,1652,1936,2976,4632,6354,5024,2214,26485,22,84,228,513,1241,2709,4187,4132,2040,15158,6968,8736,9692,11030,14084,19122,23134,17193,7347,117306,5329,3280,2995,3138,3289,3055,2596,1958,1275,26925
103,16508,8886,8399,7749,7786,6787,4436,1852,445,62840,2530,2042,2037,2162,2711,3573,3634,2115,594,21400,168,274,374,457,756,1410,1886,1248,438,7008,12,28,43,116,308,786,1201,1051,372,3907,2705,2338,2458,2734,3773,5767,6721,4414,1408,32321,2179,1555,1714,1689,1544,1428,1091,632,215,12042,21388,12779,12569,12174,13096,13988,12249,6901,2067,107204,15984,7444,7915,7451,7471,6622,4426,1952,639,59909,1860,2578,2799,2649,3026,3685,3599,2322,1077,23607,137,519,742,786,1091,1549,1906,1453,684,8861,7,39,100,219,547,962,1238,1023,627,4764,2002,3138,3639,3654,4666,6198,6741,4804,2391,37233,2184,1122,1112,1128,1244,1135,977,671,371,9946,20174,11700,12671,12233,13379,13957,12147,7429,3396,107086,32491,16327,16312,15198,15255,13414,8858,3812,1083,122752,4391,4622,4842,4810,5738,7256,7231,4440,1677,45008,306,791,1120,1244,1847,2959,3786,2704,1120,15876,15,63,144,332,851,1754,2442,2076,996,8674,4713,5476,6100,6391,8438,11962,13464,9215,3792,69555,4360,2676,2832,2819,2783,2565,2068,1302,584,21986
104,9982,5302,4997,4850,5156,4967,3994,1478,326,41047,1351,1151,1152,1491,1832,2764,3200,1748,503,15194,87,136,176,297,501,1013,1594,1052,360,5218,0,10,36,76,209,555,988,927,400,3208,1445,1294,1365,1867,2544,4338,5779,3729,1262,23617,1298,875,1103,1046,990,938,775,434,196,7652,12727,7472,7462,7764,8689,10241,10550,5635,1780,72314,9956,4651,4886,5089,5469,5483,4152,1540,446,41673,986,1347,1652,1715,2112,2860,3256,2016,796,16740,75,287,402,502,757,1203,1607,1124,597,6551,4,28,60,172,397,751,928,974,587,3893,1067,1655,2110,2385,3265,4808,5791,4117,1982,27180,1227,732,766,831,839,857,768,510,298,6827,12245,7041,7767,8301,9571,11149,10711,6173,2726,75685,19939,9949,9876,9939,10625,10449,8146,3019,773,82721,2341,2498,2803,3207,3949,5617,6456,3769,1296,31938,164,422,584,796,1256,2217,3201,2176,956,11764,5,33,94,247,603,1306,1911,1903,987,7100,2509,2953,3474,4251,5807,9146,11572,7844,3239,50799,2525,1614,1869,1878,1827,1796,1543,945,489,14479
105,8410,4328,5091,3929,3780,3556,2179,907,207,32380,1391,952,1085,1074,1370,1931,1893,1014,311,11017,98,134,179,246,415,781,1065,668,199,3790,5,13,41,82,184,491,761,535,202,2307,1494,1100,1303,1403,1969,3200,3721,2211,714,17108,1852,1129,1226,1062,1054,1103,827,472,169,8896,11756,6556,7616,6388,6797,7859,6722,3583,1099,58385,8374,3810,4891,3861,3553,3454,2121,927,303,31299,1017,1221,1586,1309,1603,1909,1820,1238,515,12224,68,264,415,413,567,983,972,721,319,4716,0,28,61,129,307,642,791,561,302,2822,1090,1508,2067,1853,2477,3535,3580,2516,1138,19757,1718,920,1038,967,926,918,748,553,317,8101,11187,6233,7990,6684,6960,7904,6449,3996,1763,59164,16782,8138,9982,7787,7333,7010,4298,1831,513,63679,2408,2173,2674,2382,2972,3835,3716,2246,828,23237,170,399,598,662,980,1764,2031,1387,523,8511,6,36,99,207,495,1131,1550,1096,505,5124,2582,2611,3366,3252,4445,6734,7304,4726,1853,36872,3572,2048,2259,2031,1982,2027,1575,1022,493,17001
106,22500,12379,12145,11197,10467,8532,5473,2131,449,85270,3884,2979,3287,3382,3949,4836,4876,2589,666,30439,341,442,577,795,1131,1974,2585,1628,444,9911,11,33,80,172,446,1062,1812,1470,456,5523,4239,3449,3936,4344,5528,7867,9270,5691,1555,45880,2640,1787,2068,1865,1716,1482,1008,661,244,13476,29379,17620,18151,17402,17713,17884,15745,8481,2246,144624,21981,10267,11118,10583,10133,8612,5596,2211,572,81069,2989,3855,4635,4312,4474,5206,5135,2911,1079,34592,258,814,1247,1295,1714,2299,2675,1828,732,12857,20,56,213,380,851,1433,1919,1469,814,7161,3264,4729,6091,5987,7042,8938,9727,6200,2620,54610,2508,1341,1301,1294,1297,1155,934,676,460,10958,27755,16342,18509,17862,18476,18705,16253,9084,3652,146640,44482,22649,23262,21782,20600,17142,11062,4334,1024,166339,6876,6830,7919,7694,8428,10041,10005,5502,1738,65030,596,1258,1825,2091,2847,4272,5256,3456,1172,22771,27,91,293,548,1299,2495,3731,2937,1266,12686,7496,8177,10030,10331,12575,16803,18995,11893,4183,100486,5151,3128,3369,3151,3013,2636,1942,1336,698,24434
107,23431,15158,14714,13290,12502,10242,5968,2433,604,98345,3038,3093,3105,3395,3868,4868,4638,2847,893,29744,180,372,481,588,967,1655,2307,1752,667,8971,10,29,50,121,299,852,1361,1384,636,4752,3228,3503,3639,4106,5130,7375,8308,5982,2194,43461,2236,1679,1416,1356,1422,1234,912,634,388,11275,28892,20337,19773,18751,19048,18852,15194,9046,3189,153082,22625,13149,13173,12981,12096,10139,6310,2556,848,93879,2343,4213,4374,4186,4535,5277,5209,3401,1520,35063,132,743,1044,1037,1516,2135,2597,2139,1050,12393,7,64,135,273,633,1231,1570,1710,1078,6698,2479,5016,5550,5495,6692,8645,9378,7252,3644,54149,2026,1515,1349,1289,1322,1236,974,759,588,11063,27129,19685,20076,19769,20108,20017,16665,10565,5069,159091,46057,28310,27894,26278,24592,20378,12282,4988,1450,192225,5382,7309,7479,7581,8403,10149,9848,6250,2414,64804,310,1122,1525,1628,2486,3784,4909,3891,1716,21363,11,99,189,396,935,2087,2936,3093,1708,11443,5702,8519,9186,9604,11822,16017,17692,13231,5836,97607,4263,3197,2773,2646,2739,2475,1887,1389,973,22339
108,13942,7725,6264,6603,7654,8089,6917,2988,701,60875,2306,1879,1791,1974,2787,4371,5584,3391,973,25049,155,275,323,463,766,1713,2893,1978,715,9282,6,24,56,127,365,946,2018,1822,695,6052,2464,2177,2169,2565,3912,7028,10493,7188,2385,40387,2058,1334,1266,1237,1289,1408,1335,813,314,11051,18464,11233,9697,10408,12850,16528,18742,10988,3407,112311,13968,6733,6262,6819,7942,9002,7290,3140,895,62049,1800,2399,2391,2612,3350,4788,5665,3664,1524,28200,132,461,617,711,1176,2095,2862,2220,1098,11376,9,41,107,245,579,1354,1883,1788,1137,7138,1938,2905,3108,3568,5102,8242,10408,7672,3763,46712,1906,1046,992,1027,1133,1368,1365,898,503,10233,17806,10679,10365,11408,14172,18615,19066,11712,5162,118993,27906,14452,12528,13424,15588,17092,14206,6130,1600,122923,4108,4284,4186,4587,6134,9159,11245,7049,2496,53248,289,737,933,1173,1939,3809,5759,4197,1814,20660,9,63,162,369,942,2302,3899,3604,1834,13188,4406,5082,5280,6131,9011,15274,20903,14857,6152,87098,3964,2376,2262,2267,2420,2779,2694,1712,816,21289
109,8839,4779,4635,4279,4347,4192,2921,1167,297,35457,1284,1069,1178,1295,1538,2021,2318,1260,379,12341,89,121,208,222,407,763,1116,808,257,3990,3,11,31,69,151,402,772,648,264,2350,1377,1199,1415,1588,2106,3184,4207,2711,907,18687,1272,742,732,709,811,828,695,365,154,6306,11488,6713,6781,6578,7262,8203,7820,4248,1362,60444,8688,4111,4333,4235,4226,4201,2943,1281,359,34382,918,1453,1582,1614,1785,2205,2230,1503,619,13904,62,295,379,412,580,922,1150,872,456,5133,3,23,60,125,295,549,723,672,420,2866,987,1764,2025,2149,2662,3676,4100,3051,1493,21905,1168,690,652,696,680,764,629,464,180,5915,10842,6564,7010,7077,7569,8641,7679,4791,2025,62202,17529,8888,8968,8512,8574,8398,5869,2449,656,69835,2199,2521,2760,2910,3326,4222,4547,2765,1002,26244,154,409,585,640,994,1685,2265,1680,707,9125,9,31,87,192,450,950,1499,1322,685,5226,2363,2966,3440,3734,4763,6857,8308,5768,2396,40591,2441,1429,1382,1403,1487,1590,1319,825,338,12223
110,13657,7484,7352,6327,6336,5755,3846,1610,326,52688,2089,1637,1734,1806,2251,3153,3246,1845,487,18249,151,237,277,372,623,1163,1550,1109,347,5829,15,22,48,98,244,663,1037,902,340,3356,2255,1891,2060,2277,3119,4977,5832,3860,1172,27436,2415,1709,1491,1399,1518,1513,1147,691,292,12170,18328,11085,10900,10006,10975,12236,10822,6158,1791,92297,13237,6666,7095,6265,6263,5768,3909,1818,509,51533,1503,2157,2313,2219,2499,3152,3051,2181,850,19917,122,481,556,631,861,1426,1550,1188,580,7399,4,30,100,186,465,877,1142,995,522,4329,1629,2668,2971,3042,3824,5456,5736,4363,1952,31650,2377,1638,1336,1228,1311,1340,1046,786,441,11505,17243,10975,11401,10539,11402,12570,10695,6966,2896,94689,26896,14152,14450,12594,12598,11522,7753,3429,828,104227,3587,3791,4049,4030,4754,6304,6296,4025,1335,38166,275,722,834,1004,1488,2595,3096,2301,928,13235,23,54,144,285,702,1539,2177,1899,856,7683,3884,4563,5027,5320,6946,10439,11567,8222,3121,59082,4787,3345,2826,2635,2825,2853,2198,1470,729,23671
