SA4_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101,42215,25381,28143,28016,32373,36169,31345,16169,5760,245577
102,62456,38816,38087,41310,44102,44601,40322,25556,10498,345747
103,41563,24476,25240,24406,26480,27939,24391,14332,5464,214290
104,24975,14514,15225,16070,18264,21390,21254,11809,4504,147996
105,22941,12793,15612,13073,13756,15771,13174,7585,2859,117554
106,57136,33958,36659,35265,36186,36582,31997,17564,5904,291260
107,56022,40022,39846,38521,39151,38865,31859,19610,8259,312174
108,36273,21915,20062,21815,27026,35140,37808,22698,8562,231310
109,22330,13280,13790,13655,14826,16848,15497,9038,3386,122654
110,35574,22064,22299,20544,22372,24805,21515,13126,4685,186985
111,67484,48268,51571,48264,47914,46698,40579,25134,10845,386758
112,43023,25222,26160,30106,33236,37621,35572,19572,8343,258862
113,32002,21330,21364,19302,19588,20534,16675,9920,4216,164925
114,26547,15631,15889,16650,19194,23314,24551,14908,5238,161921
115,53863,33832,25865,39130,37666,30967,24163,13122,5025,263633
116,91072,51061,60088,68212,47892,38072,27167,12578,4412,400546
117,32912,41671,96687,59889,38779,29606,20254,10766,3945,334493
118,39440,27560,49315,39416,33474,26465,20901,13728,6414,256707
119,108458,76075,95919,84032,74105,68494,50311,30405,14668,602470
120,45519,35581,56691,46231,39114,33332,24840,14448,7025,302775
121,75475,45899,52086,66131,59939,47956,37923,24010,10911,420338
122,48265,29799,28623,35179,39562,31995,23681,16289,7227,260619
123,66181,37731,41142,43262,36557,32024,24270,11481,3666,296320
124,66730,40940,45791,45653,42291,38617,30948,15378,5256,331606
125,94697,61027,92042,79712,55545,48570,34449,18977,7937,492967
126,34202,23057,32283,31902,24803,22567,17311,9691,5040,200853
127,98853,64705,67768,65439,59525,54636,37106,18350,7139,473521
128,42187,26691,26141,30304,31599,28113,22468,13721,6411,227639
197,0,0,0,4,18,8,3,0,0,32
201,31079,19735,20644,20513,22419,22559,20388,11029,4290,172656
202,30053,18409,19535,19898,21257,22182,19963,11009,4493,166797
203,59204,38018,43624,42082,40675,39001,35002,19405,7891,324890
204,32305,20469,20385,21079,23974,26868,24271,13189,4946,187480
205,51170,30002,33009,32698,36064,43262,41802,22407,7944,298359
206,66593,80993,164315,100625,71914,56660,40162,22606,9878,613743
207,58521,50350,48524,47677,50145,44034,34575,24179,12166,370169
208,72643,49074,51998,57785,61474,49984,38946,23801,12285,417990
209,103323,63615,79709,82050,70526,59009,44553,25072,10535,538391
210,87941,51903,66371,63461,52121,43987,30867,18253,7686,422596
211,91988,60655,63321,71074,70584,64078,50560,29460,11791,513509
212,171196,112007,135223,128114,105066,87198,64252,38350,16023,857421
213,184124,100359,142585,144776,103384,80054,57019,27430,10241,849967
214,53515,33088,33842,37559,41622,39514,35595,22451,9012,306204
215,27036,16316,19097,17167,18853,22063,18837,11117,4895,155374
216,24886,15104,16028,15103,17170,18443,16175,9864,3941,136709
217,21766,13366,14100,13924,16295,18559,16395,8983,3786,127176
297,0,9,52,140,182,158,16,0,0,565
301,44457,27293,25056,31197,33518,30751,25529,14141,5340,237288
302,40161,26204,34472,33975,29268,23842,18351,11551,5701,223533
303,68093,49537,62166,58249,45917,36546,27001,15284,6585,369375
304,36164,28088,20932,26670,26268,19316,15978,9406,3915,186738
305,38872,47026,66020,46111,38757,28389,18453,9293,3676,296605
306,47809,28419,32606,32751,35764,36887,31910,15352,4684,266185
307,24970,13980,14769,14561,16936,18369,16146,8880,2956,131561
308,47577,27180,29915,30313,30364,31269,23785,11535,3702,235640
309,113147,77391,87636,86796,86000,75794,65512,38132,13386,643791
310,80770,47847,53705,50982,45403,39047,27926,14598,4762,365039
311,80074,47362,50902,48394,44078,37501,29567,14743,4451,357075
312,35826,21523,27371,26810,26916,26782,19085,8736,2647,195698
313,47972,30081,29881,30912,33565,32954,32413,18548,6058,262387
314,47366,27406,28789,31824,29941,22252,16611,8371,2513,215074
315,18155,10930,13937,11718,12196,13944,11187,3806,791,96662
316,68306,42585,42092,48234,53517,54072,51449,30667,10897,401821
317,31929,21484,21590,19496,19164,18270,15815,9874,3887,161504
318,44720,32446,31992,29161,29882,29377,24249,12235,3992,238041
319,49736,30604,29034,30496,37513,47153,50483,28065,8289,311376
397,6,24,87,111,79,34,14,0,0,354
401,49711,40541,41397,40530,40518,37902,32880,19926,9282,312685
402,88345,56717,66933,62289,54731,51158,39588,23094,9075,451931
403,62763,43323,46101,48287,47462,46411,41773,23426,10343,369898
404,36829,28475,37637,32352,30872,30456,23630,14304,7497,242051
405,19037,10787,10654,11747,14228,17925,17003,9405,3297,114081
406,15482,9172,12501,11007,12152,13174,10113,5205,1761,90565
407,30747,18668,19495,20039,23964,28401,28528,16232,5944,192013
497,0,0,0,16,10,0,0,0,0,34
501,35713,18700,19718,23457,24694,24998,21763,11168,3938,184143
502,18841,10970,10293,11150,12292,13259,13743,8732,3054,102337
503,27766,23706,30810,26406,23669,20437,16307,9510,4535,183153
504,53474,32081,39898,39560,34969,30966,22875,12071,4421,270316
505,111338,68044,76475,81562,74817,63133,49614,27093,10834,562915
506,103196,65998,78589,78476,63638,54609,43371,22906,9105,519886
507,86543,52736,58167,61384,56617,49179,38073,21128,8823,432650
509,23781,13035,14180,15507,18130,20931,18033,9382,3243,136222
510,22249,11892,24330,23363,20138,17532,10391,2612,309,132822
511,23831,14472,20017,19219,19812,20196,15615,6688,1826,141673
597,3,137,518,957,896,533,176,32,0,3250
601,41548,28204,39747,31729,29613,29553,25431,14326,5593,245742
602,25071,16785,19368,16926,18932,20643,18414,10385,3695,150226
603,6466,3773,4132,4670,5516,7182,6276,2764,722,41502
604,19443,12188,13429,12452,14790,16738,14731,8389,2867,115026
697,5,21,62,80,90,75,33,3,0,366
701,29418,17406,27502,23427,19906,17510,12685,4411,895,153156
702,21170,13820,18656,15108,13401,13484,9432,2249,357,107676
797,0,37,58,105,120,106,42,10,0,482
801,82610,60988,77621,69171,56053,44750,34875,19042,7200,452305
897,0,0,0,0,0,0,0,0,0,0
901,819,488,741,697,767,893,669,295,60,5425
997,0,0,0,0,0,0,0,0,0,0
