SA4_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
101,6046,12121,5916,3574,5962,2553,53,36215,3785,8282,5750,4458,6896,2173,43,31393,1858,3376,2444,2115,4932,1441,9,16181,631,789,436,355,2856,691,5,5761,39413,58888,27960,19266,42029,15813,374,203732
102,6928,14842,7274,4557,9060,1940,66,44662,4597,10240,7197,5067,11040,2181,56,40379,2847,5034,3432,2809,9110,2317,22,25582,1101,1331,672,524,4738,2127,14,10513,52797,77556,38383,28398,68984,17169,313,283603
103,4545,8603,4241,2868,5725,1965,37,27977,2975,5811,4008,3348,6532,1722,14,24404,1568,2646,1901,1678,5205,1330,18,14345,586,733,385,296,2840,627,0,5468,31744,45815,22183,16778,41755,14444,188,172914
104,3459,6816,3576,2160,4059,1317,33,21421,2528,5456,4001,2848,5149,1274,23,21278,1193,2358,1790,1517,3896,1051,7,11817,474,607,344,293,2105,683,0,4508,21604,33033,17341,12201,28729,10116,360,123384
105,2511,4395,1991,1428,3751,1697,17,15787,1623,2804,1875,1527,3886,1459,17,13190,799,1221,877,888,2690,1108,3,7586,298,305,150,157,1415,533,0,2864,16149,22911,10443,8234,24870,12015,145,94757
106,5696,11459,6100,3983,7565,1775,42,36627,3501,7785,5661,4774,8683,1596,30,32031,1843,3450,2406,2209,6244,1415,11,17574,655,799,402,329,2909,806,8,5909,42463,64142,31326,23999,57636,14555,228,234355
107,6048,12400,6525,4219,8274,1400,49,38917,3546,8234,5843,4216,8588,1426,47,31905,2218,4055,2694,2298,6830,1514,12,19622,920,1094,588,424,3791,1447,4,8269,49562,71316,34423,24641,63002,13205,266,256417
108,5274,11115,5812,3852,6997,2096,36,35178,4145,9507,6988,5373,9430,2360,27,37831,2372,4409,3251,3025,7670,1978,15,22712,919,1044,583,531,4165,1321,6,8571,32755,51729,27348,20887,47325,14991,230,195261
109,2952,5334,2419,1533,3376,1230,17,16860,1916,3749,2461,1920,4283,1170,6,15505,966,1643,1206,1143,3160,925,3,9043,356,433,248,212,1676,471,0,3390,18951,26634,12715,9313,24278,8427,169,100496
110,3948,7266,3687,2329,5251,2327,15,24830,2538,4953,3463,2964,5635,1960,17,21534,1396,2438,1624,1709,4364,1594,6,13129,511,585,317,284,2190,804,4,4686,26233,38443,18857,14332,37011,16536,355,151764
