SA4_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
101,587,897,1488,308,380,686,264,954,1219,307,1923,2231,1096,5210,6310,1182,3151,4334,4115,2198,6311,3533,2629,6160,4067,2819,6892,4999,1969,6965,3427,1686,5117,3705,1348,5052,7634,2147,9780,5629,323,5956,4745,577,5318,3169,115,3281,9121,1197,10320,4167,314,4481,840,1442,2286,62892,31294,94183
102,912,1436,2343,352,517,873,341,1239,1575,447,2779,3231,1497,7775,9266,1767,5369,7131,6265,3049,9314,5353,3528,8882,6289,3370,9658,7360,2375,9738,5305,1886,7190,5616,1462,7075,11857,2024,13886,9036,323,9359,7255,510,7764,4497,128,4626,11550,980,12537,5244,406,5652,1066,1902,2963,92003,41055,133057
103,531,914,1451,269,388,660,239,944,1181,336,1923,2256,1097,5139,6231,1130,2765,3896,3925,1873,5791,3244,2388,5628,3752,2319,6071,4261,1599,5857,3093,1359,4455,3273,1015,4284,6849,1717,8559,5255,223,5474,3927,367,4298,2497,79,2578,5820,734,6558,4007,304,4303,848,1481,2334,54344,27523,81867
104,392,570,959,210,231,436,201,683,880,271,1408,1678,836,3754,4589,900,2655,3557,3441,1528,4968,2821,1787,4602,3374,1649,5022,3715,1084,4799,2435,799,3230,2530,626,3153,4624,843,5468,3116,164,3283,2199,179,2379,1259,67,1326,2702,382,3084,2615,268,2877,568,974,1539,38194,19647,57843
105,380,517,893,115,194,309,136,505,635,165,1082,1247,598,2927,3519,644,1380,2026,2026,967,2992,1689,1350,3040,1987,1273,3259,2199,1006,3202,1543,779,2321,1648,674,2326,3532,1012,4546,2460,158,2613,1835,251,2091,1168,67,1231,2488,450,2940,2408,168,2573,619,1019,1640,27631,15777,43411
106,796,1010,1811,336,343,672,316,921,1230,391,1947,2340,1346,5506,6857,1575,3512,5090,5462,2023,7484,4600,2597,7193,5356,2772,8130,6181,1897,8076,4463,1572,6038,4676,1180,5853,10269,1992,12258,7654,229,7880,6115,436,6552,3777,93,3868,8574,716,9292,5447,323,5773,997,1337,2330,78334,30390,108728
107,819,1085,1904,290,422,717,329,1226,1557,449,2504,2955,1395,6214,7607,1583,3589,5169,5128,2286,7403,4592,2681,7274,5228,2772,7992,6043,2110,8149,4362,1752,6113,4737,1459,6195,10298,2348,12652,8496,386,8881,7164,539,7706,4776,183,4959,12296,879,13177,4432,705,5135,853,1230,2083,83273,34353,117627
108,749,1025,1769,383,426,811,349,1127,1476,431,2476,2906,1533,7008,8543,1571,4628,6194,6697,2512,9208,5231,2862,8092,5676,2556,8227,6353,1576,7930,3725,1148,4873,3772,864,4635,6786,1139,7931,4474,255,4725,3115,264,3379,1795,91,1888,3828,653,4480,3824,323,4149,1080,1923,3000,61375,32857,94234
109,337,497,838,152,186,335,163,593,756,163,1125,1291,641,3089,3725,748,2037,2781,2499,1294,3793,2016,1545,3570,2337,1569,3901,2755,1044,3798,1940,790,2733,2108,511,2623,4270,793,5064,2855,129,2986,2157,156,2311,1256,54,1304,2557,302,2862,2233,162,2398,616,955,1569,31800,16827,48632
110,577,698,1274,244,324,573,249,936,1185,282,1767,2047,1077,4516,5595,1121,2546,3669,3797,1734,5530,3037,2228,5272,3502,2048,5552,3974,1420,5387,2727,1097,3828,3051,860,3909,5935,1311,7251,3937,209,4145,2983,306,3292,1765,76,1841,3890,564,4458,3201,286,3482,846,1471,2322,46201,24414,70612
