SA4_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
101,33575,2031,917,642,132,37304,27779,1701,822,58,58,30426,6876,2418,2732,74,32,12126,1349,412,179,10,6,1957,337,304,121,4,4,769,4152,639,652,69,54,5576,1115,143,190,229,103,1775,91,33,23,4,3,155,13923,3956,3889,399,199,22358,1634,387,120,66,54,2263,4866,651,491,281,86,6370,81779,8727,6239,1444,531,98716
102,37951,5093,2570,372,57,46044,40724,2494,1709,64,38,45024,16117,3815,4689,313,87,25025,1247,1312,789,5,14,3358,362,380,371,5,3,1117,4340,658,664,66,33,5760,676,146,63,137,16,1033,120,45,44,29,0,232,22858,6352,6612,547,154,36531,1282,1521,544,34,15,3399,4670,1290,994,187,45,7178,107480,16745,12438,1200,313,138174
103,29125,1018,241,314,93,30793,24623,487,113,121,47,25396,9092,2489,1205,79,25,12893,1883,475,253,0,6,2613,341,241,112,4,7,704,3843,374,157,42,44,4457,748,105,67,114,50,1090,123,27,20,6,0,176,16039,3705,1813,242,132,21926,1570,270,119,34,35,2031,4952,580,351,283,64,6228,76320,6064,2628,993,371,86372
104,20511,1326,848,1217,123,24027,14769,761,391,114,23,16063,5045,1661,1916,50,42,8711,625,291,255,0,0,1178,312,257,149,0,0,724,2799,437,445,63,35,3783,383,68,72,304,49,877,74,33,21,10,3,138,9238,2750,2859,423,128,15399,710,213,113,46,27,1111,2602,449,425,336,32,3853,47834,5498,4633,2129,340,60448
105,14589,349,102,446,231,15722,11962,145,44,45,57,12256,4032,807,851,31,16,5737,1078,206,217,7,11,1512,504,139,103,4,10,753,2599,127,117,52,28,2923,950,121,143,149,83,1445,79,23,25,6,3,137,9241,1421,1460,241,150,12515,1161,203,103,70,72,1611,4382,336,317,271,116,5422,41340,2452,2024,1075,635,47524
106,33103,2450,505,564,119,36742,37028,1345,219,46,43,38677,13426,4201,1184,78,26,18919,1859,631,228,4,5,2722,532,397,127,7,0,1060,3795,541,157,45,28,4568,1231,148,32,275,39,1733,87,46,11,8,0,158,20935,5962,1738,416,113,29159,1804,691,61,30,28,2611,4076,807,219,221,34,5357,96940,11255,2736,1282,333,112548
107,33851,3592,3298,518,41,41302,32596,3292,2632,85,26,38631,9166,4275,7176,174,62,20856,3250,2019,1552,7,3,6825,208,303,251,3,8,777,2992,781,1088,65,34,4959,304,74,124,79,14,602,85,40,47,0,0,173,16001,7482,10244,334,126,34194,804,486,689,25,10,2012,2974,917,1217,135,45,5291,86229,15774,18075,1096,248,121418
108,36844,3102,1708,1050,144,42845,21874,1036,581,73,35,23600,8248,2439,3140,135,40,14009,742,312,335,0,0,1394,693,475,416,5,10,1592,3565,500,506,67,33,4666,518,120,106,256,60,1056,88,51,38,5,3,190,13855,3897,4539,469,147,22904,1311,507,397,62,34,2305,4559,783,653,510,83,6592,78440,9327,7864,2167,441,98245
109,16942,1040,76,205,92,18356,14186,455,21,30,26,14718,4814,2960,266,30,7,8078,719,228,19,0,0,966,205,179,13,0,0,406,2099,410,26,12,16,2569,551,86,16,95,35,789,63,39,10,0,0,114,8455,3897,349,144,67,12916,1154,205,36,25,23,1445,3191,609,87,175,90,4150,43928,6213,575,574,295,51583
110,24962,647,80,358,126,26184,19242,317,44,60,31,19693,8249,2926,783,50,29,12038,1274,339,161,0,3,1778,572,293,156,6,11,1044,3721,312,80,37,32,4182,938,97,31,189,56,1314,117,60,17,7,0,203,14875,4030,1234,281,138,20559,2029,225,24,53,64,2395,5779,858,256,340,73,7310,66884,6085,1642,1096,432,76139
