SA4_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
101,22,730,966,1024,1005,802,357,54,4960,0,135,239,384,410,413,99,13,1694,428,2071,1942,1933,1903,1813,715,153,10955,168,939,1356,1641,1640,1322,513,109,7691,1817,4535,4209,4652,5111,3847,1748,436,26352,194,199,151,122,140,96,40,3,950,82,149,201,232,362,371,160,45,1604,2088,4879,4561,5008,5617,4309,1949,488,28902,21,59,58,83,96,130,53,19,523,1187,1444,1251,1509,1663,1484,965,417,9928,3915,10256,10379,11586,12335,10272,4653,1255,64649,30,1005,1208,1114,948,658,156,20,5141,53,429,690,710,743,554,144,24,3346,674,3491,3306,3023,2657,1979,703,166,16004,387,1536,1936,2404,2434,1747,679,178,11300,1449,2819,2546,2719,2470,1201,298,72,13578,226,252,256,292,345,275,73,23,1737,148,183,205,500,717,562,288,79,2680,1820,3259,3006,3509,3536,2034,649,169,17998,21,60,70,91,128,167,107,34,679,959,1082,1094,1205,1603,1621,1286,750,9600,3947,10862,11319,12048,12052,8763,3731,1340,64063,47,1730
102,27,693,1063,927,917,772,336,60,4790,16,152,258,297,341,392,123,23,1600,592,2858,3165,2683,1987,1982,899,215,14391,359,1292,2094,2438,2018,1499,753,182,10645,2553,6154,6318,6697,6887,5201,3192,833,37835,325,256,212,183,177,148,90,9,1401,124,217,327,467,517,570,321,74,2624,3004,6627,6861,7347,7584,5927,3605,917,41859,56,76,130,132,149,157,140,33,870,1091,1199,1245,1319,1218,1361,1297,856,9596,5145,12899,14812,15142,14216,12093,7145,2293,83747,48,1055,1450,1129,892,642,165,23,5411,110,506,719,693,679,546,142,24,3420,1038,4858,5391,4083,2945,2206,796,200,21526,804,2574,3124,3742,3163,2323,1027,223,16984,2376,4262,4346,4229,3831,1705,534,177,21457,402,366,347,445,487,409,123,26,2592,255,323,483,781,1009,987,461,134,4429,3031,4948,5174,5455,5320,3097,1122,339,28478,53,110,112,176,219,324,192,51,1242,1063,1199,1287,1277,1541,2053,2333,1886,12641,6147,15262,17261,16561,14760,11195,5773,2746,89707,69,1753
103,15,397,474,444,420,389,166,34,2339,8,86,167,182,188,194,56,11,886,300,1529,1474,1337,1023,981,386,78,7110,135,610,857,1158,1080,809,344,72,5071,1825,4555,4087,4172,4283,2957,1415,330,23616,198,201,149,143,139,88,35,9,952,73,150,157,182,278,290,162,31,1320,2099,4900,4390,4495,4699,3337,1612,366,25890,31,50,70,63,81,60,52,16,425,1257,1510,1492,1352,1335,1262,892,358,9461,3840,9078,8930,9026,8824,7038,3509,935,51179,39,644,677,574,477,314,77,7,2809,58,339,397,440,409,303,92,17,2049,580,3008,2803,2290,1679,1268,456,117,12204,344,1258,1465,1746,1724,1252,588,164,8543,1552,2998,2576,2519,2023,898,240,71,12884,249,269,267,299,348,228,53,18,1728,137,211,235,420,568,511,208,68,2364,1942,3473,3078,3241,2944,1640,504,154,16975,30,36,53,79,105,155,101,30,583,966,976,986,1121,1210,1364,1239,679,8538,3952,9732,9463,9487,8551,6286,3068,1174,51706,52,1038
104,6,174,270,319,280,354,129,29,1558,0,61,101,139,186,235,66,8,792,117,880,1024,1054,911,1029,348,87,5455,65,374,624,817,868,822,366,82,4030,948,2366,2392,2636,3298,2901,1346,347,16238,139,135,96,75,91,96,19,10,669,42,103,133,157,217,270,140,45,1105,1132,2605,2627,2867,3606,3267,1511,403,18009,23,43,35,44,56,57,63,14,328,740,1031,947,894,865,903,666,341,6387,2091,5163,5628,6125,6772,6672,3145,960,36552,10,307,430,420,374,274,89,11,1922,26,208,265,338,387,365,71,9,1672,261,1691,1899,1716,1411,1200,399,71,8655,185,845,1075,1420,1557,1197,489,129,6894,946,1755,1758,1870,1817,911,222,47,9327,182,189,166,174,257,191,52,13,1232,96,126,169,267,435,440,219,43,1803,1228,2069,2093,2307,2510,1548,492,101,12360,15,42,40,60,70,106,79,19,433,597,736,724,762,900,1092,992,678,6485,2328,5902,6529,7023,7216,5782,2617,1020,38415,22,476
105,14,348,266,147,133,100,27,10,1043,5,61,85,86,90,64,5,0,403,150,904,684,534,423,354,116,16,3188,47,363,463,493,539,303,115,30,2348,820,2359,1898,1932,2116,1531,665,163,11477,104,102,66,62,62,35,11,5,452,40,73,74,104,115,126,72,16,623,970,2528,2040,2106,2298,1693,744,178,12553,17,33,25,23,41,32,27,9,205,967,1144,991,964,1038,957,646,250,6954,2170,5388,4564,4354,4560,3490,1685,495,26692,21,493,331,201,185,82,18,7,1339,20,195,204,202,216,122,28,4,982,359,1845,1395,1030,806,520,188,44,6181,167,706,732,832,854,500,211,62,4064,685,1487,1263,1235,1110,516,117,11,6436,128,187,115,150,183,115,35,0,903,60,106,111,196,277,215,103,16,1092,871,1778,1492,1581,1573,843,259,37,8429,10,34,27,39,57,61,33,22,284,813,955,904,896,996,965,829,462,6820,2261,6011,5083,4772,4681,3097,1566,633,28106,38,839
106,10,343,504,488,510,437,160,20,2479,3,102,158,194,227,240,59,3,993,335,1652,1585,1401,1242,1320,537,102,8173,219,1007,1563,1721,1619,1211,501,90,7937,2587,7253,6730,6533,6359,4619,2281,454,36820,307,320,210,147,126,113,44,6,1282,104,188,219,266,316,368,207,48,1724,3002,7754,7154,6951,6811,5098,2536,513,39815,30,60,80,80,89,101,61,18,513,1287,1722,1520,1390,1252,1169,944,399,9687,4886,12634,12573,12228,11743,9575,4808,1157,69597,20,569,777,613,544,317,89,19,2950,77,412,464,457,440,372,78,15,2320,644,3374,3376,2494,1821,1434,523,123,13795,588,2221,2416,2538,2299,1602,604,119,12388,2484,5224,4464,4058,3159,1282,330,74,21075,441,465,409,412,426,293,71,9,2535,218,338,359,608,821,656,281,78,3360,3139,6034,5231,5082,4404,2237,688,162,26976,29,61,80,89,140,193,87,41,726,927,1084,1029,1075,1218,1436,1369,783,8919,5434,13747,13372,12345,10870,7600,3430,1269,68080,35,913
107,101,1599,1578,1238,1137,865,333,47,6898,16,263,393,328,354,351,97,23,1822,1197,4180,3168,2723,2051,1711,630,144,15812,481,1486,2120,2315,1881,1240,481,121,10120,2817,6213,5738,5850,6074,4344,2350,716,34101,277,222,185,138,142,106,57,12,1133,123,207,242,290,416,465,239,47,2023,3213,6644,6164,6271,6629,4912,2640,780,37257,41,64,112,97,107,127,91,27,674,1094,1109,1034,995,940,930,990,615,7705,6141,15352,14567,13965,13098,10134,5267,1749,80285,110,1967,1929,1436,1097,731,159,18,7443,105,767,843,715,668,565,139,21,3822,1799,5940,5066,3667,2545,1729,622,152,21513,899,2427,2816,3001,2563,1756,636,196,14296,2254,3830,3598,3482,2804,1146,352,106,17569,384,326,335,403,476,282,85,28,2310,237,260,399,814,1030,808,359,127,4033,2869,4416,4333,4694,4309,2237,790,261,23912,48,90,98,131,200,212,116,37,947,1040,1106,1016,994,1124,1228,1423,1173,9104,6874,16721,16097,14642,12511,8459,3886,1856,81038,210,3567
108,9,253,385,412,394,527,228,36,2234,0,62,123,189,251,313,88,10,1041,165,1050,1210,1271,1317,1588,682,162,7462,105,455,858,1164,1294,1516,629,172,6193,1512,3334,3424,4317,5609,5404,2865,740,27199,204,187,145,139,125,149,58,11,1022,87,105,181,214,318,447,274,66,1687,1805,3624,3750,4670,6061,5995,3194,811,29913,31,35,47,57,92,131,85,23,504,1117,1145,1101,1112,1417,1630,1290,617,9438,3234,6626,7478,8872,10825,11701,6199,1839,56775,14,445,574,534,537,408,100,15,2626,29,243,328,431,500,439,133,16,2129,392,2161,2326,2250,2112,1822,692,185,11930,328,1048,1591,2034,2510,2045,877,217,10637,1431,2680,2616,2996,3256,1629,463,122,15190,246,294,246,321,470,396,113,25,2112,132,143,229,449,785,835,372,122,3075,1814,3116,3099,3773,4511,2863,949,271,20378,32,41,53,78,175,251,157,53,840,914,892,915,1077,1597,2008,1933,1268,10605,3512,7948,8878,10173,11941,9830,4837,2024,59151,19,706
109,15,269,231,196,183,134,54,9,1093,0,67,101,111,135,95,27,3,553,169,820,910,708,541,497,166,36,3855,79,524,552,639,623,501,202,45,3167,929,2435,2181,2269,2399,1887,881,225,13204,101,82,81,76,63,49,18,5,462,39,55,92,114,124,142,70,20,646,1064,2575,2352,2454,2585,2071,965,244,14315,12,26,28,28,16,37,31,8,183,649,654,640,717,791,787,573,284,5090,1985,4938,4810,4851,4885,4128,2031,632,28257,21,401,360,249,234,115,34,3,1412,33,216,302,300,267,182,43,4,1345,313,1695,1741,1203,959,638,270,50,6867,223,742,906,1019,1069,705,325,84,5074,764,1596,1367,1460,1305,669,160,46,7376,128,163,118,151,170,104,25,3,853,59,80,118,204,272,215,87,32,1061,955,1834,1607,1816,1747,989,269,84,9293,5,26,30,27,57,65,49,22,278,582,601,617,593,822,894,869,433,5414,2128,5513,5557,5213,5146,3587,1865,674,29684,35,673
110,14,385,439,381,368,322,163,43,2116,9,83,128,154,135,168,51,7,734,242,1345,1157,1022,801,798,277,63,5711,94,496,724,881,803,645,273,56,3981,1375,3378,3106,3050,3336,2499,1228,262,18233,221,200,112,107,115,48,36,4,853,77,100,111,185,226,220,115,16,1052,1676,3674,3332,3347,3680,2768,1381,280,20140,32,44,45,50,58,65,41,15,355,1509,1363,1263,1361,1458,1273,935,382,9552,3576,7390,7100,7206,7305,6037,3117,840,42577,29,650,643,508,407,255,94,18,2606,37,278,368,362,341,288,76,13,1765,537,2449,2182,1793,1425,1007,439,145,9976,245,1007,1177,1429,1551,1044,478,133,7059,1321,2364,2186,2018,1824,840,203,39,10789,259,270,217,252,287,188,61,9,1544,130,154,192,345,460,429,194,54,1960,1708,2784,2586,2618,2566,1462,458,106,14294,31,57,38,51,80,113,77,15,466,1500,1243,1173,1258,1413,1426,1301,686,9998,4093,8466,8180,8006,7788,5603,2929,1105,46161,43,1031
