SA4_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
101,1216,2956,8637,9166,9839,7772,2011,336,31,41972,2013,1463,1913,1449,1922,2774,1746,367,44,13689,217,172,351,367,462,578,212,36,4,2403,94,107,275,225,200,165,72,34,11,1183,3537,4696,11172,11218,12424,11284,4040,780,89,59249,120,195,322,244,301,288,51,0,0,1526,226,112,116,55,80,140,84,5,0,815,348,306,441,291,383,429,132,7,0,2338,3889,5003,11615,11507,12810,11714,4167,785,92,61588,2665,789,1339,1276,1996,5056,10642,6532,1972,32264,468,463,1075,921,1132,1276,1067,584,255,7242,7021,6261,14021,13708,15943,18047,15878,7901,2317,101093,551,2082,5491,5885,7373,4712,882,96,8,27073,2489,1933,4073,4595,4662,5022,1743,219,21,24758,255,215,984,581,542,587,192,26,6,3385,89,97,191,157,146,122,64,24,7,903,3382,4327,10736,11224,12720,10440,2878,368,41,56122,74,110,158,134,167,118,10,3,0,779,233,99,172,144,157,167,53,0,0,1033,309,209,332,284,322,292,67,9,0,1813
102,1298,3257,9793,11851,12104,8640,1597,119,9,48672,2646,2379,3097,2837,2981,3222,1617,309,26,19102,808,891,1221,1099,1093,1132,418,52,4,6722,89,142,352,265,254,141,45,30,6,1327,4841,6677,14468,16047,16430,13132,3676,508,49,75829,261,437,644,454,534,472,53,0,0,2858,500,197,143,124,121,192,77,7,0,1360,763,635,792,575,652,659,129,9,0,4217,5601,7311,15253,16629,17078,13794,3806,519,52,80042,4471,1611,2223,2220,3213,6421,14015,10386,3214,47787,470,448,1042,967,1003,858,872,878,629,7172,10543,9373,18518,19818,21296,21071,18697,11785,3905,135006,449,2380,6420,6835,8242,5338,800,42,0,30502,3260,2864,5270,7143,6910,6319,1790,186,4,33750,1168,1166,2181,1694,1442,1354,397,54,4,9461,80,103,257,225,204,123,47,26,14,1061,4958,6514,14130,15905,16804,13126,3030,299,20,74786,158,232,272,225,293,211,21,6,4,1408,524,202,260,285,263,280,60,3,0,1868,676,433,532,506,557,486,78,8,3,3280
103,1244,2969,8000,7969,8242,6726,1966,331,30,37467,1658,1004,1290,1040,1202,1705,1318,408,49,9671,199,130,325,244,315,397,175,36,8,1829,76,138,217,172,170,145,75,43,15,1051,3172,4240,9836,9429,9924,8974,3538,815,96,50019,148,244,306,279,289,256,35,0,0,1564,194,113,97,80,79,121,42,9,0,740,349,361,406,354,373,372,74,11,0,2306,3517,4597,10236,9785,10295,9350,3612,827,100,52324,2856,919,1456,1419,1862,3651,7782,5499,1738,27184,432,451,885,968,938,982,850,577,226,6311,6806,5969,12569,12174,13096,13988,12249,6901,2067,85813,543,1920,4555,4466,5644,3847,799,105,14,21887,2256,1674,3727,4161,3939,3884,1424,213,31,21305,202,228,842,448,322,429,142,23,6,2641,92,67,149,132,112,94,48,34,15,742,3092,3888,9271,9207,10018,8262,2421,382,54,46576,89,135,168,132,150,109,10,0,0,792,230,135,181,157,145,157,35,3,0,1036,319,266,351,288,295,267,40,3,3,1833
104,535,1324,3738,4194,4582,3601,873,101,6,18965,1235,749,1238,1143,1323,1743,972,161,22,8582,130,87,187,180,245,322,103,18,0,1280,48,70,147,135,104,95,35,13,3,649,1952,2229,5308,5661,6261,5759,1980,291,40,29482,118,179,285,205,233,238,33,6,0,1293,187,85,124,83,83,130,33,4,0,726,307,263,413,289,315,369,66,4,0,2023,2259,2496,5720,5948,6582,6124,2048,300,36,31503,1629,632,1205,1251,1516,3510,7933,4894,1508,24061,244,217,531,571,594,601,573,448,235,4024,4132,3341,7462,7764,8689,10241,10550,5635,1780,59589,237,879,2248,2642,3539,2411,435,31,3,12415,1591,1088,2509,2999,3052,3260,995,78,6,15578,137,92,402,267,270,369,110,4,0,1653,53,70,124,92,95,82,28,15,8,560,2020,2132,5283,5999,6955,6119,1563,131,16,30211,71,101,136,121,133,108,11,0,0,673,210,75,129,137,147,169,26,0,0,889,280,171,267,252,277,278,38,0,0,1561
105,655,1511,4560,3919,3906,3763,1197,220,20,19769,731,400,748,520,587,805,610,157,33,4587,61,63,183,137,178,198,119,17,5,959,47,73,158,103,96,99,46,23,6,652,1496,2046,5657,4675,4767,4866,1978,417,59,25965,103,125,198,157,180,145,22,0,0,925,88,53,60,35,38,58,36,0,0,377,196,180,258,190,216,210,57,0,0,1302,1695,2225,5912,4868,4985,5070,2037,419,59,27269,1301,492,816,785,1043,1950,3987,2708,857,13933,454,396,890,744,775,836,704,458,180,5429,3443,3116,7616,6388,6797,7859,6722,3583,1099,46630,274,1115,2930,2506,2998,2411,548,82,10,12875,1052,689,2004,1912,1603,1860,689,115,11,9936,79,98,466,206,149,241,87,9,0,1334,41,45,136,83,75,84,28,20,0,513,1442,1950,5531,4709,4818,4598,1363,227,24,24649,57,60,113,84,94,71,10,0,0,488,106,70,92,70,66,83,14,0,0,501,161,135,201,160,157,152,31,0,0,992
106,1694,4121,11275,11348,11075,8062,1585,168,16,49344,2305,1620,2236,1747,1864,2312,1323,307,24,13750,376,283,551,543,567,714,234,44,5,3317,107,159,319,271,241,173,70,31,6,1374,4484,6183,14379,13911,13746,11259,3214,547,60,67777,316,370,546,402,390,372,51,3,0,2456,444,182,144,80,96,126,65,3,0,1139,758,549,695,478,490,502,118,9,0,3597,5247,6730,15075,14388,14236,11756,3325,556,61,71376,3565,1166,2094,2195,2671,5325,11749,7340,1937,38040,457,455,984,818,801,799,668,583,253,5824,9270,8348,18151,17402,17713,17884,15745,8481,2246,115245,715,2566,6296,6094,6812,4106,596,48,4,27234,3248,2612,5535,6288,6014,4979,1361,156,13,30211,583,489,1441,851,672,711,201,18,5,4970,84,113,238,180,148,120,54,21,5,958,4632,5780,13509,13414,13646,9921,2214,240,26,63385,161,212,265,215,242,161,3,0,0,1267,398,188,297,268,224,230,34,4,0,1647,561,402,563,484,471,391,41,4,0,2917
107,1212,3644,10915,11831,11532,7989,1209,96,6,48427,2166,2605,3340,2483,2324,2574,1229,186,19,16919,733,950,1227,941,983,955,317,42,3,6151,58,148,335,216,174,146,41,16,3,1132,4166,7339,15816,15468,15018,11654,2797,333,32,72623,240,474,606,394,418,330,46,5,0,2517,445,307,230,100,90,161,48,7,0,1395,690,782,835,497,511,487,94,11,0,3906,4859,8120,16646,15968,15528,12146,2885,344,32,76536,4382,2066,2202,1980,2744,6064,11694,8066,2653,41850,410,501,927,803,776,640,615,637,506,5811,9652,10685,19773,18751,19048,18852,15194,9046,3189,124191,512,2706,7077,6381,7311,4267,578,35,3,28862,2950,3361,5485,6869,6245,5100,1246,103,8,31357,970,1215,2254,1515,1152,1070,284,17,0,8481,77,118,233,142,147,83,32,12,0,835,4510,7398,15052,14907,14847,10524,2137,168,11,69542,123,250,276,218,210,123,11,3,0,1217,508,332,281,248,228,204,47,0,0,1836,624,579,558,469,440,325,54,3,0,3056
108,947,1930,4954,5635,6676,5549,1365,179,14,27259,1790,1053,1517,1530,1915,2738,1521,313,32,12413,157,138,225,282,365,489,223,33,7,1907,101,102,183,174,185,193,62,47,12,1063,2990,3226,6877,7621,9141,8979,3170,578,65,42644,198,301,440,339,344,398,64,0,0,2084,245,138,137,83,128,200,71,3,0,1006,438,434,581,425,471,595,136,9,4,3090,3429,3663,7454,8046,9614,9575,3304,582,73,45735,2485,916,1564,1652,2425,5959,14343,9612,2904,41860,420,326,675,707,812,993,1102,790,430,6260,6333,4896,9697,10408,12850,16528,18742,10988,3407,93853,420,1273,3038,3635,5106,3778,664,46,3,17967,2419,1590,3273,4025,4571,5161,1536,201,10,22784,235,221,579,427,378,615,171,27,0,2656,90,90,146,136,158,127,58,36,15,854,3162,3175,7039,8221,10205,9674,2434,318,29,44257,100,118,196,158,177,158,19,0,0,936,282,142,176,177,198,297,62,3,5,1348,383,264,376,332,378,452,82,7,4,2283
109,679,1671,4372,4370,4645,4073,1157,166,14,21149,928,573,784,690,683,1019,841,187,24,5723,87,59,130,136,166,219,109,21,6,920,65,51,134,87,84,79,40,28,4,579,1764,2349,5423,5282,5573,5387,2144,400,54,28374,95,125,175,153,164,178,23,0,0,908,118,62,60,37,32,76,44,0,0,425,214,186,234,186,200,252,64,0,0,1332,1975,2532,5660,5462,5776,5642,2204,401,54,29701,1328,349,537,556,894,1963,5066,3461,1104,15257,267,263,584,550,595,601,557,381,202,4000,3564,3149,6781,6578,7262,8203,7820,4248,1362,48959,247,990,2415,2405,3081,2272,442,61,0,11903,1430,1048,2167,2588,2416,2648,929,118,9,13342,115,120,457,242,215,245,83,21,4,1503,35,53,81,60,66,59,37,21,4,423,1820,2217,5124,5283,5776,5224,1493,212,15,27166,42,68,84,70,81,70,8,0,0,415,135,85,98,96,75,101,15,0,0,608,180,150,184,165,152,167,25,3,0,1027
110,1019,2425,6604,6303,6579,5743,1884,335,41,30928,1435,812,1163,961,1006,1442,1138,341,33,8325,89,114,217,182,233,323,132,37,11,1341,79,108,207,136,139,154,68,41,20,952,2622,3461,8179,7583,7951,7659,3221,752,106,41541,121,248,359,208,269,250,36,0,0,1496,200,117,105,85,83,105,40,7,0,732,320,366,466,290,349,356,72,7,0,2228,2938,3829,8645,7871,8305,8016,3289,761,109,43772,2263,775,1075,1074,1538,3060,6586,4737,1388,22506,604,676,1178,1056,1124,1156,941,662,291,7691,5810,5283,10900,10006,10975,12236,10822,6158,1791,73971,485,1591,4011,3903,4736,3517,828,105,4,19182,1915,1318,2994,3222,3048,3287,1335,223,9,17353,154,189,606,334,250,364,151,20,3,2075,91,62,145,111,103,109,54,44,8,724,2642,3160,7763,7580,8133,7278,2364,390,35,39333,108,133,200,143,187,141,14,0,0,919,214,131,190,137,125,141,29,3,0,965,316,263,391,279,311,280,42,3,0,1883
