SA4_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
101,120,164,345,317,323,293,93,33,11,1702,3382,4327,10736,11224,12720,10440,2878,368,41,56122,201,306,778,897,1119,1581,1265,495,69,6705,10,31,154,160,133,73,29,6,3,593,327,393,946,885,987,828,234,36,0,4642,23,73,292,389,414,331,63,0,0,1580,759,1353,3058,2469,2484,1984,516,47,0,12676,96,127,306,362,434,413,134,22,0,1888,1588,1070,1775,1494,1736,1718,500,65,5,9942,2167,1323,1764,1171,1178,1169,356,49,0,9187,72,197,559,616,929,970,348,41,6,3743,42,99,224,230,241,187,55,3,4,1078,14,77,300,326,391,305,62,6,0,1488,61,157,302,306,329,256,135,28,3,1572,104,350,1369,1474,1587,1214,532,77,9,6705,103,264,598,661,800,770,231,17,0,3445,92,637,2965,4329,4901,3057,484,23,0,16488,239,530,1530,2039,2242,1817,523,36,0,8965,252,883,2769,2678,3219,3286,811,45,5,13946,187,336,483,363,358,334,113,19,0,2199
102,142,214,455,514,516,356,115,54,11,2381,4958,6514,14130,15905,16804,13126,3030,299,20,74786,62,101,223,207,246,233,95,43,3,1214,3,28,114,185,183,140,28,0,0,695,383,682,1647,1945,2201,1722,341,36,6,8962,21,61,273,362,411,349,46,0,0,1529,982,1878,4046,3958,3345,2411,582,47,3,17252,71,176,489,729,919,735,167,23,0,3309,2415,2185,2788,2475,2665,2227,590,76,3,15428,3762,1679,1578,1266,1131,850,219,33,3,10525,98,245,724,1026,1436,1530,417,52,0,5536,92,187,488,695,620,429,88,13,3,2613,30,267,952,1367,1337,838,193,30,0,5012,44,164,441,539,592,389,144,35,4,2349,111,522,1720,2415,2192,1456,575,98,5,9091,143,390,881,1039,1199,971,264,28,0,4919,65,353,1516,2481,2684,1721,300,14,3,9142,262,867,2515,2886,2900,2323,656,34,0,12437,471,2062,5336,5457,6256,5740,1332,87,0,26741,199,222,421,400,369,274,110,21,4,2015
103,115,126,249,225,247,211,116,37,12,1336,3092,3888,9271,9207,10018,8262,2421,382,54,46576,235,415,960,1193,1493,1733,1459,607,89,8194,56,415,1644,1609,1335,750,94,8,0,5913,314,475,1119,1124,1196,996,240,40,4,5505,19,57,187,255,303,297,40,4,0,1151,563,945,1704,1549,1394,1173,369,28,6,7732,83,165,402,371,405,389,104,16,0,1938,1492,1020,1717,1341,1330,1207,363,56,3,8537,1867,864,1116,824,776,721,266,28,8,6466,71,171,492,612,819,884,365,59,0,3477,28,61,147,162,134,102,29,9,0,672,17,87,271,302,325,220,74,4,0,1298,28,77,194,189,241,178,93,20,4,1021,90,233,795,720,767,608,290,36,0,3556,70,222,489,513,598,598,145,14,0,2646,82,339,1337,1607,1935,1414,280,17,0,7021,209,553,1661,1989,2287,1725,469,50,0,8938,327,1207,3148,2850,3046,2886,751,57,0,14275,139,84,168,153,158,158,53,14,0,924
104,79,89,166,203,169,160,71,21,7,962,2020,2132,5283,5999,6955,6119,1563,131,16,30211,83,181,673,667,621,639,438,137,21,3462,0,5,52,61,59,48,11,0,0,241,111,185,351,396,565,501,126,9,0,2257,10,6,70,126,154,135,18,0,0,526,326,547,1232,1179,1124,983,291,18,0,5706,41,62,157,213,254,209,78,7,0,1023,1142,707,1024,989,1080,1028,278,28,6,6283,1408,665,863,696,707,661,177,19,3,5206,34,93,267,315,453,562,197,25,0,1945,23,24,76,96,111,92,22,3,0,445,8,41,161,206,236,173,54,9,0,895,13,54,138,155,167,188,83,9,0,812,32,100,504,595,588,479,253,21,0,2581,57,118,344,422,537,531,121,11,0,2139,30,166,713,1028,1286,826,139,10,0,4204,104,220,890,1250,1431,1227,326,18,0,5472,153,678,1985,2141,2666,2632,609,30,0,10902,91,54,121,138,187,135,50,11,0,794
105,72,69,169,155,139,141,58,34,0,832,1442,1950,5531,4709,4818,4598,1363,227,24,24649,175,308,823,768,1032,1307,857,318,54,5639,55,205,600,504,470,361,42,4,0,2238,142,167,457,358,302,281,86,13,0,1809,13,20,138,192,173,153,33,0,0,710,247,436,980,692,639,606,184,15,0,3793,61,80,223,190,245,226,69,18,0,1104,706,455,923,694,653,671,218,35,4,4362,750,370,684,461,418,477,160,18,0,3338,38,79,292,287,400,491,214,24,4,1831,20,39,55,57,47,56,20,7,0,296,12,58,157,119,132,108,16,4,0,606,7,25,91,97,90,82,45,3,0,439,41,121,360,322,273,222,123,14,0,1482,32,85,260,251,263,281,76,11,0,1261,33,199,867,810,968,780,195,8,0,3857,102,295,1090,1152,1136,911,272,25,0,4977,171,618,2244,1683,1579,1711,418,30,0,8466,65,60,122,98,116,97,35,4,0,597
106,144,197,392,378,399,260,122,40,9,1938,4632,5780,13509,13414,13646,9921,2214,240,26,63385,142,291,628,616,664,805,591,184,40,3958,137,540,2485,3084,2708,1507,189,12,0,10657,393,678,1858,1703,1848,1403,283,35,3,8211,33,120,422,439,506,418,61,0,0,1997,736,1418,2841,2439,2175,1847,439,40,4,11941,99,236,728,776,710,495,104,30,0,3173,1994,1629,2409,2077,2126,1670,362,48,3,12320,3244,1537,1643,1267,1165,868,246,26,0,10004,90,255,792,1030,1366,1279,448,64,6,5328,54,57,160,140,118,95,31,5,0,659,19,135,617,654,558,362,80,19,3,2445,51,149,330,352,363,270,97,29,0,1645,95,371,1294,1321,1256,927,362,51,0,5684,114,435,1298,1163,1167,855,191,27,0,5250,271,568,1754,1944,2096,1382,244,14,0,8272,208,616,1803,2195,2267,1722,431,25,0,9264,477,1528,3903,3822,4020,3548,755,51,0,18099,201,165,275,224,211,195,60,24,5,1356
107,106,229,451,400,381,263,71,18,0,1925,4510,7398,15052,14907,14847,10524,2137,168,11,69542,23,60,96,82,107,104,69,31,4,592,26,108,634,871,644,365,33,4,0,2694,287,623,1600,1634,2164,1853,300,19,5,8482,24,88,289,369,392,290,38,0,0,1487,1036,1862,3570,2960,2625,1867,383,27,3,14339,60,141,460,572,602,468,104,10,0,2419,1884,2196,2434,2072,2054,1623,389,36,0,12691,3223,2155,1690,1063,875,672,166,14,0,9865,99,331,1083,1398,1649,1424,323,32,0,6340,31,127,380,419,349,175,39,9,0,1520,38,331,1132,1297,1185,600,135,12,3,4727,46,168,374,433,412,282,81,19,4,1822,135,849,2230,2232,1705,1109,406,61,0,8729,103,356,873,974,1043,859,178,18,0,4398,95,564,2111,2816,2695,1769,268,19,0,10323,312,1018,3241,3518,3599,2693,613,48,0,15040,484,2274,5838,5193,5400,4268,948,61,0,24477,216,277,420,369,322,204,71,7,7,1887
108,107,98,201,239,321,261,109,50,19,1404,3162,3175,7039,8221,10205,9674,2434,318,29,44257,118,161,403,420,654,871,631,286,33,3565,4,17,85,124,154,125,22,0,0,530,195,310,679,707,849,831,227,33,0,3830,20,42,205,370,477,389,48,3,0,1549,526,841,1681,1660,1842,1611,439,37,0,8634,58,91,207,251,351,302,83,8,6,1358,1699,996,1439,1477,1691,1645,497,73,5,9532,2159,1013,1127,1060,1022,1016,280,40,0,7718,53,96,306,436,725,924,324,40,5,2923,45,35,87,108,113,135,38,4,0,566,15,70,222,282,352,327,77,13,0,1361,36,78,185,224,279,257,122,31,6,1220,51,151,534,727,787,732,357,65,3,3388,76,178,462,596,771,804,221,12,0,3124,36,177,699,1019,1352,1072,206,10,0,4566,156,393,1318,1798,2133,1835,492,30,0,8151,366,1094,2990,3183,4149,4287,988,66,0,17129,122,86,140,174,198,177,79,14,0,1001
109,69,73,148,144,172,149,68,24,4,855,1820,2217,5124,5283,5776,5224,1493,212,15,27166,164,307,855,949,1058,1209,777,266,38,5626,0,12,48,60,62,49,12,0,0,242,224,340,879,902,982,849,191,24,0,4391,3,26,98,112,153,147,23,0,0,569,350,627,1215,998,868,825,234,25,0,5139,47,70,215,247,285,274,98,20,0,1255,924,605,885,790,845,843,252,23,7,5164,1042,525,641,521,541,530,166,24,0,3991,51,116,356,396,569,605,292,41,0,2426,18,42,67,62,70,51,24,5,0,334,5,56,158,186,203,133,27,0,3,767,10,33,106,107,126,92,62,7,0,548,43,125,420,431,405,352,150,25,0,1954,51,96,229,288,371,331,114,13,0,1487,33,161,614,794,970,721,158,14,0,3461,96,282,933,1164,1171,1007,293,15,0,4952,145,667,1897,1676,1784,1786,447,27,0,8430,83,72,84,99,82,89,38,7,0,549
110,96,99,222,211,224,193,103,54,9,1225,2642,3160,7763,7580,8133,7278,2364,390,35,39333,311,577,1550,1577,1894,2206,1710,595,86,10492,11,173,617,554,422,263,43,0,0,2091,245,489,1217,1005,844,635,178,20,0,4636,6,55,128,183,205,208,38,5,0,836,409,636,1398,1106,1035,987,305,39,5,5908,71,127,312,336,358,336,91,11,0,1656,1364,832,1256,1090,1209,1091,327,35,3,7210,1519,700,796,673,557,569,203,24,0,5040,55,137,451,530,716,830,346,61,5,3138,20,65,120,88,87,79,31,3,0,492,13,91,258,257,275,182,42,9,0,1129,38,68,179,169,175,130,74,22,0,848,62,231,666,608,638,507,249,34,0,2995,51,161,469,482,570,514,173,17,0,2440,69,220,844,1061,1308,1002,208,20,0,4737,180,519,1599,1986,2148,1776,504,42,0,8757,251,866,2642,2210,2394,2473,613,42,0,11493,87,91,139,118,120,110,37,8,0,702
