SA4_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
101,78,48,985,315,68,798,150,1028,70,3537,237,301,1645,503,199,471,400,858,80,4696,1326,1658,3411,902,490,536,1065,1536,250,11172,2354,1867,2632,825,601,452,1049,1183,248,11218,2969,1982,2463,896,720,504,1366,1261,260,12424,2601,1609,2013,778,652,522,1489,1368,252,11284,1242,711,507,193,214,204,465,412,93,4040,399,107,57,21,22,34,45,65,34,780,54,12,0,0,0,0,4,0,5,89,11271,8292,13713,4432,2976,3518,6040,7705,1301,59249,53,66,200,990,256,1277,53,424,68,3382,215,529,328,1333,740,618,111,369,85,4327,1164,2998,643,1963,2070,908,98,666,227,10736,1851,3192,473,1685,2360,733,91,639,199,11224,2233,3060,556,1862,3022,906,134,731,222,12720,1557,2360,366,1619,2484,873,139,887,160,10440,624,621,91,316,664,244,42,208,64,2878,163,44,9,15,56,18,7,33,25,368,21,4,0,0,7,0,0,0,9,41,7874,12875,2674,9784,11654,5576,664,3962,1067,56122
102,75,73,1194,309,79,1014,372,1638,84,4841,270,491,2255,688,273,719,560,1271,141,6677,1450,2547,4457,1118,722,872,1251,1761,288,14468,2973,3236,3934,1072,886,736,1410,1476,327,16047,3237,2970,3445,1131,1006,819,1798,1703,327,16430,2323,2171,2646,867,887,672,1782,1569,206,13132,641,834,605,209,247,234,442,390,69,3676,127,122,53,13,37,34,45,40,38,508,12,6,4,0,3,0,0,0,14,49,11117,12453,18590,5399,4147,5097,7667,9854,1504,75829,95,111,183,1187,210,2249,142,714,67,4958,311,920,398,2081,884,1243,152,445,86,6514,1344,4360,789,2780,2636,1193,201,630,198,14130,2067,4942,722,2455,3394,1195,187,719,218,15905,2109,4327,657,2843,3978,1361,261,1022,242,16804,1264,2996,471,2323,3541,1178,235,981,139,13126,287,748,93,429,879,300,44,184,57,3030,36,67,13,14,87,33,0,17,24,299,4,0,0,0,0,4,0,0,13,20,7523,18462,3330,14110,15609,8762,1218,4710,1053,74786
103,73,32,902,214,49,633,190,1021,68,3172,235,257,1506,392,120,374,463,814,79,4240,1129,1308,3065,646,299,503,1462,1231,180,9836,1772,1342,2285,548,361,370,1551,1017,184,9429,2142,1243,2069,592,425,355,1805,1091,203,9924,2076,1013,1660,436,461,328,1685,1170,157,8974,1252,464,440,119,157,138,512,379,72,3538,452,73,51,10,16,30,69,70,40,815,65,6,5,0,5,5,0,11,8,96,9194,5725,11975,2957,1895,2738,7748,6796,988,50019,40,93,130,945,197,1151,32,454,56,3092,146,566,267,1316,540,569,83,340,55,3888,827,2779,522,1883,1519,817,173,619,127,9271,1116,2599,456,1605,1835,688,135,619,144,9207,1371,2402,467,1671,2258,707,162,829,143,10018,1057,1792,342,1327,1978,638,132,914,86,8262,562,494,75,287,539,181,29,192,55,2421,175,39,9,20,64,12,0,27,32,382,24,0,5,0,0,0,0,5,17,54,5327,10769,2276,9061,8932,4754,755,3988,717,46576
104,50,19,481,140,30,422,112,677,26,1952,109,99,787,217,83,239,163,497,49,2229,536,751,1548,469,215,289,478,909,117,5308,964,994,1259,512,246,308,513,746,118,5661,1151,1046,1243,531,331,328,665,844,131,6261,1006,832,1087,451,281,344,798,870,96,5759,474,369,277,97,99,116,254,255,40,1980,135,48,17,6,13,11,26,17,21,291,18,0,0,0,0,5,0,3,6,40,4449,4143,6702,2414,1290,2064,3009,4816,604,29482,24,28,93,535,105,922,21,255,39,2020,86,242,115,723,289,423,29,189,44,2132,413,1482,276,1204,829,494,45,471,72,5283,652,1739,274,1150,1151,438,39,461,96,5999,878,1752,296,1277,1485,553,52,550,104,6955,626,1445,211,1180,1407,568,61,536,70,6119,222,401,38,214,384,136,6,125,37,1563,42,13,3,11,21,12,0,9,13,131,4,0,0,0,4,0,0,0,7,16,2950,7108,1314,6304,5673,3547,252,2591,482,30211
105,32,12,430,96,18,292,101,484,41,1496,131,120,704,197,64,139,212,423,53,2046,703,634,1505,588,228,309,740,833,116,5657,852,618,1060,420,198,211,661,552,105,4675,1161,520,919,373,200,201,738,556,90,4767,1250,489,844,283,236,205,871,581,106,4866,693,200,250,68,82,95,316,231,46,1978,245,27,22,5,20,16,29,33,29,417,39,4,0,0,0,5,3,3,6,59,5098,2616,5740,2032,1041,1475,3668,3706,595,25965,14,26,60,417,73,603,13,189,28,1442,92,364,130,593,272,266,41,164,27,1950,405,1761,252,1222,858,439,96,410,89,5531,607,1296,211,929,862,337,62,322,85,4709,744,1146,174,868,1031,318,65,389,82,4818,725,938,152,816,1024,367,65,444,66,4598,318,248,53,192,299,98,21,104,28,1363,107,20,0,6,38,10,5,23,18,227,16,0,0,0,4,0,0,4,0,24,3022,5799,1041,5043,4463,2434,372,2054,428,24649
106,93,45,1185,445,62,820,298,1451,83,4484,236,298,2347,701,164,530,654,1134,110,6183,1199,1488,5049,988,486,639,2256,1962,309,14379,1993,1599,3990,764,578,439,2891,1353,309,13911,2157,1596,3388,728,592,494,3106,1384,305,13746,1844,1283,2561,530,527,448,2490,1353,215,11259,753,526,469,152,145,150,591,349,70,3214,204,90,40,18,29,31,55,54,28,547,35,0,5,0,0,4,0,8,9,60,8519,6922,19046,4333,2576,3545,12353,9047,1442,67777,73,99,263,1155,232,1957,73,713,67,4632,270,612,430,1849,838,1025,140,529,93,5780,1146,3139,948,2755,2506,1299,465,1064,187,13509,1432,3201,732,2445,2732,1170,443,1078,181,13414,1553,2628,652,2533,3154,1220,421,1291,194,13646,993,1902,389,1832,2412,997,222,1043,129,9921,302,457,67,314,590,170,51,217,54,2214,64,28,11,16,60,17,7,14,21,240,16,0,0,0,0,0,0,5,8,26,5840,12064,3495,12897,12529,7849,1828,5955,936,63385
107,64,71,1334,343,92,727,261,1225,59,4166,286,807,2466,888,396,768,551,1050,126,7339,1493,3541,4572,1285,790,790,1531,1525,278,15816,2554,3479,3508,1087,767,596,1904,1274,302,15468,2764,2913,3168,984,882,587,2016,1414,287,15018,1863,2134,2480,695,727,473,1776,1304,202,11654,453,695,442,134,204,155,358,303,49,2797,74,113,32,8,11,14,32,32,18,333,12,4,6,0,0,3,3,0,4,32,9567,13758,18005,5414,3865,4113,8440,8136,1327,72623,59,137,202,1187,301,1868,80,613,63,4510,339,1300,416,2357,1115,1231,115,411,111,7398,1422,5611,737,2753,2606,1041,180,504,198,15052,1921,5039,590,2263,3158,1012,129,605,190,14907,1745,4026,562,2475,3677,1128,169,869,197,14847,1021,2630,366,1838,2612,899,128,910,118,10524,206,591,62,299,566,173,28,174,36,2137,30,36,7,16,33,11,3,19,16,168,0,3,0,0,0,4,0,0,0,11,6746,19364,2930,13182,14081,7377,836,4101,924,69542
108,71,21,761,259,32,676,134,969,71,2990,151,144,1154,387,103,342,265,614,68,3226,673,961,2069,665,261,415,596,1117,123,6877,1225,1273,1915,662,297,396,700,1001,154,7621,1594,1394,2005,819,403,497,1072,1165,196,9141,1571,1221,1776,739,426,476,1293,1311,161,8979,814,555,473,168,142,191,373,373,79,3170,253,76,43,5,28,25,47,42,52,578,30,9,5,0,4,0,0,3,14,65,6372,5654,10201,3707,1690,3024,4480,6598,910,42644,40,58,110,911,162,1370,24,435,54,3162,134,429,153,1157,433,559,21,240,49,3175,521,2155,405,1621,1070,674,46,429,109,7039,890,2393,400,1638,1507,725,40,485,142,8221,1160,2463,426,2142,2127,905,87,761,129,10205,1033,2169,351,1908,2163,957,104,856,134,9674,329,591,92,354,567,235,16,190,62,2434,102,43,10,20,54,16,0,21,45,318,9,0,0,0,6,0,0,5,15,29,4223,10298,1957,9747,8085,5435,348,3417,738,44257
109,51,17,533,126,29,399,59,490,46,1764,167,153,902,212,66,168,213,422,43,2349,787,687,1676,335,194,242,639,758,103,5423,1175,759,1205,302,210,227,624,669,103,5282,1382,717,1058,319,262,260,770,700,113,5573,1343,593,936,211,269,245,971,712,110,5387,655,240,280,72,97,132,339,266,50,2144,187,46,21,7,16,18,37,46,25,400,31,0,0,0,0,4,0,5,9,54,5777,3212,6613,1590,1146,1699,3651,4070,612,28374,33,22,69,498,93,747,17,308,32,1820,95,275,131,751,302,361,30,228,44,2217,417,1576,305,1089,775,448,62,395,70,5124,699,1567,243,875,1021,358,56,381,71,5283,795,1265,266,967,1343,466,86,496,87,5776,695,1020,203,888,1240,444,63,588,80,5224,298,257,42,205,387,129,27,118,35,1493,86,11,4,13,46,14,0,24,22,212,8,0,0,0,0,0,0,0,6,15,3129,5987,1265,5290,5207,2959,343,2539,440,27166
110,86,17,698,174,50,565,159,805,66,2622,210,196,1082,270,108,320,371,836,69,3461,1072,1004,2103,511,254,385,1116,1601,145,8179,1484,1018,1695,418,280,340,1087,1132,128,7583,1951,1039,1343,463,341,358,1218,1100,134,7951,1898,831,1234,378,357,353,1362,1105,140,7659,1217,413,380,102,116,121,439,363,73,3221,434,62,51,0,16,25,68,61,35,752,72,4,3,0,0,4,5,3,18,106,8426,4580,8592,2310,1525,2468,5823,7003,819,41541,44,77,134,697,155,1045,43,403,47,2642,138,488,194,925,437,485,82,366,42,3160,547,2296,438,1530,1230,668,177,758,114,7763,900,2202,347,1273,1426,537,108,694,87,7580,1179,1932,310,1412,1713,658,113,700,110,8133,1068,1586,274,1176,1637,566,113,757,103,7278,630,458,67,262,490,165,36,203,52,2364,168,36,8,24,65,13,9,32,38,390,12,0,0,0,8,0,0,3,11,35,4685,9071,1773,7308,7164,4135,677,3915,605,39333
